coords,bus_stops_closest_km,bus_stops_less500m,bus_stops_0.5-1km,bus_stops_1-3km,bus_stops_3-5km,bus_stops_5-10km,bus_stops_10-15km
"('55.749847', '37.579815')",0.19925297050625307,18,39,450,986,4171,5371
"('55.7630905', '37.5930036')",0.30795896463776573,5,54,491,996,4178,5606
"('55.760955', '37.611446')",0.23471530958979098,6,45,525,1045,4172,5768
"('55.744713', '37.5827')",0.01292721027014436,15,55,459,903,4241,5351
"('55.742534', '37.545465')",0.15947484763191638,6,38,422,775,4069,5039
"('55.765716', '37.59356')",0.13876880185864887,9,56,509,994,4171,5659
"('55.762485', '37.598887')",0.20442385714453976,10,36,524,989,4196,5676
"('55.725214', '37.578496')",0.06918034075608588,9,41,421,903,4076,5330
"('55.744414', '37.594072')",0.22626177463564615,13,47,476,963,4233,5462
"('55.7180332', '37.5737618')",0.1295280754784317,21,31,385,918,3963,5384
"('55.751933', '37.590075')",0.06341688501206574,7,45,478,1037,4148,5563
"('55.75571', '37.600845')",0.05017830346116881,16,28,539,1022,4157,5707
"('55.753407', '37.600082')",0.01122238297263752,15,30,526,1035,4155,5688
"('55.758929', '37.645393')",0.05860545321457105,11,53,570,1035,4016,5661
"('55.764121', '37.615416')",0.16855507283077276,12,38,547,1027,4146,5790
"('55.75554', '37.594433')",0.2045109119146798,14,26,517,1012,4153,5647
"('55.749603', '37.597872')",0.16200282875251448,11,45,506,1000,4212,5565
"('55.754507', '37.602687')",0.18893024125108265,15,30,529,1046,4118,5758
"('55.7557561', '37.6033112')",0.11746186069528498,14,30,539,1043,4130,5767
"('55.755196', '37.592796')",0.25163401623327847,13,31,505,1014,4146,5615
"('55.75768', '37.606674')",0.19780240069312344,9,40,532,1043,4146,5784
"('55.754507', '37.602687')",0.18893024125108265,15,30,529,1046,4118,5758
"('55.754753', '37.59622')",0.22000893887627745,18,26,527,1013,4164,5671
"('55.759436', '37.605733')",0.31539651209259656,9,41,528,1045,4166,5743
