coords,bus_stops_closest_km,bus_stops_less500m,bus_stops_0.5-1km,bus_stops_1-3km,bus_stops_3-5km,bus_stops_5-10km,bus_stops_10-15km
"('55.709698', '37.61238')",0.1863251985061277,23,43,429,939,4109,5430
"('55.706203', '37.585727')",0.05285179678800938,17,24,451,845,3986,5316
"('55.694758', '37.562191')",0.2642258343464364,15,24,466,812,3561,5293
"('55.707852', '37.606685')",0.09555034610091989,15,34,431,928,4059,5428
"('55.710809', '37.610404')",0.15490659165120663,20,49,412,956,4099,5418
"('55.710327', '37.589347')",0.19488681808432412,17,24,465,845,4064,5344
"('55.711087', '37.597675')",0.19276104267210045,9,37,438,898,4072,5397
"('55.710809', '37.610404')",0.15490659165120663,20,49,412,956,4099,5418
"('55.707852', '37.606685')",0.09555034610091989,15,34,431,928,4059,5428
"('55.71286', '37.615856')",0.1436969599504019,25,50,412,954,4132,5485
"('55.71305', '37.596228')",0.0990103945023277,11,33,451,896,4056,5438
"('55.69107', '37.560188')",0.07495666711239997,13,40,450,821,3470,5284
"('55.695047', '37.579391')",0.18868483081685364,6,34,452,857,3691,5369
"('55.694246', '37.570573')",0.24571654245445274,8,42,444,870,3582,5362
"('55.714405', '37.61018')",0.1948353609555022,19,50,409,950,4114,5445
"('55.718111', '37.596363')",0.05777738026712324,9,42,447,945,4042,5477
"('55.710809', '37.610404')",0.15490659165120663,20,49,412,956,4099,5418
"('55.717842', '37.603163')",0.3688196995632528,15,37,448,932,4103,5487
"('55.686375', '37.848045')",0.1043550473351433,14,29,257,552,2178,3364
"('55.685947', '37.84607')",0.1666267391539545,11,27,254,546,2203,3389
"('55.569064', '37.581953')",0.09936006249159846,22,32,136,404,1803,2698
"('55.567178', '37.573312')",0.0526047228310296,18,36,146,359,1783,2668
"('55.566247', '37.583787')",0.19885308188475834,12,38,138,365,1777,2605
"('55.566063', '37.578469')",0.09454145782756813,19,29,150,353,1768,2637
"('55.576202', '37.58024')",0.14300847873445857,13,37,162,422,1942,2803
"('55.558641', '37.559308')",0.30073725859781475,3,19,190,311,1545,2605
"('55.565855', '37.580346')",0.16427063756791377,16,31,142,361,1755,2619
"('55.572309', '37.569009')",0.14962116075396414,13,40,137,419,1798,2836
"('55.564969', '37.579672')",0.07846000766420752,14,29,152,355,1731,2633
"('55.607316', '37.591503')",0.15388259870797183,11,56,215,570,2487,3324
"('55.763275', '37.716927')",0.1008747969021981,15,31,481,943,3831,4907
"('55.764202', '37.716442')",0.13931071676694973,14,33,481,933,3818,4911
"('55.764886', '37.711617')",0.17840355209546319,19,34,510,892,3908,4899
"('55.720923', '37.68843')",0.3520735400648003,16,50,413,956,3997,5319
"('55.764465', '37.701978')",0.0670994344528158,21,32,587,859,4042,4874
"('55.77192', '37.71317')",0.19658653606529186,9,39,557,796,3912,4673
"('55.771104', '37.703865')",0.09852585981842375,8,46,591,808,3986,4746
"('55.771818', '37.705185')",0.21005634091749234,10,39,601,785,4009,4682
"('55.75825', '37.710548')",0.014759501972424049,20,67,506,946,3967,4976
"('55.76227', '37.71203')",0.13269793927497014,20,41,505,920,3903,4945
"('55.89496', '37.53006')",0.04212890338684382,16,30,243,518,2175,3048
"('55.894248', '37.526124')",0.16553907952922164,15,24,252,509,2186,3031
"('55.904887', '37.550765')",0.07358177298992767,5,34,220,455,1967,2936
"('55.886393', '37.54012')",0.1761405304574971,12,31,286,590,2467,3161
"('55.906456', '37.55019')",0.20743207987444084,3,34,213,455,1906,2930
"('55.883303', '37.53632')",0.22479854899298526,11,36,286,642,2490,3221
"('55.905068', '37.547926')",0.20517102963321396,6,32,228,451,1950,2936
"('55.901056', '37.554753')",0.052692091258195586,9,23,249,449,2105,3020
"('55.865642', '37.534658')",0.30328977856151673,9,35,339,697,2854,3535
"('55.84675', '37.582493')",0.04159288945915399,31,44,340,822,3200,4205
"('55.854315', '37.410439')",0.08647046789340165,19,40,263,533,1844,3085
"('55.889043', '37.54065')",0.043305085193225644,12,30,292,554,2421,3131
"('55.897079', '37.541296')",0.12892972028829133,17,33,258,480,2158,3062
"('55.892345', '37.541395')",0.13660296053110335,14,36,274,506,2370,3066
"('55.884832', '37.526618')",0.16041178694520905,14,35,294,569,2454,3097
"('55.893213', '37.539266')",0.07861265351883445,15,34,261,512,2330,3040
"('55.89407', '37.53905')",0.08367987842127426,16,33,258,505,2300,3033
"('55.904887', '37.550765')",0.07358177298992767,5,34,220,455,1967,2936
"('55.884292', '37.540147')",0.20514617655000794,9,28,294,614,2484,3212
"('55.9023951', '37.5556266')",0.06005860592763317,6,26,243,446,2058,2995
"('55.841387', '37.547737')",0.12484181565252657,14,33,358,745,3335,4140
"('55.843267', '37.544117')",0.044209423689295674,22,24,365,723,3319,4053
"('55.844445', '37.562685')",0.09213283309004779,15,41,334,749,3335,4121
"('55.840689', '37.548393')",0.04454257690782286,12,33,357,751,3351,4159
"('55.843555', '37.553073')",0.17651029562736653,10,27,354,730,3326,4110
"('55.732884', '37.483355')",0.362034456976742,8,38,287,678,3239,4795
"('55.779413', '37.513709')",0.1678422629147014,26,40,397,819,3591,5127
"('55.779975', '37.615722')",0.08939148802494,27,57,468,1054,3915,5722
"('55.8083718', '37.7603483')",0.13326808232528534,8,21,382,493,2815,4113
"('55.8077552', '37.7580201')",0.051697372547606944,9,15,409,478,2861,4121
"('55.803069', '37.762776')",0.15764116732382968,8,27,379,568,2864,4192
"('55.8051696', '37.7553')",0.19388783389367456,10,25,406,547,2942,4184
"('55.8058209', '37.7547534')",0.2664901825090233,7,26,399,543,2930,4193
"('55.8051696', '37.7553')",0.19388783389367456,10,25,406,547,2942,4184
"('55.8080481', '37.7591084')",0.07484552025622583,9,18,397,489,2837,4125
"('55.797066', '37.725382')",0.07096122576366362,14,38,444,696,3414,4461
"('55.8058209', '37.7547534')",0.2664901825090233,7,26,399,543,2930,4193
"('55.808412', '37.77087')",0.17088251825515963,16,33,353,455,2704,4066
"('55.80817', '37.765533')",0.13907944671144654,12,23,367,481,2738,4119
"('55.806656', '37.7715')",0.08474489614017253,14,41,352,494,2688,4143
"('55.8057205', '37.7538038')",0.3059464656180816,9,23,405,539,2953,4206
"('55.799372', '37.764455')",0.1302310723944858,5,25,365,615,2880,4264
"('55.797273', '37.727039')",0.06176745606448627,10,43,427,708,3368,4484
"('55.82888', '37.56953')",0.19425567346272204,7,31,356,886,3660,4400
"('55.785392', '37.63606')",0.11022385458901579,17,60,478,1090,3911,5436
"('55.79222', '37.61362')",0.11514330260357668,25,47,494,975,4033,5254
"('55.776659', '37.823026')",0.2024868003207882,12,21,278,601,2367,3748
"('55.8057205', '37.7538038')",0.3059464656180816,9,23,405,539,2953,4206
"('55.715601', '37.516413')",0.029559346318045104,9,30,333,800,3463,4865
"('55.697933', '37.51253')",0.07672839476345954,14,47,365,750,3211,4758
"('55.71518', '37.506612')",0.19921102522977732,5,24,316,765,3316,4800
"('55.698211', '37.505475')",0.13804093591208716,18,35,373,726,3104,4711
"('55.709906', '37.503846')",0.06630899782582712,9,33,303,743,3194,4749
"('55.710707', '37.50778')",0.06736835426522914,7,33,300,787,3241,4783
"('55.700689', '37.502795')",0.12226207652115595,15,41,342,778,3042,4738
"('55.704905', '37.492114')",0.21517440402491278,9,32,310,744,2989,4603
"('55.709429', '37.502983')",0.10646142918220727,8,36,308,734,3192,4734
"('55.708946', '37.511913')",0.21744000842449476,22,24,306,797,3248,4814
"('55.6935', '37.50549')",0.12077176881761621,12,39,386,694,3102,4635
"('55.7141629', '37.5210614')",0.08881952833925477,13,23,348,807,3524,4879
"('55.701846', '37.492177')",0.06053271942775833,7,33,332,707,3018,4540
"('55.704093', '37.493165')",0.12319606140026419,7,36,310,749,2979,4633
"('55.729008', '37.527283')",0.1389517139088932,13,18,367,743,3885,4874
"('55.732742', '37.471991')",0.1615340434873854,12,41,269,667,3045,4699
"('55.696453', '37.549022')",0.15975786473571357,14,44,443,745,3604,5060
"('55.711108', '37.504708')",0.14057662877071356,8,36,298,754,3217,4762
"('55.72778', '37.536438')",0.07373832251354928,8,22,381,772,3997,4898
"('55.701846', '37.492177')",0.06053271942775833,7,33,332,707,3018,4540
"('55.703038', '37.491287')",0.11362517138651385,6,33,320,718,2988,4554
"('55.701212', '37.492662')",0.12560220356589075,8,31,340,707,3020,4541
"('55.703921', '37.49029')",0.22058441657627134,8,29,312,727,2977,4564
"('55.705665', '37.49109')",0.3041767452327539,9,25,300,748,2988,4603
"('55.702728', '37.509685')",0.050059718077857,15,48,324,785,3176,4743
"('55.702728', '37.509685')",0.050059718077857,15,48,324,785,3176,4743
"('55.71262', '37.5120788')",0.06464562705299341,7,39,305,817,3302,4840
"('55.705665', '37.49109')",0.3041767452327539,9,25,300,748,2988,4603
"('55.766694', '37.570564')",0.1626294444080407,11,53,473,915,4120,5402
"('55.704823', '37.497495')",0.09286898398390855,7,39,306,768,3017,4723
"('55.716171', '37.496692')",0.40539002465635476,5,18,340,685,3226,4725
"('55.701212', '37.492662')",0.12560220356589075,8,31,340,707,3020,4541
"('55.72778', '37.536438')",0.07373832251354928,8,22,381,772,3997,4898
"('55.701846', '37.492177')",0.06053271942775833,7,33,332,707,3018,4540
"('55.700444', '37.51071')",0.17615386335359123,13,47,345,762,3180,4760
"('55.727394', '37.535754')",0.04340709503719275,7,22,382,774,3977,4904
"('55.724697', '37.528118')",0.050487100155700654,10,19,349,760,3839,4880
"('55.71232', '37.511625')",0.07092287960648722,6,39,303,815,3302,4825
"('55.701648', '37.498644')",0.1320904529223308,17,23,345,774,3001,4701
"('55.727278', '37.525522')",0.018093066171343597,11,15,357,756,3836,4867
"('55.700039', '37.509028')",0.23689252876185907,16,46,348,756,3145,4747
"('55.705488', '37.493344')",0.18090658077336802,8,33,311,751,2999,4654
"('55.696316', '37.504555')",0.0831495708508995,16,31,386,718,3086,4677
"('55.703454', '37.489509')",0.19427815011191013,6,31,310,724,2970,4543
"('55.718032', '37.496631')",0.31985444263928553,3,14,343,676,3272,4698
"('55.7622179', '37.6337951')",0.22987180453927586,10,38,557,1071,4016,5803
"('55.7622179', '37.6337951')",0.22987180453927586,10,38,557,1071,4016,5803
"('55.770126', '37.628326')",0.24278701344958895,18,33,581,1010,4021,5736
"('55.768936', '37.61811')",0.10963481652274347,16,50,555,1020,4059,5815
"('55.762145', '37.606227')",0.13524100858604582,14,33,530,1031,4181,5753
"('55.761112', '37.635961')",0.2851516153608274,10,38,574,1050,4041,5760
"('55.731374', '37.589985')",0.10201379669680946,13,39,476,876,4178,5421
"('55.75371', '37.642124')",0.17993734976882345,18,48,583,1080,4034,5698
"('55.734567', '37.595716')",0.10567393537125533,16,31,498,893,4220,5460
"('55.729437', '37.572872')",0.28425976073328596,6,45,426,892,4096,5256
"('55.729594', '37.56688')",0.02829134850284079,12,44,417,865,4132,5159
"('55.721234', '37.576816')",0.14945693772513666,14,40,394,910,3995,5416
"('55.7305892', '37.5712284')",0.13446044578069466,13,38,431,873,4119,5216
"('55.719337', '37.581318')",0.09237668672428154,10,40,418,896,4024,5436
"('55.729437', '37.572872')",0.28425976073328596,6,45,426,892,4096,5256
"('55.721929', '37.577804')",0.11955987529163081,10,41,395,905,4038,5397
"('55.720585', '37.567042')",0.16666762950444497,24,43,384,914,3950,5358
"('55.7224843', '37.5740008')",0.07445619060258094,10,48,376,916,3995,5399
"('55.725085', '37.572834')",0.32205949303165204,6,55,383,920,4031,5311
"('55.728297', '37.561221')",0.09620109729999826,15,43,394,880,4053,5179
"('55.723004', '37.575468')",0.07096990091928981,7,48,384,917,4023,5389
"('55.7246313', '37.5723859')",0.33222602853110356,7,56,379,929,4015,5325
"('55.721006', '37.584326')",0.04990149706898544,12,34,434,917,4006,5494
"('55.720687', '37.572378')",0.12084005942144936,15,43,381,924,3972,5391
"('55.722091', '37.56777')",0.22253566334208003,19,47,385,913,3966,5341
"('55.725085', '37.572834')",0.32205949303165204,6,55,383,920,4031,5311
"('55.725575', '37.574634')",0.24945405549645897,6,50,390,925,4048,5313
"('55.719337', '37.581318')",0.09237668672428154,10,40,418,896,4024,5436
"('55.727399', '37.571767')",0.42066840086569024,3,51,406,906,4073,5251
"('55.707054', '37.93703')",0.20669950329891787,15,41,211,277,1429,2245
"('55.706695', '37.922398')",0.04642940765779099,21,30,268,335,1536,2447
"('55.699657', '37.92538')",0.18474079549208838,18,38,257,349,1424,2427
"('55.71236', '37.882566')",0.17290006627131096,34,25,291,570,1828,3187
"('55.701815', '37.942727')",0.07103053862102499,12,31,197,295,1325,2172
"('55.703271', '37.916819')",0.03822620469447737,18,28,296,360,1539,2541
"('55.704433', '37.918984')",0.06372211370639594,22,28,286,351,1546,2502
"('55.70319', '37.931713')",0.08702486317420643,28,33,241,305,1419,2317
"('55.70492', '37.943427')",0.11856904088673344,10,35,190,282,1349,2180
"('55.699639', '37.941783')",0.06394968008558305,10,29,202,309,1305,2192
"('55.710951', '37.893131')",0.25221355639253296,22,51,254,555,1677,3032
"('55.700111', '37.929988')",0.1369322197093425,16,44,247,322,1397,2340
"('55.70526', '37.93386')",0.023808050291740088,20,39,225,294,1432,2300
"('55.717574', '37.888621')",0.12425104503877227,13,40,245,575,1710,3165
"('55.713365', '37.88757')",0.05878399798832122,19,50,258,586,1733,3166
"('55.703261', '37.947838')",0.21174640436871955,7,23,183,282,1282,2131
"('55.705919', '37.931731')",0.05362366713490836,21,36,237,298,1468,2284
"('55.69963', '37.92916')",0.07637687499765464,16,45,248,330,1393,2359
"('55.720859', '37.90533')",0.18912257820684855,9,15,222,475,1581,2866
"('55.699639', '37.941783')",0.06394968008558305,10,29,202,309,1305,2192
"('55.712284', '37.891433')",0.10624352529466723,22,51,259,562,1685,3090
"('55.700101', '37.941981')",0.11036713830223685,11,28,197,306,1308,2187
"('55.712878', '37.896948')",0.033041458439349344,17,38,247,543,1637,2965
"('55.70492', '37.943427')",0.11856904088673344,10,35,190,282,1349,2180
"('55.705696', '37.938602')",0.09478219695020282,14,43,204,286,1400,2217
"('55.685178', '37.927311')",0.10711549605811423,12,17,240,388,1273,2302
"('55.682788', '37.928542')",0.03513027161934184,12,15,243,378,1246,2275
"('55.68113', '37.92423')",0.1252637543843538,9,15,247,400,1258,2335
"('55.698584', '37.932216')",0.18885470432569995,14,40,238,323,1368,2291
"('55.702318', '37.928174')",0.037643087846128125,29,32,256,318,1438,2373
"('55.70143', '37.944514')",0.0664076383569734,11,27,192,293,1309,2157
"('55.698584', '37.932216')",0.18885470432569995,14,40,238,323,1368,2291
"('55.682788', '37.928542')",0.03513027161934184,12,15,243,378,1246,2275
"('55.682808', '37.917331')",0.03333585050880576,10,23,267,386,1387,2388
"('55.682869', '37.9192')",0.11435961893893314,10,24,258,393,1350,2387
"('55.689976', '37.72704')",0.041381507025050904,26,35,358,753,3654,4611
"('55.693226', '37.722082')",0.14125775480785238,24,32,368,724,3769,4642
"('55.671514', '37.723376')",0.08731395188327212,10,13,414,603,3422,4505
"('55.689686', '37.730858')",0.1467270485738643,25,33,368,738,3633,4571
"('55.69551', '37.746113')",0.15765286665831582,9,39,379,696,3633,4457
"('55.67957', '37.762246')",0.10712270621697771,21,34,385,566,3290,4116
"('55.686684', '37.72608')",0.18416045309216483,11,48,349,750,3587,4624
"('55.686684', '37.72608')",0.18416045309216483,11,48,349,750,3587,4624
"('55.689686', '37.730858')",0.1467270485738643,25,33,368,738,3633,4571
"('55.693226', '37.722082')",0.14125775480785238,24,32,368,724,3769,4642
"('55.925707', '37.544369')",0.11445751219796961,7,19,142,271,1593,2494
"('55.930453', '37.54506')",0.23207069278673897,6,12,137,234,1491,2447
"('55.912315', '37.548115')",0.07720587782189585,12,27,197,396,1819,2738
"('55.932551', '37.551178')",0.07999487968652244,10,6,130,240,1438,2417
"('55.9203', '37.550217')",0.202195436578195,8,24,154,328,1685,2583
"('55.920381', '37.553217')",0.38361679029928414,2,27,148,335,1682,2583
"('55.896843', '37.53005')",0.13291134650560588,7,29,243,508,2116,3035
"('55.892304', '37.535772')",0.15282750457826552,19,32,254,523,2314,3065
"('55.88331', '37.538162')",0.3363088566572182,9,33,286,642,2489,3235
"('55.867996', '37.533616')",0.24768707219936478,6,47,314,705,2761,3536
"('55.930453', '37.54506')",0.23207069278673897,6,12,137,234,1491,2447
"('55.913565', '37.553972')",0.14754842303354915,11,14,199,370,1819,2706
"('55.831423', '37.351716')",0.030088641702497424,18,16,217,326,1464,2480
"('55.843876', '37.445347')",0.06717053133748599,12,43,352,602,2409,3403
"('55.848026', '37.427776')",0.16945198025889036,12,37,322,546,2136,3311
"('55.739721', '37.659874')",0.08352009570859785,33,68,535,962,4196,5506
"('55.741151', '37.672046')",0.12984324958710453,21,77,530,944,4218,5396
"('55.742032', '37.664285')",0.09393641698033539,18,81,518,979,4163,5468
"('55.747322', '37.66203')",0.03815237860496892,21,70,548,1029,4114,5508
"('55.736235', '37.671849')",0.11646441327768224,25,66,492,965,4173,5469
"('55.735348', '37.659272')",0.07531339005566212,17,80,500,958,4186,5553
"('55.740289', '37.658796')",0.04969161991378958,36,55,542,963,4192,5507
"('55.74894', '37.655148')",0.018757725883957903,15,75,562,1003,4124,5510
"('55.733253', '37.644592')",0.23356038003735066,17,45,555,890,4264,5510
"('55.781109', '37.641584')",0.10581892488828543,20,28,539,1055,3929,5485
"('55.8239989', '37.754714')",0.11568287935172043,18,18,214,496,2597,4011
"('55.7411641', '37.6230759')",0.14890302905126657,14,38,516,1054,4139,5643
"('55.740249', '37.650846')",0.12587366581457435,32,44,560,968,4231,5508
"('55.737137', '37.651322')",0.1049756263497614,19,66,528,969,4195,5572
"('55.739676', '37.669639')",0.06311968970242243,19,86,509,962,4169,5493
"('55.7811995', '37.6439518')",0.048708224989579905,15,32,546,1063,3889,5462
"('55.812303', '37.599757')",0.1636851036938552,18,26,474,818,4141,4492
"('55.801556', '37.609344')",0.35701933045479306,3,34,506,852,4096,4968
"('55.8053565', '37.6170284')",0.12042173255428326,9,21,534,823,4087,4829
"('55.803738', '37.61088')",0.2929743903252635,7,26,531,811,4143,4842
"('55.792007', '37.615785')",0.02513737637632246,25,37,495,999,3999,5296
"('55.8049325', '37.6134014')",0.18486972593636697,7,22,536,819,4109,4831
"('55.805084', '37.618004')",0.1678854360566878,7,24,532,824,4078,4838
"('55.779778', '37.63897')",0.023444308571450266,26,32,546,1018,3958,5491
"('55.77647', '37.59887')",0.2406384558573175,10,83,502,962,4112,5588
"('55.658129', '37.752975')",0.14062257551836088,17,56,384,483,2814,4048
"('55.652623', '37.718687')",0.10350088993130178,13,52,283,806,2758,4485
"('55.662364', '37.779098')",0.15269846645411342,16,34,296,540,2540,3966
"('55.65498', '37.760494')",0.046416065282390374,16,49,359,472,2643,3994
"('55.652319', '37.773412')",0.0742706369280442,11,27,334,423,2487,3786
"('55.663486', '37.76536')",0.1228985723751559,15,47,341,516,2759,4046
"('55.658642', '37.762929')",0.17506913809304522,16,46,374,445,2738,3946
"('55.633419', '37.801134')",0.12626047828350265,11,13,129,439,1946,3290
"('55.651765', '37.769936')",0.1556648610472286,14,26,337,434,2514,3785
"('55.663658', '37.748687')",0.14069224512033354,15,45,379,533,2980,4203
"('55.660785', '37.731919')",0.15190469041123617,11,36,383,568,3055,4306
"('55.664055', '37.753245')",0.08794104491217267,13,49,370,533,2927,4196
"('55.661796', '37.729592')",0.08013261366837297,9,34,379,578,3115,4325
"('55.660654', '37.749933')",0.12435873591290557,18,46,385,492,2907,4123
"('55.662187', '37.746076')",0.22191512606872427,18,38,390,504,2961,4180
"('55.660516', '37.774373')",0.13478727019344097,17,41,313,507,2608,3908
"('55.661796', '37.729592')",0.08013261366837297,9,34,379,578,3115,4325
"('55.660654', '37.749933')",0.12435873591290557,18,46,385,492,2907,4123
"('55.660008', '37.743332')",0.17720039991034317,20,37,393,497,2961,4148
"('55.660892', '37.747065')",0.2597724772709068,21,37,393,489,2938,4148
"('55.663568', '37.770537')",0.09507976242480064,16,45,302,549,2673,4014
"('55.641', '37.65718')",0.15686804036918967,19,46,287,714,2981,4166
"('55.698004', '37.474411')",0.3073677979393928,5,30,268,711,2776,4335
"('55.698004', '37.474411')",0.3073677979393928,5,30,268,711,2776,4335
"('55.712234', '37.489509')",0.09036544261808661,9,21,314,682,3047,4620
"('55.712888', '37.489455')",0.15148537991967756,6,20,320,673,3061,4618
"('55.705067', '37.495518')",0.037077341791085516,10,34,318,755,3006,4693
"('55.71005', '37.47141')",0.08690762087641804,6,29,296,671,2778,4517
"('55.710423', '37.476017')",0.026288627519325522,8,22,303,674,2833,4555
"('55.704933', '37.469765')",0.27727143701065576,9,33,262,731,2687,4449
"('55.709596', '37.481603')",0.10498757005533343,8,21,291,708,2905,4555
"('55.712812', '37.485367')",0.3497370661471551,5,25,313,662,3023,4562
"('55.708035', '37.478962')",0.13374320916184126,12,15,293,700,2861,4535
"('55.718872', '37.499893')",0.10576042317102771,6,12,344,690,3312,4730
"('55.721027', '37.456505')",0.23480293505294572,14,28,297,582,2724,4503
"('55.719318', '37.445779')",0.324324383848702,9,33,310,519,2567,4343
"('55.695487', '37.485702')",0.38229247012602185,4,24,325,662,2943,4399
"('55.783817', '37.533867')",0.10946683414639966,12,34,395,932,3797,5119
"('55.731518', '37.458614')",0.07778162420397645,13,46,305,573,2844,4587
"('55.72274', '37.46025')",0.05299029357661008,12,30,287,608,2788,4558
"('55.76739', '37.586094')",0.3091766729434576,11,52,514,919,4200,5550
"('55.764992', '37.593722')",0.2082612156365503,7,60,500,999,4174,5666
"('55.77647', '37.59887')",0.2406384558573175,10,83,502,962,4112,5588
"('55.762824', '37.591728')",0.24360093402707417,6,53,495,995,4172,5602
"('55.7647383', '37.5928068')",0.16549817974184095,6,56,498,996,4166,5656
"('55.765235', '37.598295')",0.2942968760928893,15,40,506,1005,4174,5735
"('55.7630905', '37.5930036')",0.30795896463776573,5,54,491,996,4178,5606
"('55.763913', '37.595465')",0.3559759091660333,6,47,515,995,4183,5671
"('55.765711', '37.592626')",0.12378740830060043,9,59,509,990,4160,5652
"('55.767058', '37.591602')",0.06447733430708473,9,50,505,988,4139,5661
"('55.762824', '37.591728')",0.24360093402707417,6,53,495,995,4172,5602
"('55.774092', '37.594683')",0.23751565414210915,15,68,498,949,4136,5601
"('55.7755221', '37.5984969')",0.2791365131597316,12,72,505,957,4121,5607
"('55.773241', '37.603657')",0.02665710512335671,24,51,536,961,4131,5686
"('55.767621', '37.5994921')",0.019798473047928027,20,44,508,999,4164,5728
"('55.773241', '37.603657')",0.02665710512335671,24,51,536,961,4131,5686
"('55.774527', '37.592195')",0.17338793743128872,14,69,504,944,4126,5573
"('55.764734', '37.594414')",0.2581714328193102,7,56,505,997,4182,5683
"('55.882183', '37.706505')",0.05820772857987421,19,31,263,328,1878,3211
"('55.878091', '37.716252')",0.19645588657634921,24,28,204,343,1910,3189
"('55.8709917', '37.6883546')",0.08499809917656159,14,38,318,387,2285,3501
"('55.87263', '37.634216')",0.2029904683496053,18,39,411,603,2426,3927
"('55.869026', '37.646236')",0.27413050129675026,13,37,411,558,2462,3911
"('55.875683', '37.72626')",0.04998652880455526,14,18,157,333,1921,3137
"('55.866783', '37.66743')",0.28583202692561577,25,47,374,482,2472,3764
"('55.874157', '37.694028')",0.10562120173222095,16,33,300,367,2130,3428
"('55.8709917', '37.6883546')",0.08499809917656159,14,38,318,387,2285,3501
"('55.868797', '37.63719')",0.10813419247705985,17,37,407,646,2472,3999
"('55.867035', '37.638485')",0.06351795742322694,9,43,394,682,2475,4041
"('55.869243', '37.712731')",0.13397670053384575,10,20,201,368,2220,3373
"('55.874294', '37.647846')",0.13855568231763035,20,33,392,530,2311,3809
"('55.751366', '37.53652')",0.06573372336011266,22,40,419,736,3984,5016
"('55.754735', '37.546354')",0.11508665896189961,16,44,424,804,4027,5120
"('55.7476382', '37.5349718')",0.08297814380738049,22,40,406,731,3953,5037
"('55.754735', '37.546354')",0.11508665896189961,16,44,424,804,4027,5120
"('55.7839099', '37.595828')",0.028196285103182814,23,55,526,883,4129,5352
"('55.789213', '37.599669')",0.04473399223198256,24,56,521,853,4125,5211
"('55.787376', '37.600388')",0.03995237228950942,26,53,520,887,4103,5308
"('55.787376', '37.600388')",0.03995237228950942,26,53,520,887,4103,5308
"('55.777353', '37.575648')",0.2637730693419168,12,41,528,845,4126,5335
"('55.7839099', '37.595828')",0.028196285103182814,23,55,526,883,4129,5352
"('55.779251', '37.597962')",0.23824451023383766,17,79,516,913,4128,5495
"('55.782856', '37.59232')",0.19841599836545143,19,59,530,870,4137,5355
"('55.7850895', '37.5890829')",0.10555961994583145,15,68,513,861,4110,5328
"('55.780796', '37.612551')",0.06861246884629785,24,67,463,1042,3935,5676
"('55.789213', '37.599669')",0.04473399223198256,24,56,521,853,4125,5211
"('55.78612', '37.598778')",0.181137157648907,25,58,511,899,4086,5374
"('55.781834', '37.61183')",0.09011706244064134,26,69,458,1062,3927,5663
"('55.790863', '37.603514')",0.1333373119304452,20,61,515,896,4102,5213
"('55.78795', '37.592106')",0.07135182188296049,11,75,500,862,4109,5237
"('55.786996', '37.594414')",0.06199808050032209,22,60,516,860,4115,5289
"('55.77676', '37.575738')",0.3055003089647814,13,40,528,847,4141,5329
"('55.787832', '37.598771')",0.10889947781016009,26,62,516,872,4101,5273
"('55.776791', '37.606011')",0.09172992767569065,24,64,494,996,4059,5657
"('55.781834', '37.61183')",0.09011706244064134,26,69,458,1062,3927,5663
"('55.77437', '37.60461')",0.0718149300981873,25,54,525,967,4097,5688
"('55.78724', '37.59604')",0.16756070627435501,20,64,512,873,4102,5298
"('55.72833', '37.520752')",0.12889819672503885,8,27,342,769,3762,4857
"('55.713126', '37.513071')",0.12109442797453963,9,36,311,821,3331,4860
"('55.67028', '37.498231')",0.13854529375053762,10,41,357,685,2870,4242
"('55.712244', '37.488341')",0.15282181700930983,9,21,312,675,3044,4596
"('55.712234', '37.489509')",0.09036544261808661,9,21,314,682,3047,4620
"('55.72833', '37.520752')",0.12889819672503885,8,27,342,769,3762,4857
"('55.707963', '37.508544')",0.14304835051658515,15,23,298,798,3201,4809
"('55.716038', '37.503998')",0.05247980317277917,4,24,310,736,3290,4806
"('55.711108', '37.504708')",0.14057662877071356,8,36,298,754,3217,4762
"('55.718669', '37.511221')",0.1419331875449822,7,20,323,766,3459,4867
"('55.719313', '37.478019')",0.08313281930608571,10,12,316,657,3007,4549
"('55.712196', '37.49926')",0.28043332287781436,6,19,314,726,3166,4755
"('55.715601', '37.516413')",0.029559346318045104,9,30,333,800,3463,4865
"('55.72746', '37.479977')",0.06446347987793881,16,22,313,611,3201,4577
"('55.849211', '37.407403')",0.14702820519140203,21,26,287,506,1880,3099
"('55.849211', '37.407403')",0.14702820519140203,21,26,287,506,1880,3099
"('55.84629', '37.40327')",0.06071279714926449,13,24,286,496,1856,3076
"('55.840103', '37.413358')",0.14366519604006178,13,21,338,527,2035,3285
"('55.843567', '37.35433')",0.039360920761087735,13,35,163,347,1449,2471
"('55.842766', '37.371513')",0.1773899842331735,10,33,223,446,1589,2695
"('55.860524', '37.410394')",0.10536708132111702,12,31,259,539,1808,2895
"('55.841736', '37.359504')",0.16131109086621553,13,31,200,349,1527,2501
"('55.837456', '37.405605')",0.02945806975974787,13,22,313,501,1957,3220
"('55.852137', '37.354582')",0.05283936210557246,10,33,125,379,1364,2421
"('55.661308', '37.322224')",0.4078263505686535,3,4,140,282,1035,2102
"('55.61502', '37.202885')",0.3595268800778053,3,4,63,83,571,823
"('55.633739', '37.324183')",0.03882937656722806,17,43,139,262,964,2114
"('55.634639', '37.328899')",0.043878534115273204,29,38,159,248,1031,2122
"('55.637581', '37.333399')",0.12046904968902766,35,36,172,258,1119,2110
"('55.63407', '37.320023')",0.04438145518256295,9,35,137,262,929,2081
