coords,eco_factory_closest_km,eco_factory_less500m,eco_factory_0.5-1km,eco_factory_1-3km,eco_factory_3-5km,eco_factory_5-10km,eco_factory_10-15km
"('55.747652', '37.61777')",4.8465755519745635,0,0,0,1,6,6
"('55.74446', '37.613018')",4.973861533642878,0,0,0,1,6,6
"('55.784997', '37.526636')",1.7455019001734748,0,0,1,2,4,8
"('55.809085', '37.448482')",4.457702913889747,0,0,0,1,4,4
"('55.723004', '37.575468')",4.680963604344254,0,0,0,1,6,6
"('55.697238', '37.476732')",2.1828557907998527,0,0,2,0,4,5
"('55.759897', '37.644477')",4.425911008124589,0,0,0,1,7,6
"('55.822979', '37.526735')",3.685285587809507,0,0,0,3,3,7
"('55.64191', '37.34936')",9.179533388335033,0,0,0,0,2,0
"('55.731891', '37.539922')",4.987090573808925,0,0,0,1,6,6
"('55.69316', '37.470599')",2.069514019899795,0,0,2,0,4,5
"('55.738698', '37.593039')",6.000014870802253,0,0,0,0,8,5
"('55.763933', '37.60929')",4.742455411728519,0,0,0,2,5,9
"('55.77796', '37.600594')",3.099155760280829,0,0,0,2,5,8
"('55.71268', '37.517698')",4.487800043220065,0,0,0,2,2,9
"('55.900103', '37.585745')",2.9152587359356668,0,0,1,0,2,7
"('55.701262', '37.651583')",3.250291323751608,0,0,0,2,4,9
"('55.904835', '37.38836')",10.617059538100083,0,0,0,0,0,3
"('55.643658', '37.539455')",6.34517074640596,0,0,0,0,5,3
"('55.5677654', '37.4416839')",9.521005379400489,0,0,0,0,1,1
"('55.841561', '37.495863')",2.8632203284881124,0,0,1,0,6,0
"('55.718633', '37.623214')",3.8296685735951974,0,0,0,2,6,7
"('55.694784', '37.581559')",1.9888385813286953,0,0,1,0,6,6
"('55.726894', '37.574345')",5.102309256449034,0,0,0,0,7,6
"('55.733917', '37.614754')",4.564849237031484,0,0,0,1,6,6
"('55.757214', '37.64955')",3.9966728146238464,0,0,0,2,6,7
"('55.588949', '37.60081')",1.530109004234796,0,0,1,0,3,3
"('55.637393', '37.600388')",5.35470648902195,0,0,0,0,3,6
"('55.898916', '37.379034')",10.814449153266933,0,0,0,0,0,2
"('55.745083', '37.49736')",3.1935355627489503,0,0,0,1,6,4
"('55.834421', '37.659596')",5.3811400054036636,0,0,0,0,5,8
"('55.790975', '37.634182')",3.1357670808493383,0,0,0,2,5,6
"('55.795423', '37.495276')",2.627076239269466,0,0,1,0,5,6
"('55.763265', '37.514994')",1.161395579797523,0,0,1,0,6,6
"('55.7407086', '37.6011763')",5.5522067416623955,0,0,0,0,7,6
"('55.763072', '37.58968')",4.483408876052134,0,0,0,2,5,9
"('55.760915', '37.554861')",3.202289325143203,0,0,0,2,5,8
"('55.7182621', '37.4771618')",2.1973551984578292,0,0,2,0,5,3
"('55.807435', '37.448662')",4.389994388882545,0,0,0,1,4,4
"('55.7753205', '37.6300127')",4.132803636754871,0,0,0,2,4,8
"('55.681183', '37.495808')",4.140128822700268,0,0,0,2,1,8
