coords,eco_factory_closest_km,eco_factory_less500m,eco_factory_0.5-1km,eco_factory_1-3km,eco_factory_3-5km,eco_factory_5-10km,eco_factory_10-15km
"('55.776867', '37.686797')",2.2485654817581757,0,0,1,1,5,6
"('55.762794', '37.677921')",2.9396003872228467,0,0,1,2,5,6
"('55.77314', '37.693561')",1.7668490195378128,0,0,1,1,5,6
"('55.773793', '37.694845')",1.6923574694892343,0,0,1,1,5,6
"('55.771206', '37.658212')",3.984045078770795,0,0,0,1,6,5
"('55.66994', '37.536032')",4.858533756417302,0,0,0,1,3,4
"('55.722857', '37.780176')",2.0169787457099737,0,0,1,1,4,3
"('55.7224', '37.619946')",4.197021527044158,0,0,0,2,6,6
"('55.724728', '37.664516')",1.4402874433553727,0,0,1,0,6,6
"('55.816424', '37.705257')",5.027851816421736,0,0,0,0,6,7
"('55.819176', '37.721193')",5.2278541422835785,0,0,0,0,6,7
"('55.823151', '37.715956')",5.68164206974296,0,0,0,0,6,7
"('55.819555', '37.707566')",5.343666380182094,0,0,0,0,5,8
"('55.820632', '37.713701')",5.412986319033745,0,0,0,0,5,8
"('55.819386', '37.706489')",5.3367459924973355,0,0,0,0,5,8
"('55.820025', '37.714626')",5.340586189036306,0,0,0,0,5,8
"('55.819312', '37.711931')",5.278354155616543,0,0,0,0,5,8
"('55.821072', '37.70276')",5.566642764981212,0,0,0,0,5,8
"('55.817448', '37.711975')",5.071939740863155,0,0,0,0,6,7
"('55.818954', '37.71327')",5.229640543565149,0,0,0,0,5,8
"('55.813477', '37.710197')",4.649257405316787,0,0,0,1,6,6
"('55.8093146', '37.7595588')",4.764995853380571,0,0,0,1,2,10
"('55.806504', '37.720097')",3.8181595817514404,0,0,0,1,5,7
"('55.863758', '37.665436')",3.509269971918532,0,0,0,1,6,5
"('55.793896', '37.712067')",2.4871715417297717,0,0,1,1,5,8
"('55.815549', '37.757817')",5.3302854925798595,0,0,0,0,3,10
"('55.814518', '37.729305')",4.733463027371768,0,0,0,1,5,8
"('55.7762572', '37.7368937')",1.0559124762639902,0,0,2,0,5,7
"('55.799143', '37.729359')",3.035927920655743,0,0,0,1,5,8
"('55.814492', '37.649274')",3.788292612103214,0,0,0,2,6,7
"('55.766735', '37.73041')",0.8211753012589004,0,1,1,2,3,8
"('55.819472', '37.710502')",5.307130313227376,0,0,0,0,5,8
"('55.811508', '37.698915')",4.600972457225723,0,0,0,1,6,6
"('55.816637', '37.691845')",5.287036232875492,0,0,0,0,6,6
"('55.819359', '37.702035')",5.390661657366281,0,0,0,0,5,8
"('55.8167', '37.72118')",4.9521896529200955,0,0,0,1,5,8
"('55.822711', '37.719055')",5.623738036022707,0,0,0,0,6,7
"('55.819423', '37.707952')",5.325208733978522,0,0,0,0,5,8
"('55.79988', '37.730618')",3.1301689806154784,0,0,0,1,5,8
"('55.8058209', '37.7547534')",4.278070407513386,0,0,0,1,3,9
"('55.7755746', '37.7378258')",1.0805877372550836,0,0,2,0,5,9
"('55.7946813', '37.6844009')",3.4233985148405663,0,0,0,1,5,8
"('55.807907', '37.706629')",4.083551442313179,0,0,0,1,6,7
"('55.78549', '37.68692')",2.63363325102646,0,0,1,0,6,6
"('55.82779', '37.75684')",6.568318724497053,0,0,0,0,4,9
"('55.8104823', '37.7281622')",4.279266748490369,0,0,0,1,5,7
"('55.788819', '37.698358')",2.3566233855416328,0,0,1,1,5,7
"('55.811594', '37.708203')",4.464218806644608,0,0,0,1,6,6
"('55.814598', '37.705158')",4.8303655190864765,0,0,0,1,6,6
"('55.818948', '37.702706')",5.336586615978986,0,0,0,0,5,8
"('55.759693', '37.738503')",0.8192702488770808,0,1,1,3,1,9
"('55.79343', '37.72872')",2.4023620436871704,0,0,1,1,5,8
"('55.809525', '37.789734')",5.956554835135816,0,0,0,0,3,9
"('55.792903', '37.802877')",5.591442694454742,0,0,0,0,3,7
"('55.792078', '37.770061')",3.755930974623004,0,0,0,2,2,9
"('55.764171', '37.739716')",1.3007876826488525,0,0,2,1,3,7
"('55.859478', '37.482124')",3.2669276830485607,0,0,0,1,5,1
"('55.862882', '37.474886')",3.777155394087655,0,0,0,1,4,2
"('55.86929', '37.479736')",3.707017129207029,0,0,0,1,3,3
"('55.863439', '37.506586')",1.9079178569191841,0,0,1,0,4,2
"('55.872567', '37.462586')",4.837562847720911,0,0,0,1,1,5
"('55.858897', '37.500118')",2.1421583403220392,0,0,1,0,5,1
"('55.874733', '37.465225')",4.786415782402728,0,0,0,1,1,5
"('55.85967', '37.499839')",2.1746458354624525,0,0,1,0,5,1
"('55.86795', '37.463116')",4.632265231225598,0,0,0,1,1,5
"('55.8583244', '37.4800918')",3.380333329541417,0,0,0,1,5,1
"('55.867536', '37.488332')",3.136076948761501,0,0,0,1,3,3
"('55.849054', '37.486059')",3.089228444841684,0,0,0,1,5,1
"('55.866325', '37.491943')",2.8745723041296873,0,0,1,0,4,2
"('55.861231', '37.495024')",2.506856325941717,0,0,1,0,5,1
"('55.868359', '37.463673')",4.612453775305882,0,0,0,1,2,4
"('55.868662', '37.456755')",5.036499142162955,0,0,0,0,2,4
"('55.85463', '37.472702')",3.8342248672860175,0,0,0,1,5,1
"('55.868395', '37.462514')",4.682872478675219,0,0,0,1,1,5
"('55.856391', '37.4781')",3.4943039756157352,0,0,0,1,5,1
"('55.863373', '37.492922')",2.6991733635373256,0,0,1,0,4,2
"('55.863828', '37.518219')",1.3248371438218325,0,0,1,0,4,2
"('55.865152', '37.472081')",4.0069197587670535,0,0,0,1,3,3
"('55.868794', '37.494665')",2.848565033042011,0,0,1,0,4,2
"('55.84979', '37.476196')",3.675403173906088,0,0,0,1,5,1
"('55.866809', '37.488655')",3.0847632176392272,0,0,0,1,3,3
"('55.84776', '37.487602')",3.0351620463698428,0,0,0,1,5,1
"('55.862317', '37.490897')",2.7872577103593708,0,0,1,0,4,2
"('55.870789', '37.462334')",4.77970522815176,0,0,0,1,0,6
"('55.869117', '37.473959')",4.033427092095256,0,0,0,1,2,4
"('55.856598', '37.470078')",3.997021384138586,0,0,0,1,5,1
"('55.781722', '37.584119')",2.377836903533152,0,0,2,1,5,8
"('55.770811', '37.591189')",3.6572323592302745,0,0,0,2,5,8
"('55.778628', '37.589419')",2.7862086448179637,0,0,2,0,7,6
"('55.80774', '37.508812')",3.861668233106159,0,0,0,2,3,8
"('55.773598', '37.590508')",3.34555437416322,0,0,0,2,6,7
"('55.769388', '37.566755')",3.671946850897732,0,0,0,3,4,9
"('55.776791', '37.586491')",2.9445143421092945,0,0,1,2,4,9
"('55.779084', '37.571498')",2.6672944248567383,0,0,1,2,4,9
"('55.777353', '37.576735')",2.8315248529815524,0,0,1,2,4,9
"('55.77382', '37.580086')",3.227374517490302,0,0,0,3,3,10
"('55.771555', '37.571318')",3.49984848788382,0,0,0,3,4,9
"('55.772512', '37.585547')",3.4048187048212397,0,0,0,3,4,9
"('55.772421', '37.581173')",3.386590456990679,0,0,0,3,4,9
"('55.773165', '37.583463')",3.316284196140924,0,0,0,3,4,9
"('55.780199', '37.580659')",2.520388911596699,0,0,2,1,5,8
"('55.776112', '37.588485')",3.0439669848938435,0,0,0,2,5,8
"('55.776856', '37.574911')",2.891702004510819,0,0,1,2,4,9
"('55.774467', '37.581613')",3.161257297789197,0,0,0,3,3,10
"('55.779196', '37.574318')",2.6345289034338863,0,0,1,2,4,9
"('55.774391', '37.589159')",3.240189519387218,0,0,0,2,6,7
"('55.7865312', '37.5863805')",1.8876485825795586,0,0,2,0,6,7
"('55.777753', '37.580409')",2.791117628116642,0,0,1,2,4,9
"('55.781626', '37.580894')",2.36311954688323,0,0,2,1,5,8
"('55.7711551', '37.5722103')",3.5381126812974157,0,0,0,3,4,9
"('55.771828', '37.586384')",3.4879482883174027,0,0,0,3,5,8
"('55.77314', '37.578712')",3.3003548832635428,0,0,0,3,4,9
"('55.780162', '37.578855')",2.5189270789071485,0,0,2,1,5,8
"('55.780785', '37.57977')",2.4518435704534793,0,0,2,1,5,8
"('55.775135', '37.591081')",3.1888513797277667,0,0,0,2,5,8
"('55.773196', '37.591243')",3.4001967476397406,0,0,0,2,6,7
"('55.783939', '37.587371')",2.182101828368274,0,0,2,0,6,7
"('55.773537', '37.58013')",3.25897549936326,0,0,0,3,4,9
"('55.769271', '37.56582')",3.6151360900848513,0,0,0,3,4,9
"('55.78118', '37.578532')",2.4051441127487077,0,0,2,1,5,8
"('55.779906', '37.581277')",2.555964817673194,0,0,2,1,5,8
"('55.78089', '37.580982')",2.445240476438397,0,0,2,1,5,8
"('55.775692', '37.590731')",3.123253986150352,0,0,0,2,5,8
"('55.773768', '37.592482')",3.3590519851506615,0,0,0,2,6,7
"('55.778644', '37.582709')",2.704776890040351,0,0,1,2,4,9
"('55.769995', '37.572046')",3.6676634789931186,0,0,0,3,4,9
"('55.76998', '37.586723')",3.6945302949190864,0,0,0,3,4,9
"('55.771646', '37.584469')",3.4914976639567263,0,0,0,3,4,9
"('55.7803455', '37.5796864')",2.500457692180832,0,0,2,1,5,8
"('55.78583', '37.573853')",1.9029502914477618,0,0,2,1,5,8
"('55.768446', '37.571938')",3.839972971570259,0,0,0,3,3,10
"('55.805678', '37.504814')",3.639870032638638,0,0,0,2,3,8
"('55.64191', '37.509075')",7.895210699820854,0,0,0,0,4,4
"('55.64005', '37.516431')",7.668718409040562,0,0,0,0,4,4
"('55.642403', '37.519127')",7.369106089101626,0,0,0,0,4,4
"('55.653538', '37.52261')",6.448536341037375,0,0,0,0,4,4
"('55.63941', '37.528765')",7.152309415613024,0,0,0,0,5,3
"('55.6418045', '37.5346585')",6.702628662883578,0,0,0,0,5,3
"('55.649063', '37.533957')",6.177594130676143,0,0,0,0,5,3
"('55.634207', '37.512667')",8.28164781333541,0,0,0,0,4,2
"('55.645878', '37.526528')",6.763480837280957,0,0,0,0,4,4
"('55.642606', '37.547405')",6.10522192296957,0,0,0,0,5,3
"('55.649362', '37.497773')",6.990365656740403,0,0,0,0,3,5
"('55.635716', '37.534352')",7.22006064389081,0,0,0,0,5,2
"('55.646045', '37.525522')",6.799824449260039,0,0,0,0,4,4
"('55.633033', '37.517823')",8.141713434580709,0,0,0,0,4,3
"('55.634629', '37.537137')",7.202670490860963,0,0,0,0,4,3
"('55.646868', '37.526555')",6.691162553013904,0,0,0,0,4,4
"('55.6301641', '37.5145688')",8.503571349930274,0,0,0,0,4,2
"('55.615751', '37.493937')",8.875191537826499,0,0,0,0,1,5
"('55.651074', '37.515632')",6.966317570933838,0,0,0,0,4,4
"('55.648621', '37.522432')",6.773255356548731,0,0,0,0,4,4
"('55.645395', '37.522863')",6.974781679796034,0,0,0,0,4,4
"('55.646604', '37.519413')",7.060596827151133,0,0,0,0,4,4
"('55.631066', '37.509487')",8.668232434160226,0,0,0,0,4,2
"('55.647087', '37.503073')",7.374642243241947,0,0,0,0,3,5
"('55.648275', '37.520509')",6.893191888352649,0,0,0,0,4,4
"('55.63755', '37.528972')",7.292759060350716,0,0,0,0,5,2
"('55.643266', '37.502004')",7.714223773495882,0,0,0,0,3,5
"('55.649408', '37.526133')",6.5349266109410955,0,0,0,0,4,4
"('55.641388', '37.545715')",6.277583454736058,0,0,0,0,5,3
"('55.679817', '37.515057')",5.218975154544486,0,0,0,0,3,7
"('55.670041', '37.498977')",5.141529357551166,0,0,0,0,3,4
"('55.663004', '37.475881')",5.0196682030068045,0,0,0,0,3,3
"('55.604336', '37.534794')",6.015572936499569,0,0,0,0,2,4
"('55.661013', '37.522351')",6.046887545842493,0,0,0,0,3,4
"('55.686493', '37.56599')",2.666717888042746,0,0,1,0,5,6
"('55.634578', '37.51591')",8.105614942388973,0,0,0,0,4,3
"('55.658144', '37.485403')",5.762906731625639,0,0,0,0,3,4
"('55.67484', '37.506683')",5.117180083449209,0,0,0,0,3,5
"('55.655712', '37.58005')",3.742027017333815,0,0,0,1,2,8
"('55.688974', '37.556415')",3.2912541480125004,0,0,0,1,5,6
"('55.643033', '37.475468')",7.110419166957451,0,0,0,0,3,4
"('55.663603', '37.488772')",5.3338868757140006,0,0,0,0,3,4
"('55.67981', '37.5432')",4.142059319410177,0,0,0,1,3,7
"('55.668056', '37.506738')",5.636018882932456,0,0,0,0,3,4
"('55.658236', '37.564644')",4.076913886901741,0,0,0,1,4,4
"('55.643612', '37.507906')",7.839845083523966,0,0,0,0,4,4
"('55.653715', '37.5300411')",6.05134522457732,0,0,0,0,5,3
"('55.64192', '37.523456')",7.19969692596003,0,0,0,0,4,4
"('55.644506', '37.534299')",6.504840332701856,0,0,0,0,5,3
"('55.6538', '37.514057')",6.890123458881281,0,0,0,0,3,5
"('55.635963', '37.539303')",7.00154693206688,0,0,0,0,5,2
"('55.6466', '37.532852')",6.411421770301492,0,0,0,0,5,3
"('55.63735', '37.532017')",7.1794078690191085,0,0,0,0,5,2
"('55.646863', '37.534613')",6.309861471247712,0,0,0,0,5,3
"('55.636001', '37.541278')",6.921744547446204,0,0,0,0,4,3
"('55.648153', '37.537191')",6.093180687094035,0,0,0,0,5,3
"('55.637897', '37.540802')",6.774347614380329,0,0,0,0,5,2
"('55.640495', '37.54685')",6.311264310603325,0,0,0,0,5,3
"('55.643937', '37.528855')",6.797222039585807,0,0,0,0,5,3
"('55.638333', '37.530939')",7.144483286108295,0,0,0,0,5,2
"('55.640316', '37.530857')",6.988106125208624,0,0,0,0,5,3
"('55.642718', '37.503396')",7.809373974151052,0,0,0,0,4,4
"('55.667823', '37.548258')",4.249849923378276,0,0,0,1,3,4
"('55.668442', '37.559856')",3.5797855295788503,0,0,0,1,3,6
"('55.671102', '37.540012')",4.578711428755894,0,0,0,1,3,5
"('55.626213', '37.510152')",8.491155427109593,0,0,0,0,3,3
"('55.665101', '37.552462')",4.171634572475397,0,0,0,1,4,3
"('55.645634', '37.542763')",6.042221834361009,0,0,0,0,5,3
"('55.644313', '37.537281')",6.38710774405581,0,0,0,0,5,3
"('55.639176', '37.513008')",7.895435238476928,0,0,0,0,4,4
"('55.636497', '37.5146')",8.01866365020605,0,0,0,0,4,3
"('55.6266371', '37.5219362')",7.8979513858280015,0,0,0,0,3,3
"('55.66013', '37.491413')",5.750742309447223,0,0,0,0,3,4
"('55.634014', '37.524219')",7.784825021664004,0,0,0,0,4,3
"('55.646101', '37.537137')",6.252930512215573,0,0,0,0,5,3
"('55.632499', '37.523016')",7.9602706419989415,0,0,0,0,4,3
"('55.640914', '37.526834')",7.1206915818381615,0,0,0,0,4,4
"('55.875218', '37.545276')",2.273013459669572,0,0,1,1,3,5
"('55.882671', '37.562712')",3.490675757758106,0,0,0,2,2,6
"('55.880226', '37.55044')",2.9068529137904773,0,0,1,1,3,5
"('55.873257', '37.561096')",2.581716786723998,0,0,1,1,3,6
"('55.892242', '37.574245')",3.10581057864308,0,0,0,2,2,7
"('55.680174', '37.666557')",3.706283765966597,0,0,0,2,3,10
"('55.871326', '37.59044')",2.3218456564966155,0,0,1,1,3,7
"('55.889286', '37.5596')",3.911115606499283,0,0,0,2,2,6
"('55.883145', '37.561275')",3.490902959430992,0,0,0,2,2,6
"('55.879728', '37.560332')",3.1334706364177567,0,0,0,2,2,7
"('55.874714', '37.589016')",2.2130866856473985,0,0,1,1,3,7
"('55.878324', '37.55999')",2.990145245466777,0,0,1,1,3,6
"('55.810654', '37.56483')",1.1950389192976143,0,0,2,0,5,7
"('55.78552', '37.60524')",2.3716131720385003,0,0,2,0,7,6
"('55.863621', '37.559388')",1.8169661215112194,0,0,1,1,3,6
"('55.858923', '37.563063')",1.8590556605642587,0,0,1,1,3,6
"('55.808902', '37.568156')",0.9104562612523959,0,1,1,1,4,8
"('55.884161', '37.563449')",3.6105934661255206,0,0,0,2,2,6
"('55.87183', '37.56465')",2.6233191290400555,0,0,1,1,3,7
"('55.87358', '37.588467')",2.2994734569733835,0,0,1,1,3,7
"('55.889282', '37.55843')",3.9831127523327288,0,0,0,2,2,6
"('55.881066', '37.564509')",3.401115430156837,0,0,0,2,2,6
"('55.873222', '37.59009')",2.2290216395649574,0,0,1,1,3,7
"('55.874799', '37.548995')",2.3137889853318243,0,0,1,1,3,5
"('55.878526', '37.563889')",3.1482472359551936,0,0,0,2,2,7
"('55.8775119', '37.5388126')",2.43331959553358,0,0,1,0,4,3
"('55.874065', '37.591682')",2.0963644171236733,0,0,1,1,3,7
"('55.884737', '37.594144')",1.6979334085001871,0,0,1,1,3,7
"('55.880783', '37.562901')",3.3189968742482208,0,0,0,2,2,7
"('55.8798721', '37.5810486')",2.5321859171632695,0,0,1,1,3,7
"('55.89287', '37.561527')",3.8851800921052106,0,0,0,2,1,8
"('55.889137', '37.559021')",3.9439035071655577,0,0,0,2,2,6
"('55.871602', '37.560664')",2.4275440987985113,0,0,1,1,3,7
"('55.87622', '37.505287')",2.8912002658997062,0,0,1,0,4,2
"('55.85721', '37.439607')",5.906279753698304,0,0,0,0,2,4
"('55.891996', '37.600388')",1.6347030335877073,0,0,1,0,3,6
"('55.895858', '37.631658')",1.5707319066415566,0,0,1,0,4,5
"('55.878131', '37.610755')",0.8489747991531619,0,1,0,1,4,6
"('55.869915', '37.613728')",1.534356598237928,0,0,1,0,5,5
"('55.882308', '37.635251')",0.8888148275139862,0,1,0,1,5,5
"('55.869656', '37.61001')",1.645815027518154,0,0,1,0,4,6
"('55.878723', '37.622353')",0.4886565689666022,1,0,1,0,5,5
"('55.89346', '37.653891')",2.355628528511794,0,0,1,0,6,3
"('55.9347854', '37.5543862')",7.112374750337955,0,0,0,0,2,5
"('55.8534582', '37.6434107')",3.5789223476564356,0,0,0,1,4,8
"('55.863014', '37.67102')",3.8392485455339145,0,0,0,1,6,5
"('55.8592', '37.67431')",4.25976994832852,0,0,0,1,6,6
"('55.880974', '37.641061')",1.2698624805880678,0,0,1,0,7,3
"('55.836838', '37.667564')",5.91110869186101,0,0,0,0,6,7
"('55.886357', '37.644863')",1.531127577809712,0,0,1,0,6,3
"('55.875925', '37.603424')",1.362264638577677,0,0,1,1,3,7
"('55.883468', '37.635603')",0.9080790290536068,0,1,0,1,5,5
"('55.868789', '37.614446')",1.6423496644069784,0,0,1,0,5,5
"('55.892223', '37.65523')",2.3663781889077304,0,0,1,0,6,3
"('55.89821', '37.61854')",1.6948951124973124,0,0,1,0,4,4
"('55.87044', '37.60794')",1.6287071051600956,0,0,1,1,3,7
"('55.885323', '37.643856')",1.445570960740807,0,0,1,0,6,3
"('55.893536', '37.66477')",2.970616789601626,0,0,1,0,6,3
"('55.87233', '37.604046')",1.6021872442218699,0,0,1,1,3,7
"('55.775818', '37.616287')",3.6404201419643654,0,0,0,2,4,9
"('55.747692', '37.568929')",4.723722901148537,0,0,0,1,7,6
"('55.752766', '37.536427')",2.8552079221608633,0,0,1,0,7,4
"('55.741029', '37.576313')",5.548184255597577,0,0,0,0,8,5
"('55.756133', '37.538718')",2.6686426797467413,0,0,1,0,7,4
"('55.7755221', '37.5984969')",3.3012454731118335,0,0,0,2,5,8
"('55.7377562', '37.5711381')",5.5550519063293065,0,0,0,0,7,6
"('55.761573', '37.631469')",5.093418320152522,0,0,0,0,7,6
"('55.579215', '37.657026')",2.1828528650147048,0,0,1,0,4,2
"('55.588618', '37.642231')",1.1636499604002422,0,0,1,0,4,2
"('55.583118', '37.646768')",1.4398494929726071,0,0,1,0,4,2
"('55.57603', '37.64607')",1.7468014175354816,0,0,1,0,4,2
"('55.580788', '37.646525')",1.5014955895913453,0,0,1,0,4,2
"('55.582665', '37.644279')",1.299590408177599,0,0,1,0,4,2
"('55.575785', '37.655347')",2.247182841443773,0,0,1,0,4,2
"('55.585652', '37.641971')",1.1054101395946303,0,0,1,0,4,2
"('55.583037', '37.641962')",1.1477169795636042,0,0,1,0,4,2
"('55.589198', '37.647819')",1.5207936701621656,0,0,1,0,4,2
"('55.603721', '37.655746')",2.8036755404415112,0,0,1,1,4,3
"('55.632814', '37.612506')",4.853685814302806,0,0,0,1,2,7
"('55.591986', '37.669953')",2.950135848326441,0,0,1,0,4,2
"('55.599672', '37.664599')",2.9636547018847645,0,0,1,0,4,3
"('55.612502', '37.577364')",4.19806574331229,0,0,0,1,3,5
"('55.617281', '37.417446')",9.85198832607104,0,0,0,0,1,4
"('55.58992', '37.64843')",1.5794045774232472,0,0,1,0,4,2
"('55.668909', '37.583418')",2.4038010655875808,0,0,1,0,6,5
"('55.6592015', '37.6165642')",2.949081792967238,0,0,1,1,3,10
"('55.6002', '37.508884')",7.459212302104219,0,0,0,0,2,4
"('55.599082', '37.582861')",3.0081913348062876,0,0,0,1,3,4
"('55.599097', '37.510718')",7.32065765621573,0,0,0,0,2,4
"('55.600638', '37.581244')",3.183544527499379,0,0,0,1,3,4
"('55.59712', '37.58285')",2.908003982442015,0,0,1,0,4,2
"('55.612608', '37.518397')",7.3194111210779855,0,0,0,0,2,4
"('55.61114', '37.544818')",5.7561807741883015,0,0,0,0,4,2
"('55.598375', '37.534281')",5.85361100860074,0,0,0,0,2,4
"('55.596986', '37.541476')",5.376438421204358,0,0,0,0,2,5
"('55.567906', '37.579924')",3.445056645081176,0,0,0,2,0,5
"('55.671473', '37.592078')",1.8460932266137566,0,0,1,0,5,8
"('55.535473', '37.514967')",3.8968345405665765,0,0,0,1,1,1
"('55.631686', '37.472414')",8.289571741469299,0,0,0,0,2,4
"('55.6223609', '37.5928588')",4.527941032510925,0,0,0,1,2,7
"('55.592953', '37.548276')",4.8675750130283815,0,0,0,1,1,6
"('55.613926', '37.544342')",5.939531424806418,0,0,0,0,4,2
"('55.600435', '37.545905')",5.211666537960637,0,0,0,0,2,5
"('55.60279', '37.545069')",5.348453798735188,0,0,0,0,2,5
"('55.59752', '37.534281')",5.8316965632210485,0,0,0,0,2,4
"('55.604025', '37.539473')",5.726999828246819,0,0,0,0,2,4
"('55.609975', '37.54109')",5.902101139876978,0,0,0,0,4,2
"('55.617195', '37.53561')",6.598947358375956,0,0,0,0,3,3
"('55.603654', '37.534263')",6.0216387190669645,0,0,0,0,2,4
"('55.603883', '37.518362')",6.983222349336538,0,0,0,0,2,4
"('55.613794', '37.535682')",6.402901144309835,0,0,0,0,3,3
"('55.61895', '37.540836')",6.431716480605513,0,0,0,0,3,3
"('55.656097', '37.59639')",3.3346686016305735,0,0,0,1,3,7
"('55.601387', '37.50867')",7.501683532823908,0,0,0,0,2,4
"('55.614358', '37.549777')",5.6779017661974525,0,0,0,0,4,2
"('55.605215', '37.54215')",5.618922003197679,0,0,0,0,3,3
"('55.568349', '37.284378')",18.199027457959176,0,0,0,0,0,0
"('55.614235', '37.542454')",6.058896226132137,0,0,0,0,4,2
"('55.610173', '37.533032')",6.367883707752989,0,0,0,0,3,3
"('55.569499', '37.469764')",8.101973745043567,0,0,0,0,2,0
"('55.67406', '37.530537')",5.05083649661283,0,0,0,0,3,5
"('55.667397', '37.574436')",2.9173832195793943,0,0,1,0,6,4
"('55.646238', '37.736419')",3.1215432095845776,0,0,0,2,3,6
"('55.627426', '37.720886')",2.8212300641368953,0,0,1,0,5,4
"('55.64568', '37.739474')",3.3092492518626613,0,0,0,2,3,6
"('55.635762', '37.720861')",2.3211755356222556,0,0,1,0,5,3
"('55.647498', '37.753973')",3.4972905322465913,0,0,0,2,1,8
"('55.635741', '37.719316')",2.233094862593684,0,0,1,0,5,3
"('55.623265', '37.73173')",3.6422230448969106,0,0,0,1,3,6
"('55.62505', '37.73676')",3.7779072627762087,0,0,0,1,3,6
"('55.637932', '37.699283')",1.0269624964334252,0,0,1,0,4,5
"('55.646462', '37.750083')",3.7494216082846767,0,0,0,2,2,7
"('55.644521', '37.750828')",3.7265677327745577,0,0,0,2,0,9
"('55.646828', '37.742744')",3.5238933604642706,0,0,0,2,2,7
"('55.626406', '37.745519')",4.173700690049487,0,0,0,2,2,6
"('55.655117', '37.758186')",3.2940915074837505,0,0,0,2,2,7
"('55.652847', '37.749598')",3.789748067423345,0,0,0,2,2,7
"('55.62624', '37.747917')",4.316084634259399,0,0,0,2,2,6
"('55.63634', '37.792583')",1.7795071416558967,0,0,1,0,3,5
"('55.669939', '37.758768')",3.9397547338815655,0,0,0,1,5,4
"('55.508876', '37.343532')",14.793458917885062,0,0,0,0,0,1
"('55.632057', '37.754116')",3.970806660480836,0,0,0,2,2,6
"('55.686832', '37.724813')",5.178416028608589,0,0,0,0,7,1
"('55.67341', '37.8093')",2.699125564008457,0,0,1,0,5,3
"('55.726583', '37.622064')",4.062405731819572,0,0,0,2,5,7
"('55.716402', '37.6109705')",3.469199130456979,0,0,0,2,6,7
"('55.76952', '37.601852')",3.9990481307610883,0,0,0,2,5,9
"('55.739732', '37.605508')",5.261591974111474,0,0,0,0,7,5
"('55.740162', '37.604978')",5.305793125497795,0,0,0,0,7,6
"('55.7407249', '37.6011633')",5.553456260662132,0,0,0,0,7,6
"('55.644755', '37.392553')",7.404173732508234,0,0,0,0,2,1
"('55.6438807', '37.3571627')",8.696107560376237,0,0,0,0,2,0
"('55.644227', '37.38878')",7.563932252758822,0,0,0,0,2,1
"('55.640073', '37.365354')",8.725067012259153,0,0,0,0,2,0
"('55.6396042', '37.366312')",8.733936799387417,0,0,0,0,2,0
"('55.645151', '37.350063')",8.879152184216244,0,0,0,0,2,0
"('55.643144', '37.38499')",7.78279043923075,0,0,0,0,2,1
"('55.641796', '37.36662')",8.52211652717036,0,0,0,0,2,0
"('55.638765', '37.358049')",9.111647168934722,0,0,0,0,2,0
"('55.640909', '37.36157')",8.787892356736862,0,0,0,0,2,0
"('55.641244', '37.356172')",8.96425375108273,0,0,0,0,2,0
"('55.63976', '37.362245')",8.866391271508983,0,0,0,0,2,0
"('55.634934', '37.34576')",9.922207984936268,0,0,0,0,1,1
"('55.639638', '37.397908')",7.786721399243346,0,0,0,0,2,1
"('55.638088', '37.400121')",7.896667044408115,0,0,0,0,2,1
"('55.64566', '37.390603')",7.369438627916117,0,0,0,0,2,1
"('55.6375', '37.363564')",9.024979323271552,0,0,0,0,2,0
"('55.644704', '37.385861')",7.6041918509096185,0,0,0,0,2,1
"('55.624714', '37.376059')",9.865016550933017,0,0,0,0,1,1
"('55.643053', '37.391107')",7.614397893380151,0,0,0,0,2,1
"('55.638912', '37.36164')",8.965347136392749,0,0,0,0,2,0
"('55.641829', '37.360699')",8.738553290349943,0,0,0,0,2,0
"('55.633851', '37.41405')",8.088879292163645,0,0,0,0,2,2
"('55.645852', '37.389059')",7.395726330775733,0,0,0,0,2,1
"('55.631803', '37.41926')",8.241343136396008,0,0,0,0,2,2
"('55.646223', '37.385978')",7.453047578575307,0,0,0,0,2,1
"('55.64216', '37.368979')",8.404228746685193,0,0,0,0,2,0
"('55.644221', '37.352327')",8.862649705047467,0,0,0,0,2,0
"('55.656346', '37.424327')",5.502537522095017,0,0,0,0,2,3
"('55.642083', '37.327381')",10.121972496726784,0,0,0,0,0,2
"('55.661816', '37.419916')",4.9905182733897355,0,0,0,1,1,4
"('55.601305', '37.411346')",11.67052681475725,0,0,0,0,0,4
"('55.636605', '37.314023')",11.153102711773851,0,0,0,0,0,2
"('55.6433374', '37.3590022')",8.670891799987025,0,0,0,0,2,0
"('55.649901', '37.367419')",7.7690446770189245,0,0,0,0,2,0
"('55.647204', '37.371587')",7.850094755193728,0,0,0,0,2,0
"('55.635945', '37.344619')",9.88010500657019,0,0,0,0,1,1
"('55.648094', '37.394028')",7.0299970065175135,0,0,0,0,2,1
"('55.692648', '37.496704')",3.538712848980912,0,0,0,2,2,8
"('55.801404', '37.348976')",2.5039801613351034,0,0,1,0,1,5
"('55.626579', '37.313502')",11.960601396353766,0,0,0,0,0,2
"('55.681091', '37.459845')",2.774565405133733,0,0,1,1,2,5
"('55.66164', '37.41553')",5.100892642697619,0,0,0,0,2,3
"('55.625471', '37.342814')",10.872606632370164,0,0,0,0,0,2
