coords,eco_thermal_closest_km,eco_thermal_less500m,eco_thermal_0.5-1km,eco_thermal_1-3km,eco_thermal_3-5km,eco_thermal_5-10km,eco_thermal_10-15km
"('55.537149', '37.529322')",1.611448123271762,0,0,3,2,6,9
"('55.540939', '37.523645')",1.1496322685635894,0,0,2,3,5,10
"('55.556986', '37.510215')",1.061925692807787,0,0,1,2,7,12
"('55.523682', '37.511814')",3.1609561039491068,0,0,0,5,2,11
"('55.534688', '37.522072')",1.8483613050440675,0,0,2,3,5,9
"('55.542681', '37.485116')",2.6150113880634245,0,0,1,1,5,10
"('55.541004', '37.493225')",2.2361496725867993,0,0,1,1,6,9
"('55.54343', '37.555795')",0.5437085930979311,0,1,2,3,7,11
"('55.554975', '37.507205')",1.118730550999085,0,0,1,2,7,12
"('55.546083', '37.549184')",1.0505226160430166,0,0,3,2,8,10
"('55.54484', '37.556289')",0.648109799529867,0,1,2,3,7,11
"('55.523575', '37.508661')",3.2253412900035903,0,0,0,5,2,11
"('55.540939', '37.452678')",4.626827337498804,0,0,0,1,5,11
"('55.547276', '37.534317')",0.8050234613738069,0,1,2,3,7,10
"('55.529675', '37.512532')",2.5045850326507964,0,0,1,4,3,10
"('55.53743', '37.506332')",1.8898691272170707,0,0,1,3,4,10
"('55.564511', '37.487038')",2.74242874572264,0,0,1,0,9,14
"('55.554348', '37.512757')",0.7700334472250553,0,1,0,3,6,13
"('55.5539', '37.553981')",1.6319999645841117,0,0,3,1,9,11
"('55.541805', '37.521201')",1.064766833272847,0,0,2,3,6,9
"('55.531672', '37.50089')",2.613054036653853,0,0,1,3,4,9
"('55.487264', '37.30742')",97.86473413559261,0,0,0,0,0,0
"('55.572482', '37.567581')",3.6404886326602983,0,0,0,5,8,16
"('55.567178', '37.573312')",3.119788802827692,0,0,0,5,8,15
"('55.570793', '37.571983')",3.4960426088254066,0,0,0,5,8,15
"('55.563421', '37.573914')",2.7251918679073284,0,0,2,2,10,11
"('55.577854', '37.572002')",4.044834841759748,0,0,0,5,9,17
"('55.563905', '37.582224')",2.964582736503913,0,0,2,3,9,12
"('55.576202', '37.58024')",3.5237162874647217,0,0,0,5,9,15
"('55.517371', '37.5724')",0.4961546886055962,1,0,4,1,7,5
"('55.539023', '37.575441')",0.20565093461302655,1,1,2,3,7,10
"('55.572309', '37.569009')",3.633830506837013,0,0,0,5,8,15
"('55.559746', '37.575639')",2.373207499302981,0,0,2,3,9,12
"('55.584874', '37.464221')",4.290823479700934,0,0,0,1,7,19
"('55.745377', '37.67212')",2.990999510476785,0,0,1,4,14,26
"('55.57066', '37.564913')",3.381121511327039,0,0,0,5,8,16
"('55.5603276', '37.578958')",2.516342558829286,0,0,2,3,9,12
"('55.8149827', '37.7588599')",1.1832915807123248,0,0,3,0,14,8
"('55.811629', '37.702796')",1.1721224543939883,0,0,2,5,11,14
"('55.8124948', '37.7391276')",0.7744657169198399,0,1,2,1,14,10
"('55.816895', '37.727625')",0.2506447324222047,1,0,2,2,13,11
"('55.81708', '37.746151')",1.2074277430167597,0,0,3,0,15,8
"('55.8108798', '37.7423865')",1.0300680986375639,0,0,3,0,15,9
"('55.817192', '37.744')",1.0796456141140272,0,0,3,0,15,9
"('55.825856', '37.750191')",1.6752482656287049,0,0,3,0,13,8
"('55.8027', '37.722037')",0.6139644759414714,0,1,1,3,14,15
"('55.82958', '37.758022')",1.4799739122365112,0,0,2,1,11,9
"('55.808308', '37.72192')",0.09503321364693934,1,1,1,3,14,13
"('55.8056', '37.716145')",0.39025860884494395,1,0,2,2,15,13
"('55.8090879', '37.7232228')",0.2042404422076956,1,1,1,3,14,13
"('55.8115699', '37.7407137')",0.9034024637855022,0,1,2,1,14,10
"('55.806361', '37.728571')",0.5473118337662692,0,2,0,4,13,14
"('55.818048', '37.74628')",1.2437544540543997,0,0,3,0,15,8
"('55.808118', '37.727445')",0.43960726045302473,1,1,1,3,14,13
"('55.812509', '37.722046')",0.4105901529456541,2,0,2,2,14,12
"('55.8108078', '37.7407356')",0.9401091831883704,0,1,2,1,14,10
"('55.81917', '37.751152')",1.5073613617077595,0,0,3,0,15,7
"('55.810364', '37.717492')",0.3087723800443529,1,1,1,3,13,14
"('55.811457', '37.730832')",0.4159739267610658,1,1,2,1,16,9
"('55.81386', '37.72493')",0.17694052604953286,1,1,1,3,12,14
"('55.822321', '37.760818')",0.9203952415628632,0,1,2,1,13,9
"('55.81964', '37.724712')",0.5804384927286186,0,1,1,3,12,12
"('55.800944', '37.705338')",1.240166461916771,0,0,2,3,13,16
"('55.8118593', '37.7416374')",0.9461752535964769,0,1,2,1,14,10
"('55.8180948', '37.7528486')",1.4182164249500009,0,0,3,0,15,7
"('55.80042', '37.710049')",1.07836973330562,0,0,2,3,14,15
"('55.789269', '37.663809')",1.4243147736454238,0,0,2,4,15,17
"('55.807769', '37.764636')",1.551796295256811,0,0,3,0,14,8
"('55.81335', '37.70311')",1.2313596657226806,0,0,2,5,11,14
"('55.805187', '37.71283')",0.5791685431617961,0,1,1,4,12,17
"('55.813661', '37.740107')",0.8053490535499856,0,1,2,1,14,10
"('55.822', '37.759235')",1.0102566166519744,0,0,3,0,14,8
"('55.803085', '37.712975')",0.7317947954121129,0,1,1,4,13,16
"('55.80608', '37.712128')",0.5690784551031645,0,1,1,4,12,16
"('55.504208', '37.539043')",1.3199222060265492,0,0,1,3,2,8
"('55.503204', '37.53685')",1.4827543857733798,0,0,1,3,2,8
"('55.507973', '37.584308')",1.2110468220513992,0,0,2,2,4,7
"('55.495765', '37.52068')",79.19010769508994,0,0,0,0,0,0
"('55.568736', '37.489805')",2.890003466018926,0,0,1,0,10,14
"('55.542986', '37.47872')",2.983767032296542,0,0,1,0,6,9
"('55.475169', '37.525208')",77.62112619325977,0,0,0,0,0,0
"('55.50213', '37.32641')",12.761275999730296,0,0,0,0,0,3
"('55.569138', '37.489257')",2.945709145065875,0,0,1,1,9,15
"('55.49493', '37.515874')",79.54445923019247,0,0,0,0,0,0
"('55.504517', '37.536823')",1.4497847212579222,0,0,1,3,2,8
"('55.503971', '37.592716')",1.8138066711724472,0,0,2,2,4,7
"('55.474465', '37.527561')",77.38192697186902,0,0,0,0,0,0
"('55.504374', '37.586778')",1.6378138372347282,0,0,2,2,4,7
"('55.4772347', '37.528589')",77.45437609875945,0,0,0,0,0,0
"('55.540822', '37.45504')",4.485926491459603,0,0,0,1,5,11
"('55.548665', '37.48685')",2.3424477509765413,0,0,1,1,6,12
"('55.545375', '37.523824')",0.6558187284551437,0,1,1,4,6,11
"('55.543274', '37.459843')",4.126387957921178,0,0,0,1,5,11
"('55.540266', '37.458732')",4.278602583527672,0,0,0,1,5,11
"('55.524355', '37.51167')",3.0904307532859914,0,0,0,5,2,11
"('55.546812', '37.493955')",1.940498902153762,0,0,1,1,6,11
"('55.503721', '37.589778')",1.7653768895142061,0,0,2,2,4,7
"('55.520762', '37.351222')",11.405914828991747,0,0,0,0,0,9
"('55.508524', '37.339337')",12.369085825816178,0,0,0,0,0,4
"('55.536545', '37.506763')",1.9560231227513305,0,0,1,3,4,9
"('55.526093', '37.510745')",2.919026262829958,0,0,1,4,3,10
"('55.502666', '37.53829')",1.4149251637031945,0,0,1,3,2,8
"('55.500392', '37.521677')",2.491162133006336,0,0,1,1,4,6
"('55.500596', '37.519207')",2.6345047774529706,0,0,1,1,4,6
"('55.568471', '37.486867')",3.0108351055520512,0,0,0,1,9,14
"('55.5346857', '37.5009365')",2.3384252915588113,0,0,1,3,4,9
"('55.543582', '37.49709')",1.8837047911011662,0,0,1,2,5,12
"('55.541206', '37.48661')",2.594059262616446,0,0,1,1,5,10
"('55.532675', '37.38292')",9.123775260944324,0,0,0,0,1,10
"('55.631742', '37.666261')",1.4294316107266685,0,0,3,6,12,15
"('55.5529937', '37.464911')",3.7139783506374187,0,0,0,1,5,12
"('55.468576', '37.28851')",98.81422615531568,0,0,0,0,0,0
"('55.540475', '37.492644')",2.297997297574574,0,0,1,1,6,9
"('55.54267', '37.486618')",2.5274636212367576,0,0,1,1,5,10
"('55.544023', '37.47804')",2.991420395896104,0,0,1,0,6,9
"('55.569016', '37.48614')",3.0848691163120607,0,0,0,1,9,14
"('55.551843', '37.503953')",1.2466349651352953,0,0,1,2,7,11
"('55.54673', '37.488142')",2.2991267955640526,0,0,1,1,6,11
"('55.497587', '37.517257')",79.58234652203411,0,0,0,0,0,0
"('55.545584', '37.483211')",2.6314148193505074,0,0,1,0,6,9
"('55.569036', '37.487263')",3.0322511686539313,0,0,0,1,9,14
"('55.550132', '37.489203')",2.1795945863584505,0,0,1,1,6,12
"('55.496659', '37.515407')",79.68364944793836,0,0,0,0,0,0
"('55.507046', '37.57191')",0.7933826491030955,0,1,1,3,3,8
"('55.487463', '37.33693')",95.10126796469304,0,0,0,0,0,0
"('55.549516', '37.488475')",2.23042244657151,0,0,1,1,6,12
"('55.5124399', '37.5801894')",0.682405655230844,0,1,2,2,5,7
"('55.641295', '37.403522')",0.42049188804242776,1,0,3,1,8,17
"('55.550687', '37.509361')",0.9059578381988541,0,1,0,3,6,12
"('55.54649', '37.489385')",2.228881840802336,0,0,1,1,6,11
"('55.500524', '37.541943')",1.3140547838091647,0,0,1,3,2,8
"('55.53666', '37.507835')",1.908999779612245,0,0,1,4,3,10
"('55.549327', '37.487586')",2.288216447310729,0,0,1,1,6,12
"('55.5015837', '37.5981332')",2.2120099822933343,0,0,2,2,4,7
"('55.589204', '37.167393')",6.646203455462623,0,0,0,0,1,1
"('55.575409', '37.473249')",4.165304684749861,0,0,0,2,7,17
"('55.549144', '37.525836')",0.2725721270519405,1,0,2,2,8,11
"('55.496348', '37.517823')",79.46307038337588,0,0,0,0,0,0
"('55.820847', '37.65276')",0.9377413605059409,0,1,3,8,6,24
"('55.56971', '37.49039')",2.937547546418842,0,0,1,1,9,15
"('55.498133', '37.518012')",79.55086061719079,0,0,0,0,0,0
"('55.511705', '37.366817')",10.840186004130986,0,0,0,0,0,8
"('55.544061', '37.562335')",0.4615086600172682,1,0,3,2,8,10
"('55.50368', '37.588745')",1.7478595418201746,0,0,2,2,4,7
"('55.549501', '37.564904')",1.0838121304851565,0,0,3,2,8,11
"('55.500621', '37.576124')",1.274303155142631,0,0,2,2,4,7
"('55.5511', '37.571884')",1.3974461183073112,0,0,2,4,7,14
"('55.54857', '37.553234')",1.1036532430361958,0,0,3,2,8,10
"('55.502083', '37.57618')",1.194745227863075,0,0,2,2,4,7
"('55.510647', '37.565193')",0.5504152214892176,0,1,1,3,3,8
"('55.81028', '37.616844')",0.16100659188039074,1,0,4,3,15,20
"('55.812303', '37.599757')",0.5638285992515288,0,1,2,5,12,24
"('55.80427', '37.611088')",0.8967647922101749,0,1,4,1,16,20
"('55.821113', '37.591431')",0.558845709192587,0,1,2,4,14,21
"('55.807911', '37.612362')",0.4981230672203062,1,0,4,2,15,20
"('55.816555', '37.5934')",0.06800604609560691,1,0,3,4,13,22
"('55.79526', '37.625')",1.5200731569859922,0,0,4,1,19,20
"('55.784554', '37.630527')",0.7332554354387596,0,1,0,5,17,21
"('55.828598', '37.576405')",1.768097813965791,0,0,2,2,18,19
"('55.8053599', '37.589619')",1.264676097514925,0,0,2,3,15,22
"('55.809055', '37.589256')",0.8789516081277088,0,1,2,4,13,24
"('55.812358', '37.583634')",0.8128325581279519,0,1,1,5,12,25
"('55.808083', '37.61088')",0.5381398262121749,0,1,3,3,14,21
"('55.810436', '37.563988')",2.021145607706274,0,0,1,3,18,23
"('55.790297', '37.612847')",1.9075036211210754,0,0,2,3,18,25
"('55.812459', '37.556685')",2.40726589357098,0,0,1,3,18,22
"('55.82537', '37.59751')",1.018232069905175,0,0,3,3,14,21
"('55.815747', '37.568246')",1.6438751602281312,0,0,1,3,18,20
"('55.8025889', '37.5918333')",1.5451752416999744,0,0,2,3,15,24
"('55.812312', '37.595316')",0.4572068200674404,1,0,3,4,13,23
"('55.806747', '37.611824')",0.6273322104228517,0,1,3,3,14,22
"('55.78525', '37.560404')",3.4575078389104044,0,0,0,5,9,34
"('55.774598', '37.54595')",1.965793645141647,0,0,2,2,13,30
"('55.811103', '37.561113')",2.1709024339918495,0,0,1,3,19,22
"('55.650175', '37.615407')",1.4828606750288964,0,0,6,3,15,21
"('55.646396', '37.63615')",0.37956021390949723,1,0,6,5,13,21
"('55.648575', '37.617842')",1.4652160224382689,0,0,6,3,15,20
"('55.642499', '37.615803')",1.4248036801197512,0,0,7,3,14,21
"('55.65461', '37.625595')",1.2010391002873022,0,0,5,6,13,22
"('55.6542767', '37.6257333')",1.1726384548577828,0,0,5,6,13,22
"('55.66667', '37.621076')",0.251065440472482,2,1,6,4,14,22
"('55.6512', '37.591152')",0.707427437109339,0,1,3,5,14,23
"('55.670242', '37.610332')",0.5976898696212408,0,2,2,7,11,27
"('55.66833', '37.593964')",1.0471600153845324,0,0,5,4,17,21
"('55.67278', '37.619144')",0.4515301729965256,1,1,4,5,14,20
"('55.673103', '37.530526')",4.66121072653301,0,0,0,2,21,16
"('55.644359', '37.61503')",1.3505127238083956,0,0,7,3,14,22
"('55.63027', '37.592113')",0.8269186066157537,0,1,1,7,11,25
"('55.6324625', '37.6076822')",1.653371557408324,0,0,4,4,13,22
"('55.644359', '37.614114')",1.2929218813897971,0,0,7,3,14,22
"('55.654528', '37.607197')",0.906613210348627,0,1,4,5,14,22
"('55.662334', '37.605715')",0.10392952444395356,1,0,6,4,15,23
"('55.66119', '37.6056')",0.19503158108610624,1,0,6,4,15,22
"('55.637656', '37.617636')",1.7196592127666352,0,0,5,5,12,23
"('55.651363', '37.61062')",1.276675303573747,0,0,5,4,15,21
"('55.662217', '37.620869')",0.7304249699605152,0,3,4,6,13,22
"('55.659886', '37.615919')",0.6272828109870519,0,1,5,5,14,22
"('55.651994', '37.62828')",0.9047886635158583,0,1,5,6,12,23
"('55.6374156', '37.6102554')",1.3459288508808842,0,0,5,4,13,24
"('55.676018', '37.68418')",1.5221318618274617,0,0,2,6,13,19
"('55.668569', '37.611608')",0.4934650669720641,1,2,4,6,12,26
"('55.651134', '37.60723')",1.0961688102067715,0,0,5,4,15,21
"('55.6545218', '37.6009467')",0.9903731080018573,0,1,4,5,14,22
"('55.6546297', '37.6061646')",0.8979097939739901,0,1,4,5,14,22
"('55.64945', '37.61205')",1.2622176582085018,0,0,5,4,14,22
"('55.661623', '37.615569')",0.5361010857906573,0,2,4,6,13,23
"('55.647204', '37.618641')",1.4202628493349128,0,0,6,3,15,20
"('55.676585', '37.634092')",1.03004429348567,0,0,5,5,13,23
"('55.672783', '37.536014')",4.424492158001366,0,0,0,3,20,17
"('55.860181', '37.69905')",2.559476941401349,0,0,3,1,13,6
"('55.820566', '37.66238')",1.146344116930353,0,0,3,8,6,22
"('55.849991', '37.683237')",2.0068411574514955,0,0,4,3,11,12
"('55.8178557', '37.6333335')",0.26620221989627885,1,0,4,3,13,20
"('55.833572', '37.65577')",0.9830692316139927,0,1,2,9,5,24
"('55.825629', '37.647298')",1.1784333777801796,0,0,4,7,7,24
"('55.850574', '37.684148')",2.0283266972259844,0,0,4,3,11,12
"('55.866306', '37.708332')",3.181318291274901,0,0,0,4,10,8
"('55.850636', '37.686142')",2.125581600657375,0,0,4,3,11,12
"('55.81995', '37.651394')",0.8320701453761312,0,1,3,8,6,24
"('55.8298785', '37.6607697')",1.4488967126148868,0,0,3,8,7,22
"('55.819084', '37.653694')",0.7536734972640645,0,1,3,8,6,24
"('55.813749', '37.642096')",0.5796219916739745,0,2,1,6,10,23
"('55.810466', '37.624247')",0.5027868809882163,0,1,4,2,16,18
"('55.813314', '37.641')",0.6376394245160266,0,2,2,4,13,20
"('55.867041', '37.709596')",3.2737389237822057,0,0,0,4,9,9
"('55.863707', '37.692483')",2.1578234010758717,0,0,3,1,13,6
"('55.820642', '37.642042')",0.6713958880381884,0,1,3,7,9,23
"('55.856335', '37.69941')",2.6414540353248044,0,0,3,2,12,9
"('55.82048', '37.65002')",0.893210929394509,0,1,3,9,5,25
"('55.822478', '37.648492')",1.107066663385913,0,0,4,7,7,23
"('55.828132', '37.650226')",1.488684456346219,0,0,4,7,7,23
"('55.818301', '37.62678')",0.34461122721196014,1,1,3,4,12,20
"('55.816217', '37.626196')",0.5310605235889552,0,2,2,5,13,21
"('55.825127', '37.62865')",0.5980106159641645,0,1,4,6,9,23
"('55.8154079', '37.6271093')",0.5758887852957258,0,2,2,5,13,21
"('55.82318', '37.62634')",0.476541690916485,1,0,5,5,10,22
"('55.812388', '37.64365')",0.4648029063283074,1,0,4,3,14,19
"('55.866834', '37.702625')",2.8413640905069886,0,0,3,1,13,5
"('55.807404', '37.640594')",0.8660488693740603,0,1,3,3,16,18
"('55.813941', '37.649391')",0.19357444780812946,1,0,3,5,11,21
"('55.8072401', '37.6337868')",1.1906104586651938,0,0,5,1,17,17
"('55.829456', '37.663494')",1.5497113007786036,0,0,3,8,7,21
"('55.870713', '37.71371')",3.6207397379004878,0,0,0,4,9,8
"('55.823393', '37.619899')",0.814469697421656,0,1,3,7,9,24
"('55.694813', '37.607914')",1.38436797596901,0,0,4,3,18,20
"('55.698477', '37.625999')",1.7569922636726305,0,0,3,4,17,25
"('55.675631', '37.62872')",0.8278565394856794,0,3,2,7,11,23
"('55.680143', '37.609685')",0.5946367554451581,0,1,4,5,14,23
"('55.7094255', '37.6240153')",1.8200494963200229,0,0,2,5,16,26
"('55.6873515', '37.5984783')",1.4137671816087303,0,0,5,3,21,17
"('55.673676', '37.601106')",1.278672082446434,0,0,4,5,15,21
"('55.699943', '37.619683')",2.0110732866135574,0,0,3,4,17,25
"('55.703842', '37.615875')",1.82935367339937,0,0,3,5,16,24
"('55.698173', '37.619827')",1.826002772361684,0,0,3,4,17,25
"('55.713998', '37.619989')",2.2487528155979857,0,0,2,3,17,24
"('55.692734', '37.60302')",1.2395402996145437,0,0,3,4,18,21
"('55.708288', '37.643228')",0.6689405335283222,0,1,0,7,13,31
"('55.696487', '37.612747')",1.6160193045210043,0,0,3,4,16,25
"('55.691745', '37.610269')",1.2286337572473232,0,0,5,2,18,21
"('55.69181', '37.607978')",1.3034054909212827,0,0,4,3,17,22
"('55.699406', '37.624444')",1.8113228289057686,0,0,3,4,17,26
"('55.710732', '37.640551')",0.9742213684223316,0,1,0,7,13,31
"('55.671174', '37.62908')",0.35095307755143546,1,1,5,6,13,22
"('55.6825589', '37.6943914')",2.299722550156626,0,0,1,7,10,24
"('55.870693', '37.550846')",3.447475747496153,0,0,0,3,13,14
"('55.861272', '37.541234')",3.545785182616566,0,0,0,3,14,15
"('55.855328', '37.557469')",2.4187482050332725,0,0,1,2,16,14
"('55.861524', '37.5425')",3.477076374310033,0,0,0,3,14,15
"('55.860077', '37.54629')",3.2055986180645246,0,0,0,3,14,15
"('55.86405', '37.554447')",2.8764865601966694,0,0,1,2,15,15
"('55.860944', '37.567212')",2.0066131653932877,0,0,1,0,18,12
"('55.860666', '37.545276')",3.2838566433416667,0,0,0,3,14,15
"('55.855399', '37.559373')",2.301288352594094,0,0,1,1,17,13
"('55.862378', '37.542689')",3.4933786960454523,0,0,0,3,14,15
"('55.858867', '37.561284')",2.2653703133050214,0,0,1,0,18,12
"('55.866687', '37.557107')",2.873470914909925,0,0,1,2,15,14
"('55.860994', '37.542051')",3.4883054080356457,0,0,0,3,14,15
"('55.855043', '37.557013')",2.4437489045116476,0,0,1,2,16,15
"('55.903014', '37.550801')",2.9108131402609807,0,0,1,0,10,14
"('55.859968', '37.566683')",1.9905466650401977,0,0,1,0,18,12
"('55.871284', '37.497548')",1.2181562321677282,0,0,2,1,12,13
"('55.720864', '37.725604')",1.5249804075179187,0,0,2,2,17,19
"('55.879455', '37.53657')",2.35356558055473,0,0,1,2,14,13
"('55.865389', '37.558122')",2.743758716982704,0,0,1,2,15,14
"('55.850368', '37.578181')",1.1396952654493788,0,0,1,4,12,19
"('55.867578', '37.562794')",2.640431170018106,0,0,1,1,15,14
"('55.86204', '37.555695')",2.7142574396762726,0,0,1,2,15,15
"('55.867714', '37.552742')",3.165855811546962,0,0,0,3,14,15
"('55.85726', '37.563323')",2.094718184950233,0,0,1,1,16,14
"('55.866718', '37.553918')",3.045642899832173,0,0,0,3,14,15
"('55.86995', '37.549004')",3.496635254360628,0,0,0,3,13,15
"('55.857458', '37.567958')",1.8199253039176957,0,0,1,1,16,14
"('55.86132', '37.565414')",2.126045447991428,0,0,1,0,18,12
"('55.857656', '37.569233')",1.7500856227634694,0,0,1,1,17,13
"('55.79942', '37.539223')",2.8918208087145794,0,0,1,2,17,23
"('55.821371', '37.587946')",0.6881793551038476,0,1,2,4,14,22
"('55.833182', '37.531595')",4.360263065589294,0,0,0,3,18,14
"('55.882064', '37.502858')",1.261974999270623,0,0,2,0,14,11
"('55.733364', '37.828938')",1.4112009560458438,0,0,2,2,6,14
"('55.736726', '37.824508')",1.1674485565517603,0,0,1,3,6,15
"('55.710749', '37.794607')",3.9310089788507683,0,0,0,5,8,19
"('55.732525', '37.83344')",1.466962754438443,0,0,2,2,6,14
"('55.724794', '37.798044')",3.248983081911385,0,0,0,5,5,23
"('55.720023', '37.823951')",2.608901252839633,0,0,4,0,9,13
"('55.7255', '37.810818')",2.683529435720494,0,0,1,3,5,19
"('55.719395', '37.820908')",2.761198219923036,0,0,2,2,7,18
"('55.715023', '37.802277')",3.625857602493347,0,0,0,5,7,18
"('55.71453', '37.777515')",3.667378212811967,0,0,0,3,10,19
"('55.75103', '37.80868')",1.7054205463700858,0,0,1,1,9,14
"('55.81247', '37.80198')",1.9023561266985698,0,0,1,1,7,14
"('55.75311', '37.78632')",3.114134381578355,0,0,0,3,8,23
"('55.721817', '37.818886')",2.8258749844463176,0,0,2,2,7,17
"('55.720322', '37.795987')",3.7046422507698917,0,0,0,5,7,19
"('55.7174103', '37.7821036')",3.7310736781857607,0,0,0,3,10,19
"('55.718628', '37.78827')",4.010051836215238,0,0,0,4,9,20
"('55.722477', '37.781641')",3.45486520242262,0,0,0,3,9,20
"('55.7186429', '37.8263095')",2.4139252872351737,0,0,3,1,8,13
"('55.710094', '37.78995')",4.199576318577517,0,0,0,4,9,18
"('55.68399', '37.853147')",2.0246272008493826,0,0,1,3,5,13
"('55.678566', '37.723988')",2.894516793718596,0,0,1,2,16,12
"('55.7156246', '37.7789853')",3.671583249599626,0,0,0,2,11,18
"('55.701465', '37.84004')",0.9591391156525109,0,1,1,3,6,15
"('55.697194', '37.79004')",4.136820133239404,0,0,0,2,11,16
"('55.74855', '37.810055')",1.5453830459609337,0,0,1,2,8,17
"('55.700212', '37.810809')",2.802290282885088,0,0,1,2,10,15
"('55.740466', '37.767214')",2.392048711794956,0,0,2,2,11,19
"('55.757004', '37.827526')",1.3257805173529884,0,0,1,1,10,11
"('55.715829', '37.82926')",2.140577000834605,0,0,3,1,8,13
"('55.686888', '37.920296')",0.5540723780510842,0,1,0,4,2,9
"('55.733032', '37.825504')",1.5105466199992184,0,0,1,3,5,17
"('55.714185', '37.799386')",3.7591762966747884,0,0,0,5,8,17
"('55.714474', '37.78728')",4.178363033512611,0,0,0,4,9,18
"('55.722091', '37.825919')",2.5979421093768185,0,0,4,0,9,13
"('55.720905', '37.808132')",3.2072962721571945,0,0,0,4,7,18
"('55.711666', '37.79108')",4.17113672361972,0,0,0,4,9,18
"('55.718086', '37.819514')",2.7984336787577684,0,0,2,2,7,18
"('55.71676', '37.830185')",2.114229869166075,0,0,3,1,8,13
"('55.759932', '37.694037')",2.525619466626626,0,0,1,3,15,23
"('55.750216', '37.817951')",1.1342581025555367,0,0,1,1,10,12
"('55.756888', '37.777535')",2.9017903942104497,0,0,1,2,10,22
"('55.85224', '37.610996')",0.9517966355485644,0,1,1,7,8,19
"('55.85061', '37.5769')",1.211874960899065,0,0,1,4,12,19
"('55.840218', '37.5849927')",1.5613842055705436,0,0,2,3,14,20
"('55.861135', '37.590973')",0.9719635074045425,0,1,0,6,9,19
"('55.841362', '37.580903')",1.584185247191086,0,0,2,3,16,16
"('55.848957', '37.587246')",0.6905930201003243,0,1,0,8,9,21
"('55.863304', '37.59109')",1.2018398158236598,0,0,1,4,10,17
"('55.867445', '37.587533')",1.706693439816453,0,0,1,3,11,16
"('55.840029', '37.582586')",1.6507795797233555,0,0,2,3,16,17
"('55.864292', '37.586914')",1.391605730235246,0,0,1,4,10,17
"('55.843555', '37.579672')",1.447436949350503,0,0,1,4,15,17
"('55.845926', '37.576151')",1.453900345125511,0,0,1,4,13,19
"('55.86644', '37.596363')",1.5140157606946139,0,0,1,4,9,18
"('55.823646', '37.571219')",1.6649892786703422,0,0,1,3,18,19
"('55.868187', '37.606119')",1.8254737203244233,0,0,1,4,11,15
"('55.850914', '37.617536')",1.3759350129113792,0,0,5,4,11,16
"('55.854133', '37.61865')",1.4359251043648005,0,0,5,3,12,14
"('55.85533', '37.616856')",1.3451325283390028,0,0,5,3,12,14
"('55.86968', '37.599545')",1.8887224780910736,0,0,1,4,9,17
"('55.8648791', '37.5977803')",1.3453824782518324,0,0,1,4,11,16
"('55.8468', '37.575792')",1.424531842501042,0,0,1,4,12,20
"('55.7178871', '37.4265829')",0.4762472030062016,1,0,4,2,13,16
"('55.864017', '37.589684')",1.3021914630917628,0,0,1,4,10,17
"('55.871531', '37.60796')",2.2146381316478636,0,0,1,4,11,15
"('55.865889', '37.589042')",1.51335735464049,0,0,1,4,10,17
"('55.86446', '37.599094')",1.3091897266232684,0,0,1,4,11,16
"('55.721802', '37.848565')",1.4350195056714108,0,0,4,0,9,8
"('55.771732', '37.619099')",2.110163862362844,0,0,1,2,17,26
"('55.94088', '37.5291857')",5.490406129529137,0,0,0,0,2,15
"('55.9405669', '37.5258694')",5.4094749669298094,0,0,0,0,2,15
"('55.9422093', '37.5297096')",5.641927688059344,0,0,0,0,2,14
"('55.834714', '37.523519')",4.323062269069173,0,0,0,3,18,14
"('55.859499', '37.474974')",0.760674077357626,0,1,1,5,8,21
"('55.849559', '37.487299')",1.8022567918336878,0,0,1,4,11,18
"('55.838096', '37.514401')",3.6818492258858853,0,0,0,1,20,12
"('55.850075', '37.478693')",1.7105492441657204,0,0,2,4,10,18
"('55.8367599', '37.5183955')",3.9478977952780254,0,0,0,1,20,12
"('55.852521', '37.520402')",2.8430560568820953,0,0,1,2,17,14
"('55.830437', '37.486687')",3.905272577111505,0,0,0,5,13,17
"('55.850437', '37.5011')",2.079301245883044,0,0,1,4,15,16
"('55.84073', '37.494404')",2.866363968374492,0,0,1,3,15,17
"('55.851591', '37.518389')",2.7904778767334477,0,0,1,2,17,14
"('55.857978', '37.471237')",1.0321181177675613,0,0,2,5,8,20
"('55.857301', '37.475576')",0.9648300162622762,0,1,1,5,8,21
"('55.830857', '37.492922')",3.9130394856157387,0,0,0,4,14,17
"('55.857716', '37.506874')",1.8213120060151877,0,0,1,2,16,15
"('55.840912', '37.495231')",2.862476559807183,0,0,1,3,16,16
"('55.85078', '37.50035')",2.02061706740249,0,0,1,4,15,16
"('55.834896', '37.487344')",3.415452300170077,0,0,0,5,13,17
"('55.858124', '37.47192')",0.9936678790707053,0,1,1,6,7,21
"('55.857841', '37.469099')",1.129206828499794,0,0,2,5,8,20
"('55.854436', '37.496129')",1.5364126816548045,0,0,1,4,12,18
"('55.849615', '37.488682')",1.8166368201070044,0,0,1,5,10,19
"('55.851616', '37.520994')",2.926633968974826,0,0,1,2,17,14
"('55.864778', '37.466188')",0.9404995202981364,0,1,1,5,8,19
"('55.817461', '37.525594')",4.1007264478784595,0,0,0,2,22,14
"('55.84132', '37.515972')",3.453004784397146,0,0,0,1,20,11
"('55.84769', '37.514187')",2.8551253547844455,0,0,1,0,20,11
"('55.852707', '37.513584')",2.4715886251531045,0,0,1,1,18,13
