coords,edu_school_closest_km,edu_school_less500m,edu_school_0.5-1km,edu_school_1-3km,edu_school_3-5km,edu_school_5-10km,edu_school_10-15km
"('55.5677654', '37.4416839')",1.8397537212866173,0,0,3,3,54,74
"('55.841561', '37.495863')",0.22878937472850072,2,1,22,33,117,116
"('55.718633', '37.623214')",0.36839278565706735,3,4,17,34,147,190
"('55.694784', '37.581559')",0.10454840986701339,1,4,20,39,131,182
"('55.726894', '37.574345')",0.403309396349863,2,3,17,38,145,180
"('55.733917', '37.614754')",0.13075665524063207,2,1,24,36,150,191
"('55.757214', '37.64955')",0.15976848495932355,1,4,27,33,132,200
"('55.588949', '37.60081')",0.2734170098809703,2,2,14,19,90,95
"('55.637393', '37.600388')",0.21276551623495138,2,3,17,28,122,126
"('55.898916', '37.379034')",0.09413407554103038,2,1,3,6,40,84
"('55.745083', '37.49736')",0.2300137704232002,2,0,13,31,132,160
"('55.834421', '37.659596')",0.1182409650953325,2,1,12,28,131,112
"('55.790975', '37.634182')",0.260507776959535,2,1,21,43,132,191
"('55.795423', '37.495276')",0.4384127761275811,1,5,24,26,137,148
"('55.763265', '37.514994')",0.1269983677250943,1,2,17,32,136,167
"('55.7407086', '37.6011763')",0.14566593641477918,2,3,22,36,153,186
"('55.763072', '37.58968')",0.22942473519302697,3,7,25,33,144,205
"('55.760915', '37.554861')",0.0388674321321947,1,2,23,33,148,182
"('55.7182621', '37.4771618')",0.4763273762029504,1,5,14,27,122,138
"('55.807435', '37.448662')",0.19742947764626287,1,2,16,32,102,129
"('55.7753205', '37.6300127')",0.21362439100502376,2,3,25,40,125,213
"('55.681183', '37.495808')",0.2602149324778986,1,2,27,27,110,139
"('55.5213774', '37.3160383')",1.859092042071832,0,0,1,1,7,22
"('55.77396', '37.586293')",0.11991227958535074,4,2,27,35,139,203
"('55.720798', '37.444099')",0.35374845405158656,2,3,15,17,105,144
"('55.739352', '37.602606')",0.2146066963012259,1,4,22,37,154,189
"('55.76725', '37.584476')",0.04468546773054369,2,5,23,34,145,203
"('55.78564', '37.633266')",0.04943380355236787,2,0,22,43,127,201
"('55.789289', '37.491126')",0.09861207623909285,1,1,22,25,132,155
"('55.77854', '37.662956')",0.2301394529013291,2,2,22,42,124,194
"('55.643769', '37.496075')",0.2595362119410028,2,1,23,26,96,123
"('55.795853', '37.485538')",0.11900307377453094,2,0,27,20,139,140
"('55.893369', '37.602058')",0.08331501674974341,2,4,16,27,63,120
"('55.771545', '37.568956')",0.3432853628605847,1,3,24,35,151,185
"('55.886782', '37.38988')",0.10771645953470523,2,2,3,14,43,85
"('55.841278', '37.494442')",0.2171784214405019,2,1,24,31,118,114
