coords,edu_school_closest_km,edu_school_less500m,edu_school_0.5-1km,edu_school_1-3km,edu_school_3-5km,edu_school_5-10km,edu_school_10-15km
"('55.811594', '37.708203')",0.1799553510083567,2,2,13,27,116,136
"('55.814598', '37.705158')",0.22692954333146975,2,1,12,26,117,134
"('55.818948', '37.702706')",0.15949748638639785,2,1,13,26,117,130
"('55.759693', '37.738503')",0.24138066681434955,1,0,13,32,110,155
"('55.79343', '37.72872')",0.053968372569357805,2,2,17,23,121,129
"('55.809525', '37.789734')",0.1459769583178465,4,3,13,14,78,116
"('55.792903', '37.802877')",0.07635393340968272,3,2,15,21,67,124
"('55.792078', '37.770061')",0.12393601706869116,2,0,14,26,84,128
"('55.764171', '37.739716')",0.11771091336499859,1,0,14,33,109,149
"('55.859478', '37.482124')",0.06573803926193782,3,3,15,28,103,103
"('55.862882', '37.474886')",0.049667360264223095,2,2,17,23,101,91
"('55.86929', '37.479736')",0.14510558763173387,1,3,12,26,99,90
"('55.863439', '37.506586')",0.20648924620949438,4,4,16,31,111,94
"('55.872567', '37.462586')",0.17300717813484648,1,0,14,18,98,79
"('55.858897', '37.500118')",0.08798354986542291,3,3,19,28,113,100
"('55.874733', '37.465225')",0.12113860209587844,1,1,12,19,96,78
"('55.85967', '37.499839')",0.1056519263329698,3,3,19,28,113,98
"('55.86795', '37.463116')",0.12368628160275957,1,0,16,17,104,76
"('55.8583244', '37.4800918')",0.07632224792698492,2,1,17,25,106,101
"('55.867536', '37.488332')",0.07546246531690971,2,3,14,29,99,95
"('55.849054', '37.486059')",0.07339195589313288,2,0,23,25,115,106
"('55.866325', '37.491943')",0.09601169261337163,3,2,14,29,101,98
"('55.861231', '37.495024')",0.14510926479172853,3,3,15,31,106,100
"('55.868359', '37.463673')",0.13216713122562643,1,0,17,16,105,75
"('55.868662', '37.456755')",0.5229947392236205,0,2,13,20,97,81
"('55.85463', '37.472702')",0.1529409849889057,1,2,18,22,105,102
"('55.868395', '37.462514')",0.18346688584254275,1,0,15,18,103,76
"('55.856391', '37.4781')",0.27539519556779063,1,3,18,22,109,101
"('55.863373', '37.492922')",0.14418321225845762,2,3,15,30,105,98
"('55.863828', '37.518219')",0.18083319954670043,2,5,21,28,110,103
"('55.865152', '37.472081')",0.2295488908877789,1,3,15,21,101,87
"('55.868794', '37.494665')",0.13567365415735258,3,0,16,25,105,92
"('55.84979', '37.476196')",0.17490395919566676,1,2,17,26,110,106
"('55.866809', '37.488655')",0.059120781360640876,2,3,14,30,98,97
"('55.84776', '37.487602')",0.07352686819257111,2,1,22,27,115,109
"('55.862317', '37.490897')",0.13165355220039432,2,4,14,31,103,100
"('55.870789', '37.462334')",0.23156215940094554,1,0,15,17,101,76
"('55.869117', '37.473959')",0.1614404854312035,2,2,15,21,102,84
"('55.856598', '37.470078')",0.17270987910296623,1,1,19,20,105,96
"('55.781722', '37.584119')",0.3054757488055139,2,6,20,44,134,198
"('55.770811', '37.591189')",0.18531100020776456,3,5,26,33,138,211
"('55.778628', '37.589419')",0.12251744510980377,1,7,20,41,133,206
"('55.80774', '37.508812')",0.227665615775985,3,4,23,31,136,140
"('55.773598', '37.590508')",0.055139151350518736,4,3,28,33,141,203
"('55.769388', '37.566755')",0.2456409178906059,1,3,24,35,151,185
"('55.776791', '37.586491')",0.30409623026591664,3,3,26,35,139,201
"('55.779084', '37.571498')",0.1741263950768008,1,4,22,38,150,182
"('55.777353', '37.576735')",0.04898534560486857,2,4,24,39,143,188
"('55.77382', '37.580086')",0.08621155931229572,4,2,27,35,143,190
"('55.771555', '37.571318')",0.21682137885430966,1,3,24,36,150,186
"('55.772512', '37.585547')",0.050904485138968905,4,2,29,33,143,200
"('55.772421', '37.581173')",0.04773578919318851,3,2,28,33,144,193
"('55.773165', '37.583463')",0.021734375532083187,4,1,28,33,144,194
"('55.780199', '37.580659')",0.3126208580516209,3,4,23,42,137,193
"('55.776112', '37.588485')",0.18270545199967464,4,4,24,36,136,205
"('55.776856', '37.574911')",0.12965483448743373,2,4,25,36,147,185
"('55.774467', '37.581613')",0.10550472595242716,4,2,27,35,142,190
"('55.779196', '37.574318')",0.18641171121300049,2,5,21,41,142,191
"('55.774391', '37.589159')",0.076790694036811,4,3,25,36,138,204
"('55.7865312', '37.5863805')",0.26683598951851634,2,5,20,44,129,199
"('55.777753', '37.580409')",0.23546807090778474,3,3,26,37,144,187
"('55.781626', '37.580894')",0.21426141031171805,3,4,23,40,136,194
"('55.7711551', '37.5722103')",0.1453201513323065,1,3,26,34,151,185
"('55.771828', '37.586384')",0.042046564515092165,4,2,28,31,143,201
"('55.77314', '37.578712')",0.04055465734558774,3,2,27,35,144,190
"('55.780162', '37.578855')",0.26666757221427984,2,5,22,41,139,193
"('55.780785', '37.57977')",0.22716180221180335,2,5,22,42,136,195
"('55.775135', '37.591081')",0.05080849448359341,3,4,23,39,133,209
"('55.773196', '37.591243')",0.10417477819808094,4,2,29,30,143,202
"('55.783939', '37.587371')",0.4101322974444393,2,4,21,43,128,203
"('55.773537', '37.58013')",0.06816777419580232,3,2,27,35,142,191
"('55.769271', '37.56582')",0.27702188514299836,1,3,21,38,148,188
"('55.78118', '37.578532')",0.15234141419623878,2,4,23,40,138,194
"('55.779906', '37.581277')",0.35817787454583355,3,5,23,42,134,197
"('55.78089', '37.580982')",0.26935123791596255,3,4,23,42,134,196
"('55.775692', '37.590731')",0.09300351130259979,2,5,21,40,131,211
"('55.773768', '37.592482')",0.10456598243142283,3,3,26,33,140,204
"('55.778644', '37.582709')",0.32999981681887114,2,4,24,40,137,197
"('55.769995', '37.572046')",0.11899367179970523,1,4,24,35,150,188
"('55.76998', '37.586723')",0.031883203497568874,3,2,28,30,147,199
"('55.771646', '37.584469')",0.04190007480549156,4,2,28,32,143,200
"('55.7803455', '37.5796864')",0.2665927375214922,2,5,22,41,137,195
"('55.78583', '37.573853')",0.10940014114992741,3,2,25,40,140,182
"('55.768446', '37.571938')",0.1382875500392245,1,3,25,34,151,187
"('55.805678', '37.504814')",0.1330168316255241,4,3,27,27,141,135
"('55.64191', '37.509075')",0.3270177576876573,1,3,18,33,92,133
"('55.64005', '37.516431')",0.152372148685501,1,4,16,38,87,143
"('55.642403', '37.519127')",0.1583570581673167,1,3,17,37,90,149
"('55.653538', '37.52261')",0.0694727901424672,2,2,25,34,101,152
"('55.63941', '37.528765')",0.08512692315851147,2,3,15,42,88,149
"('55.6418045', '37.5346585')",0.17519420281644477,2,2,16,46,84,162
"('55.649063', '37.533957')",0.23138329071587455,2,1,25,41,95,161
"('55.634207', '37.512667')",0.2102710914030222,2,2,20,27,96,122
"('55.645878', '37.526528')",0.21317983475657884,2,3,22,37,93,157
"('55.642606', '37.547405')",0.04712871138015046,1,1,20,40,96,154
"('55.649362', '37.497773')",0.24949609331484718,1,5,22,29,97,127
"('55.635716', '37.534352')",0.11040763125281185,1,2,15,41,85,150
"('55.646045', '37.525522')",0.1536155300485698,1,4,21,38,93,156
"('55.633033', '37.517823')",0.320835609760049,3,1,20,28,96,129
"('55.634629', '37.537137')",0.04644076212958064,1,2,15,40,88,147
"('55.646868', '37.526555')",0.14921977599100883,1,4,21,39,92,158
"('55.6301641', '37.5145688')",0.1354490990847487,2,1,19,26,97,118
"('55.615751', '37.493937')",0.05821296836369372,1,2,12,17,105,85
"('55.651074', '37.515632')",0.19276160596233088,1,4,24,32,97,141
"('55.648621', '37.522432')",0.12830704947530733,1,3,21,37,97,152
"('55.645395', '37.522863')",0.1926356732217925,2,3,20,36,93,153
"('55.646604', '37.519413')",0.09166278964869008,2,3,20,37,94,150
"('55.631066', '37.509487')",0.12046072434659522,1,2,19,25,98,113
"('55.647087', '37.503073')",0.26181604105904027,2,0,25,29,98,131
"('55.648275', '37.520509')",0.11458663018923834,2,2,22,34,100,145
"('55.63755', '37.528972')",0.1114392873339076,1,3,13,42,84,150
"('55.643266', '37.502004')",0.07278479288454164,2,1,21,30,94,127
"('55.649408', '37.526133')",0.07957722026964935,2,2,22,38,95,159
"('55.641388', '37.545715')",0.06918108180395705,1,1,18,44,92,156
"('55.679817', '37.515057')",0.09100929445647321,2,2,26,31,112,154
"('55.670041', '37.498977')",0.39960487462477984,2,2,28,28,103,149
"('55.663004', '37.475881')",0.4245366716884371,1,6,13,38,87,133
"('55.604336', '37.534794')",0.1801483122949502,4,3,9,24,94,103
"('55.661013', '37.522351')",0.2134010274852746,1,3,25,35,104,159
"('55.686493', '37.56599')",0.14315622502248204,2,3,25,37,128,176
"('55.634578', '37.51591')",0.3194164919381269,2,2,21,28,96,126
"('55.658144', '37.485403')",0.08083473054995573,3,1,23,27,97,124
"('55.67484', '37.506683')",0.17191472815939668,1,3,29,28,109,154
"('55.655712', '37.58005')",0.04320889504910424,2,6,25,32,118,150
"('55.688974', '37.556415')",0.2717529112531486,1,7,20,40,125,176
"('55.643033', '37.475468')",0.12189234897798115,3,0,18,22,96,103
"('55.663603', '37.488772')",0.07418121434511296,1,2,24,30,98,134
"('55.67981', '37.5432')",0.11673500228275466,4,4,25,33,123,166
"('55.668056', '37.506738')",0.09463795753836975,1,4,26,32,102,156
"('55.658236', '37.564644')",0.232762947505128,1,4,29,34,112,161
"('55.643612', '37.507906')",0.2604004061573696,1,2,19,31,95,129
"('55.653715', '37.5300411')",0.17130792358254232,2,3,24,36,103,155
"('55.64192', '37.523456')",0.2675903966994358,3,1,19,37,91,147
"('55.644506', '37.534299')",0.05672533355684154,1,2,19,47,84,169
"('55.6538', '37.514057')",0.3822364973220479,2,3,26,33,100,142
"('55.635963', '37.539303')",0.10862042910923801,1,1,14,43,83,155
"('55.6466', '37.532852')",0.1713124119829406,2,3,20,44,88,166
"('55.63735', '37.532017')",0.04251986151728067,1,3,14,41,86,147
"('55.646863', '37.534613')",0.10093810950721116,1,3,21,46,85,170
"('55.636001', '37.541278')",0.12780537529044758,2,0,16,42,85,154
"('55.648153', '37.537191')",0.05771824601477449,1,2,22,46,88,167
"('55.637897', '37.540802')",0.063138359257119,2,0,16,44,85,155
"('55.640495', '37.54685')",0.11858795542278787,1,1,17,44,91,155
"('55.643937', '37.528855')",0.19088720464420153,3,1,21,38,92,155
"('55.638333', '37.530939')",0.13841581389335783,2,2,15,41,88,147
"('55.640316', '37.530857')",0.10616130341890345,2,2,16,43,87,153
"('55.642718', '37.503396')",0.007480367954558729,2,0,22,30,93,129
"('55.667823', '37.548258')",0.11001119048733758,2,5,26,37,105,176
"('55.668442', '37.559856')",0.24699121510350072,2,6,25,36,113,173
"('55.671102', '37.540012')",0.09338261993243364,2,8,23,42,105,178
"('55.626213', '37.510152')",0.1471559353678968,1,2,17,20,104,102
"('55.665101', '37.552462')",0.13240034849540014,3,3,27,35,108,174
"('55.645634', '37.542763')",0.1837932821621386,1,1,20,45,88,166
"('55.644313', '37.537281')",0.15144341914318477,1,2,18,47,84,168
"('55.639176', '37.513008')",0.0925682598200206,1,3,16,35,90,135
"('55.636497', '37.5146')",0.1540564735376389,2,2,19,32,94,127
"('55.6266371', '37.5219362')",0.043709639250679604,1,1,19,25,102,116
"('55.66013', '37.491413')",0.0942771155685485,2,1,24,29,100,131
"('55.634014', '37.524219')",0.2603644191467062,2,2,18,35,90,141
"('55.646101', '37.537137')",0.07240694246644516,1,3,20,46,88,167
"('55.632499', '37.523016')",0.15095426305784004,2,2,18,33,91,136
"('55.640914', '37.526834')",0.14011012384368146,3,1,18,40,90,149
"('55.875218', '37.545276')",0.06755734979847798,3,3,22,29,96,109
"('55.882671', '37.562712')",0.06463893383968883,3,3,23,27,86,115
"('55.880226', '37.55044')",0.06779027266569208,2,7,18,31,88,112
"('55.873257', '37.561096')",0.20481453846736739,4,4,20,33,91,119
"('55.892242', '37.574245')",0.16890031011212978,2,3,20,18,83,108
"('55.680174', '37.666557')",0.20130400161973683,3,2,8,28,135,150
"('55.871326', '37.59044')",0.0625990176679532,1,3,23,31,94,123
"('55.889286', '37.5596')",0.12536485143517723,3,1,25,16,93,100
"('55.883145', '37.561275')",0.11100044500629891,3,3,23,26,87,113
"('55.879728', '37.560332')",0.1120926704887894,4,3,23,28,88,115
"('55.874714', '37.589016')",0.16906735061045583,2,2,25,28,93,123
"('55.878324', '37.55999')",0.07806916842940853,5,4,22,28,92,111
"('55.810654', '37.56483')",0.3046692158807717,3,3,23,34,153,136
"('55.78552', '37.60524')",0.10093495622511948,3,2,23,40,129,205
"('55.863621', '37.559388')",0.14269493947316916,4,0,26,32,100,124
"('55.858923', '37.563063')",0.17087456998213,2,2,23,33,105,124
"('55.808902', '37.568156')",0.3960906228364963,2,4,21,36,150,145
"('55.884161', '37.563449')",0.13179693343947685,2,3,23,26,87,114
"('55.87183', '37.56465')",0.09047472171736505,2,5,21,35,91,123
"('55.87358', '37.588467')",0.04259201738588074,2,2,25,27,95,123
"('55.889282', '37.55843')",0.19016899614494273,3,1,25,17,92,99
"('55.881066', '37.564509')",0.12921312435179744,2,5,22,28,86,117
"('55.873222', '37.59009')",0.036969671373791604,1,3,23,29,93,123
"('55.874799', '37.548995')",0.17309106311807368,4,4,18,34,91,114
"('55.878526', '37.563889')",0.07385214112365461,3,4,23,28,90,114
"('55.8775119', '37.5388126')",0.1942499815698872,2,5,19,31,91,112
"('55.874065', '37.591682')",0.16823780889239376,1,3,25,27,92,123
"('55.884737', '37.594144')",0.05062219987900291,1,4,23,23,78,123
"('55.880783', '37.562901')",0.09557490981274012,4,3,24,26,88,115
"('55.8798721', '37.5810486')",0.08368411464633478,1,2,25,22,92,116
"('55.89287', '37.561527')",0.10893791546890723,1,3,20,18,84,101
"('55.889137', '37.559021')",0.16470799186762725,3,1,25,17,92,101
"('55.871602', '37.560664')",0.08630180128146828,4,1,24,30,96,117
"('55.87622', '37.505287')",0.24475029353056982,1,2,18,23,99,90
"('55.85721', '37.439607')",0.12154648445077933,2,2,12,22,93,89
"('55.891996', '37.600388')",0.09616565463744182,2,5,17,25,68,120
"('55.895858', '37.631658')",0.07426050836392352,1,1,16,20,62,115
"('55.878131', '37.610755')",0.4303116549813788,1,3,22,24,83,126
"('55.869915', '37.613728')",0.08093700180786957,2,1,21,30,86,129
"('55.882308', '37.635251')",0.46133046504843456,1,2,19,22,72,124
"('55.869656', '37.61001')",0.045941146133479965,2,2,21,32,89,128
"('55.878723', '37.622353')",0.141776523799338,2,2,22,23,83,121
"('55.89346', '37.653891')",0.17948533614791165,2,1,15,18,62,109
"('55.9347854', '37.5543862')",0.08750247919532946,1,1,1,9,46,72
"('55.8534582', '37.6434107')",0.06981351229249452,1,1,18,26,114,115
"('55.863014', '37.67102')",0.18479724039023507,1,3,15,17,96,121
"('55.8592', '37.67431')",0.21284932482618094,1,2,16,18,99,119
"('55.880974', '37.641061')",0.07061803393780412,2,1,19,21,73,121
"('55.836838', '37.667564')",0.20934177684280744,2,0,14,25,126,113
"('55.886357', '37.644863')",0.3776317571848515,1,1,19,17,72,112
"('55.875925', '37.603424')",0.40513209658638694,1,3,24,25,87,127
"('55.883468', '37.635603')",0.46301751928241525,1,2,19,22,71,122
"('55.868789', '37.614446')",0.1218008673384285,2,2,18,33,87,128
"('55.892223', '37.65523')",0.09064116145196552,2,2,14,19,62,112
"('55.89821', '37.61854')",0.11661748149108443,2,2,15,21,64,108
"('55.87044', '37.60794')",0.041025618701371905,2,2,23,29,90,126
"('55.885323', '37.643856')",0.3425765863901277,1,2,19,17,75,111
"('55.893536', '37.66477')",0.21900322081987497,3,0,15,13,63,104
"('55.87233', '37.604046')",0.14448218374071128,2,1,26,24,94,123
"('55.775818', '37.616287')",0.3602440152062719,2,2,27,41,124,215
"('55.747692', '37.568929')",0.033011544484819653,2,2,20,35,149,186
"('55.752766', '37.536427')",0.5765732404688485,0,4,16,35,151,164
"('55.741029', '37.576313')",0.059896467605817294,2,2,22,33,151,183
"('55.756133', '37.538718')",0.2203627710049708,2,1,18,37,147,168
"('55.7755221', '37.5984969')",0.12876431905907443,2,4,27,34,134,208
"('55.7377562', '37.5711381')",0.04933993725823634,2,2,21,32,154,178
"('55.761573', '37.631469')",0.29483365126628575,2,2,31,35,138,210
"('55.579215', '37.657026')",0.23037580648961553,3,1,6,20,68,94
"('55.588618', '37.642231')",0.09505303153744554,2,0,15,15,85,90
"('55.583118', '37.646768')",0.1386778821904586,2,0,12,15,80,85
"('55.57603', '37.64607')",0.08289571670067529,1,1,9,15,75,86
"('55.580788', '37.646525')",0.13969579344180352,2,0,12,15,78,86
"('55.582665', '37.644279')",0.07846490660373731,2,0,12,14,83,82
"('55.575785', '37.655347')",0.15082003481892037,1,3,4,20,66,94
"('55.585652', '37.641971')",0.06471452061833628,2,0,13,15,85,85
"('55.583037', '37.641962')",0.0663327628954931,2,0,13,14,84,84
"('55.589198', '37.647819')",0.15487699808451863,2,1,11,19,82,95
"('55.603721', '37.655746')",0.25144279106950707,1,1,11,24,87,110
"('55.632814', '37.612506')",0.35949935129681765,3,1,20,23,127,111
"('55.591986', '37.669953')",0.024761056054582006,2,1,10,20,77,96
"('55.599672', '37.664599')",0.05607614820595025,2,0,14,18,86,105
"('55.612502', '37.577364')",0.07012636373542155,1,1,16,29,102,113
"('55.617281', '37.417446')",0.18002663273534236,1,0,3,15,50,104
"('55.58992', '37.64843')",0.06643492316512523,2,2,10,20,82,97
"('55.668909', '37.583418')",0.22036473910313198,3,5,26,27,135,152
"('55.6592015', '37.6165642')",0.16942013844073375,1,6,20,29,145,131
"('55.6002', '37.508884')",0.15158609501868595,1,1,11,13,102,77
"('55.599082', '37.582861')",0.05331440763525348,2,1,15,19,99,95
"('55.599097', '37.510718')",0.11150662513543422,1,1,10,14,100,79
"('55.600638', '37.581244')",0.15901062651820871,1,2,14,21,97,100
"('55.59712', '37.58285')",0.12793839206955301,2,2,15,19,96,97
"('55.612608', '37.518397')",0.41624867879297023,1,3,12,19,104,94
"('55.61114', '37.544818')",0.14368996015549734,3,2,12,24,102,107
"('55.598375', '37.534281')",0.06202092327521981,3,2,7,27,88,98
"('55.596986', '37.541476')",0.08934694274786614,2,2,8,27,85,101
"('55.567906', '37.579924')",0.0790404328222792,4,2,10,20,62,100
"('55.671473', '37.592078')",0.07502454789819489,1,4,26,27,141,152
"('55.535473', '37.514967')",0.19597126928209097,3,1,11,8,38,73
"('55.631686', '37.472414')",0.14525276323793995,1,2,11,28,89,100
"('55.6223609', '37.5928588')",0.11579185538802762,2,3,13,31,108,119
"('55.592953', '37.548276')",0.2048113390989605,1,1,13,22,87,97
"('55.613926', '37.544342')",0.08578163544302546,2,1,14,23,106,105
"('55.600435', '37.545905')",0.11494181530465832,2,2,10,24,93,102
"('55.60279', '37.545069')",0.07318797860067164,2,4,9,23,94,102
"('55.59752', '37.534281')",0.15096648704965326,2,2,7,26,89,96
"('55.604025', '37.539473')",0.07627022007321853,3,4,7,26,91,108
"('55.609975', '37.54109')",0.06067274737533419,3,4,10,24,100,108
"('55.617195', '37.53561')",0.048904142686413236,2,1,15,21,107,106
"('55.603654', '37.534263')",0.10661974589162816,4,3,9,25,93,102
"('55.603883', '37.518362')",0.07080740798415844,2,3,9,21,97,91
"('55.613794', '37.535682')",0.16888791920070104,2,2,14,21,105,104
"('55.61895', '37.540836')",0.30473351376537944,2,0,16,23,106,111
"('55.656097', '37.59639')",0.13872366323881238,3,6,18,32,131,137
"('55.601387', '37.50867')",0.20510734993203378,2,0,12,14,101,80
"('55.614358', '37.549777')",0.10062679923195363,2,1,14,24,107,106
"('55.605215', '37.54215')",0.11618895370541243,3,4,7,26,92,109
"('55.568349', '37.284378')",0.19876988155042458,1,0,1,2,11,26
"('55.614235', '37.542454')",0.046847108048159135,2,2,13,23,105,106
"('55.610173', '37.533032')",0.07313526731043678,2,6,7,29,96,110
"('55.569499', '37.469764')",0.10282854716278839,1,1,2,11,54,81
"('55.67406', '37.530537')",0.037602666404367976,5,3,27,34,113,168
"('55.667397', '37.574436')",0.12730751186489436,4,3,27,26,129,156
"('55.646238', '37.736419')",0.18218299404133334,1,3,22,25,81,130
"('55.627426', '37.720886')",0.1319382316358372,2,4,23,14,81,123
"('55.64568', '37.739474')",0.04427243835419577,1,1,24,23,81,126
"('55.635762', '37.720861')",0.14005308527715,2,3,22,22,81,133
"('55.647498', '37.753973')",0.16289403166098945,1,3,26,16,82,118
"('55.635741', '37.719316')",0.07267699022699484,2,2,23,21,82,132
"('55.623265', '37.73173')",0.08071139560973392,5,1,24,13,79,116
"('55.62505', '37.73676')",0.06889002222029154,3,6,19,16,78,114
"('55.637932', '37.699283')",0.05341682554600498,2,1,17,28,88,145
"('55.646462', '37.750083')",0.0882531669934756,1,3,24,20,81,122
"('55.644521', '37.750828')",0.15072468187132987,1,5,20,24,76,125
"('55.646828', '37.742744')",0.1598883608186647,2,0,27,19,86,121
"('55.626406', '37.745519')",0.09067057374008518,4,4,22,12,80,113
"('55.655117', '37.758186')",0.09022324225064506,3,2,19,23,79,126
"('55.652847', '37.749598')",0.03421267742128726,1,4,20,26,79,133
"('55.62624', '37.747917')",0.11398588109323643,4,4,21,13,78,113
"('55.63634', '37.792583')",0.19197564417170643,1,0,12,19,58,99
"('55.669939', '37.758768')",0.08855709842082271,3,7,11,30,82,138
"('55.508876', '37.343532')",0.8061471078598342,0,1,0,2,7,26
"('55.632057', '37.754116')",0.17538008928620652,2,6,19,21,70,123
"('55.686832', '37.724813')",0.1886575951469659,3,1,19,21,122,145
"('55.67341', '37.8093')",0.08109622624014591,1,1,9,22,79,101
"('55.726583', '37.622064')",0.06667265914210617,1,4,17,40,137,205
"('55.716402', '37.6109705')",0.22060949645852737,3,3,13,40,134,198
"('55.76952', '37.601852')",0.026810050453551136,4,5,26,34,133,214
"('55.739732', '37.605508')",0.18923025729576753,1,5,23,35,158,186
"('55.740162', '37.604978')",0.13093968129157477,1,4,24,34,159,185
"('55.7407249', '37.6011633')",0.14516210690861125,2,3,22,36,153,186
"('55.644755', '37.392553')",0.31151656110536036,2,0,10,6,65,87
"('55.6438807', '37.3571627')",0.2708069447700194,2,2,7,7,37,78
"('55.644227', '37.38878')",0.20846114887952613,2,1,9,5,64,86
"('55.640073', '37.365354')",0.09944533034919525,1,1,8,6,44,80
"('55.6396042', '37.366312')",0.13632489262766187,1,1,9,5,45,80
"('55.645151', '37.350063')",0.1423957235999884,2,2,6,7,35,74
"('55.643144', '37.38499')",0.16644046506743665,1,2,8,6,63,84
"('55.641796', '37.36662')",0.25903976762009995,1,1,8,5,46,79
"('55.638765', '37.358049')",0.06075648099062151,2,1,7,7,38,77
"('55.640909', '37.36157')",0.06240426746524128,1,3,6,8,38,80
"('55.641244', '37.356172')",0.28314242759243896,2,2,6,8,36,79
"('55.63976', '37.362245')",0.004292411112834733,1,2,7,7,39,80
"('55.634934', '37.34576')",0.204938047379473,1,4,3,10,31,76
"('55.639638', '37.397908')",0.214063432154829,1,2,6,13,62,91
"('55.638088', '37.400121')",0.3182451236767873,1,1,7,12,65,88
"('55.64566', '37.390603')",0.34896304395409705,2,0,10,6,65,86
"('55.6375', '37.363564')",0.13787607403773633,1,2,8,6,40,82
"('55.644704', '37.385861')",0.26905228873999804,2,1,9,5,64,85
"('55.624714', '37.376059')",1.0736496147314747,0,0,9,5,47,86
"('55.643053', '37.391107')",0.19624831163488188,2,1,9,6,64,87
"('55.638912', '37.36164')",0.09330506751552314,1,2,7,7,39,79
"('55.641829', '37.360699')",0.17858064517002767,1,3,6,8,36,81
"('55.633851', '37.41405')",0.20484085379063863,1,1,6,18,59,100
"('55.645852', '37.389059')",0.28606007309130393,2,0,10,4,66,85
"('55.631803', '37.41926')",0.27499302961874456,1,0,7,17,62,99
"('55.646223', '37.385978')",0.2483916411398192,2,1,9,4,65,81
"('55.64216', '37.368979')",0.13568993253377956,1,1,8,5,49,78
"('55.644221', '37.352327')",0.08629069803606265,2,2,6,8,34,77
"('55.656346', '37.424327')",0.04560682263786495,2,1,11,15,81,97
"('55.642083', '37.327381')",0.4285608886388853,2,1,4,9,25,69
"('55.661816', '37.419916')",0.20167626693116789,1,2,9,17,79,97
"('55.601305', '37.411346')",0.20655803459248384,1,0,3,7,52,91
"('55.636605', '37.314023')",0.224080393333248,1,0,6,4,22,63
"('55.6433374', '37.3590022')",0.37741663729454294,2,2,7,7,38,79
"('55.649901', '37.367419')",0.08198032467696886,2,1,8,4,54,70
"('55.647204', '37.371587')",0.1624230857418086,2,1,8,5,57,77
"('55.635945', '37.344619')",0.08014943335933852,1,4,3,10,31,76
"('55.648094', '37.394028')",0.049990626896523664,2,2,7,10,66,90
"('55.692648', '37.496704')",0.14209373322995159,4,1,23,33,116,143
"('55.801404', '37.348976')",0.13739202202279424,1,0,5,12,54,78
"('55.626579', '37.313502')",0.28171559774562993,1,0,5,5,13,68
"('55.681091', '37.459845')",0.3348666468413488,2,1,17,28,94,132
"('55.66164', '37.41553')",0.44565169739149135,1,1,7,20,75,97
"('55.625471', '37.342814')",1.1803171322385513,0,0,9,4,31,70
"('55.6674', '37.450333')",0.1441056199909088,1,3,12,27,87,121
"('55.64447', '37.348994')",0.08498640527590817,2,2,6,7,35,73
"('55.647432', '37.38631')",0.11373241850264282,1,2,8,6,62,84
"('55.64269', '37.3577113')",0.3049882755067652,2,2,7,7,37,78
"('55.633409', '37.321524')",0.06593849775716738,1,0,6,5,24,66
"('55.675346', '37.500973')",0.2234858214771807,3,1,26,29,106,150
"('55.625303', '37.314346')",0.15611695441343423,1,0,5,5,13,68
"('55.661394', '37.414212')",0.47669726235181825,1,1,7,19,75,96
"('55.653858', '37.396362')",0.1224233659949183,2,2,6,13,69,89
"('55.655869', '37.427381')",0.0538372421968954,2,1,11,16,83,95
"('55.850725', '37.623063')",0.4045238400536079,2,3,13,37,110,129
"('55.836999', '37.661329')",0.10836288098377075,2,0,13,28,127,114
"('55.849498', '37.623171')",0.4687713440638475,2,3,14,36,114,127
"('55.854168', '37.623563')",0.3970288055337135,2,4,12,39,102,130
"('55.847295', '37.638521')",0.27536317049061654,2,0,17,26,124,113
"('55.855333', '37.623452')",0.3229278713371946,1,5,11,40,99,133
"('55.850535', '37.654439')",0.1562856145537985,2,0,19,19,121,111
"('55.852734', '37.615677')",0.06720114420642531,3,0,17,40,105,133
"('55.857946', '37.617307')",0.07480651006727139,2,2,18,37,99,129
"('55.84771', '37.6366')",0.324673281851639,2,0,17,27,124,113
"('55.849691', '37.620905')",0.3350319209706051,2,3,15,36,116,125
"('55.827656', '37.665436')",0.0509074383646679,2,1,15,24,136,113
"('55.85973', '37.6653')",0.04623252756764109,1,2,16,19,103,119
"('55.838147', '37.661257')",0.2268220916037751,2,0,11,30,124,117
"('55.8558', '37.68467')",0.33190151684207003,1,2,14,16,97,118
"('55.8449514', '37.6392377')",0.42179514246003624,1,2,14,29,124,117
"('55.858817', '37.638755')",0.13057978292084751,1,2,16,32,98,125
"('55.793156', '37.622772')",0.0708973964621306,2,0,19,40,131,192
"('55.810596', '37.617374')",0.37406350634709085,1,3,18,33,150,150
"('55.855083', '37.660054')",0.11846980023863395,2,1,18,20,113,112
"('55.851104', '37.601476')",0.6187189503447786,0,4,17,39,110,131
"('55.848731', '37.639743')",0.18059872643160527,2,0,18,25,123,113
"('55.8495', '37.63888')",0.16597576375005313,2,0,18,25,122,114
"('55.862793', '37.643058')",0.20659718465055746,1,2,19,25,95,122
"('55.8495825', '37.6409167')",0.10652858869229596,2,0,18,27,118,116
"('55.850141', '37.622425')",0.3922258075839967,2,3,13,37,111,128
"('55.835508', '37.654718')",0.19331041786080522,1,2,12,30,129,116
"('55.847311', '37.628999')",0.43474266789473254,1,3,15,31,121,118
"('55.853648', '37.619324')",0.24095793554704764,3,2,13,39,104,130
"('55.860822', '37.66123')",0.23914242268704844,1,3,16,20,99,121
"('55.836266', '37.642528')",0.06216439618786175,1,0,16,24,136,113
