coords,edu_prof_closest_km,edu_prof_less500m,edu_prof_0.5-1km,edu_prof_1-3km,edu_prof_3-5km,edu_prof_5-10km,edu_prof_10-15km
"('55.771104', '37.703865')",0.8321197319782196,0,1,9,8,29,14
"('55.751959', '37.686006')",0.9051205192005131,0,2,6,14,23,23
"('55.7515567', '37.7105369')",0.927263660122055,0,1,7,10,25,19
"('55.751568', '37.71495')",0.6715163066639512,0,2,7,8,27,17
"('55.7515567', '37.7105369')",0.927263660122055,0,1,7,10,25,19
"('55.752267', '37.7002331')",0.5244952498364973,0,1,8,9,28,16
"('55.740406', '37.627445')",0.3541627318216591,1,1,8,7,30,17
"('55.677159', '37.695348')",0.5052994696542488,0,2,4,7,19,19
"('55.752708', '37.645564')",1.224884180124457,0,0,9,9,28,17
"('55.7406555', '37.6665063')",0.728884883083111,0,2,6,11,24,23
"('55.747703', '37.688297')",0.5810556043606422,0,2,5,15,22,24
"('55.71954', '37.690896')",1.3311239841537124,0,0,9,6,26,19
"('55.681442', '37.6555')",1.0388301382865357,0,0,8,7,18,21
"('55.674473', '37.667501')",1.5060673524671728,0,0,5,9,15,23
"('55.6898201', '37.6558154')",1.6849207138306959,0,0,10,5,25,17
"('55.719315', '37.66175')",0.4824204569579069,1,3,7,10,21,27
"('55.702186', '37.684856')",0.3283090211045489,1,0,8,7,22,22
"('55.699938', '37.635314')",0.24596188168314975,1,0,12,6,24,19
"('55.6892303', '37.6536623')",1.6193402648397817,0,0,10,5,24,17
"('55.720802', '37.661785')",0.5575825472379116,0,3,7,10,21,27
"('55.717518', '37.659748')",0.5821898557592009,0,3,7,10,21,26
"('55.70457', '37.670868')",0.48080766184133034,1,2,7,11,19,25
"('55.72108', '37.664867')",0.44040069272090243,1,1,9,8,23,25
"('55.698361', '37.635296')",0.4180724892920737,1,0,11,7,23,20
"('55.703155', '37.672792')",0.38844096068332595,1,0,9,9,20,24
"('55.6996661', '37.6368671')",0.2586337491378978,1,0,12,6,25,18
"('55.713234', '37.67484')",0.6054132921673937,0,2,7,11,19,25
"('55.688923', '37.6556035')",1.6515953074771934,0,0,10,5,25,16
"('55.71148', '37.658733')",0.2976601092817305,2,2,5,13,17,28
"('55.702495', '37.669881')",0.5856574994357864,0,3,6,12,18,26
"('55.700613', '37.633634')",0.2352625662893303,1,0,12,6,23,20
"('55.683194', '37.648277')",0.8672189737039896,0,1,8,8,17,22
"('55.703814', '37.640138')",0.12135795221734694,1,0,11,8,21,24
"('55.683194', '37.648277')",0.8672189737039896,0,1,8,8,17,22
"('55.715748', '37.675415')",0.4215192297546127,1,1,8,10,21,23
"('55.700613', '37.633634')",0.2352625662893303,1,0,12,6,23,20
"('55.700704', '37.660961')",0.8395677081413185,0,1,9,8,23,21
"('55.70073', '37.631586')",0.3343430735257527,1,0,12,6,23,20
"('55.6903564', '37.655683')",1.7085678798930122,0,0,10,5,25,18
"('55.702495', '37.669881')",0.5856574994357864,0,3,6,12,18,26
"('55.6988708', '37.6385646')",0.35747867673491973,1,0,11,7,24,19
"('55.703581', '37.661078')",0.5261450924959401,0,2,7,10,21,23
"('55.6987549', '37.6362756')",0.3637343170021018,1,0,11,7,23,20
"('55.707806', '37.67393')",0.43349211563728113,1,2,6,11,20,24
"('55.690187', '37.657781')",1.5766719767996185,0,0,10,5,25,17
"('55.695611', '37.662371')",1.411924941660056,0,0,10,6,23,21
"('55.682727', '37.584829')",0.21939339463122928,1,1,7,5,18,22
"('55.686909', '37.593695')",0.32211518706514136,1,0,9,3,20,21
"('55.693084', '37.59613')",0.9333248761203422,0,2,9,5,19,25
"('55.678199', '37.596731')",0.5849788156605361,0,2,5,7,18,21
"('55.690256', '37.5530337')",1.226539645071245,0,0,5,6,18,24
"('55.68701', '37.577678')",0.10989946394981184,1,2,6,6,17,24
"('55.686306', '37.538036')",1.3732512728593846,0,0,4,4,18,23
"('55.702926', '37.580337')",0.7220112642443567,0,2,7,6,19,27
"('55.693497', '37.58077')",0.8569966581520551,0,1,9,3,21,22
"('55.676164', '37.579259')",0.5742007038398707,0,3,2,10,13,27
"('55.6940437', '37.6040148')",0.5104042226185026,0,2,9,6,19,25
"('55.689162', '37.598286')",0.48043270709670954,1,1,10,4,19,23
"('55.679276', '37.57349')",0.07252024292452504,1,2,4,8,14,26
"('55.682194', '37.578738')",0.3219616877704908,2,1,5,7,16,24
"('55.675369', '37.55206')",0.998769885045264,0,1,3,6,15,23
"('55.683823', '37.577364')",0.12805882975428645,2,1,6,6,17,23
"('55.685675', '37.581379')",0.20282559154455873,1,1,7,5,18,23
"('55.696078', '37.563152')",1.411699817151234,0,0,6,5,20,23
"('55.684093', '37.597145')",0.20953979601620915,1,1,8,4,22,19
"('55.672763', '37.560529')",0.5998769880356645,0,1,3,6,15,24
"('55.678458', '37.564248')",0.24155504319093632,1,1,3,8,14,25
"('55.67314', '37.57369')",0.3270024714436018,1,1,3,7,16,23
"('55.687193', '37.56388')",0.620605578228527,0,3,3,8,16,25
"('55.670773', '37.571003')",0.04411314811647095,1,0,4,6,16,22
"('55.673818', '37.565174')",0.40908449030550875,1,1,3,7,15,24
"('55.683798', '37.537883')",1.2697540817719801,0,0,4,4,18,22
"('55.678113', '37.548511')",1.0692753078470931,0,0,4,4,17,21
"('55.677346', '37.565955')",0.36292412155331566,2,0,4,7,15,24
"('55.692475', '37.551726')",1.4733632405566317,0,0,6,4,20,22
"('55.678113', '37.548511')",1.0692753078470931,0,0,4,4,17,21
"('55.68665', '37.592644')",0.2889255602627558,1,0,9,3,20,21
"('55.680103', '37.581963')",0.5562698250940564,0,2,5,7,16,24
"('55.68499', '37.595215')",0.17103915820873322,1,1,8,4,20,21
"('55.670128', '37.57097')",0.048007475402694136,1,0,4,6,16,22
"('55.69109', '37.542958')",1.7512132932589115,0,0,4,6,17,25
"('55.674477', '37.570007')",0.3678227826619464,1,1,3,7,16,23
"('55.682026', '37.566539')",0.07511056751521654,2,1,5,6,17,23
"('55.691526', '37.538134')",1.7090929695433932,0,0,4,4,19,23
"('55.681265', '37.582403')",0.4424997109648269,1,1,6,6,17,23
"('55.693597', '37.577678')",0.8358000243155447,0,1,8,3,21,22
"('55.692191', '37.562991')",1.1119560325054627,0,0,5,6,18,25
"('55.691526', '37.538134')",1.7090929695433932,0,0,4,4,19,23
"('55.680625', '37.559218')",0.35814327899070486,1,1,3,8,14,26
"('55.68955', '37.56528')",0.8312172579444376,0,2,5,6,18,24
"('55.687497', '37.543327')",1.5224588834188462,0,0,4,4,19,23
"('55.688072', '37.569305')",0.5307235187238569,0,3,4,7,17,24
"('55.67733', '37.571552')",0.27884758578359076,1,2,3,9,13,27
"('55.670585', '37.566243')",0.21859422078585697,1,0,4,6,16,22
"('55.693394', '37.557502')",1.3931440728774573,0,0,5,6,18,24
"('55.694205', '37.566503')",1.1181909033929862,0,0,7,4,20,23
"('55.672011', '37.570878')",0.11417091209523664,1,1,3,7,15,23
"('55.689625', '37.564034')",0.8886271457727635,0,2,5,6,18,24
"('55.683036', '37.585655')",0.15975558127947725,1,1,8,4,19,21
"('55.691379', '37.604906')",0.3830082530221259,1,1,10,5,18,26
"('55.688086', '37.565955')",0.7152663559185116,0,3,4,7,17,24
"('55.67855', '37.593623')",0.5156000269571959,0,2,5,7,18,21
"('55.687066', '37.56697')",0.6099257551617695,0,3,4,7,17,23
"('55.690268', '37.553873')",1.1952195406935444,0,0,5,6,18,24
"('55.695296', '37.575648')",1.0274150708245517,0,0,9,2,22,22
"('55.683676', '37.582215')",0.31689527627950065,1,1,7,5,18,22
"('55.677783', '37.560493')",0.42209797195597426,1,1,3,6,15,24
"('55.692506', '37.558454')",1.2797501152045827,0,0,5,6,18,24
"('55.701861', '37.580679')",0.7362197425862138,0,2,8,5,21,25
"('55.72386', '37.610054')",0.17500618246352445,1,3,7,9,23,25
"('55.645136', '37.51697')",2.5629156225151886,0,0,2,2,13,16
"('55.753169', '37.589796')",1.0890293646367526,0,0,5,11,29,16
"('55.753129', '37.589096')",1.0922615569588952,0,0,5,10,30,15
"('55.753286', '37.59657')",1.1185772880929332,0,0,5,11,29,16
"('55.753114', '37.591566')",1.0714800829031403,0,0,5,11,29,16
"('55.7531212', '37.5903682')",1.0788176528521225,0,0,5,11,29,16
"('55.7270229', '37.561437')",0.870533064071188,0,1,3,9,24,21
"('55.727212', '37.583598')",0.5499525732787327,0,1,8,6,27,19
"('55.748936', '37.595627')",0.6323515889454602,0,1,4,12,28,18
"('55.747363', '37.594486')",0.44635286524833934,1,0,4,12,28,18
"('55.741465', '37.540784')",0.4313802051624551,1,0,3,5,28,16
"('55.757131', '37.617114')",1.6620594934167467,0,0,3,16,23,22
"('55.720585', '37.567042')",0.6572246078921254,0,1,7,4,26,20
"('55.749847', '37.579815')",1.0625464072723294,0,0,5,8,31,13
"('55.7630905', '37.5930036')",1.302826813663256,0,0,6,9,29,16
"('55.760955', '37.611446')",1.3009067392404263,0,0,6,12,27,18
"('55.744713', '37.5827')",0.6273201404315223,0,1,3,12,27,18
"('55.742534', '37.545465')",0.32487461719546606,1,0,3,6,27,18
"('55.765716', '37.59356')",1.4279096880131683,0,0,6,9,29,16
"('55.762485', '37.598887')",1.5866445718228608,0,0,5,9,30,15
"('55.725214', '37.578496')",0.46325607254738577,1,1,7,5,28,18
"('55.744414', '37.594072')",0.12119475572705235,1,0,4,11,27,19
"('55.7180332', '37.5737618')",0.1484675979100226,1,0,7,6,23,23
"('55.751933', '37.590075')",0.9503653297289527,0,1,4,13,27,18
"('55.75571', '37.600845')",1.4486811238025759,0,0,4,12,28,17
"('55.753407', '37.600082')",1.1912022313365773,0,0,4,12,28,17
"('55.758929', '37.645393')",0.9660954720927785,0,1,5,11,26,18
"('55.764121', '37.615416')",0.9012692846332993,0,1,6,12,27,18
"('55.75554', '37.594433')",1.3458678794957717,0,0,5,12,28,17
"('55.749603', '37.597872')",0.7462600105638024,0,1,3,13,27,18
"('55.754507', '37.602687')",1.368084263809822,0,0,4,12,28,17
"('55.7557561', '37.6033112')",1.5107365168766607,0,0,4,12,28,17
"('55.755196', '37.592796')",1.3020027359424595,0,0,5,12,28,17
"('55.75768', '37.606674')",1.7464006982350382,0,0,5,11,28,17
"('55.754507', '37.602687')",1.368084263809822,0,0,4,12,28,17
"('55.754753', '37.59622')",1.2745336281803172,0,0,4,12,28,17
"('55.759436', '37.605733')",1.5945964683211995,0,0,5,12,27,18
"('55.812666', '37.640911')",1.2448084897995173,0,0,5,11,22,22
"('55.801455', '37.63765')",0.53972066173174,0,1,6,11,24,21
"('55.812292', '37.653316')",1.0797371058194274,0,0,4,11,20,24
"('55.814062', '37.623735')",1.0640158209410016,0,0,7,9,22,22
"('55.816387', '37.656082')",0.6168628526854769,0,2,2,13,17,27
"('55.817613', '37.661859')",0.3029871771268179,1,1,4,12,17,26
"('55.8114519', '37.6453291')",1.3472438606313382,0,0,5,11,21,23
"('55.8064017', '37.6481266')",1.218711174561918,0,0,7,9,24,20
"('55.813637', '37.645501')",1.1277322011654674,0,0,5,11,21,23
"('55.816328', '37.631379')",1.3283889210709818,0,0,6,12,19,24
"('55.8064017', '37.6481266')",1.218711174561918,0,0,7,9,24,20
"('55.804612', '37.635503')",0.40581560170115105,1,0,7,10,24,21
"('55.812337', '37.658571')",0.9253988060508258,0,1,6,10,21,23
"('55.8134', '37.659847')",0.7885713133430484,0,1,6,10,21,23
"('55.815367', '37.659084')",0.6005394573272964,0,2,3,13,17,27
"('55.806282', '37.640947')",0.7936560404345674,0,1,5,12,21,24
"('55.814117', '37.64788')",1.0356726741128175,0,0,4,12,19,25
"('55.806499', '37.643911')",0.9732884072401349,0,1,5,11,22,23
"('55.80527', '37.63897')",0.6347691986077024,0,1,6,11,23,22
