coords,edu_prof_closest_km,edu_prof_less500m,edu_prof_0.5-1km,edu_prof_1-3km,edu_prof_3-5km,edu_prof_5-10km,edu_prof_10-15km
"('55.757214', '37.64955')",0.9901027558859812,0,1,7,10,27,17
"('55.588949', '37.60081')",1.072488869906071,0,0,3,4,10,11
"('55.637393', '37.600388')",1.6435425173711693,0,0,3,5,15,12
"('55.898916', '37.379034')",4.7323522843075265,0,0,0,1,6,12
"('55.745083', '37.49736')",0.94753587456642,0,1,0,6,24,19
"('55.834421', '37.659596')",0.9980858146773413,0,1,3,7,21,18
"('55.790975', '37.634182')",0.7463132034116076,0,2,4,15,21,24
"('55.795423', '37.495276')",0.7620750353952418,0,1,10,5,20,22
"('55.763265', '37.514994')",1.6015564822545598,0,0,3,9,23,21
"('55.7407086', '37.6011763')",0.5659874559662349,0,1,6,8,29,19
"('55.763072', '37.58968')",1.0996240736693124,0,0,6,9,29,16
"('55.760915', '37.554861')",0.574403518664002,0,1,5,7,28,16
"('55.7182621', '37.4771618')",1.2985878535062445,0,0,2,2,18,21
"('55.807435', '37.448662')",0.7455424720523322,0,1,4,8,16,18
"('55.681183', '37.495808')",1.3527825272454903,0,0,2,3,13,23
"('55.5213774', '37.3160383')",3.0884341850234494,0,0,0,1,0,2
"('55.720798', '37.444099')",0.8537198775624864,0,1,1,2,14,20
"('55.739352', '37.602606')",0.7233638581437082,0,1,6,9,28,20
"('55.76725', '37.584476')",1.0097877114163025,0,0,6,8,30,15
"('55.78564', '37.633266')",0.8133959065124717,0,1,6,12,24,21
"('55.789289', '37.491126')",1.488954720477187,0,0,8,4,22,20
"('55.77854', '37.662956')",0.058367821812939424,1,2,5,14,21,23
"('55.643769', '37.496075')",2.1297637216517784,0,0,1,2,11,16
"('55.795853', '37.485538')",1.0420746232764788,0,0,9,5,20,22
"('55.893369', '37.602058')",0.7272547122466448,0,1,2,4,10,22
"('55.886782', '37.38988')",3.220688080852004,0,0,0,2,8,10
"('55.841278', '37.494442')",0.8929414071607423,0,2,4,11,13,22
"('55.742043', '37.552498')",0.4169639682127118,1,0,3,10,23,22
"('55.83525', '37.643642')",0.7349834575530475,0,1,3,7,22,17
"('55.8134352', '37.5849828')",0.4187412936568753,1,1,7,10,22,20
"('55.695625', '37.821663')",3.645214185883375,0,0,0,4,11,24
"('55.715527', '37.477104')",1.438621217497117,0,0,2,1,19,20
"('55.739534', '37.63341')",0.455839712000707,1,1,8,7,30,17
"('55.684929', '37.533966')",1.0766884265123382,0,0,4,3,19,22
