coords,edu_uni_closest_km,edu_uni_less500m,edu_uni_0.5-1km,edu_uni_1-3km,edu_uni_3-5km,edu_uni_5-10km,edu_uni_10-15km
"('55.719315', '37.66175')",2.2578740489826425,0,0,1,0,1,0
"('55.702186', '37.684856')",2.5675506347314383,0,0,1,0,1,0
"('55.699938', '37.635314')",1.0417976138113532,0,0,1,0,1,0
"('55.6892303', '37.6536623')",2.4035240851598525,0,0,1,0,1,0
"('55.720802', '37.661785')",2.095714639423377,0,0,1,0,1,0
"('55.717518', '37.659748')",2.4370381310293165,0,0,1,0,1,0
"('55.70457', '37.670868')",3.1746895725521793,0,0,0,1,0,1
"('55.72108', '37.664867')",2.1125595825815005,0,0,1,0,1,0
"('55.698361', '37.635296')",1.1271563474042796,0,0,1,0,1,0
"('55.703155', '37.672792')",3.2976663030539863,0,0,0,1,0,1
"('55.6996661', '37.6368671')",1.1431063128153924,0,0,1,0,1,0
"('55.713234', '37.67484')",3.1481411381297804,0,0,0,1,0,1
"('55.688923', '37.6556035')",2.4745701909760336,0,0,1,0,1,0
"('55.71148', '37.658733')",2.541932845936123,0,0,1,0,1,0
"('55.702495', '37.669881')",3.118502136677816,0,0,0,1,0,1
"('55.700613', '37.633634')",0.9144596158620586,0,1,0,1,0,1
"('55.683194', '37.648277')",1.7271070319097084,0,0,1,0,1,0
"('55.703814', '37.640138')",1.2434125782338785,0,0,1,0,1,0
"('55.683194', '37.648277')",1.7271070319097084,0,0,1,0,1,0
"('55.715748', '37.675415')",2.9067789676758244,0,0,1,0,1,0
"('55.700613', '37.633634')",0.9144596158620586,0,1,0,1,0,1
"('55.700704', '37.660961')",2.5795011735007503,0,0,1,0,1,0
"('55.70073', '37.631586')",0.7924712187328399,0,1,0,1,0,1
"('55.6903564', '37.655683')",2.5818011032023396,0,0,1,0,1,0
"('55.702495', '37.669881')",3.118502136677816,0,0,0,1,0,1
"('55.6988708', '37.6385646')",1.2775197869864223,0,0,1,0,1,0
"('55.703581', '37.661078')",2.5600468136386696,0,0,1,0,1,0
"('55.6987549', '37.6362756')",1.1565441371836769,0,0,1,0,1,0
