coords,shops_closest_km,shops_less500m,shops_0.5-1km,shops_1-3km,shops_3-5km,shops_5-10km,shops_10-15km
"('55.772421', '37.581173')",0.00383527470833681,125,169,3237,4945,18778,25250
"('55.773165', '37.583463')",0.07238994191228275,140,198,3347,4857,18913,25373
"('55.776112', '37.588485')",0.06565432942289996,100,362,3477,4924,18961,25412
"('55.776856', '37.574911')",0.02274861446453825,45,167,3018,5045,19046,24774
"('55.777753', '37.580409')",0.00037133527303173495,100,185,3144,4915,19027,24928
"('55.80774', '37.508812')",0.07296338683517828,131,136,2304,3327,16193,18770
"('55.7711551', '37.5722103')",0.04373655478137556,23,211,2981,5125,18693,24942
"('55.771828', '37.586384')",0.05575201636931426,162,176,3558,4857,19409,24663
"('55.77314', '37.578712')",0.0039831589494926,80,201,3181,4908,18893,25083
"('55.780162', '37.578855')",0.005343202762874476,61,175,3123,4892,18861,24904
"('55.780785', '37.57977')",0.034161600488680756,61,173,3147,4904,18863,24902
"('55.80774', '37.508812')",0.07296338683517828,131,136,2304,3327,16193,18770
"('55.769388', '37.580795')",0.005068379217860051,93,190,3462,4761,19654,24580
"('55.783939', '37.587371')",0.0029365388080677206,47,272,3285,4785,18942,24682
"('55.773537', '37.58013')",0.024025072940607805,94,195,3277,4828,18965,25103
"('55.769271', '37.56582')",0.06045030246847913,43,167,3064,5292,18495,24844
"('55.78118', '37.578532')",0.10228450807224344,62,167,3214,4808,18758,24948
"('55.78089', '37.580982')",0.04947373817209121,69,167,3175,4945,18826,24964
"('55.775692', '37.590731')",0.004811425036663779,114,375,3567,4943,19124,24837
"('55.773768', '37.592482')",0.03761453691208428,97,385,3538,4886,19321,24809
"('55.778644', '37.582709')",0.014329997211327022,93,173,3312,4852,19076,24975
"('55.769995', '37.572046')",0.07276325131784907,23,250,2927,5227,18462,25187
"('55.76998', '37.586723')",0.06116206284463597,132,263,3317,5174,19017,25180
"('55.771646', '37.584469')",0.0015963678349728847,138,187,3532,4839,19447,24939
"('55.769388', '37.580795')",0.005068379217860051,93,190,3462,4761,19654,24580
"('55.7803455', '37.5796864')",0.053747340288782405,64,174,3137,4930,18818,24977
"('55.777753', '37.580409')",0.00037133527303173495,100,185,3144,4915,19027,24928
"('55.777753', '37.580409')",0.00037133527303173495,100,185,3144,4915,19027,24928
"('55.78583', '37.573853')",0.04954179966391598,52,267,3229,4668,17520,25177
"('55.778628', '37.589419')",0.00019007177781617222,76,356,3261,5156,18747,25735
"('55.768446', '37.571938')",0.002751495050349751,30,269,2962,5271,18359,25325
"('55.805678', '37.504814')",0.08689029896017322,63,191,2205,3374,16103,18789
"('55.64191', '37.509075')",0.11262390161565934,31,140,1920,2562,12349,19211
"('55.64005', '37.516431')",0.24248476280527748,52,383,1369,2672,12114,19794
"('55.642403', '37.519127')",0.09338391818227859,134,181,1553,2943,12436,20182
"('55.653538', '37.52261')",0.14041882167164096,22,126,2223,3522,13320,21572
"('55.63941', '37.528765')",0.17040077111979915,112,276,1329,3356,11980,20798
"('55.6418045', '37.5346585')",0.10444699991891045,108,184,1153,4817,10906,22695
"('55.649063', '37.533957')",0.00768441075291525,47,293,1451,4639,11663,23370
"('55.634207', '37.512667')",0.23267461508172016,184,123,1444,2762,11940,18577
"('55.645878', '37.526528')",0.0140124160911131,150,147,1285,4379,11524,22603
"('55.642606', '37.547405')",0.1606156529067497,29,86,1049,5444,10863,23379
"('55.649362', '37.497773')",0.020137415966123492,17,74,1763,2772,12388,19377
"('55.635716', '37.534352')",0.2373854269047311,43,184,1251,3425,12123,20580
"('55.646045', '37.525522')",0.07296166873118896,153,141,1294,4352,11536,22469
"('55.633033', '37.517823')",0.0035889734919051165,254,49,1619,2244,12671,18227
"('55.634629', '37.537137')",0.14736424506561188,23,140,1247,3799,11845,20757
"('55.649362', '37.497773')",0.020137415966123492,17,74,1763,2772,12388,19377
"('55.6301641', '37.5145688')",0.0037562756509217305,198,115,1602,2093,12804,17282
"('55.615751', '37.493937')",0.20360565889890803,42,366,1142,1955,11876,12798
"('55.651074', '37.515632')",0.020410532366749102,19,127,1760,3790,12443,21397
"('55.648621', '37.522432')",0.30466170776286566,82,137,1390,4424,11765,22535
"('55.645395', '37.522863')",0.002255957878276277,160,142,1278,4334,11577,22058
"('55.646604', '37.519413')",0.08031090183599233,85,184,1327,4052,11836,21501
"('55.631066', '37.509487')",0.06751461500911037,84,228,1424,2307,12484,17294
"('55.647087', '37.503073')",0.20003396722783282,9,62,1722,3001,12268,19523
"('55.648275', '37.520509')",0.2682704696835195,82,142,1614,4104,11990,21968
"('55.635716', '37.534352')",0.2373854269047311,43,184,1251,3425,12123,20580
"('55.63755', '37.528972')",0.26414977874643475,76,352,1169,3400,11927,20596
"('55.643266', '37.502004')",0.16077223431572107,13,61,2048,2554,12591,18220
"('55.649408', '37.526133')",0.24376499129894777,34,227,1506,4351,11889,22760
"('55.641388', '37.545715')",0.167653110852761,35,97,1014,5417,10652,23355
"('55.679817', '37.515057')",0.07075139028029433,25,200,2124,3254,16611,21281
"('55.670041', '37.498977')",0.10733998588651979,32,134,1539,3036,14597,19415
"('55.663004', '37.475881')",0.23865428242066752,346,93,1500,3003,12098,19005
"('55.604336', '37.534794')",6.302869697820931e-05,153,131,926,3128,10923,14115
"('55.661013', '37.522351')",0.09636012698543861,45,199,2073,4015,14426,21500
"('55.686493', '37.56599')",0.09499891555278207,87,219,2934,3464,19786,21737
"('55.634578', '37.51591')",0.1269098708060753,262,62,1557,2360,12403,18602
"('55.658144', '37.485403')",0.08225683167691328,105,337,1251,3708,11831,19431
"('55.67484', '37.506683')",0.05950686489011169,143,75,2273,3140,15260,20734
"('55.655712', '37.58005')",0.1936906894848929,33,118,2763,3588,16536,20278
"('55.688974', '37.556415')",0.12036570114044631,21,301,2657,3021,20658,20935
"('55.643033', '37.475468')",0.046404615840989434,25,63,1385,3139,10966,15631
"('55.663603', '37.488772')",0.10058107153650632,290,131,1470,3057,13189,19492
"('55.67981', '37.5432')",0.24203556406064822,33,273,2830,3142,19761,20657
"('55.668056', '37.506738')",0.12808874582339866,23,292,1912,3637,14354,20865
"('55.658236', '37.564644')",0.0730017540567233,69,74,2753,3378,16818,20951
"('55.643612', '37.507906')",0.1586223295012964,16,122,2018,2523,12559,19437
"('55.653715', '37.5300411')",0.23694441516250528,19,171,1795,4180,12939,22458
"('55.644506', '37.534299')",0.1480708929558361,104,217,1117,4797,11146,23196
"('55.6538', '37.514057')",0.13486758113318661,23,83,1956,3582,12999,21146
"('55.635963', '37.539303')",0.21405054581410063,23,103,1346,4805,10960,22076
"('55.6466', '37.532852')",0.10726978390756506,52,270,1326,4535,11531,23124
"('55.649362', '37.497773')",0.020137415966123492,17,74,1763,2772,12388,19377
"('55.646863', '37.534613')",0.16612771929545142,38,284,1402,4516,11667,23099
"('55.636001', '37.541278')",0.11517551005464295,17,105,1324,5471,10349,22766
"('55.648153', '37.537191')",0.003043908606041682,32,283,1430,4654,11753,23232
"('55.637897', '37.540802')",0.010018629933945077,31,97,1132,5177,10607,22760
"('55.640495', '37.54685')",0.12886704468681803,36,68,1025,5698,10398,23517
"('55.6301641', '37.5145688')",0.0037562756509217305,198,115,1602,2093,12804,17282
"('55.643937', '37.528855')",0.11926030484835773,181,129,1306,4443,11449,22443
"('55.638333', '37.530939')",0.13322622812559018,80,278,1214,3630,11782,21015
"('55.643266', '37.502004')",0.16077223431572107,13,61,2048,2554,12591,18220
"('55.640316', '37.530857')",0.053570258367479584,130,192,1371,4434,11108,22019
"('55.642718', '37.503396')",0.1650356205394422,14,60,2048,2555,12510,18350
"('55.667823', '37.548258')",0.16031347524938805,274,206,2985,3173,18607,21138
"('55.668442', '37.559856')",0.23763241912279626,94,379,2562,3950,17587,22084
"('55.693597', '37.577678')",0.01221145738619912,52,108,2730,3727,20076,22379
"('55.671102', '37.540012')",0.10440385267234939,37,446,2733,3170,17192,22690
"('55.643769', '37.496075')",0.0442354430289179,13,52,1999,2690,12408,17998
"('55.626213', '37.510152')",0.0922736910943959,28,626,1206,2246,12528,16750
"('55.665101', '37.552462')",0.12579822345465108,67,402,2588,3483,17931,21308
"('55.63755', '37.528972')",0.26414977874643475,76,352,1169,3400,11927,20596
"('55.645634', '37.542763')",0.25618676747369634,36,139,1504,4653,11653,23072
"('55.644313', '37.537281')",0.2808041421673507,49,222,1132,4834,11063,23340
"('55.639176', '37.513008')",0.007845673618310503,35,365,1364,2971,11679,19686
"('55.636497', '37.5146')",0.19859601847958153,71,295,1321,2962,11651,19512
"('55.6266371', '37.5219362')",0.101004381802805,6,254,1401,2022,13048,17301
"('55.66013', '37.491413')",0.10740053769030494,62,370,1246,3654,12371,20030
"('55.634014', '37.524219')",0.14241859277510313,174,233,1315,3025,11973,19719
"('55.646101', '37.537137')",0.196579571252224,24,270,1276,4651,11487,23237
"('55.632499', '37.523016')",0.060728436752983665,218,87,1498,2527,12542,18914
"('55.875218', '37.545276')",0.06160933851284462,82,156,1356,3323,10909,13131
"('55.882671', '37.562712')",0.08839151946216649,19,74,2333,1915,10660,12354
"('55.880226', '37.55044')",0.10068547786379495,60,141,1752,2522,10727,12084
"('55.873257', '37.561096')",0.08029855487859432,38,123,2127,2349,12017,12853
"('55.892242', '37.574245')",0.09798377760271912,19,145,1946,1950,8833,12298
"('55.680174', '37.666557')",0.0017754162015381565,205,79,1471,4863,18183,21530
"('55.871326', '37.59044')",0.05201833112457519,29,126,2132,2554,11135,14170
"('55.889286', '37.5596')",0.0025998248846415056,26,144,2168,1750,9841,11258
"('55.883145', '37.561275')",0.07836501419167717,30,77,2302,1909,10563,12382
"('55.879728', '37.560332')",0.1004036569620906,57,91,2142,2270,10986,12543
"('55.874714', '37.589016')",0.040643754606722565,26,118,2100,2750,10308,14391
"('55.878324', '37.55999')",0.11423444766879655,58,103,2111,2315,11556,12354
"('55.810654', '37.56483')",0.12260152573466382,79,195,2182,4042,18206,19638
"('55.78552', '37.60524')",0.060832797586751516,13,288,3045,4858,19455,23913
"('55.863621', '37.559388')",0.06042741017307015,69,332,1365,3180,12171,14163
"('55.858923', '37.563063')",0.006059731133886922,164,111,1578,2828,12912,14324
"('55.808902', '37.568156')",0.13024363613378262,173,139,2306,3890,18594,19452
"('55.884161', '37.563449')",0.08827770446657526,26,62,2267,1917,10322,12264
"('55.87183', '37.56465')",0.14563588119144522,40,172,2132,2380,12046,13140
"('55.87358', '37.588467')",0.055289630261596785,29,109,2147,2731,10722,14144
"('55.881066', '37.564509')",0.027271312583331715,19,94,2189,2175,10685,12694
"('55.873222', '37.59009')",0.07521450224927094,31,116,2120,2540,10860,14209
"('55.874799', '37.548995')",0.0020213637865276095,39,178,1457,3095,11182,13167
"('55.884161', '37.563449')",0.08827770446657526,26,62,2267,1917,10322,12264
"('55.878526', '37.563889')",0.07850452260826765,55,95,2340,2086,11369,12606
"('55.8775119', '37.5388126')",0.014537968893944871,72,157,1346,3273,10642,12524
"('55.874065', '37.591682')",0.07682492005713484,33,106,2155,2485,10558,14407
"('55.884737', '37.594144')",0.22058998616557807,30,512,1486,3105,7943,14524
"('55.874065', '37.591682')",0.07682492005713484,33,106,2155,2485,10558,14407
"('55.880783', '37.562901')",0.11870248978984646,60,60,2226,2136,10789,12621
"('55.8798721', '37.5810486')",0.08391846459239276,48,45,2298,2014,10754,13054
"('55.89287', '37.561527')",0.2063317869219624,51,128,1947,1751,9051,11336
"('55.889137', '37.559021')",0.041466953060435775,26,142,2189,1709,9915,11155
"('55.871602', '37.560664')",0.10234699095153604,48,130,1822,2672,11788,13581
"('55.85721', '37.439607')",0.1614350896266034,46,503,1049,2774,7832,13983
"('55.891996', '37.600388')",0.004740956993890182,57,593,911,3325,6445,14524
"('55.895858', '37.631658')",0.10027824927471715,44,55,1398,1784,6081,13866
"('55.878131', '37.610755')",0.08819527041253224,10,369,1622,3128,8739,15221
"('55.869915', '37.613728')",0.11481167170980841,11,212,1841,3023,10073,16251
"('55.882308', '37.635251')",0.026646567497931622,38,114,1878,2245,7278,15364
"('55.869656', '37.61001')",0.12142056344702346,17,307,1628,3296,9817,16563
"('55.878723', '37.622353')",0.13057670446469263,9,71,2166,2301,9220,14086
"('55.89346', '37.653891')",0.10672316890127499,8,240,874,2314,5277,14636
"('55.89346', '37.653891')",0.10672316890127499,8,240,874,2314,5277,14636
"('55.9347854', '37.5543862')",0.09469430313664681,19,17,151,895,4318,8323
"('55.8534582', '37.6434107')",0.14716295132370766,69,175,1867,2539,12689,15446
"('55.863014', '37.67102')",0.051350119741331704,20,480,1490,2098,9858,15784
"('55.8592', '37.67431')",0.0,17,352,1400,1809,10468,16232
"('55.880974', '37.641061')",0.1940769173105099,57,125,1792,2219,7337,15381
"('55.836838', '37.667564')",0.09194466474881155,23,39,1168,2011,13778,19420
"('55.886357', '37.644863')",0.26667144763863737,79,161,1440,2392,6164,15913
"('55.875925', '37.603424')",0.0408275958008733,33,317,1851,2850,9420,15290
"('55.892223', '37.65523')",0.13475506802679876,27,228,944,2290,5399,14768
"('55.875925', '37.603424')",0.0408275958008733,33,317,1851,2850,9420,15290
"('55.89821', '37.61854')",0.1939447904480731,33,140,1226,1845,6243,13155
"('55.87044', '37.60794')",0.12972689966632633,23,304,1715,3189,9781,16220
"('55.885323', '37.643856')",0.18373662478983394,81,118,1505,2424,6243,15917
"('55.893536', '37.66477')",0.0685745352347199,43,165,832,2138,5390,13916
"('55.88793', '37.617294')",0.10148771325008658,21,417,1461,2593,6988,14659
"('55.87233', '37.604046')",0.10703198213740855,41,236,1863,2847,9740,15777
"('55.775818', '37.616287')",0.10865800957112816,39,243,3322,4668,19339,24754
"('55.747692', '37.568929')",0.119703281408045,374,274,2341,5054,20428,22412
"('55.752766', '37.536427')",0.16718969040323084,294,115,2681,3449,20908,20148
"('55.741029', '37.576313')",0.0027673555813583998,42,554,2110,5273,20221,23588
"('55.7755221', '37.5984969')",0.005017034514829405,92,342,3499,4869,19640,24625
"('55.7377562', '37.5711381')",0.11901064656102425,26,452,1948,5117,20630,23163
"('55.761573', '37.631469')",0.013498528279070431,206,505,2769,5448,18250,26853
"('55.579215', '37.657026')",0.0675207894349454,100,161,459,1881,6839,13704
"('55.588618', '37.642231')",0.1224563081823099,53,29,907,2143,9242,14361
"('55.583118', '37.646768')",0.1657391049488459,76,114,643,2167,7879,13761
"('55.57603', '37.64607')",0.07629997112024822,26,89,510,1936,7226,13056
"('55.580788', '37.646525')",0.05921491111270634,72,89,617,2017,7908,13485
"('55.582665', '37.644279')",0.18018637350185276,56,115,651,2140,7988,13559
"('55.575785', '37.655347')",0.1000213207486563,18,144,418,1442,6865,12712
"('55.585652', '37.641971')",0.07121741620030975,17,119,821,2171,8242,14824
"('55.583037', '37.641962')",0.2123254373680308,18,125,762,2111,8155,13459
"('55.589198', '37.647819')",0.15941016927658005,60,118,710,2350,8265,15385
"('55.603721', '37.655746')",0.04606689630117072,51,58,840,3497,9414,16375
"('55.632814', '37.612506')",0.18920106543512547,25,296,2183,3059,15218,18045
"('55.591986', '37.669953')",0.17755153152438544,40,111,583,3130,6499,16521
"('55.599672', '37.664599')",0.0024302377272739347,41,112,699,3433,8196,16239
"('55.612502', '37.577364')",0.005984432447441923,17,40,1954,2571,12712,15663
"('55.58992', '37.64843')",0.1034281630648984,57,78,743,2332,8980,14766
"('55.6592015', '37.6165642')",0.08721056447632793,32,262,2706,2754,19484,17601
"('55.6002', '37.508884')",0.03225673826737908,17,106,1087,1356,11527,10527
"('55.599082', '37.582861')",0.136024983677162,19,79,1759,1509,12473,13161
"('55.599097', '37.510718')",0.003129982063113183,17,107,1088,1356,11502,10522
"('55.600638', '37.581244')",0.044981514275533915,13,96,1750,1620,12513,13522
"('55.59712', '37.58285')",0.10593035785483579,19,67,1686,1484,11962,13445
"('55.600638', '37.581244')",0.044981514275533915,13,96,1750,1620,12513,13522
"('55.61114', '37.544818')",0.11703052888886431,25,174,1003,3250,11439,17049
"('55.598375', '37.534281')",0.21639061997030737,29,142,841,3089,10352,13158
"('55.596986', '37.541476')",0.20707774241591648,39,54,492,3438,9665,13840
"('55.567906', '37.579924')",0.1555800119087567,221,110,727,1445,7163,12006
"('55.671473', '37.592078')",0.15101552340266886,830,207,3345,3131,19961,20296
"('55.535473', '37.514967')",0.0734474341118769,76,90,844,818,3744,8449
"('55.631686', '37.472414')",0.19933120823534636,24,67,1404,2852,10910,13900
"('55.6223609', '37.5928588')",0.19163192038133778,33,123,1905,2615,13896,17247
"('55.592953', '37.548276')",0.20267553247014417,21,17,596,3288,9366,13552
"('55.613926', '37.544342')",0.3168432290940867,28,66,1123,3297,11447,17520
"('55.600435', '37.545905')",0.09947939635367645,44,75,451,3702,9764,14839
"('55.60279', '37.545069')",0.14968454296319925,49,153,743,3457,10293,14607
"('55.59752', '37.534281')",0.27690680022712333,26,117,862,3062,10341,13100
"('55.604025', '37.539473')",0.012869826243850562,86,157,888,3356,10632,14398
"('55.609975', '37.54109')",0.27157626880700353,79,136,1061,3044,11605,16299
"('55.617195', '37.53561')",0.39025807244480815,1,56,1350,2772,12095,17412
"('55.603654', '37.534263')",0.0191525863185508,152,124,931,3111,10894,14053
"('55.603883', '37.518362')",0.18780563988571364,49,127,1124,1499,12404,11125
"('55.604025', '37.539473')",0.012869826243850562,86,157,888,3356,10632,14398
"('55.613794', '37.535682')",0.1359343764958853,35,133,1249,2735,12012,16726
"('55.61895', '37.540836')",0.007404453197244536,2,38,1344,3138,11845,18181
"('55.656097', '37.59639')",0.07363036698953067,42,377,2396,3720,17590,19270
"('55.601387', '37.50867')",0.12632047785810707,13,172,1021,1420,11613,10580
"('55.604025', '37.539473')",0.012869826243850562,86,157,888,3356,10632,14398
"('55.614358', '37.549777')",0.12045977435972664,12,39,1180,3337,11334,17875
"('55.61895', '37.540836')",0.007404453197244536,2,38,1344,3138,11845,18181
"('55.605215', '37.54215')",0.10836017923691356,76,156,794,3510,10539,14713
"('55.568349', '37.284378')",0.03951713707610666,20,0,44,146,2121,3162
"('55.614235', '37.542454')",0.3957280634667198,37,82,1121,3234,11514,17486
"('55.610173', '37.533032')",0.015062301408920115,143,108,1296,2459,12251,14213
"('55.569499', '37.469764')",0.2029800759946175,34,30,515,720,7157,9743
"('55.67406', '37.530537')",0.15810358488999815,54,129,1982,3948,16123,23267
"('55.667397', '37.574436')",0.11140740873695788,28,1034,2055,4180,17708,21949
"('55.646238', '37.736419')",0.0732375563355905,207,291,1504,2706,12990,15408
"('55.627426', '37.720886')",0.10939227688213268,31,215,2188,1610,10767,15497
"('55.64568', '37.739474')",0.13093289658318658,213,276,1511,2628,12133,15853
"('55.635762', '37.720861')",0.023219655343739157,15,6,2410,1589,13409,14266
"('55.647498', '37.753973')",0.09871548685046153,38,512,1298,2531,11100,15504
"('55.635741', '37.719316')",0.016911664411793006,15,6,2414,1628,13347,14472
"('55.623265', '37.73173')",0.15224096956031194,43,109,2174,1453,9178,15877
"('55.62505', '37.73676')",0.045186476582460826,57,109,2246,1278,9441,15824
"('55.637932', '37.699283')",0.17127859473420093,29,31,1361,2860,13306,16674
"('55.646462', '37.750083')",0.1404666374967328,118,404,1415,2540,11599,15310
"('55.644521', '37.750828')",0.09135223706140828,37,489,1337,2593,11607,14797
"('55.646828', '37.742744')",0.08327049304356249,339,156,1629,2449,12270,15338
"('55.626406', '37.745519')",0.21001528022397484,36,165,2168,1299,9388,15404
"('55.655117', '37.758186')",0.09171792785181339,118,398,1672,1398,11745,15814
"('55.652847', '37.749598')",0.13709140211255064,128,724,1146,2356,11596,16723
"('55.62624', '37.747917')",0.10299997990365516,31,172,2115,1288,9294,15227
"('55.646238', '37.736419')",0.0732375563355905,207,291,1504,2706,12990,15408
"('55.63634', '37.792583')",0.09988716033618919,27,18,505,1983,5783,15808
"('55.669939', '37.758768')",0.10899923754011506,93,149,1716,1652,13311,16821
"('55.508876', '37.343532')",0.03729346194126971,32,62,232,325,1052,4488
"('55.632057', '37.754116')",0.001913992917913714,27,263,1662,1921,8728,15955
"('55.644521', '37.750828')",0.09135223706140828,37,489,1337,2593,11607,14797
"('55.686832', '37.724813')",0.12281303651113615,63,114,1001,5236,14436,21097
"('55.67341', '37.8093')",0.12498441052422117,4,7,511,2506,9080,15804
"('55.726583', '37.622064')",0.006896631260505534,88,253,2889,6479,19336,25758
"('55.716402', '37.6109705')",0.057149507088993384,57,230,2705,5616,19939,24975
"('55.76952', '37.601852')",0.02171585346759397,97,312,3205,5227,19054,25929
"('55.739732', '37.605508')",0.09579600390156777,41,155,3284,4921,21235,24434
"('55.740162', '37.604978')",0.07996539925613118,43,153,3274,4900,21239,24468
"('55.7407249', '37.6011633')",0.05254472504283386,51,145,3240,4716,21414,24157
"('55.6438807', '37.3571627')",0.20882419702644658,50,237,594,1436,4413,9475
"('55.644227', '37.38878')",0.09742924681880205,63,123,875,1377,6389,12282
"('55.640073', '37.365354')",0.05721038941096497,51,144,757,1688,4844,9959
"('55.6396042', '37.366312')",0.07865843878607441,43,152,810,1647,4904,9992
"('55.645151', '37.350063')",0.04940315993483892,75,206,485,1081,3959,8899
"('55.643144', '37.38499')",0.0016335984450195295,53,121,925,1440,6108,12203
"('55.641796', '37.36662')",0.07972083129658498,106,93,889,1520,5100,9773
"('55.638765', '37.358049')",0.016058997290318285,98,166,664,1712,4049,10037
"('55.640909', '37.36157')",0.10236815096464227,87,143,715,1713,4560,9975
"('55.6438807', '37.3571627')",0.20882419702644658,50,237,594,1436,4413,9475
"('55.641244', '37.356172')",0.04669227451287388,97,195,634,1357,4386,9446
"('55.63976', '37.362245')",0.07687717578649039,90,139,713,1724,4546,10057
"('55.640909', '37.36157')",0.10236815096464227,87,143,715,1713,4560,9975
"('55.634934', '37.34576')",0.008295400692965913,68,223,553,1439,3325,8475
"('55.641244', '37.356172')",0.04669227451287388,97,195,634,1357,4386,9446
"('55.641244', '37.356172')",0.04669227451287388,97,195,634,1357,4386,9446
"('55.639638', '37.397908')",0.0883967236729174,90,72,1489,820,7247,11982
"('55.638088', '37.400121')",0.15433932843633,13,115,1448,881,7206,12263
"('55.6375', '37.363564')",0.0020387680933440133,51,168,701,1814,4530,10196
"('55.644704', '37.385861')",0.050120814590772424,55,116,935,1305,6289,12049
"('55.624714', '37.376059')",0.768776649072418,0,6,1045,1555,4885,11601
"('55.643053', '37.391107')",0.07402488907186969,128,50,1146,1127,6729,12082
"('55.638912', '37.36164')",0.09566844816161532,89,144,699,1783,4432,10151
"('55.641829', '37.360699')",0.0019514016239833723,146,117,724,1697,4523,9919
"('55.633851', '37.41405')",0.07330774756682823,21,117,1266,1166,7503,12408
"('55.645852', '37.389059')",0.013070573412542247,68,163,912,1290,6503,12423
"('55.646223', '37.385978')",0.05405261159286045,60,146,784,1434,6206,12190
"('55.64216', '37.368979')",0.1746394620956087,91,84,894,1526,5285,9792
"('55.644221', '37.352327')",0.14547799220222773,82,224,575,1325,3868,9753
"('55.643053', '37.391107')",0.07402488907186969,128,50,1146,1127,6729,12082
"('55.642083', '37.327381')",0.07904117166550029,19,159,515,816,3391,7922
"('55.661816', '37.419916')",0.09159351476145633,47,136,677,2032,8261,14736
"('55.601305', '37.411346')",0.0033734419632620726,22,15,521,1327,5857,10829
"('55.636605', '37.314023')",0.0015257052272650649,45,44,532,683,2690,7463
"('55.6433374', '37.3590022')",0.19709768841022673,138,140,697,1345,4706,9534
"('55.64216', '37.368979')",0.1746394620956087,91,84,894,1526,5285,9792
"('55.6438807', '37.3571627')",0.20882419702644658,50,237,594,1436,4413,9475
"('55.647204', '37.371587')",0.11140862066465247,80,62,891,1410,5630,9635
"('55.635945', '37.344619')",0.13461136169378496,72,240,504,1251,3387,8402
"('55.648094', '37.394028')",0.08899310392594649,60,219,809,1382,6802,12619
"('55.692648', '37.496704')",0.0559548838615279,46,129,1348,2727,15380,21092
"('55.626579', '37.313502')",0.050285592956903165,68,34,686,603,2641,6975
"('55.681091', '37.459845')",0.14494376022659033,45,196,1093,2132,12299,19517
"('55.66164', '37.41553')",0.03266995001527882,42,88,693,2087,8085,14484
"('55.6674', '37.450333')",0.1734005956059696,40,89,1105,2092,11179,16546
"('55.635945', '37.344619')",0.13461136169378496,72,240,504,1251,3387,8402
"('55.64447', '37.348994')",0.025958715554938356,92,136,550,1022,3996,8685
"('55.64269', '37.3577113')",0.11409194730638766,67,209,623,1429,4508,9446
"('55.633409', '37.321524')",0.03365215916783486,47,110,554,901,2688,7755
"('55.675346', '37.500973')",0.12372014565368734,151,64,1869,2661,15497,19664
"('55.625303', '37.314346')",0.03758523609139912,67,29,668,654,2597,7002
"('55.653858', '37.396362')",0.10344249006506269,63,153,676,1583,7453,12786
"('55.655869', '37.427381')",0.1572586545797333,130,39,1276,1524,9051,14352
"('55.836999', '37.661329')",0.07153455591712396,38,370,891,2440,13968,19309
"('55.849498', '37.623171')",0.011411563795090873,42,70,1716,3120,13814,15292
"('55.854168', '37.623563')",0.042074316756458514,36,97,1590,3415,12723,15735
"('55.847295', '37.638521')",0.016545531213812345,44,78,1654,2797,13921,16759
"('55.850535', '37.654439')",0.0192009175546709,39,493,1236,2800,11331,18437
"('55.852734', '37.615677')",0.13065988803882037,54,56,1616,3486,12515,16711
"('55.857946', '37.617307')",0.14065995284811159,41,108,1317,3860,11220,17444
"('55.84771', '37.6366')",0.028676166247325673,53,70,1680,2892,13920,16655
"('55.852734', '37.615677')",0.13065988803882037,54,56,1616,3486,12515,16711
"('55.849691', '37.620905')",0.01149094416933798,37,61,1706,3230,13701,15814
"('55.856184', '37.659254')",0.06887850370956693,113,85,1680,2205,11018,16543
"('55.827656', '37.665436')",0.1531774814535328,4,88,1087,2471,15285,19019
"('55.849498', '37.623171')",0.011411563795090873,42,70,1716,3120,13814,15292
"('55.85973', '37.6653')",0.09434486376589328,29,142,1774,1962,10523,16179
"('55.838147', '37.661257')",0.07604299215024912,29,376,888,2452,13862,19030
"('55.8558', '37.68467')",0.012506524158487848,87,239,1293,1650,10820,15441
"('55.858817', '37.638755')",0.03599903696305201,31,148,1956,2634,11963,15132
"('55.793156', '37.622772')",0.002799858343913558,154,130,2714,4149,19887,22105
"('55.810596', '37.617374')",0.1657379712553234,20,113,2392,3126,19042,18932
"('55.855083', '37.660054')",0.16779960397781593,104,94,1649,2279,11062,16719
"('55.86071', '37.670967')",0.14640948627056677,25,291,1588,1950,10420,15896
"('55.849498', '37.623171')",0.011411563795090873,42,70,1716,3120,13814,15292
"('55.848731', '37.639743')",0.04101903582277127,66,76,1799,2622,13835,16717
"('55.8495', '37.63888')",0.0914378333570551,66,79,1799,2667,13737,16719
"('55.862793', '37.643058')",0.1494157944660009,23,169,2108,2322,10566,16116
"('55.8495825', '37.6409167')",0.1206913308405934,83,94,1828,2593,13582,16885
"('55.84771', '37.6366')",0.028676166247325673,53,70,1680,2892,13920,16655
"('55.850141', '37.622425')",0.08735730932348744,49,52,1728,3194,13578,15731
"('55.835508', '37.654718')",0.03434583253196939,31,49,1271,2245,14985,18648
"('55.847311', '37.628999')",0.05000553815331807,24,79,1635,2994,14081,16644
"('55.860822', '37.66123')",0.002749760324978117,34,212,1751,2149,10253,16456
"('55.860822', '37.66123')",0.002749760324978117,34,212,1751,2149,10253,16456
"('55.836266', '37.642528')",0.08239923514455474,10,26,1360,2639,15098,18476
"('55.827338', '37.666423')",0.22154962216803287,4,86,1079,2455,15283,18870
"('55.852177', '37.635916')",0.07979926557488924,32,129,1636,3111,12958,15838
"('55.86169', '37.642643')",0.08048615622466536,26,135,2083,2407,10717,16133
"('55.858868', '37.665993')",0.09835433496581998,28,128,1720,1981,10766,16101
"('55.860873', '37.613737')",0.06774496195348487,35,314,1477,3607,11013,17086
"('55.849615', '37.637614')",0.11342317254236078,51,95,1787,2783,13671,16769
