coords,moscow_stations_closest_km,moscow_stations_less500m,moscow_stations_0.5-1km,moscow_stations_1-3km,moscow_stations_3-5km,moscow_stations_5-10km,moscow_stations_10-15km
"('55.7500955', '37.5037586')",0.7443906095615586,0,2,17,21,122,116
"('55.733361', '37.486302')",0.7178775061366982,0,1,11,24,96,132
"('55.7413076', '37.4867162')",0.25434272114917517,1,1,15,19,102,126
"('55.7506794', '37.5030053')",0.8184564278632258,0,2,18,19,125,113
"('55.73582', '37.4942097')",0.7761989342865667,0,2,10,29,95,135
"('55.736594', '37.496453')",0.7746767023207669,0,2,15,22,108,126
"('55.740025', '37.496166')",0.3956397187928575,1,1,17,20,107,127
"('55.751771', '37.50822')",0.6665084385553185,0,1,18,21,123,120
"('55.737087', '37.495464')",0.7257039597559688,0,2,15,22,106,126
"('55.757936', '37.509703')",0.9064222775024023,0,2,19,20,124,119
"('55.846573', '37.482376')",0.9048290726759872,0,2,4,16,59,110
"('55.821423', '37.510754')",0.8589019497166521,0,1,9,23,99,104
"('55.818685', '37.497198')",0.04564996559916075,1,1,11,14,101,99
"('55.831145', '37.489266')",0.7306191749378521,0,2,7,15,82,104
"('55.8303', '37.501545')",0.6027674044259409,0,1,7,22,81,113
"('55.8370552', '37.4976526')",0.6702643882363605,0,1,6,24,70,114
"('55.8367492', '37.4929738')",0.42255550653604085,1,0,7,19,68,114
"('55.821325', '37.513413')",1.015084981065258,0,0,10,24,103,102
"('55.831146', '37.52314')",0.965163936463238,0,1,5,27,77,122
"('55.839572', '37.493183')",0.3612144869395326,1,0,5,20,68,109
"('55.831817', '37.503621')",0.8157149877110993,0,1,6,23,80,110
"('55.823156', '37.500881')",0.4221533766187071,1,1,9,16,96,104
"('55.835753', '37.49187')",0.45097955884622754,1,0,7,19,70,112
"('55.839572', '37.493183')",0.3612144869395326,1,0,5,20,68,109
"('55.8370552', '37.4976526')",0.6702643882363605,0,1,6,24,70,114
"('55.840533', '37.493614')",0.41949982004058556,1,0,6,18,70,106
"('55.840533', '37.493614')",0.41949982004058556,1,0,6,18,70,106
"('55.840443', '37.528423')",0.5329937425203137,0,1,10,19,81,113
"('55.853142', '37.501142')",1.533138119850196,0,0,6,17,65,102
"('55.8370552', '37.4976526')",0.6702643882363605,0,1,6,24,70,114
"('55.8231', '37.493743')",0.3385535499248679,1,1,9,12,98,101
"('55.840533', '37.493614')",0.41949982004058556,1,0,6,18,70,106
"('55.8370552', '37.4976526')",0.6702643882363605,0,1,6,24,70,114
"('55.8476007', '37.4771523')",0.7298998951007095,0,1,6,14,58,104
"('55.8367492', '37.4929738')",0.42255550653604085,1,0,7,19,68,114
"('55.838799', '37.488445')",0.06158058878090045,1,0,7,17,70,108
"('55.82318', '37.511436')",0.9778282221625784,0,1,9,21,98,103
"('55.831104', '37.49203')",0.6401725699331032,0,2,6,16,81,103
"('55.8303', '37.501545')",0.6027674044259409,0,1,7,22,81,113
"('55.832293', '37.504456')",0.8892742095295937,0,1,7,22,81,109
"('55.814689', '37.463933')",0.5904648813061537,0,3,6,15,82,106
"('55.841561', '37.495863')",0.5968560866353321,0,1,6,18,70,105
"('55.84955', '37.478703')",0.5271023544371253,0,1,7,13,60,99
"('55.82118', '37.49531')",0.29552009177398536,1,1,9,13,100,100
"('55.831817', '37.503621')",0.8157149877110993,0,1,6,23,80,110
"('55.822083', '37.51161')",0.9349237981198427,0,1,9,22,101,103
"('55.8492552', '37.4955888')",1.2510479379924286,0,0,7,16,66,103
"('55.835753', '37.49187')",0.45097955884622754,1,0,7,19,70,112
"('55.818144', '37.505597')",0.49694494376373916,1,0,12,16,104,97
"('55.8231', '37.493743')",0.3385535499248679,1,1,9,12,98,101
"('55.844167', '37.484685')",0.6043292337680067,0,1,6,18,62,107
"('55.827737', '37.467284')",1.6181921981235246,0,0,10,10,74,105
"('55.802012', '37.566889')",0.9347688175317403,0,1,15,34,121,114
"('55.848564', '37.48835')",0.9575693076508827,0,1,7,17,59,108
"('55.763857', '37.560134')",0.1344943159616486,1,0,22,46,118,136
"('55.76104', '37.573364')",0.24668483993209278,2,1,27,39,127,131
"('55.764967', '37.565479')",0.23135117359633478,1,1,23,46,123,132
"('55.764222', '37.565183')",0.18539494310571572,1,1,23,46,122,132
"('55.770071', '37.57298')",0.9576916844697764,0,1,21,48,115,140
"('55.762693', '37.565937')",0.26899557714078265,1,2,23,45,123,131
"('55.760915', '37.554861')",0.5745501242365526,0,1,21,40,125,129
"('55.769386', '37.586716')",0.5965994484054545,0,3,27,45,127,132
"('55.76447', '37.582207')",0.41384560198575526,1,1,27,48,120,142
"('55.765362', '37.564922')",0.22938245600768753,1,1,24,44,126,128
"('55.764247', '37.573744')",0.47990902153663567,1,2,25,44,119,138
"('55.759461', '37.572675')",0.296789460626277,1,2,26,41,126,133
"('55.768694', '37.586104')",0.6451970580174053,0,2,28,44,128,131
"('55.763523', '37.556559')",0.3616094409168448,1,0,25,36,127,127
"('55.728109', '37.61759')",0.32582170935104465,3,1,18,43,130,135
"('55.779104', '37.612578')",0.7128756918032016,0,3,31,35,134,122
"('55.7662037', '37.6169983')",0.3518417569631876,1,7,30,41,125,134
"('55.7577', '37.559593')",0.7152304114078931,0,1,22,39,129,127
"('55.766694', '37.570564')",0.6039221129062424,0,3,22,46,120,136
"('55.76156', '37.54907')",0.8701563066607279,0,1,22,38,123,130
"('55.759136', '37.574005')",0.23920113004746713,2,1,28,40,128,133
"('55.76762', '37.587021')",0.6250429797913648,0,2,27,44,127,135
"('55.769388', '37.580795')",0.9001534972070768,0,4,25,45,120,141
"('55.76685', '37.58739')",0.6431770412027441,0,3,25,47,124,138
"('55.76459', '37.58984')",0.6855878973481698,0,5,26,49,120,141
"('55.7660148', '37.5714951')",0.6232202148953296,0,3,22,46,120,138
"('55.76917', '37.588323')",0.4989690175374387,1,2,29,43,129,132
"('55.767934', '37.582808')",0.8011152252549654,0,3,26,47,121,138
"('55.742727', '37.64613')",0.45395909120674743,1,2,31,33,139,120
"('55.756158', '37.550693')",0.8302507408184826,0,1,18,42,120,135
"('55.768537', '37.6009')",0.3276301996432595,3,1,35,40,133,129
"('55.7666059', '37.5676078')",0.44727528911576936,1,1,24,43,122,133
"('55.764065', '37.569782')",0.4716761969839543,1,2,26,43,124,131
"('55.754801', '37.58455')",0.6987132847332316,0,3,26,50,120,144
"('55.75753', '37.575027')",0.3430925247825528,1,1,28,40,127,135
"('55.761745', '37.56654')",0.36298410221892613,1,2,25,43,125,129
"('55.765793', '37.574635')",0.622652427453061,0,3,26,45,121,138
"('55.767097', '37.5686125')",0.5307379502176433,0,2,20,48,116,139
"('55.754593', '37.56892')",0.8243177396871053,0,1,29,36,134,128
"('55.766056', '37.58832')",0.6470204243194262,0,4,26,47,121,139
"('55.761338', '37.567906')",0.4575072696870548,1,2,26,43,123,135
"('55.775555', '37.68164')",0.3868120075211677,1,0,18,38,115,124
"('55.765854', '37.677734')",0.7339644045524994,0,1,23,43,117,130
"('55.775753', '37.671938')",0.5810275068204436,0,2,21,39,119,120
"('55.772168', '37.677409')",0.1057065469459158,1,0,24,39,120,120
"('55.77142', '37.668434')",0.6746035114107768,0,3,23,40,123,125
"('55.795834', '37.717939')",0.27862390415021404,1,0,12,12,109,99
"('55.790423', '37.680499')",0.1325666816861718,2,0,14,35,103,123
"('55.762703', '37.661213')",0.4806110069957634,2,1,28,38,129,124
"('55.772041', '37.686788')",0.48794445674800313,1,0,21,33,117,123
"('55.77325', '37.6812')",0.1650061864604359,1,0,22,36,119,120
"('55.7749976', '37.6729808')",0.47740559984134406,1,1,19,43,117,122
"('55.775459', '37.673519')",0.48545303662047384,1,1,20,42,118,121
"('55.777094', '37.681443')",0.5434061189861252,0,1,17,36,117,121
"('55.77471', '37.68217')",0.32318002788570904,1,0,18,39,113,126
"('55.762543', '37.67272')",0.9663899158962157,0,2,23,47,116,136
"('55.7749976', '37.6729808')",0.47740559984134406,1,1,19,43,117,122
"('55.775915', '37.686877')",0.6281780536276275,0,1,17,37,111,126
"('55.776993', '37.714634')",0.739612856170027,0,4,11,23,113,112
"('55.766148', '37.67139')",0.8460763775798124,0,1,28,38,126,125
"('55.777094', '37.681443')",0.5434061189861252,0,1,17,36,117,121
"('55.762794', '37.677921')",1.072368208995172,0,0,26,39,122,125
"('55.77314', '37.693561')",0.914980803496745,0,1,18,32,110,127
"('55.773793', '37.694845')",1.0038537055730297,0,0,18,31,110,126
"('55.771206', '37.658212')",0.39269216999534506,1,2,23,43,121,131
"('55.66994', '37.536032')",0.8717144756355638,0,1,9,15,81,138
"('55.7224', '37.619946')",0.5531766739252864,0,4,11,47,119,145
"('55.724728', '37.664516')",0.7739393885565143,0,2,16,37,127,128
"('55.816424', '37.705257')",1.5399831755410605,0,0,5,15,99,100
"('55.819176', '37.721193')",0.8386883770393485,0,1,4,12,86,105
"('55.823151', '37.715956')",1.2300423316108626,0,0,5,12,81,110
"('55.819555', '37.707566')",1.243157102451206,0,0,4,14,93,104
"('55.820632', '37.713701')",1.3242681494781499,0,0,5,13,84,111
"('55.819386', '37.706489')",1.238871112085435,0,0,3,16,91,106
"('55.820025', '37.714626')",1.2413447345162112,0,0,5,13,85,110
"('55.821072', '37.70276')",1.0035831846756955,0,0,4,17,88,110
"('55.817448', '37.711975')",1.3004917512821024,0,0,5,13,91,107
"('55.818954', '37.71327')",1.2705655936747644,0,0,5,13,86,111
"('55.813477', '37.710197')",1.390361834842532,0,0,5,15,98,102
"('55.806504', '37.720097')",1.2050239244977068,0,0,11,11,101,104
"('55.863758', '37.665436')",0.7694093407966959,0,1,4,6,55,105
"('55.793896', '37.712067')",0.28633378171550955,1,0,12,17,110,105
"('55.815549', '37.757817')",1.5677310166743665,0,0,4,10,61,110
"('55.814518', '37.729305')",0.1884664488449537,1,0,5,12,86,108
"('55.7762572', '37.7368937')",0.8730427892244954,0,1,14,17,108,103
"('55.799143', '37.729359')",1.038157425489946,0,0,10,13,99,107
"('55.766735', '37.73041')",0.6945238825103415,0,1,13,25,106,113
"('55.820025', '37.714626')",1.2413447345162112,0,0,5,13,85,110
"('55.811508', '37.698915')",1.9247527398759503,0,0,5,20,100,105
"('55.819359', '37.702035')",1.188375229530373,0,0,3,18,92,107
"('55.8167', '37.72118')",0.7204493736002798,0,1,4,13,85,109
"('55.822711', '37.719055')",1.1979011202333216,0,0,5,11,84,106
"('55.79988', '37.730618')",0.9501633052185572,0,1,9,14,97,109
"('55.8058209', '37.7547534')",0.6350096638276889,0,2,6,9,77,100
"('55.7755746', '37.7378258')",0.777145011287733,0,1,13,19,106,105
"('55.7946813', '37.6844009')",0.6642784085190243,0,2,9,34,102,120
"('55.807907', '37.706629')",1.361559648904183,0,0,11,17,102,107
"('55.78549', '37.68692')",0.6103071750185822,0,2,11,35,104,126
"('55.82779', '37.75684')",2.105857044684297,0,0,3,7,49,110
"('55.788819', '37.698358')",0.8697658883149444,0,3,9,31,103,121
"('55.811594', '37.708203')",1.5508931939137682,0,0,5,18,97,104
"('55.814598', '37.705158')",1.6973486597769536,0,0,5,19,92,109
"('55.818948', '37.702706')",1.2378708299642243,0,0,3,18,93,106
"('55.759693', '37.738503')",0.8477052663996356,0,1,8,31,98,116
"('55.79343', '37.72872')",1.0026087454504256,0,0,11,13,105,104
"('55.809525', '37.789734')",0.5368432056987558,0,1,4,5,51,108
"('55.792903', '37.802877')",0.27468427892947456,1,0,3,9,49,110
"('55.792078', '37.770061')",0.7853811468630424,0,1,7,11,77,104
"('55.764171', '37.739716')",0.736928481575819,0,1,13,24,104,108
"('55.859478', '37.482124')",0.6825151585217492,0,2,7,13,56,98
"('55.862882', '37.474886')",0.28146199570343733,1,1,8,8,58,89
"('55.86929', '37.479736')",0.5046646208271708,0,1,6,9,53,76
"('55.863439', '37.506586')",0.6878431924710258,0,1,8,15,59,94
"('55.872567', '37.462586')",1.1469395787418835,0,0,9,2,56,66
"('55.858897', '37.500118')",1.3038305062522688,0,0,8,13,62,96
"('55.874733', '37.465225')",1.0496697287626504,0,0,8,3,54,64
"('55.85967', '37.499839')",1.2350472761166869,0,0,8,13,60,96
"('55.86795', '37.463116')",0.8381534652802893,0,1,7,5,53,74
"('55.867536', '37.488332')",0.8273247229846207,0,1,6,13,51,98
"('55.849054', '37.486059')",0.8146897416234732,0,1,7,16,60,105
"('55.866325', '37.491943')",1.0230068578446083,0,0,7,12,54,95
"('55.861231', '37.495024')",1.2728981358051834,0,0,8,12,59,95
"('55.868359', '37.463673')",0.8228266326338523,0,1,7,5,53,74
"('55.868662', '37.456755')",1.2409831507909161,0,0,8,4,53,71
"('55.85463', '37.472702')",0.25769245983536515,1,0,8,11,59,99
"('55.868395', '37.462514')",0.8911759381547891,0,1,8,4,53,73
"('55.856391', '37.4781')",0.26368051277726,1,0,8,11,59,98
"('55.863373', '37.492922')",1.101441743041582,0,0,7,12,58,94
"('55.863828', '37.518219')",0.5419014206812227,0,2,10,12,65,94
"('55.865152', '37.472081')",0.2273708267080875,1,0,8,8,55,81
"('55.868794', '37.494665')",0.9107553363997509,0,1,6,15,50,97
"('55.84979', '37.476196')",0.4868029465755921,1,0,7,13,59,101
"('55.866809', '37.488655')",0.8272766515354223,0,1,6,13,51,97
"('55.874733', '37.465225')",1.0496697287626504,0,0,8,3,54,64
"('55.868662', '37.456755')",1.2409831507909161,0,0,8,4,53,71
"('55.84776', '37.487602')",0.9777940976582196,0,2,6,17,59,110
"('55.862317', '37.490897')",1.0108418444329357,0,0,7,12,58,96
"('55.870789', '37.462334')",1.0312743799038904,0,0,9,2,55,68
"('55.856598', '37.470078')",0.49759991810871795,1,0,8,11,57,99
"('55.778628', '37.589419')",0.47754274352420006,2,2,25,47,115,141
"('55.80774', '37.508812')",0.4705385894795183,1,0,13,15,118,96
"('55.773598', '37.590508')",0.5525518267225175,0,4,31,40,129,130
"('55.769388', '37.566755')",0.6682806993687522,0,1,22,43,120,135
"('55.779084', '37.571498')",0.6904445392766682,0,2,16,53,111,142
"('55.777353', '37.576735')",0.3372339071784922,2,0,19,50,114,139
"('55.77382', '37.580086')",0.42241957524999324,2,0,23,46,117,142
"('55.771555', '37.571318')",0.9421222529450977,0,2,19,49,115,140
"('55.772512', '37.585547')",0.5895098475015936,0,3,27,44,124,136
"('55.772421', '37.581173')",0.561758901283104,0,3,23,45,119,141
"('55.773165', '37.583463')",0.48340612290899104,2,1,25,43,122,137
"('55.776112', '37.588485')",0.4266310919863603,2,3,27,45,123,134
"('55.776856', '37.574911')",0.4561999319009683,2,0,19,49,115,138
"('55.777753', '37.580409')",0.11213928374813399,2,0,22,47,116,141
"('55.80774', '37.508812')",0.4705385894795183,1,0,13,15,118,96
"('55.7711551', '37.5722103')",0.9355346374445199,0,2,19,50,113,142
"('55.771828', '37.586384')",0.6553631283701532,0,3,27,45,125,135
"('55.77314', '37.578712')",0.523915848551183,0,2,22,47,116,144
"('55.780162', '37.578855')",0.36545000020159085,2,0,22,47,112,140
"('55.780785', '37.57977')",0.4003589742756531,2,0,22,47,112,140
"('55.80774', '37.508812')",0.4705385894795183,1,0,13,15,118,96
"('55.769388', '37.580795')",0.9001534972070768,0,4,25,45,120,141
"('55.783939', '37.587371')",0.7694129810146344,0,4,20,47,113,143
"('55.773537', '37.58013')",0.4518075150912993,2,0,24,44,119,141
"('55.769271', '37.56582')",0.6335503577519226,0,1,24,41,123,133
"('55.78118', '37.578532')",0.47308095862550587,2,0,23,46,113,140
"('55.78089', '37.580982')",0.39065763588221136,2,0,22,47,111,141
"('55.775692', '37.590731')",0.5750685771789424,0,5,27,45,125,132
"('55.773768', '37.592482')",0.4986025388958989,1,3,33,38,133,125
"('55.778644', '37.582709')",0.13937874517511448,2,0,22,47,114,144
"('55.769995', '37.572046')",0.911221834361854,0,1,19,49,114,141
"('55.76998', '37.586723')",0.594611058987269,0,3,27,45,126,134
"('55.771646', '37.584469')",0.6617931415624373,0,3,26,45,121,139
"('55.769388', '37.580795')",0.9001534972070768,0,4,25,45,120,141
"('55.7803455', '37.5796864')",0.35747643130783385,2,0,22,47,112,140
"('55.777753', '37.580409')",0.11213928374813399,2,0,22,47,116,141
"('55.777753', '37.580409')",0.11213928374813399,2,0,22,47,116,141
"('55.78583', '37.573853')",1.0681791530507208,0,0,22,47,113,135
"('55.778628', '37.589419')",0.47754274352420006,2,2,25,47,115,141
"('55.768446', '37.571938')",0.787041232096093,0,2,20,48,116,139
"('55.805678', '37.504814')",0.6542048616830972,0,2,10,18,115,97
"('55.64191', '37.509075')",1.074129580975694,0,0,7,8,61,104
"('55.64005', '37.516431')",0.6616834265594996,0,2,4,11,58,110
"('55.642403', '37.519127')",0.4400479725348324,1,0,6,10,61,111
"('55.653538', '37.52261')",1.1537548486468077,0,0,9,11,68,126
"('55.63941', '37.528765')",0.36810159527966047,1,0,5,14,57,114
"('55.6418045', '37.5346585')",0.5414738475063942,0,1,4,15,59,120
"('55.649063', '37.533957')",0.8951110030501085,0,2,5,15,61,132
"('55.634207', '37.512667')",0.48526847957450747,1,0,4,12,55,100
"('55.645878', '37.526528')",0.39287331737075576,1,0,5,11,63,119
"('55.642606', '37.547405')",1.3408651138522245,0,0,5,18,58,127
"('55.649362', '37.497773')",1.6371885529148993,0,0,7,10,61,107
"('55.635716', '37.534352')",0.9031821255677213,0,1,4,16,53,111
"('55.646045', '37.525522')",0.4122989188251232,1,0,5,11,64,117
"('55.633033', '37.517823')",0.15553617006453643,1,0,4,12,54,104
"('55.634629', '37.537137')",1.1054676652966222,0,0,5,13,58,106
"('55.649362', '37.497773')",1.6371885529148993,0,0,7,10,61,107
"('55.6301641', '37.5145688')",0.3449701183385853,1,0,4,9,58,89
"('55.615751', '37.493937')",0.824199247350053,0,1,2,7,52,68
"('55.651074', '37.515632')",1.1736752899354759,0,0,9,8,68,119
"('55.648621', '37.522432')",0.73494700891762,0,1,5,11,63,125
"('55.645395', '37.522863')",0.3953884603724433,1,0,5,11,63,115
"('55.646604', '37.519413')",0.6337599831670475,0,1,6,10,64,110
"('55.631066', '37.509487')",0.6153383976245808,0,1,3,10,57,90
"('55.647087', '37.503073')",1.5434338879995217,0,0,7,10,63,105
"('55.648275', '37.520509')",0.7474720923360046,0,1,5,11,63,123
"('55.635716', '37.534352')",0.9031821255677213,0,1,4,16,53,111
"('55.63755', '37.528972')",0.5646188148443968,0,2,3,16,54,110
"('55.643266', '37.502004')",1.5215665194706787,0,0,7,8,62,99
"('55.649408', '37.526133')",0.7850265564208408,0,1,5,12,62,128
"('55.641388', '37.545715')",1.2388888088333068,0,0,5,18,57,128
"('55.679817', '37.515057')",0.7526479496698153,0,2,8,15,87,126
"('55.670041', '37.498977')",0.805892196668927,0,2,6,17,71,125
"('55.663004', '37.475881')",0.4390010355008455,1,0,8,13,63,107
"('55.604336', '37.534794')",0.22351593834606803,1,0,4,8,46,62
"('55.661013', '37.522351')",0.9809268370545069,0,1,7,14,75,125
"('55.686493', '37.56599')",0.40350032964339966,1,0,8,20,112,127
"('55.634578', '37.51591')",0.36547292884781074,1,0,4,12,55,103
"('55.658144', '37.485403')",0.5795832818303192,0,1,5,17,54,117
"('55.67484', '37.506683')",0.23160935156563237,2,0,10,14,79,124
"('55.655712', '37.58005')",0.40033879680483864,1,0,11,10,76,138
"('55.688974', '37.556415')",1.019574194845343,0,0,7,22,107,135
"('55.643033', '37.475468')",0.3698798357482244,1,0,3,13,48,93
"('55.663603', '37.488772')",0.37602750857683065,1,0,8,15,62,119
"('55.67981', '37.5432')",1.2431506194083555,0,0,9,20,90,139
"('55.668056', '37.506738')",0.9552387305947371,0,3,5,18,73,126
"('55.658236', '37.564644')",0.6347156540275589,0,1,8,14,74,139
"('55.643612', '37.507906')",1.1550433583335826,0,0,7,8,62,108
"('55.653715', '37.5300411')",0.7127724732613354,0,2,5,15,66,132
"('55.644506', '37.534299')",0.5681490934218256,0,1,5,14,61,129
"('55.6538', '37.514057')",1.4830439588240503,0,0,9,9,68,121
"('55.635963', '37.539303')",1.0938357257944307,0,0,5,14,56,113
"('55.6466', '37.532852')",0.6348980591456568,0,1,6,12,64,130
"('55.649362', '37.497773')",1.6371885529148993,0,0,7,10,61,107
"('55.646863', '37.534613')",0.7334703237032706,0,1,6,12,64,129
"('55.636001', '37.541278')",1.1884930231816069,0,0,6,14,56,114
"('55.648153', '37.537191')",0.9501311646803093,0,2,5,14,63,130
"('55.637897', '37.540802')",1.049729562949733,0,0,5,17,55,117
"('55.640495', '37.54685')",1.3220216607298694,0,0,5,18,57,125
"('55.6301641', '37.5145688')",0.3449701183385853,1,0,4,9,58,89
"('55.643937', '37.528855')",0.2463944027949839,1,0,5,13,59,123
"('55.638333', '37.530939')",0.5412883861834782,0,1,4,15,57,111
"('55.643266', '37.502004')",1.5215665194706787,0,0,7,8,62,99
"('55.640316', '37.530857')",0.37523095459152783,1,0,5,14,59,115
"('55.642718', '37.503396')",1.4311215393733663,0,0,7,8,62,98
"('55.667823', '37.548258')",0.4657308537716916,1,0,10,18,81,145
"('55.668442', '37.559856')",0.38343006304185207,1,0,9,16,90,135
"('55.693597', '37.577678')",0.7937826647053408,0,1,8,24,118,133
"('55.671102', '37.540012')",0.9182981413759981,0,1,9,16,85,142
"('55.643769', '37.496075')",1.5032117003563612,0,0,5,9,60,100
"('55.626213', '37.510152')",0.8464742635988715,0,2,2,10,56,84
"('55.665101', '37.552462')",0.5685575733425986,0,1,6,19,80,139
"('55.63755', '37.528972')",0.5646188148443968,0,2,3,16,54,110
"('55.645634', '37.542763')",1.1099214361995102,0,0,7,15,59,134
"('55.644313', '37.537281')",0.7360340673934491,0,1,5,14,61,129
"('55.639176', '37.513008')",0.8981271630927947,0,2,4,11,58,106
"('55.636497', '37.5146')",0.5909361432049893,0,2,4,12,56,105
"('55.6266371', '37.5219362')",0.6069695484637776,0,1,3,9,60,87
"('55.66013', '37.491413')",0.634871040426676,0,1,6,17,61,117
"('55.634014', '37.524219')",0.39919638580469924,1,1,4,11,56,102
"('55.646101', '37.537137')",0.8095598715844411,0,1,6,12,63,130
"('55.632499', '37.523016')",0.2534078746813509,1,0,4,9,57,99
"('55.875218', '37.545276')",0.5218252471915014,0,2,8,15,51,100
"('55.882671', '37.562712')",0.3161935888902474,1,0,7,9,49,92
"('55.880226', '37.55044')",0.31566025015417326,1,0,10,10,53,91
"('55.873257', '37.561096')",1.075980662468341,0,0,10,8,62,93
"('55.892242', '37.574245')",1.0756788030704418,0,0,6,9,43,82
"('55.680174', '37.666557')",0.3545221191627599,1,0,8,17,103,126
"('55.871326', '37.59044')",1.2062794586482042,0,0,10,10,58,105
"('55.889286', '37.5596')",0.939060878092988,0,1,6,10,45,79
"('55.883145', '37.561275')",0.41547226067412074,1,0,7,9,47,94
"('55.879728', '37.560332')",0.5353992751988189,0,2,9,11,51,95
"('55.874714', '37.589016')",1.343870107475219,0,0,11,9,58,96
"('55.878324', '37.55999')",0.6455133849404848,0,2,9,12,51,97
"('55.810654', '37.56483')",0.9234026560503831,0,1,14,34,112,114
"('55.78552', '37.60524')",0.547818837735585,0,2,23,43,124,129
"('55.863621', '37.559388')",0.8348953416655557,0,5,6,13,66,102
"('55.858923', '37.563063')",0.43086597076452887,3,1,12,10,73,104
"('55.808902', '37.568156')",0.8565485337511615,0,1,13,32,120,107
"('55.884161', '37.563449')",0.3449015743132087,1,0,7,9,47,92
"('55.87183', '37.56465')",0.8794968882589737,0,1,9,9,63,95
"('55.87358', '37.588467')",1.3053014088568724,0,0,11,10,56,100
"('55.881066', '37.564509')",0.2346195033728881,1,0,10,6,53,93
"('55.873222', '37.59009')",1.355913795806933,0,0,11,9,57,99
"('55.874799', '37.548995')",0.6106409978984007,0,2,8,13,56,98
"('55.884161', '37.563449')",0.3449015743132087,1,0,7,9,47,92
"('55.878526', '37.563889')",0.471440886885065,1,0,11,7,59,89
"('55.8775119', '37.5388126')",0.49236126960574234,1,0,10,12,53,91
"('55.874065', '37.591682')",1.3015564936734543,0,0,11,9,57,98
"('55.884737', '37.594144')",0.5632605370341498,0,1,4,13,38,99
"('55.874065', '37.591682')",1.3015564936734543,0,0,11,9,57,98
"('55.880783', '37.562901')",0.3377168950723907,1,0,10,8,52,94
"('55.8798721', '37.5810486')",0.8747621062989968,0,1,6,11,52,95
"('55.89287', '37.561527')",1.2235232606374524,0,0,5,10,42,76
"('55.889137', '37.559021')",0.9454422380644237,0,1,6,10,45,79
"('55.871602', '37.560664')",1.017298890187708,0,0,10,8,66,90
"('55.85721', '37.439607')",0.3257391600121086,1,1,3,12,42,92
"('55.891996', '37.600388')",0.919733033677922,0,1,2,13,36,86
"('55.895858', '37.631658')",2.0606185192774142,0,0,3,5,36,76
"('55.878131', '37.610755')",0.8018089050161111,0,1,4,13,44,100
"('55.869915', '37.613728')",0.8298764566546609,0,1,4,16,49,112
"('55.882308', '37.635251')",1.7683872131062197,0,0,4,6,43,93
"('55.869656', '37.61001')",0.6745490816887784,0,1,4,16,49,116
"('55.878723', '37.622353')",1.339198405928053,0,0,4,12,45,98
"('55.89346', '37.653891')",0.7655814389908443,0,1,1,5,32,82
"('55.89346', '37.653891')",0.7655814389908443,0,1,1,5,32,82
"('55.9347854', '37.5543862')",1.5554188290480193,0,0,3,3,25,39
"('55.8534582', '37.6434107')",0.6666248755043015,0,1,5,16,67,111
"('55.863014', '37.67102')",0.9465560284646451,0,1,4,6,55,104
"('55.8592', '37.67431')",1.372038392540004,0,0,4,6,58,109
"('55.880974', '37.641061')",1.5086157043273745,0,0,5,6,40,96
"('55.836838', '37.667564')",0.29045875190704035,1,0,7,9,87,109
"('55.886357', '37.644863')",1.0628579602613313,0,0,3,5,35,96
"('55.875925', '37.603424')",0.8847484476016929,0,1,4,15,46,107
"('55.892223', '37.65523')",0.606128081392158,0,1,1,5,33,85
"('55.875925', '37.603424')",0.8847484476016929,0,1,4,15,46,107
"('55.89821', '37.61854')",1.8692067530712904,0,0,3,5,37,76
"('55.87044', '37.60794')",0.7098140464898473,0,1,4,14,49,116
"('55.885323', '37.643856')",1.1503788220059188,0,0,3,6,34,99
"('55.893536', '37.66477')",0.6373412141655705,0,1,1,5,30,81
"('55.88793', '37.617294')",1.0016901439445256,0,0,4,9,38,92
"('55.87233', '37.604046')",0.8993317446233722,0,1,4,16,46,111
"('55.775818', '37.616287')",0.5327460443433099,0,2,35,29,139,117
"('55.747692', '37.568929')",0.5917893406861924,0,2,22,43,126,133
"('55.752766', '37.536427')",0.33515964715319374,4,3,18,34,124,124
"('55.741029', '37.576313')",0.7996000563443324,0,2,21,41,128,129
"('55.7755221', '37.5984969')",0.48645053877925587,1,2,32,33,142,113
"('55.7377562', '37.5711381')",0.7415427033759494,0,1,22,36,135,124
"('55.761573', '37.631469')",0.42824102900092276,2,7,29,40,133,124
"('55.579215', '37.657026')",2.8949400464042894,0,0,1,7,31,48
"('55.588618', '37.642231')",1.7161668030998904,0,0,5,7,39,50
"('55.583118', '37.646768')",2.131310291711114,0,0,3,9,33,47
"('55.57603', '37.64607')",2.248830297706802,0,0,2,7,31,47
"('55.580788', '37.646525')",2.2214600809216445,0,0,3,8,33,47
"('55.582665', '37.644279')",2.004433138648178,0,0,4,8,35,45
"('55.575785', '37.655347')",2.8152602787925485,0,0,2,5,32,43
"('55.585652', '37.641971')",1.756535805848899,0,0,5,7,37,49
"('55.583037', '37.641962')",1.8539747870648944,0,0,5,7,36,45
"('55.589198', '37.647819')",1.8264559782620673,0,0,2,9,35,52
"('55.603721', '37.655746')",1.4945951260986747,0,0,4,8,43,66
"('55.632814', '37.612506')",0.9508197399651013,0,1,6,11,57,121
"('55.591986', '37.669953')",2.682873786905722,0,0,2,8,34,55
"('55.599672', '37.664599')",2.0829338088651452,0,0,3,9,37,60
