coords,train_stations_closest_km,train_stations_less500m,train_stations_0.5-1km,train_stations_1-3km,train_stations_3-5km,train_stations_5-10km,train_stations_10-15km
"('55.604336', '37.534794')",15.439812435405772,0,0,0,0,0,0
"('55.661013', '37.522351')",9.54659336316693,0,0,0,0,1,3
"('55.686493', '37.56599')",6.300396587889045,0,0,0,0,3,6
"('55.634578', '37.51591')",12.48978159776022,0,0,0,0,0,2
"('55.658144', '37.485403')",10.738914132308132,0,0,0,0,0,3
"('55.67484', '37.506683')",8.472854115287708,0,0,0,0,1,7
"('55.655712', '37.58005')",9.051487907302066,0,0,0,0,2,5
"('55.688974', '37.556415')",6.056345070525286,0,0,0,0,3,6
"('55.643033', '37.475468')",12.51936542567445,0,0,0,0,0,2
"('55.663603', '37.488772')",10.103674495033182,0,0,0,0,0,3
"('55.67981', '37.5432')",7.193015867085746,0,0,0,0,2,7
"('55.668056', '37.506738')",9.15496893690886,0,0,0,0,1,4
"('55.658236', '37.564644')",9.249937566410408,0,0,0,0,2,5
"('55.643612', '37.507906')",11.668288531183993,0,0,0,0,0,2
"('55.653715', '37.5300411')",10.208155403797022,0,0,0,0,0,4
"('55.644506', '37.534299')",11.158441498769168,0,0,0,0,0,3
"('55.6538', '37.514057')",10.469773723247464,0,0,0,0,0,4
"('55.635963', '37.539303')",12.046763475712893,0,0,0,0,0,2
"('55.6466', '37.532852')",10.946349258016685,0,0,0,0,0,4
"('55.649362', '37.497773')",11.290081452897267,0,0,0,0,0,2
"('55.646863', '37.534613')",10.896797120046818,0,0,0,0,0,4
"('55.636001', '37.541278')",12.025664780792361,0,0,0,0,0,2
"('55.648153', '37.537191')",10.726740962183426,0,0,0,0,0,4
"('55.637897', '37.540802')",11.82045199795993,0,0,0,0,0,2
"('55.640495', '37.54685')",11.487159047953133,0,0,0,0,0,3
"('55.6301641', '37.5145688')",12.986632826750878,0,0,0,0,0,2
"('55.643937', '37.528855')",11.287260495479124,0,0,0,0,0,2
"('55.638333', '37.530939')",11.872898698382889,0,0,0,0,0,2
"('55.643266', '37.502004')",11.826635677559562,0,0,0,0,0,2
"('55.640316', '37.530857')",11.657086128921128,0,0,0,0,0,2
"('55.642718', '37.503396')",11.854477680046937,0,0,0,0,0,2
"('55.667823', '37.548258')",8.455761786453321,0,0,0,0,2,7
"('55.668442', '37.559856')",8.320075938237006,0,0,0,0,2,7
"('55.693597', '37.577678')",5.555308842533016,0,0,0,0,4,5
"('55.671102', '37.540012')",8.183058556156123,0,0,0,0,2,7
"('55.643769', '37.496075')",11.907289055766402,0,0,0,0,0,2
"('55.626213', '37.510152')",13.483111727708176,0,0,0,0,0,2
"('55.665101', '37.552462')",8.725788501119608,0,0,0,0,2,6
"('55.63755', '37.528972')",11.982190901002415,0,0,0,0,0,2
"('55.645634', '37.542763')",10.950263615478256,0,0,0,0,0,4
"('55.644313', '37.537281')",11.147305646479177,0,0,0,0,0,3
"('55.639176', '37.513008')",12.044839222881128,0,0,0,0,0,2
"('55.636497', '37.5146')",12.3047637847758,0,0,0,0,0,2
"('55.6266371', '37.5219362')",13.261892330520329,0,0,0,0,0,2
"('55.66013', '37.491413')",10.367592446303684,0,0,0,0,0,3
"('55.634014', '37.524219')",12.428754946931942,0,0,0,0,0,2
"('55.646101', '37.537137')",10.952487453638657,0,0,0,0,0,4
"('55.632499', '37.523016')",12.609747085475762,0,0,0,0,0,2
"('55.875218', '37.545276')",9.39405021276619,0,0,0,0,1,7
"('55.882671', '37.562712')",9.960399123526033,0,0,0,0,1,6
"('55.880226', '37.55044')",9.847171620444952,0,0,0,0,1,5
"('55.873257', '37.561096')",8.945883326397073,0,0,0,0,1,8
"('55.892242', '37.574245')",10.932762796786195,0,0,0,0,0,7
"('55.680174', '37.666557')",5.77448924888403,0,0,0,0,3,7
"('55.871326', '37.59044')",8.570789156086228,0,0,0,0,2,7
"('55.889286', '37.5596')",10.718827745919777,0,0,0,0,0,6
"('55.883145', '37.561275')",10.02719044442507,0,0,0,0,0,7
"('55.879728', '37.560332')",9.662803429524393,0,0,0,0,1,7
"('55.874714', '37.589016')",8.946930562907522,0,0,0,0,2,7
"('55.878324', '37.55999')",9.5130254360785,0,0,0,0,1,7
"('55.810654', '37.56483')",2.3280043028551134,0,0,1,2,6,4
"('55.78552', '37.60524')",1.4579670328009158,0,0,3,4,6,4
"('55.863621', '37.559388')",7.918644877092428,0,0,0,0,3,6
"('55.858923', '37.563063')",7.357708702089492,0,0,0,0,3,6
"('55.808902', '37.568156')",2.0457054480383863,0,0,1,2,7,3
"('55.884161', '37.563449')",10.117049039644577,0,0,0,0,0,7
"('55.87183', '37.56465')",8.749799586513104,0,0,0,0,2,7
"('55.87358', '37.588467')",8.820515038740785,0,0,0,0,2,7
"('55.881066', '37.564509')",9.766372030742257,0,0,0,0,1,6
"('55.873222', '37.59009')",8.781518048905278,0,0,0,0,2,7
"('55.874799', '37.548995')",9.285174186206444,0,0,0,0,1,8
"('55.884161', '37.563449')",10.117049039644577,0,0,0,0,0,7
"('55.878526', '37.563889')",9.493055619380684,0,0,0,0,1,7
"('55.8775119', '37.5388126')",9.759531526303194,0,0,0,0,1,5
"('55.874065', '37.591682')",8.877336612134195,0,0,0,0,2,7
"('55.884737', '37.594144')",10.06984509120152,0,0,0,0,0,8
"('55.874065', '37.591682')",8.877336612134195,0,0,0,0,2,7
"('55.880783', '37.562901')",9.75102588377924,0,0,0,0,1,6
"('55.8798721', '37.5810486')",9.531259511670092,0,0,0,0,1,7
"('55.89287', '37.561527')",11.09373628159578,0,0,0,0,0,6
"('55.889137', '37.559021')",10.708579528395914,0,0,0,0,0,6
"('55.871602', '37.560664')",8.770280570841939,0,0,0,0,2,7
"('55.85721', '37.439607')",11.64344271575201,0,0,0,0,0,4
"('55.891996', '37.600388')",10.898179681029388,0,0,0,0,0,7
"('55.895858', '37.631658')",11.49891502267614,0,0,0,0,0,7
"('55.878131', '37.610755')",9.43467803111619,0,0,0,0,2,6
"('55.869915', '37.613728')",8.564453750671781,0,0,0,0,2,7
"('55.882308', '37.635251')",9.991486550869416,0,0,0,0,1,7
"('55.869656', '37.61001')",8.495365052967626,0,0,0,0,2,7
"('55.878723', '37.622353')",9.61243220848795,0,0,0,0,2,6
"('55.89346', '37.653891')",11.310668558619167,0,0,0,0,0,7
"('55.89346', '37.653891')",11.310668558619167,0,0,0,0,0,7
"('55.9347854', '37.5543862')",15.776860558049108,0,0,0,0,0,0
"('55.8534582', '37.6434107')",6.811757884672719,0,0,0,0,7,3
"('55.863014', '37.67102')",8.203196302723168,0,0,0,0,5,5
"('55.8592', '37.67431')",7.7730666860138315,0,0,0,0,6,4
"('55.880974', '37.641061')",9.855840727458595,0,0,0,0,1,7
"('55.836838', '37.667564')",5.39298120048969,0,0,0,0,8,2
"('55.886357', '37.644863')",10.469140800724329,0,0,0,0,0,8
"('55.875925', '37.603424')",9.132257152064764,0,0,0,0,2,7
"('55.892223', '37.65523')",11.184238121410631,0,0,0,0,0,7
"('55.875925', '37.603424')",9.132257152064764,0,0,0,0,2,7
"('55.89821', '37.61854')",11.71904587667529,0,0,0,0,0,7
"('55.87044', '37.60794')",8.561711955991038,0,0,0,0,2,7
"('55.885323', '37.643856')",10.349840790271951,0,0,0,0,0,8
"('55.893536', '37.66477')",11.353328684000298,0,0,0,0,0,7
"('55.88793', '37.617294')",10.577636907449506,0,0,0,0,0,8
"('55.87233', '37.604046')",8.73869271923821,0,0,0,0,2,7
"('55.775818', '37.616287')",2.1286345544361165,0,0,6,2,8,2
"('55.747692', '37.568929')",0.5384622789168386,0,1,0,3,6,4
"('55.752766', '37.536427')",2.165975309312297,0,0,1,1,8,2
"('55.741029', '37.576313')",0.6667342364133725,0,1,0,3,6,4
"('55.7755221', '37.5984969')",1.0891679869423672,0,0,3,5,5,5
"('55.7377562', '37.5711381')",0.6650750324416216,0,1,0,3,6,4
"('55.761573', '37.631469')",1.9000335274068125,0,0,4,5,5,5
"('55.579215', '37.657026')",16.795313060105457,0,0,0,0,0,0
"('55.588618', '37.642231')",15.713215542972065,0,0,0,0,0,0
"('55.583118', '37.646768')",16.330988369296016,0,0,0,0,0,0
"('55.57603', '37.64607')",17.11872047183657,0,0,0,0,0,0
"('55.580788', '37.646525')",16.589885220229117,0,0,0,0,0,0
"('55.582665', '37.644279')",16.377796057393883,0,0,0,0,0,0
"('55.575785', '37.655347')",17.169936174402277,0,0,0,0,0,0
"('55.585652', '37.641971')",16.04324931948647,0,0,0,0,0,0
"('55.583037', '37.641962')",16.334370031617066,0,0,0,0,0,0
"('55.589198', '37.647819')",15.65641368802924,0,0,0,0,0,0
"('55.603721', '37.655746')",14.067862297242181,0,0,0,0,0,1
"('55.632814', '37.612506')",10.924838872183948,0,0,0,0,0,3
"('55.591986', '37.669953')",15.456366705957972,0,0,0,0,0,0
"('55.599672', '37.664599')",14.567272821360552,0,0,0,0,0,1
"('55.612502', '37.577364')",13.626704621145375,0,0,0,0,0,2
"('55.58992', '37.64843')",15.577410108319954,0,0,0,0,0,0
"('55.6592015', '37.6165642')",7.985584910585881,0,0,0,0,2,6
"('55.6002', '37.508884')",16.31343882270718,0,0,0,0,0,0
"('55.599082', '37.582861')",14.978092942789084,0,0,0,0,0,1
"('55.599097', '37.510718')",16.408220179499786,0,0,0,0,0,0
"('55.600638', '37.581244')",14.83471295209997,0,0,0,0,0,1
"('55.59712', '37.58285')",15.19052103186392,0,0,0,0,0,0
"('55.600638', '37.581244')",14.83471295209997,0,0,0,0,0,1
"('55.61114', '37.544818')",14.48740204503258,0,0,0,0,0,2
"('55.598375', '37.534281')",16.055969041181495,0,0,0,0,0,0
"('55.596986', '37.541476')",16.01716528484217,0,0,0,0,0,0
"('55.567906', '37.579924')",18.40490570047795,0,0,0,0,0,0
"('55.671473', '37.592078')",7.140829818245639,0,0,0,0,2,7
"('55.535473', '37.514967')",23.008071779330145,0,0,0,0,0,0
"('55.631686', '37.472414')",13.737422939472859,0,0,0,0,0,1
"('55.6223609', '37.5928588')",12.310865148270214,0,0,0,0,0,2
"('55.592953', '37.548276')",16.276648377736397,0,0,0,0,0,0
"('55.613926', '37.544342')",14.217759004672104,0,0,0,0,0,2
"('55.600435', '37.545905')",15.555712298217841,0,0,0,0,0,0
"('55.60279', '37.545069')",15.333627906312858,0,0,0,0,0,0
"('55.59752', '37.534281')",16.14275956061535,0,0,0,0,0,0
"('55.604025', '37.539473')",15.348016831163577,0,0,0,0,0,0
"('55.609975', '37.54109')",14.703035185937116,0,0,0,0,0,2
"('55.617195', '37.53561')",14.134027325255031,0,0,0,0,0,2
"('55.603654', '37.534263')",15.52276553444908,0,0,0,0,0,0
"('55.603883', '37.518362')",15.789029162913124,0,0,0,0,0,0
"('55.604025', '37.539473')",15.348016831163577,0,0,0,0,0,0
"('55.613794', '37.535682')",14.468865376483269,0,0,0,0,0,2
"('55.61895', '37.540836')",13.810091856583899,0,0,0,0,0,2
"('55.656097', '37.59639')",8.636720135156319,0,0,0,0,2,5
"('55.601387', '37.50867')",16.187597863478775,0,0,0,0,0,0
"('55.604025', '37.539473')",15.348016831163577,0,0,0,0,0,0
"('55.614358', '37.549777')",14.033060565781376,0,0,0,0,0,2
"('55.61895', '37.540836')",13.810091856583899,0,0,0,0,0,2
"('55.605215', '37.54215')",15.158368272492039,0,0,0,0,0,0
"('55.568349', '37.284378')",26.333662475372414,0,0,0,0,0,0
"('55.614235', '37.542454')",14.237115655520494,0,0,0,0,0,2
"('55.610173', '37.533032')",14.904033031927407,0,0,0,0,0,2
"('55.569499', '37.469764')",20.25943107231864,0,0,0,0,0,0
"('55.67406', '37.530537')",8.007402870695106,0,0,0,0,2,7
"('55.667397', '37.574436')",8.058338713197653,0,0,0,0,2,7
"('55.646238', '37.736419')",11.116209841459554,0,0,0,0,0,2
"('55.627426', '37.720886')",12.488484969730342,0,0,0,0,0,2
"('55.64568', '37.739474')",11.274233260689497,0,0,0,0,0,2
"('55.635762', '37.720861')",11.647191280048634,0,0,0,0,0,2
"('55.647498', '37.753973')",11.647057988826251,0,0,0,0,0,2
"('55.635741', '37.719316')",11.606941750066532,0,0,0,0,0,2
"('55.623265', '37.73173')",13.197852510774641,0,0,0,0,0,1
"('55.62505', '37.73676')",13.163603042523441,0,0,0,0,0,1
"('55.637932', '37.699283')",10.890980926204936,0,0,0,0,0,3
"('55.646462', '37.750083')",11.589603999958038,0,0,0,0,0,2
"('55.644521', '37.750828')",11.791069689343626,0,0,0,0,0,2
"('55.646828', '37.742744')",11.285336593125287,0,0,0,0,0,2
"('55.626406', '37.745519')",13.297632734300407,0,0,0,0,0,1
"('55.655117', '37.758186')",11.167463269772265,0,0,0,0,0,4
"('55.652847', '37.749598')",11.009557956153248,0,0,0,0,0,4
"('55.62624', '37.747917')",13.389822885147375,0,0,0,0,0,1
"('55.646238', '37.736419')",11.116209841459554,0,0,0,0,0,2
"('55.63634', '37.792583')",14.171348206418617,0,0,0,0,0,1
"('55.669939', '37.758768')",10.026945991605183,0,0,0,0,0,7
"('55.508876', '37.343532')",29.612744890728322,0,0,0,0,0,0
"('55.632057', '37.754116')",13.047724355557865,0,0,0,0,0,1
"('55.644521', '37.750828')",11.791069689343626,0,0,0,0,0,2
"('55.686832', '37.724813')",7.180882263688155,0,0,0,0,2,8
"('55.67341', '37.8093')",12.38009188947933,0,0,0,0,0,5
"('55.726583', '37.622064')",1.152553745819203,0,0,1,2,7,3
"('55.716402', '37.6109705')",2.329718901400744,0,0,1,1,8,2
"('55.76952', '37.601852')",1.5282780998667536,0,0,2,6,4,6
"('55.739732', '37.605508')",2.4093823551116103,0,0,2,3,6,4
"('55.740162', '37.604978')",2.4484344183569497,0,0,2,3,6,4
"('55.7407249', '37.6011633')",2.2028329855978024,0,0,2,2,7,3
"('55.6438807', '37.3571627')",17.17610485127871,0,0,0,0,0,0
"('55.644227', '37.38878')",15.67839319695957,0,0,0,0,0,0
"('55.640073', '37.365354')",17.06726594547821,0,0,0,0,0,0
"('55.6396042', '37.366312')",17.057959068940274,0,0,0,0,0,0
"('55.645151', '37.350063')",17.431402404474184,0,0,0,0,0,0
"('55.643144', '37.38499')",15.93309647975294,0,0,0,0,0,0
"('55.641796', '37.36662')",16.87942693461078,0,0,0,0,0,0
"('55.638765', '37.358049')",17.50666288494676,0,0,0,0,0,0
"('55.640909', '37.36157')",17.182380723738987,0,0,0,0,0,0
"('55.6438807', '37.3571627')",17.17610485127871,0,0,0,0,0,0
"('55.641244', '37.356172')",17.413899318241363,0,0,0,0,0,0
"('55.63976', '37.362245')",17.235843652954674,0,0,0,0,0,0
"('55.640909', '37.36157')",17.182380723738987,0,0,0,0,0,0
"('55.634934', '37.34576')",18.36944432695351,0,0,0,0,0,0
"('55.641244', '37.356172')",17.413899318241363,0,0,0,0,0,0
"('55.641244', '37.356172')",17.413899318241363,0,0,0,0,0,0
"('55.639638', '37.397908')",15.647465546549522,0,0,0,0,0,0
"('55.638088', '37.400121')",15.681938969521811,0,0,0,0,0,0
"('55.6375', '37.363564')",17.343972817228963,0,0,0,0,0,0
"('55.644704', '37.385861')",15.772674312571926,0,0,0,0,0,0
"('55.624714', '37.376059')",17.80248771378809,0,0,0,0,0,0
"('55.643053', '37.391107')",15.667271136341443,0,0,0,0,0,0
"('55.638912', '37.36164')",17.327350844147652,0,0,0,0,0,0
"('55.641829', '37.360699')",17.155878938163145,0,0,0,0,0,0
"('55.633851', '37.41405')",15.480211547202678,0,0,0,0,0,0
"('55.645852', '37.389059')",15.53916521078729,0,0,0,0,0,0
"('55.646223', '37.385978')",15.650214844051005,0,0,0,0,0,0
"('55.64216', '37.368979')",16.742064788272952,0,0,0,0,0,0
"('55.644221', '37.352327')",17.386038151677507,0,0,0,0,0,0
"('55.643053', '37.391107')",15.667271136341443,0,0,0,0,0,0
"('55.642083', '37.327381')",18.768837175998563,0,0,0,0,0,0
"('55.661816', '37.419916')",12.90778391888592,0,0,0,0,0,1
"('55.601305', '37.411346')",18.554384789820617,0,0,0,0,0,0
"('55.636605', '37.314023')",19.807719241626376,0,0,0,0,0,0
"('55.6433374', '37.3590022')",17.126902816690368,0,0,0,0,0,0
"('55.64216', '37.368979')",16.742064788272952,0,0,0,0,0,0
"('55.6438807', '37.3571627')",17.17610485127871,0,0,0,0,0,0
"('55.647204', '37.371587')",16.245878695091324,0,0,0,0,0,0
"('55.635945', '37.344619')",18.35019753861275,0,0,0,0,0,0
"('55.648094', '37.394028')",15.140928683702768,0,0,0,0,0,0
"('55.692648', '37.496704')",7.119136459358643,0,0,0,0,2,7
"('55.626579', '37.313502')",20.52225096067705,0,0,0,0,0,0
"('55.681091', '37.459845')",9.61470004189282,0,0,0,0,1,3
"('55.66164', '37.41553')",13.119428365806474,0,0,0,0,0,1
"('55.6674', '37.450333')",11.143926371966776,0,0,0,0,0,3
"('55.635945', '37.344619')",18.35019753861275,0,0,0,0,0,0
"('55.64447', '37.348994')",17.531377521150112,0,0,0,0,0,0
"('55.64269', '37.3577113')",17.235523011822664,0,0,0,0,0,0
"('55.633409', '37.321524')",19.651429280457076,0,0,0,0,0,0
"('55.675346', '37.500973')",8.588194708360666,0,0,0,0,1,7
"('55.625303', '37.314346')",20.57160197234927,0,0,0,0,0,0
"('55.653858', '37.396362')",14.59144617766579,0,0,0,0,0,1
"('55.655869', '37.427381')",13.062204580472752,0,0,0,0,0,1
"('55.836999', '37.661329')",5.263132492883126,0,0,0,0,8,2
"('55.849498', '37.623171')",6.364577610560713,0,0,0,0,7,3
"('55.854168', '37.623563')",6.880383248930121,0,0,0,0,7,3
"('55.847295', '37.638521')",6.10306938061818,0,0,0,0,7,3
"('55.850535', '37.654439')",6.596091097314595,0,0,0,0,7,3
"('55.852734', '37.615677')",6.725561938993789,0,0,0,0,7,3
"('55.857946', '37.617307')",7.312765128864875,0,0,0,0,6,4
"('55.84771', '37.6366')",6.143101433878416,0,0,0,0,7,3
"('55.852734', '37.615677')",6.725561938993789,0,0,0,0,7,3
"('55.849691', '37.620905')",6.400684422697992,0,0,0,0,7,3
"('55.856184', '37.659254')",7.275818885855969,0,0,0,0,6,4
"('55.827656', '37.665436')",4.4145732277572005,0,0,0,1,7,3
"('55.849498', '37.623171')",6.364577610560713,0,0,0,0,7,3
"('55.85973', '37.6653')",7.752046870381172,0,0,0,0,6,4
"('55.838147', '37.661257')",5.381894720077223,0,0,0,0,8,2
"('55.8558', '37.68467')",7.091584534587369,0,0,0,0,6,4
"('55.858817', '37.638755')",7.384707060641673,0,0,0,0,7,3
"('55.793156', '37.622772')",0.6199383648752677,0,1,3,4,6,4
"('55.810596', '37.617374')",2.2215135202994123,0,0,2,4,6,4
"('55.855083', '37.660054')",7.168438858977766,0,0,0,0,6,4
"('55.86071', '37.670967')",7.957341449851197,0,0,0,0,6,4
"('55.849498', '37.623171')",6.364577610560713,0,0,0,0,7,3
"('55.848731', '37.639743')",6.26766755551588,0,0,0,0,7,3
"('55.8495', '37.63888')",6.349489718099824,0,0,0,0,7,3
"('55.862793', '37.643058')",7.844731583876661,0,0,0,0,6,4
"('55.8495825', '37.6409167')",6.36783234087697,0,0,0,0,7,3
"('55.84771', '37.6366')",6.143101433878416,0,0,0,0,7,3
"('55.850141', '37.622425')",6.440325530969917,0,0,0,0,7,3
"('55.835508', '37.654718')",4.976470660494019,0,0,0,1,7,3
"('55.847311', '37.628999')",6.097749269573587,0,0,0,0,7,3
"('55.860822', '37.66123')",7.806825817741732,0,0,0,0,6,4
"('55.860822', '37.66123')",7.806825817741732,0,0,0,0,6,4
"('55.836266', '37.642528')",4.903467630389996,0,0,0,1,7,3
"('55.827338', '37.666423')",4.412689762810025,0,0,0,1,7,3
"('55.852177', '37.635916')",6.63859016758838,0,0,0,0,7,3
"('55.86169', '37.642643')",7.720197680991415,0,0,0,0,6,4
"('55.858868', '37.665993')",7.671268845531757,0,0,0,0,6,4
"('55.860873', '37.613737')",7.578106366543189,0,0,0,0,5,5
"('55.849615', '37.637614')",6.357854720868671,0,0,0,0,7,3
"('55.847311', '37.628999')",6.097749269573587,0,0,0,0,7,3
"('55.809231', '37.636392')",1.868958450340119,0,0,1,5,5,5
"('55.830892', '37.646606')",4.35490944361902,0,0,0,1,7,3
"('55.889563', '37.669872')",10.814422645967378,0,0,0,0,0,8
"('55.881631', '37.6835')",9.649426233148263,0,0,0,0,1,7
"('55.851635', '37.63419')",6.5757476734987605,0,0,0,0,7,3
"('55.854458', '37.68516')",6.950401440648695,0,0,0,0,6,4
"('55.848816', '37.59704')",6.08917269108006,0,0,0,0,6,4
"('55.864242', '37.620034')",8.017432490051123,0,0,0,0,3,6
"('55.853041', '37.647603')",6.796880423966644,0,0,0,0,7,3
"('55.848816', '37.59704')",6.08917269108006,0,0,0,0,6,4
"('55.862767', '37.611563')",7.757320827495895,0,0,0,0,4,6
"('55.847244', '37.635567')",6.088941068237086,0,0,0,0,7,3
"('55.858817', '37.638755')",7.384707060641673,0,0,0,0,7,3
"('55.837807', '37.662598')",5.375058331819492,0,0,0,0,8,2
"('55.860615', '37.668417')",7.900378588530857,0,0,0,0,6,4
"('55.834421', '37.659596')",4.9562729256229705,0,0,0,1,7,3
"('55.849615', '37.637614')",6.357854720868671,0,0,0,0,7,3
"('55.806656', '37.7715')",1.5801833094338134,0,0,1,0,6,4
"('55.811138', '37.808689')",3.962540616721855,0,0,0,1,0,9
"('55.6583', '37.574696')",8.938331998248156,0,0,0,0,2,5
"('55.80376', '37.769936')",1.4254069146315398,0,0,1,0,6,4
"('55.87106', '37.663223')",8.945960981365383,0,0,0,0,3,5
"('55.824501', '37.583095')",3.3706544552685838,0,0,0,2,6,4
"('55.80663', '37.640766')",1.645853141512196,0,0,1,5,5,5
"('55.867556', '37.603361')",8.205764596803071,0,0,0,0,2,7
"('55.663887', '37.769398')",10.974747699021309,0,0,0,0,0,5
"('55.663481', '37.73041')",9.33174140984758,0,0,0,0,1,5
"('55.663887', '37.769398')",10.974747699021309,0,0,0,0,0,5
"('55.670062', '37.743759')",9.332635562742734,0,0,0,0,1,6
"('55.671493', '37.750927')",9.545392813441339,0,0,0,0,1,6
"('55.643917', '37.702616')",10.346608974785692,0,0,0,0,0,4
"('55.645476', '37.707215')",10.30260411835043,0,0,0,0,0,6
"('55.667709', '37.777411')",11.08429769728753,0,0,0,0,0,5
"('55.662821', '37.760809')",10.661721355906915,0,0,0,0,0,5
"('55.667361', '37.752993')",9.956658932277248,0,0,0,0,1,5
"('55.642728', '37.713036')",10.73455444453557,0,0,0,0,0,4
"('55.664445', '37.777007')",11.295128020672813,0,0,0,0,0,5
"('55.659504', '37.777084')",11.660805920215797,0,0,0,0,0,3
"('55.647681', '37.730562')",10.78209834433719,0,0,0,0,0,4
"('55.658662', '37.759452')",10.93154976089472,0,0,0,0,0,5
"('55.655127', '37.746004')",10.669944577168689,0,0,0,0,0,6
"('55.667145', '37.764111')",10.484907265182041,0,0,0,0,0,5
"('55.661796', '37.729592')",9.449908613382002,0,0,0,0,1,5
"('55.654934', '37.75635')",11.105930853786687,0,0,0,0,0,5
"('55.67159', '37.764483')",10.180371311470333,0,0,0,0,0,7
"('55.673126', '37.755726')",9.649080471769448,0,0,0,0,1,6
"('55.672448', '37.761599')",9.97970866379797,0,0,0,0,1,6
"('55.667178', '37.759937')",10.287819462827672,0,0,0,0,0,6
"('55.646228', '37.705841')",10.190733278587004,0,0,0,0,0,6
"('55.636032', '37.802265')",14.616415975340821,0,0,0,0,0,1
"('55.654635', '37.765525')",11.519911146233019,0,0,0,0,0,3
"('55.669986', '37.773143')",10.716292504594955,0,0,0,0,0,6
"('55.667731', '37.774014')",10.916498082526267,0,0,0,0,0,5
"('55.667539', '37.756545')",10.104280646728775,0,0,0,0,0,6
"('55.673847', '37.759235')",9.765770746683213,0,0,0,0,1,6
"('55.64066', '37.79885')",14.099281653882604,0,0,0,0,0,1
"('55.657768', '37.761438')",11.08984366925528,0,0,0,0,0,5
"('55.679737', '37.76539')",9.674882161740879,0,0,0,0,1,6
"('55.635371', '37.794262')",14.322345365885587,0,0,0,0,0,1
"('55.672757', '37.749724')",9.394340233804433,0,0,0,0,1,6
"('55.667477', '37.78686')",11.570397932131801,0,0,0,0,0,5
"('55.653279', '37.711428')",9.639461886106782,0,0,0,0,1,5
"('55.661796', '37.729592')",9.449908613382002,0,0,0,0,1,5
"('55.663481', '37.73041')",9.33174140984758,0,0,0,0,1,5
"('55.675895', '37.771984')",10.261002277662092,0,0,0,0,0,7
"('55.670849', '37.775442')",10.771147626777774,0,0,0,0,0,6
"('55.673407', '37.753335')",9.5150987098258,0,0,0,0,1,6
"('55.650099', '37.730203')",10.542619164934923,0,0,0,0,0,6
"('55.649926', '37.708823')",9.897561984410595,0,0,0,0,1,5
"('55.6649677', '37.7456397')",9.824809124061064,0,0,0,0,1,5
"('55.667361', '37.752993')",9.956658932277248,0,0,0,0,1,5
"('55.665233', '37.761734')",10.518058114233183,0,0,0,0,0,5
"('55.6854618', '37.7258237')",7.330231397179334,0,0,0,0,2,8
"('55.632972', '37.798637')",14.705528349288498,0,0,0,0,0,1
"('55.669828', '37.761581')",10.167978712828134,0,0,0,0,0,7
"('55.648443', '37.725415')",10.540788180989578,0,0,0,0,0,6
"('55.650759', '37.765264')",11.82616558055593,0,0,0,0,0,2
"('55.662222', '37.732656')",9.529134670968173,0,0,0,0,1,5
"('55.644089', '37.716288')",10.68877615089937,0,0,0,0,0,4
"('55.659414', '37.759569')",10.876145329455252,0,0,0,0,0,5
"('55.645182', '37.721355')",10.729477908408942,0,0,0,0,0,4
"('55.546557', '37.519557')",21.749573599509752,0,0,0,0,0,0
"('55.543779', '37.45699')",23.23310217012314,0,0,0,0,0,0
"('55.547397', '37.566584')",20.814845488195516,0,0,0,0,0,0
"('55.537424', '37.540102')",22.308886896515208,0,0,0,0,0,0
"('55.54293', '37.545168')",21.631269803499713,0,0,0,0,0,0
"('55.541922', '37.494144')",22.8278975483388,0,0,0,0,0,0
"('55.539548', '37.538889')",22.1037600234929,0,0,0,0,0,0
"('55.55061', '37.558167')",20.591505037714242,0,0,0,0,0,0
"('55.539884', '37.451887')",23.74326778099214,0,0,0,0,0,0
"('55.562968', '37.500504')",20.476806787255395,0,0,0,0,0,0
"('55.5541523', '37.5028576')",21.359981672860723,0,0,0,0,0,0
"('55.547535', '37.548941')",21.073118819837216,0,0,0,0,0,0
"('55.524936', '37.515892')",24.09564534109737,0,0,0,0,0,0
"('55.55003', '37.500288')",21.84543897178504,0,0,0,0,0,0
"('55.567194', '37.498941')",20.036829015579485,0,0,0,0,0,0
"('55.549022', '37.569099')",20.603734213526486,0,0,0,0,0,0
"('55.564409', '37.500917')",20.314418940081907,0,0,0,0,0,0
"('55.563757', '37.498617')",20.415256065763046,0,0,0,0,0,0
"('55.537801', '37.503971')",23.012366627551756,0,0,0,0,0,0
"('55.539677', '37.460086')",23.613791176368885,0,0,0,0,0,0
"('55.5567986', '37.5068015')",20.990441811756924,0,0,0,0,0,0
"('55.535553', '37.502274')",23.28452721048544,0,0,0,0,0,0
"('55.550434', '37.49033')",21.975879939123246,0,0,0,0,0,0
"('55.530225', '37.515838')",23.540133467283386,0,0,0,0,0,0
"('55.537149', '37.529322')",22.538039288647695,0,0,0,0,0,0
"('55.540939', '37.523645')",22.251563912298195,0,0,0,0,0,0
"('55.556986', '37.510215')",20.88657116232357,0,0,0,0,0,0
"('55.523682', '37.511814')",24.3116410430208,0,0,0,0,0,0
"('55.534688', '37.522072')",22.94208645635669,0,0,0,0,0,0
"('55.542681', '37.485116')",22.89031702910506,0,0,0,0,0,0
"('55.541004', '37.493225')",22.94478065947254,0,0,0,0,0,0
"('55.54343', '37.555795')",21.40309208818355,0,0,0,0,0,0
