coords,eco_boiler_closest_km,eco_boiler_less500m,eco_boiler_0.5-1km,eco_boiler_1-3km,eco_boiler_3-5km,eco_boiler_5-10km,eco_boiler_10-15km
"('55.635963', '37.539303')",7.4136232473207055,0,0,0,0,1,1
"('55.6466', '37.532852')",8.212622117353842,0,0,0,0,1,2
"('55.63735', '37.532017')",7.897602979525139,0,0,0,0,1,1
"('55.646863', '37.534613')",8.123779946058459,0,0,0,0,1,2
"('55.636001', '37.541278')",7.296093938188188,0,0,0,0,1,1
"('55.648153', '37.537191')",8.038720955513964,0,0,0,0,1,2
"('55.637897', '37.540802')",7.390379383015309,0,0,0,0,1,1
"('55.640495', '37.54685')",7.134867090061987,0,0,0,0,1,2
"('55.643937', '37.528855')",8.32921007763034,0,0,0,0,1,2
"('55.638333', '37.530939')",7.995234732238146,0,0,0,0,1,1
"('55.640316', '37.530857')",8.070287007593558,0,0,0,0,1,1
"('55.642718', '37.503396')",9.796092707056571,0,0,0,0,1,1
"('55.667823', '37.548258')",8.679620162718562,0,0,0,0,2,1
"('55.668442', '37.559856')",8.194132814027954,0,0,0,0,2,1
"('55.671102', '37.540012')",8.705936468760695,0,0,0,0,2,1
"('55.626213', '37.510152')",8.989257963897284,0,0,0,0,1,1
"('55.665101', '37.552462')",8.281032744749288,0,0,0,0,2,1
"('55.645634', '37.542763')",7.60092311783422,0,0,0,0,1,2
"('55.644313', '37.537281')",7.854833283538614,0,0,0,0,1,2
"('55.639176', '37.513008')",9.10273040372474,0,0,0,0,1,1
"('55.636497', '37.5146')",8.927150658122365,0,0,0,0,1,1
"('55.6266371', '37.5219362')",8.259287893496712,0,0,0,0,1,1
"('55.66013', '37.491413')",9.004027361185678,0,0,0,0,1,2
"('55.634014', '37.524219')",8.272228501698116,0,0,0,0,1,1
"('55.646101', '37.537137')",7.943965116302639,0,0,0,0,1,2
"('55.632499', '37.523016')",8.30785236627371,0,0,0,0,1,1
"('55.640914', '37.526834')",8.331424008612137,0,0,0,0,1,1
"('55.875218', '37.545276')",11.471221572805273,0,0,0,0,0,1
"('55.882671', '37.562712')",12.19163618818534,0,0,0,0,0,1
"('55.880226', '37.55044')",11.982175582466864,0,0,0,0,0,1
"('55.873257', '37.561096')",11.150595315777538,0,0,0,0,0,1
"('55.892242', '37.574245')",13.243900841301334,0,0,0,0,0,1
"('55.680174', '37.666557')",7.167970401787906,0,0,0,0,1,3
"('55.871326', '37.59044')",10.97505539606833,0,0,0,0,0,1
"('55.889286', '37.5596')",12.937645947903155,0,0,0,0,0,1
"('55.883145', '37.561275')",12.248988444160009,0,0,0,0,0,1
"('55.879728', '37.560332')",11.872651999516718,0,0,0,0,0,1
"('55.874714', '37.589016')",11.34154146905172,0,0,0,0,0,1
"('55.878324', '37.55999')",11.717999680160462,0,0,0,0,0,1
"('55.810654', '37.56483')",4.183894171778664,0,0,0,1,1,1
"('55.78552', '37.60524')",2.4873910616711363,0,0,1,0,2,0
"('55.863621', '37.559388')",10.087853879814247,0,0,0,0,0,2
"('55.858923', '37.563063')",9.550130561554552,0,0,0,0,1,1
"('55.808902', '37.568156')",3.97173980546658,0,0,0,1,1,1
"('55.884161', '37.563449')",12.355239873673371,0,0,0,0,0,1
"('55.87183', '37.56465')",10.980347845578445,0,0,0,0,0,1
"('55.87358', '37.588467')",11.212637268448812,0,0,0,0,0,1
"('55.889282', '37.55843')",12.94183250675151,0,0,0,0,0,1
"('55.881066', '37.564509')",12.008181904018143,0,0,0,0,0,1
"('55.873222', '37.59009')",11.182769327831954,0,0,0,0,0,1
"('55.874799', '37.548995')",11.393162904864878,0,0,0,0,0,1
"('55.878526', '37.563889')",11.727236825387632,0,0,0,0,0,1
"('55.8775119', '37.5388126')",11.788742309141165,0,0,0,0,0,1
"('55.874065', '37.591682')",11.286588184629117,0,0,0,0,0,1
"('55.884737', '37.594144')",12.484546063609118,0,0,0,0,0,1
"('55.880783', '37.562901')",11.981101359877233,0,0,0,0,0,1
"('55.8798721', '37.5810486')",11.879300584058088,0,0,0,0,0,1
"('55.89287', '37.561527')",13.32945739290064,0,0,0,0,0,1
"('55.889137', '37.559021')",12.923329562834413,0,0,0,0,0,1
"('55.871602', '37.560664')",10.968415070801278,0,0,0,0,0,1
"('55.87622', '37.505287')",12.1995376904486,0,0,0,0,0,1
"('55.85721', '37.439607')",12.499304526911871,0,0,0,0,0,2
"('55.891996', '37.600388')",13.334497266145958,0,0,0,0,0,1
"('55.895858', '37.631658')",14.147581112665554,0,0,0,0,0,1
"('55.878131', '37.610755')",11.921379285251142,0,0,0,0,0,1
"('55.869915', '37.613728')",11.069850722179813,0,0,0,0,0,1
"('55.882308', '37.635251')",12.766916657472667,0,0,0,0,0,1
"('55.869656', '37.61001')",10.989040009668882,0,0,0,0,0,1
"('55.878723', '37.622353')",12.153859163964624,0,0,0,0,0,1
"('55.89346', '37.653891')",14.327803665161786,0,0,0,0,0,1
"('55.9347854', '37.5543862')",18.01401486575625,0,0,0,0,0,0
"('55.8534582', '37.6434107')",9.983316228337447,0,0,0,0,1,0
"('55.863014', '37.67102')",11.758499210793104,0,0,0,0,0,1
"('55.8592', '37.67431')",11.51365904240935,0,0,0,0,0,1
"('55.880974', '37.641061')",12.744725537570991,0,0,0,0,0,1
"('55.836838', '37.667564')",9.26905588060714,0,0,0,0,1,0
"('55.886357', '37.644863')",13.389268738730411,0,0,0,0,0,1
"('55.875925', '37.603424')",11.594336664305436,0,0,0,0,0,1
"('55.883468', '37.635603')",12.896538461128104,0,0,0,0,0,1
"('55.868789', '37.614446')",10.958895076869792,0,0,0,0,0,1
"('55.892223', '37.65523')",14.229829066098105,0,0,0,0,0,1
"('55.89821', '37.61854')",14.209343940289521,0,0,0,0,0,1
"('55.87044', '37.60794')",11.047127990345944,0,0,0,0,0,1
"('55.885323', '37.643856')",13.259565567654633,0,0,0,0,0,1
"('55.893536', '37.66477')",14.593426257457697,0,0,0,0,0,1
"('55.87233', '37.604046')",11.20699692288511,0,0,0,0,0,1
"('55.775818', '37.616287')",2.7897679928446593,0,0,1,0,2,0
"('55.747692', '37.568929')",2.857555395250463,0,0,1,0,2,0
"('55.752766', '37.536427')",3.1981294553881363,0,0,0,2,0,2
"('55.741029', '37.576313')",3.6025539750409767,0,0,0,1,1,2
"('55.756133', '37.538718')",2.834025823868239,0,0,1,1,1,1
"('55.7755221', '37.5984969')",1.677585347484863,0,0,1,0,2,0
"('55.7377562', '37.5711381')",3.957440950312436,0,0,0,1,1,2
"('55.761573', '37.631469')",3.9509045389561477,0,0,0,1,0,2
"('55.579215', '37.657026')",4.146360476442562,0,0,0,1,0,1
"('55.588618', '37.642231')",3.1441461964739106,0,0,0,1,0,1
"('55.583118', '37.646768')",3.7119169644857437,0,0,0,1,0,1
"('55.57603', '37.64607')",4.50200309704159,0,0,0,1,0,1
"('55.580788', '37.646525')",3.971696479797565,0,0,0,1,0,1
"('55.582665', '37.644279')",3.778541974655153,0,0,0,1,0,1
"('55.575785', '37.655347')",4.520593355869909,0,0,0,1,0,1
"('55.585652', '37.641971')",3.4717318762490685,0,0,0,1,0,1
"('55.583037', '37.641962')",3.7586849291797524,0,0,0,1,0,1
"('55.589198', '37.647819')",3.031834877722507,0,0,0,1,0,1
"('55.603721', '37.655746')",1.4269490305581671,0,0,1,0,1,0
"('55.632814', '37.612506')",3.0791417560306655,0,0,0,1,0,2
"('55.591986', '37.669953')",2.9436418927844707,0,0,1,0,1,0
"('55.599672', '37.664599')",2.024156658960134,0,0,1,0,1,0
"('55.612502', '37.577364')",4.7075447341350145,0,0,0,1,0,1
"('55.617281', '37.417446')",14.217019385278032,0,0,0,0,0,2
"('55.58992', '37.64843')",2.94873491868247,0,0,1,0,1,0
"('55.668909', '37.583418')",7.264871180267651,0,0,0,0,1,2
"('55.6592015', '37.6165642')",5.261925739574645,0,0,0,0,1,2
"('55.6002', '37.508884')",9.182139967901307,0,0,0,0,1,0
"('55.599082', '37.582861')",4.748496957883248,0,0,0,1,0,1
"('55.599097', '37.510718')",9.094067650046217,0,0,0,0,1,0
"('55.600638', '37.581244')",4.775695967242686,0,0,0,1,0,1
"('55.59712', '37.58285')",4.841717143027662,0,0,0,1,0,1
"('55.612608', '37.518397')",8.414033497768392,0,0,0,0,1,1
"('55.61114', '37.544818')",6.76385701670486,0,0,0,0,1,0
"('55.598375', '37.534281')",7.66956619530836,0,0,0,0,1,0
"('55.596986', '37.541476')",7.277158973524246,0,0,0,0,1,0
"('55.567906', '37.579924')",7.042059486890651,0,0,0,0,1,0
"('55.671473', '37.592078')",7.19753382634232,0,0,0,0,1,2
"('55.535473', '37.514967')",12.470094724003543,0,0,0,0,0,1
"('55.631686', '37.472414')",11.4270194924286,0,0,0,0,0,2
"('55.6223609', '37.5928588')",3.7713916680777313,0,0,0,1,0,1
"('55.592953', '37.548276')",7.023079005317643,0,0,0,0,1,0
"('55.613926', '37.544342')",6.774133190990458,0,0,0,0,1,1
"('55.600435', '37.545905')",6.902414983189445,0,0,0,0,1,0
"('55.60279', '37.545069')",6.891058251414998,0,0,0,0,1,0
"('55.59752', '37.534281')",7.69501429779595,0,0,0,0,1,0
"('55.604025', '37.539473')",7.20806150181104,0,0,0,0,1,0
"('55.609975', '37.54109')",7.009960252566955,0,0,0,0,1,0
"('55.617195', '37.53561')",7.319341104318777,0,0,0,0,1,1
"('55.603654', '37.534263')",7.538321197793368,0,0,0,0,1,0
"('55.603883', '37.518362')",8.520512248821122,0,0,0,0,1,0
"('55.613794', '37.535682')",7.319980841216478,0,0,0,0,1,1
"('55.61895', '37.540836')",6.995326637361297,0,0,0,0,1,1
"('55.656097', '37.59639')",5.635243782157244,0,0,0,0,1,2
"('55.601387', '37.50867')",9.170326327879376,0,0,0,0,1,0
"('55.614358', '37.549777')",6.430086117710782,0,0,0,0,1,1
"('55.605215', '37.54215')",7.017821837913602,0,0,0,0,1,0
"('55.568349', '37.284378')",22.664591893598264,0,0,0,0,0,0
"('55.614235', '37.542454')",6.891725161331413,0,0,0,0,1,1
"('55.610173', '37.533032')",7.513242250431652,0,0,0,0,1,1
"('55.569499', '37.469764')",12.60394108249731,0,0,0,0,0,1
"('55.67406', '37.530537')",8.148468907132445,0,0,0,0,2,1
"('55.667397', '37.574436')",7.484974084353272,0,0,0,0,1,2
"('55.646238', '37.736419')",6.285881004536664,0,0,0,0,1,1
"('55.627426', '37.720886')",4.526319811420098,0,0,0,1,0,2
"('55.64568', '37.739474')",6.418098329232838,0,0,0,0,1,1
"('55.635762', '37.720861')",4.860308981786854,0,0,0,1,0,2
"('55.647498', '37.753973')",7.312850008630214,0,0,0,0,1,1
"('55.635741', '37.719316')",4.77228700630054,0,0,0,1,0,2
"('55.623265', '37.73173')",5.09685450571192,0,0,0,0,1,1
"('55.62505', '37.73676')",5.442092383320149,0,0,0,0,1,1
"('55.637932', '37.699283')",3.839272137808063,0,0,0,1,0,2
"('55.646462', '37.750083')",7.042534077104104,0,0,0,0,1,1
"('55.644521', '37.750828')",6.984248751310189,0,0,0,0,1,1
"('55.646828', '37.742744')",6.660371894008128,0,0,0,0,1,1
"('55.626406', '37.745519')",6.012112180444724,0,0,0,0,1,1
"('55.655117', '37.758186')",7.972521084697794,0,0,0,0,2,0
"('55.652847', '37.749598')",7.38155844256274,0,0,0,0,1,1
"('55.62624', '37.747917')",6.157281492208807,0,0,0,0,1,1
"('55.63634', '37.792583')",9.14592415316743,0,0,0,0,1,1
"('55.669939', '37.758768')",8.362743150436936,0,0,0,0,2,0
"('55.508876', '37.343532')",22.833472132040733,0,0,0,0,0,0
"('55.632057', '37.754116')",6.681134915978462,0,0,0,0,1,1
"('55.686832', '37.724813')",9.096495404565472,0,0,0,0,2,1
"('55.67341', '37.8093')",5.918950217347465,0,0,0,0,1,1
"('55.726583', '37.622064')",6.0754341746044,0,0,0,0,2,1
"('55.716402', '37.6109705')",6.789591858962262,0,0,0,0,2,1
"('55.76952', '37.601852')",1.9165903335351158,0,0,1,0,2,0
"('55.739732', '37.605508')",4.286730047864919,0,0,0,1,1,2
"('55.740162', '37.604978')",4.228689879819306,0,0,0,1,1,2
"('55.7407249', '37.6011633')",4.060863688823961,0,0,0,1,1,2
"('55.644755', '37.392553')",11.897989508900407,0,0,0,0,0,1
"('55.6438807', '37.3571627')",13.117547664588564,0,0,0,0,0,1
"('55.644227', '37.38878')",12.05728929025192,0,0,0,0,0,1
"('55.640073', '37.365354')",13.187912585124923,0,0,0,0,0,1
"('55.6396042', '37.366312')",13.200543339600804,0,0,0,0,0,1
"('55.645151', '37.350063')",13.264168469076159,0,0,0,0,0,1
"('55.643144', '37.38499')",12.274490709856293,0,0,0,0,0,1
"('55.641796', '37.36662')",12.982986343377581,0,0,0,0,0,1
"('55.638765', '37.358049')",13.558384536467738,0,0,0,0,0,1
"('55.640909', '37.36157')",13.23730714796037,0,0,0,0,0,1
"('55.641244', '37.356172')",13.39468656278884,0,0,0,0,0,1
"('55.63976', '37.362245')",13.321838045175628,0,0,0,0,0,1
"('55.634934', '37.34576')",14.345302884986351,0,0,0,0,0,1
"('55.639638', '37.397908')",12.272139867787752,0,0,0,0,0,1
"('55.638088', '37.400121')",12.375762830997981,0,0,0,0,0,1
"('55.64566', '37.390603')",11.862981110388478,0,0,0,0,0,1
"('55.6375', '37.363564')",13.4907713133116,0,0,0,0,0,1
"('55.644704', '37.385861')",12.095369044149708,0,0,0,0,0,1
"('55.624714', '37.376059')",14.35869565121198,0,0,0,0,0,1
"('55.643053', '37.391107')",12.108209302526662,0,0,0,0,0,1
"('55.638912', '37.36164')",13.421928709878843,0,0,0,0,0,1
"('55.641829', '37.360699')",13.181687776406568,0,0,0,0,0,1
"('55.633851', '37.41405')",12.510411426463664,0,0,0,0,0,1
"('55.645852', '37.389059')",11.88848103855,0,0,0,0,0,1
"('55.631803', '37.41926')",12.630062992777521,0,0,0,0,0,2
"('55.646223', '37.385978')",11.942863294424775,0,0,0,0,0,1
"('55.64216', '37.368979')",12.870184919584306,0,0,0,0,0,1
"('55.644221', '37.352327')",13.263036231310462,0,0,0,0,0,1
"('55.656346', '37.424327')",9.930686540443972,0,0,0,0,1,1
"('55.642083', '37.327381')",14.422758107035166,0,0,0,0,0,1
"('55.661816', '37.419916')",9.458372604951496,0,0,0,0,1,0
"('55.601305', '37.411346')",15.243657449174817,0,0,0,0,0,0
"('55.636605', '37.314023')",15.434574247879166,0,0,0,0,0,0
"('55.6433374', '37.3590022')",13.101727038726018,0,0,0,0,0,1
"('55.649901', '37.367419')",12.199470077837832,0,0,0,0,0,1
"('55.647204', '37.371587')",12.306842584733179,0,0,0,0,0,1
"('55.635945', '37.344619')",14.294602198238168,0,0,0,0,0,1
"('55.648094', '37.394028')",11.523816944085564,0,0,0,0,0,1
"('55.692648', '37.496704')",5.4845973955208285,0,0,0,0,1,2
"('55.801404', '37.348976')",10.48053909263867,0,0,0,0,0,2
"('55.626579', '37.313502')",16.309719567195263,0,0,0,0,0,0
"('55.681091', '37.459845')",6.701802515764746,0,0,0,0,1,2
"('55.66164', '37.41553')",9.583273873635914,0,0,0,0,1,0
"('55.625471', '37.342814')",15.322288969999,0,0,0,0,0,0
"('55.6674', '37.450333')",8.308023893593134,0,0,0,0,1,2
"('55.64447', '37.348994')",13.365192532025706,0,0,0,0,0,1
"('55.647432', '37.38631')",11.8145979815737,0,0,0,0,0,1
"('55.64269', '37.3577113')",13.20707825427728,0,0,0,0,0,1
"('55.633409', '37.321524')",15.40078701830706,0,0,0,0,0,0
"('55.675346', '37.500973')",7.422908928333942,0,0,0,0,1,2
"('55.625303', '37.314346')",16.3875242287238,0,0,0,0,0,0
"('55.661394', '37.414212')",9.641696079844326,0,0,0,0,1,0
"('55.653858', '37.396362')",10.885545734691734,0,0,0,0,0,1
"('55.655869', '37.427381')",9.9195235087392,0,0,0,0,1,1
"('55.850725', '37.623063')",9.194693371664938,0,0,0,0,1,0
"('55.836999', '37.661329')",9.035436520588775,0,0,0,0,1,0
"('55.849498', '37.623171')",9.06914107790549,0,0,0,0,1,0
"('55.854168', '37.623563')",9.565522472129206,0,0,0,0,1,0
"('55.847295', '37.638521')",9.232703494556729,0,0,0,0,1,0
"('55.855333', '37.623452')",9.685384680490642,0,0,0,0,1,0
"('55.850535', '37.654439')",10.031383548108513,0,0,0,0,0,1
"('55.852734', '37.615677')",9.257508585387432,0,0,0,0,1,0
"('55.857946', '37.617307')",9.84232111581429,0,0,0,0,1,0
"('55.84771', '37.6366')",9.220458072637035,0,0,0,0,1,0
"('55.849691', '37.620905')",9.040132083911798,0,0,0,0,1,0
"('55.827656', '37.665436')",8.421598139890747,0,0,0,0,1,0
"('55.85973', '37.6653')",11.259401250972566,0,0,0,0,0,1
"('55.838147', '37.661257')",9.133295101694689,0,0,0,0,1,0
"('55.8558', '37.68467')",11.585274219604138,0,0,0,0,0,1
"('55.8449514', '37.6392377')",9.021580346572012,0,0,0,0,1,0
"('55.858817', '37.638755')",10.3992386104727,0,0,0,0,0,1
"('55.793156', '37.622772')",3.874675450911715,0,0,0,1,0,2
"('55.810596', '37.617374')",5.032482457574856,0,0,0,0,1,1
"('55.855083', '37.660054')",10.64664354336249,0,0,0,0,0,1
"('55.851104', '37.601476')",8.857066888995984,0,0,0,0,1,1
"('55.848731', '37.639743')",9.409921118532065,0,0,0,0,1,0
"('55.8495', '37.63888')",9.462319613790543,0,0,0,0,1,0
"('55.862793', '37.643058')",10.91314817334981,0,0,0,0,0,1
"('55.8495825', '37.6409167')",9.52773048101193,0,0,0,0,1,0
"('55.850141', '37.622425')",9.119839485367432,0,0,0,0,1,0
"('55.835508', '37.654718')",8.651217742138764,0,0,0,0,1,0
"('55.847311', '37.628999')",8.980700684781803,0,0,0,0,1,0
"('55.853648', '37.619324')",9.424143859238102,0,0,0,0,1,0
"('55.860822', '37.66123')",11.234344947342539,0,0,0,0,0,1
"('55.836266', '37.642528')",8.287298253961527,0,0,0,0,1,1
"('55.827338', '37.666423')",8.439495562224975,0,0,0,0,1,0
"('55.852177', '37.635916')",9.651853029349308,0,0,0,0,1,0
"('55.84905', '37.624202')",9.045663366199665,0,0,0,0,1,0
"('55.86169', '37.642643')",10.790466260505488,0,0,0,0,0,1
"('55.858868', '37.665993')",11.200297153325785,0,0,0,0,0,1
"('55.860873', '37.613737')",10.094563076904096,0,0,0,0,0,1
"('55.849615', '37.637614')",9.438967368334442,0,0,0,0,1,0
"('55.809231', '37.636392')",5.682649072769775,0,0,0,0,1,1
"('55.830892', '37.646606')",7.935745591312004,0,0,0,0,1,1
"('55.889563', '37.669872')",14.322726246500423,0,0,0,0,0,1
"('55.881631', '37.6835')",13.937862186908838,0,0,0,0,0,1
"('55.851635', '37.63419')",9.552351991639881,0,0,0,0,1,0
"('55.854458', '37.68516')",11.486178385890554,0,0,0,0,0,1
"('55.848816', '37.59704')",8.552805828249769,0,0,0,0,1,1
"('55.847851', '37.638746')",9.2943104321086,0,0,0,0,1,0
"('55.864242', '37.620034')",10.56283941396636,0,0,0,0,0,1
"('55.853041', '37.647603')",10.06282066536721,0,0,0,0,0,1
"('55.862767', '37.611563')",10.264655411535564,0,0,0,0,0,1
"('55.847244', '37.635567')",9.145492274875181,0,0,0,0,1,0
"('55.837807', '37.662598')",9.155318861139746,0,0,0,0,1,0
"('55.860615', '37.668417')",11.445606958250996,0,0,0,0,0,1
"('55.806656', '37.7715')",11.404328018429124,0,0,0,0,0,2
"('55.811138', '37.808689')",10.921463327349818,0,0,0,0,0,1
"('55.6583', '37.574696')",6.736604094758409,0,0,0,0,1,2
"('55.80376', '37.769936')",11.175607873403353,0,0,0,0,0,2
"('55.87106', '37.663223')",12.293491436147583,0,0,0,0,0,1
"('55.824501', '37.583095')",5.742828679512129,0,0,0,0,1,1
"('55.80663', '37.640766')",5.687724191708475,0,0,0,0,1,1
"('55.867556', '37.603361')",10.67650943828369,0,0,0,0,0,1
"('55.663887', '37.769398')",8.328791990903424,0,0,0,0,2,0
"('55.663481', '37.73041')",7.2163393173181385,0,0,0,0,1,1
"('55.670062', '37.743759')",8.326522890626581,0,0,0,0,2,0
"('55.671493', '37.750927')",8.645010517883223,0,0,0,0,2,0
"('55.643917', '37.702616')",4.4370537992468675,0,0,0,1,0,2
"('55.645476', '37.707215')",4.766824023248579,0,0,0,1,0,2
"('55.667709', '37.777411')",7.672697167504312,0,0,0,0,2,0
"('55.662821', '37.760809')",8.598580618257982,0,0,0,0,2,0
"('55.667361', '37.752993')",8.538198966657145,0,0,0,0,2,0
"('55.642728', '37.713036')",4.850539351344247,0,0,0,1,0,2
"('55.664445', '37.777007')",7.957153788313392,0,0,0,0,2,0
"('55.659504', '37.777084')",8.371988589962124,0,0,0,0,2,0
"('55.647681', '37.730562')",6.067032854715663,0,0,0,0,1,1
"('55.658662', '37.759452')",8.258080841737822,0,0,0,0,2,0
"('55.655127', '37.746004')",7.3399789421384805,0,0,0,0,1,1
"('55.667145', '37.764111')",8.313494729984694,0,0,0,0,2,0
"('55.661796', '37.729592')",7.045204789517363,0,0,0,0,1,1
"('55.654934', '37.75635')",7.864426404437861,0,0,0,0,2,0
"('55.67159', '37.764483')",7.968802568650517,0,0,0,0,2,0
"('55.673126', '37.755726')",8.29422507939555,0,0,0,0,2,0
"('55.672448', '37.761599')",8.048277277429179,0,0,0,0,2,0
"('55.667178', '37.759937')",8.506210060693919,0,0,0,0,2,0
"('55.646228', '37.705841')",4.761888118737183,0,0,0,1,0,2
"('55.636032', '37.802265')",9.730854803383442,0,0,0,0,2,0
"('55.654635', '37.765525')",8.337290176874221,0,0,0,0,2,0
"('55.669986', '37.773143')",7.68257734097807,0,0,0,0,2,0
"('55.667731', '37.774014')",7.819646172605891,0,0,0,0,2,0
"('55.667539', '37.756545')",8.64142431741995,0,0,0,0,2,0
"('55.673847', '37.759235')",8.06959187626181,0,0,0,0,2,0
"('55.64066', '37.79885')",9.434807982788755,0,0,0,0,2,0
"('55.657768', '37.761438')",8.305471860182266,0,0,0,0,2,0
"('55.679737', '37.76539')",7.370113300675533,0,0,0,0,1,1
"('55.635371', '37.794262')",9.223267995354927,0,0,0,0,1,1
"('55.672757', '37.749724')",8.623507941097314,0,0,0,0,2,0
"('55.667477', '37.78686')",7.29589891531423,0,0,0,0,1,1
"('55.653279', '37.711428')",5.570920909457549,0,0,0,0,1,1
"('55.660531', '37.730895')",7.00292657921647,0,0,0,0,1,1
"('55.675895', '37.771984')",7.299333245843249,0,0,0,0,1,1
"('55.670849', '37.775442')",7.511696312031813,0,0,0,0,2,0
"('55.66534', '37.733338')",7.493336239228646,0,0,0,0,2,0
"('55.673407', '37.753335')",8.396810250888215,0,0,0,0,2,0
"('55.650099', '37.730203')",6.207638693591481,0,0,0,0,1,1
"('55.652486', '37.738243')",6.77208734258852,0,0,0,0,1,1
"('55.649926', '37.708823')",5.18641126227296,0,0,0,0,1,1
"('55.6649677', '37.7456397')",8.016118174564621,0,0,0,0,2,0
"('55.665233', '37.761734')",8.567887977895674,0,0,0,0,2,0
"('55.6854618', '37.7258237')",8.998048955059689,0,0,0,0,2,1
"('55.632972', '37.798637')",9.435946986074438,0,0,0,0,1,1
"('55.669828', '37.761581')",8.234908242198927,0,0,0,0,2,0
"('55.648443', '37.725415')",5.856194805212205,0,0,0,0,1,1
"('55.650759', '37.765264')",8.110884188896256,0,0,0,0,2,0
"('55.662222', '37.732656')",7.21425692522435,0,0,0,0,1,1
"('55.644089', '37.716288')",5.105252554963401,0,0,0,0,1,1
"('55.645182', '37.721355')",5.433775415170172,0,0,0,0,1,1
"('55.546557', '37.519557')",11.396248085952967,0,0,0,0,0,1
"('55.543779', '37.45699')",14.702163599976725,0,0,0,0,0,1
"('55.547397', '37.566584')",9.36856138945308,0,0,0,0,1,0
"('55.537424', '37.540102')",11.260193446833343,0,0,0,0,0,1
"('55.54293', '37.545168')",10.582595509462548,0,0,0,0,0,1
"('55.541922', '37.494144')",12.940800721687564,0,0,0,0,0,1
"('55.539548', '37.538889')",11.125351414727755,0,0,0,0,0,1
"('55.55061', '37.558167')",9.401514299067435,0,0,0,0,1,0
"('55.539884', '37.451887')",15.210980141551024,0,0,0,0,0,0
"('55.562968', '37.500504')",11.236814412191404,0,0,0,0,0,1
"('55.5541523', '37.5028576')",11.666371374543836,0,0,0,0,0,1
"('55.547535', '37.548941')",10.036241673780406,0,0,0,0,0,1
"('55.524936', '37.515892')",13.30484659607045,0,0,0,0,0,1
"('55.55003', '37.500288')",12.072642479750149,0,0,0,0,0,1
"('55.567194', '37.498941')",11.080415643681834,0,0,0,0,0,1
"('55.549022', '37.569099')",9.12937129076095,0,0,0,0,1,0
"('55.564409', '37.500917')",11.130401757893111,0,0,0,0,0,1
"('55.563757', '37.498617')",11.292102441803362,0,0,0,0,0,1
"('55.539677', '37.460086')",14.79854831738274,0,0,0,0,0,1
"('55.5567986', '37.5068015')",11.29146325453325,0,0,0,0,0,1
"('55.535553', '37.502274')",13.030713777124971,0,0,0,0,0,1
"('55.550434', '37.49033')",12.548998623796988,0,0,0,0,0,1
"('55.530225', '37.515838')",12.861957081067075,0,0,0,0,0,1
"('55.537149', '37.529322')",11.720526635831634,0,0,0,0,0,1
"('55.540939', '37.523645')",11.651650707986683,0,0,0,0,0,1
"('55.556986', '37.510215')",11.105486905265563,0,0,0,0,0,1
"('55.523682', '37.511814')",13.577864185820228,0,0,0,0,0,1
"('55.534688', '37.522072')",12.229197273901656,0,0,0,0,0,1
"('55.542681', '37.485116')",13.330934852586399,0,0,0,0,0,1
"('55.541004', '37.493225')",13.05091386187718,0,0,0,0,0,1
"('55.54343', '37.555795')",10.125296493875611,0,0,0,0,0,1
"('55.554975', '37.507205')",11.391635579558322,0,0,0,0,0,1
"('55.546083', '37.549184')",10.150464437553271,0,0,0,0,0,1
"('55.54484', '37.556289')",9.980998858033669,0,0,0,0,1,0
"('55.523575', '37.508661')",13.717002076353674,0,0,0,0,0,1
"('55.540939', '37.452678')",15.103925741416132,0,0,0,0,0,0
"('55.547276', '37.534317')",10.676159421469901,0,0,0,0,0,1
"('55.529675', '37.512532')",13.047159619710033,0,0,0,0,0,1
"('55.53743', '37.506332')",12.701135660551993,0,0,0,0,0,1
"('55.564511', '37.487038')",11.88133565143924,0,0,0,0,0,1
"('55.554348', '37.512757')",11.156567767553737,0,0,0,0,0,1
"('55.5539', '37.553981')",9.292176346466029,0,0,0,0,1,0
"('55.541805', '37.521201')",11.690376719977095,0,0,0,0,0,1
"('55.531672', '37.50089')",13.394826615565954,0,0,0,0,0,1
"('55.487264', '37.30742')",2437.5335646988765,0,0,0,0,0,0
"('55.572482', '37.567581')",7.211646760963352,0,0,0,0,1,0
"('55.567178', '37.573312')",7.377117649403527,0,0,0,0,1,0
"('55.570793', '37.571983')",7.142257717236828,0,0,0,0,1,0
"('55.563421', '37.573914')",7.668361069929574,0,0,0,0,1,0
"('55.577854', '37.572002')",6.60611538840732,0,0,0,0,1,0
"('55.563905', '37.582224')",7.300836735775002,0,0,0,0,1,0
"('55.576202', '37.58024')",6.3481219273099,0,0,0,0,1,0
"('55.517371', '37.5724')",12.102668886291672,0,0,0,0,0,1
"('55.539023', '37.575441')",9.862395255858477,0,0,0,0,1,0
"('55.572309', '37.569009')",7.158835698559162,0,0,0,0,1,0
"('55.559746', '37.575639')",7.920758032121001,0,0,0,0,1,0
"('55.584874', '37.464221')",12.32980120985705,0,0,0,0,0,1
"('55.745377', '37.67212')",7.0089305077157,0,0,0,0,1,3
"('55.57066', '37.564913')",7.472950521879721,0,0,0,0,1,0
"('55.5603276', '37.578958')",7.743451207101973,0,0,0,0,1,0
"('55.8149827', '37.7588599')",12.602695596345871,0,0,0,0,0,2
"('55.811629', '37.702796')",9.244820425007365,0,0,0,0,1,1
