coords,kids_hospitals_closest_km,kids_hospitals_less500m,kids_hospitals_0.5-1km,kids_hospitals_1-3km,kids_hospitals_3-5km,kids_hospitals_5-10km,kids_hospitals_10-15km
"('55.871602', '37.560664')",5.285352922308803,0,0,0,0,2,4
"('55.85721', '37.439607')",2.1199912729597647,0,0,1,0,2,3
"('55.891996', '37.600388')",4.44403938942378,0,0,0,1,0,4
"('55.895858', '37.631658')",4.0667014915233395,0,0,0,1,0,4
"('55.878131', '37.610755')",2.8433250287011447,0,0,1,0,1,6
"('55.869915', '37.613728')",2.1194759931094707,0,0,1,0,1,6
"('55.882308', '37.635251')",2.5418281219230816,0,0,1,0,1,4
"('55.869656', '37.61001')",2.3064628101926306,0,0,1,0,1,6
"('55.878723', '37.622353')",2.4501114699282374,0,0,1,0,1,5
"('55.89346', '37.653891')",3.811097330616966,0,0,0,1,0,3
"('55.89346', '37.653891')",3.811097330616966,0,0,0,1,0,3
"('55.9347854', '37.5543862')",9.998967433579429,0,0,0,0,1,1
"('55.8534582', '37.6434107')",0.6274025247844085,0,1,0,1,1,7
"('55.863014', '37.67102')",1.823486104437024,0,0,1,0,2,3
"('55.8592', '37.67431')",1.9844125706041862,0,0,1,0,2,3
"('55.880974', '37.641061')",2.354635438112603,0,0,1,0,1,3
"('55.836838', '37.667564')",2.9276688634561134,0,0,1,0,4,3
"('55.886357', '37.644863')",2.9562309893144194,0,0,1,0,1,3
"('55.875925', '37.603424')",3.029312286238297,0,0,0,1,0,7
"('55.892223', '37.65523')",3.693158513383798,0,0,0,1,0,3
"('55.875925', '37.603424')",3.029312286238297,0,0,0,1,0,7
"('55.89821', '37.61854')",4.526604240247424,0,0,0,1,0,4
"('55.87044', '37.60794')",2.461984198913514,0,0,1,0,1,6
"('55.885323', '37.643856')",2.8386094308191803,0,0,1,0,1,3
"('55.893536', '37.66477')",4.00334429188251,0,0,0,1,0,3
"('55.88793', '37.617294')",3.501557983115647,0,0,0,1,0,4
"('55.87233', '37.604046')",2.7775998257960084,0,0,1,0,1,6
"('55.775818', '37.616287')",2.1878846460135093,0,0,1,0,7,1
"('55.747692', '37.568929')",1.8698546301327859,0,0,2,1,5,4
"('55.752766', '37.536427')",0.25039472504557847,1,0,1,2,2,6
"('55.741029', '37.576313')",2.6636504243496706,0,0,3,0,6,3
"('55.7755221', '37.5984969')",1.209821205814463,0,0,1,1,6,3
"('55.7377562', '37.5711381')",2.6718273019331695,0,0,1,2,4,5
"('55.761573', '37.631469')",2.817694744447879,0,0,1,3,2,7
"('55.579215', '37.657026')",5.629313567684799,0,0,0,0,1,1
"('55.588618', '37.642231')",4.589578041441294,0,0,0,1,0,2
"('55.583118', '37.646768')",5.180612213987957,0,0,0,0,1,1
"('55.57603', '37.64607')",5.970869368628782,0,0,0,0,1,1
"('55.580788', '37.646525')",5.440419210845242,0,0,0,0,1,1
"('55.582665', '37.644279')",5.239280776290824,0,0,0,0,1,1
"('55.575785', '37.655347')",6.00307332367884,0,0,0,0,1,1
"('55.585652', '37.641971')",4.919959166431668,0,0,0,1,0,2
"('55.583037', '37.641962')",5.209954860594093,0,0,0,0,1,1
"('55.589198', '37.647819')",4.5018468422846425,0,0,0,1,0,2
"('55.603721', '37.655746')",2.906434901652944,0,0,1,0,1,2
"('55.632814', '37.612506')",2.308206238073371,0,0,1,0,1,4
"('55.591986', '37.669953')",4.375921763072383,0,0,0,1,0,2
"('55.599672', '37.664599')",3.46003996883877,0,0,0,1,0,3
"('55.612502', '37.577364')",4.885934625083627,0,0,0,1,0,3
"('55.58992', '37.64843')",4.420522209992988,0,0,0,1,0,2
"('55.6592015', '37.6165642')",3.6264644032659734,0,0,0,1,2,4
"('55.6002', '37.508884')",9.403239917327749,0,0,0,0,1,0
"('55.599082', '37.582861')",5.369375551051502,0,0,0,0,1,2
"('55.599097', '37.510718')",9.339208554386927,0,0,0,0,1,0
"('55.600638', '37.581244')",5.341864525928116,0,0,0,0,1,2
"('55.59712', '37.58285')",5.511137690571645,0,0,0,0,1,2
"('55.600638', '37.581244')",5.341864525928116,0,0,0,0,1,2
"('55.61114', '37.544818')",6.864383124729542,0,0,0,0,1,1
"('55.598375', '37.534281')",8.009713601016795,0,0,0,0,1,1
"('55.596986', '37.541476')",7.676266051941762,0,0,0,0,1,1
"('55.567906', '37.579924')",8.130752285512356,0,0,0,0,1,0
"('55.671473', '37.592078')",5.648904855266465,0,0,0,0,3,5
"('55.535473', '37.514967')",13.459555929853824,0,0,0,0,0,1
"('55.631686', '37.472414')",11.107805537060853,0,0,0,0,0,3
"('55.6223609', '37.5928588')",3.612601875816678,0,0,0,1,0,3
"('55.592953', '37.548276')",7.535967262099018,0,0,0,0,1,0
"('55.613926', '37.544342')",6.8063340217614465,0,0,0,0,1,1
"('55.600435', '37.545905')",7.251141077000718,0,0,0,0,1,1
"('55.60279', '37.545069')",7.184944311469245,0,0,0,0,1,1
"('55.59752', '37.534281')",8.051657008256509,0,0,0,0,1,0
"('55.604025', '37.539473')",7.453062915309037,0,0,0,0,1,1
"('55.609975', '37.54109')",7.127680595381476,0,0,0,0,1,1
"('55.617195', '37.53561')",7.260606045381082,0,0,0,0,1,1
"('55.603654', '37.534263')",7.772633858175066,0,0,0,0,1,1
"('55.603883', '37.518362')",8.701873499662863,0,0,0,0,1,1
"('55.604025', '37.539473')",7.453062915309037,0,0,0,0,1,1
"('55.613794', '37.535682')",7.338386945923593,0,0,0,0,1,1
"('55.61895', '37.540836')",6.901119154366589,0,0,0,0,1,1
"('55.656097', '37.59639')",4.252791612755507,0,0,0,1,1,5
"('55.601387', '37.50867')",9.370510232997843,0,0,0,0,1,0
"('55.604025', '37.539473')",7.453062915309037,0,0,0,0,1,1
"('55.614358', '37.549777')",6.4631950555934825,0,0,0,0,1,1
"('55.61895', '37.540836')",6.901119154366589,0,0,0,0,1,1
"('55.605215', '37.54215')",7.246631578341213,0,0,0,0,1,1
"('55.568349', '37.284378')",22.539957841288555,0,0,0,0,0,0
"('55.614235', '37.542454')",6.912669853545313,0,0,0,0,1,1
"('55.610173', '37.533032')",7.605990475145655,0,0,0,0,1,1
"('55.569499', '37.469764')",13.120892332796533,0,0,0,0,0,1
"('55.67406', '37.530537')",7.805663656270478,0,0,0,0,3,4
"('55.667397', '37.574436')",6.118106471029231,0,0,0,0,3,4
"('55.646238', '37.736419')",4.411746635145387,0,0,0,1,1,3
"('55.627426', '37.720886')",4.465862298078842,0,0,0,1,1,3
"('55.64568', '37.739474')",4.394092812050847,0,0,0,1,1,3
"('55.635762', '37.720861')",4.447986052271715,0,0,0,1,1,3
"('55.647498', '37.753973')",3.9464578622743827,0,0,0,1,1,3
"('55.635741', '37.719316')",4.3508527041715634,0,0,0,1,1,3
"('55.623265', '37.73173')",5.202839068914269,0,0,0,0,2,1
"('55.62505', '37.73676')",5.492373981893407,0,0,0,0,2,2
"('55.637932', '37.699283')",3.1357907984595084,0,0,0,1,1,3
"('55.646462', '37.750083')",4.109632627659959,0,0,0,1,1,3
"('55.644521', '37.750828')",4.310093137202239,0,0,0,1,1,3
"('55.646828', '37.742744')",4.20194269756233,0,0,0,1,1,3
"('55.626406', '37.745519')",6.020328414332512,0,0,0,0,2,2
"('55.655117', '37.758186')",3.0663882735314107,0,0,0,1,1,3
"('55.652847', '37.749598')",3.430571339490303,0,0,0,1,1,3
"('55.62624', '37.747917')",6.172501939639956,0,0,0,0,2,2
"('55.646238', '37.736419')",4.411746635145387,0,0,0,1,1,3
"('55.63634', '37.792583')",5.314598019109424,0,0,0,0,2,2
"('55.669939', '37.758768')",1.4420769658148473,0,0,1,0,2,3
"('55.508876', '37.343532')",15.281651971088753,0,0,0,0,0,0
"('55.632057', '37.754116')",5.645143801091876,0,0,0,0,2,2
"('55.644521', '37.750828')",4.310093137202239,0,0,0,1,1,3
"('55.686832', '37.724813')",2.5877018699358176,0,0,1,0,4,3
"('55.67341', '37.8093')",2.5461744317536206,0,0,1,0,1,4
"('55.726583', '37.622064')",0.18413106585963793,1,0,1,1,4,5
"('55.716402', '37.6109705')",0.9585076605688048,0,1,0,1,5,3
"('55.76952', '37.601852')",1.0526093131450565,0,0,1,2,4,4
"('55.739732', '37.605508')",1.606793201319448,0,0,1,2,4,5
"('55.740162', '37.604978')",1.6642636621185845,0,0,2,1,5,4
"('55.7407249', '37.6011633')",1.8330050485856637,0,0,2,1,5,4
"('55.6438807', '37.3571627')",15.707456706162164,0,0,0,0,0,0
"('55.644227', '37.38878')",14.912623503759358,0,0,0,0,0,1
"('55.640073', '37.365354')",15.878099305281635,0,0,0,0,0,0
"('55.6396042', '37.366312')",15.902164838418756,0,0,0,0,0,0
"('55.645151', '37.350063')",15.781318586725309,0,0,0,0,0,0
"('55.643144', '37.38499')",15.105362515700259,0,0,0,0,0,0
"('55.641796', '37.36662')",15.670387898552011,0,0,0,0,0,0
"('55.638765', '37.358049')",16.19879643017379,0,0,0,0,0,0
"('55.640909', '37.36157')",15.889557559072228,0,0,0,0,0,0
"('55.6438807', '37.3571627')",15.707456706162164,0,0,0,0,0,0
"('55.641244', '37.356172')",15.99908887069196,0,0,0,0,0,0
"('55.63976', '37.362245')",15.988817531933435,0,0,0,0,0,0
"('55.640909', '37.36157')",15.889557559072228,0,0,0,0,0,0
"('55.634934', '37.34576')",16.918022031842547,0,0,0,0,0,0
"('55.641244', '37.356172')",15.99908887069196,0,0,0,0,0,0
"('55.641244', '37.356172')",15.99908887069196,0,0,0,0,0,0
"('55.639638', '37.397908')",15.225487390103396,0,0,0,0,0,0
"('55.638088', '37.400121')",15.353075769764816,0,0,0,0,0,0
"('55.6375', '37.363564')",16.18576745142561,0,0,0,0,0,0
"('55.644704', '37.385861')",14.923355900885161,0,0,0,0,0,1
"('55.624714', '37.376059')",17.185013037338173,0,0,0,0,0,0
"('55.643053', '37.391107')",14.989702429268094,0,0,0,0,0,1
"('55.638912', '37.36164')",16.0905616539136,0,0,0,0,0,0
"('55.641829', '37.360699')",15.819143282862811,0,0,0,0,0,0
"('55.633851', '37.41405')",14.788586471299945,0,0,0,0,0,1
"('55.645852', '37.389059')",14.735877213161881,0,0,0,0,0,1
"('55.646223', '37.385978')",14.761735930489563,0,0,0,0,0,1
"('55.64216', '37.368979')",15.574543757136157,0,0,0,0,0,0
"('55.644221', '37.352327')",15.808422440703751,0,0,0,0,0,0
"('55.643053', '37.391107')",14.989702429268094,0,0,0,0,0,1
"('55.642083', '37.327381')",16.779531094630837,0,0,0,0,0,0
"('55.661816', '37.419916')",12.482764347405523,0,0,0,0,0,4
"('55.601305', '37.411346')",15.287680414470703,0,0,0,0,0,0
"('55.636605', '37.314023')",17.74174204915681,0,0,0,0,0,0
"('55.6433374', '37.3590022')",15.712092974124003,0,0,0,0,0,0
"('55.64216', '37.368979')",15.574543757136157,0,0,0,0,0,0
"('55.6438807', '37.3571627')",15.707456706162164,0,0,0,0,0,0
"('55.647204', '37.371587')",14.993626371641046,0,0,0,0,0,1
"('55.635945', '37.344619')",16.84972578493798,0,0,0,0,0,0
"('55.648094', '37.394028')",14.399097347280794,0,0,0,0,0,2
"('55.692648', '37.496704')",7.359332059602807,0,0,0,0,4,1
"('55.626579', '37.313502')",18.709333086945325,0,0,0,0,0,0
"('55.681091', '37.459845')",9.554278012183195,0,0,0,0,1,4
"('55.66164', '37.41553')",12.568560586260304,0,0,0,0,0,3
"('55.6674', '37.450333')",11.169964382191,0,0,0,0,0,5
"('55.635945', '37.344619')",16.84972578493798,0,0,0,0,0,0
"('55.64447', '37.348994')",15.879651915703928,0,0,0,0,0,0
"('55.64269', '37.3577113')",15.812055712884622,0,0,0,0,0,0
"('55.633409', '37.321524')",17.797514046996792,0,0,0,0,0,0
"('55.675346', '37.500973')",9.104312020481556,0,0,0,0,2,3
"('55.625303', '37.314346')",18.80457052168522,0,0,0,0,0,0
"('55.653858', '37.396362')",13.743802592703267,0,0,0,0,0,2
"('55.655869', '37.427381')",13.019109615170219,0,0,0,0,0,4
"('55.836999', '37.661329')",2.723042647807638,0,0,1,0,4,3
"('55.849498', '37.623171')",1.6189163393111328,0,0,1,0,3,5
"('55.854168', '37.623563')",1.3126062839297885,0,0,1,0,3,5
"('55.847295', '37.638521')",1.3365498556183504,0,0,1,0,3,5
"('55.850535', '37.654439')",1.2050060629612076,0,0,1,0,2,5
"('55.852734', '37.615677')",1.8291218112364434,0,0,1,0,3,5
"('55.857946', '37.617307')",1.5885297775470077,0,0,1,0,2,6
"('55.84771', '37.6366')",1.3204335393560804,0,0,1,0,3,5
"('55.852734', '37.615677')",1.8291218112364434,0,0,1,0,3,5
"('55.849691', '37.620905')",1.7150447897949666,0,0,1,0,3,5
"('55.856184', '37.659254')",1.0902294586898302,0,0,1,0,2,4
"('55.827656', '37.665436')",3.7789481577858117,0,0,0,2,2,5
"('55.849498', '37.623171')",1.6189163393111328,0,0,1,0,3,5
"('55.85973', '37.6653')",1.4220199940196727,0,0,1,0,2,3
"('55.838147', '37.661257')",2.6062157187285107,0,0,1,0,4,3
"('55.8558', '37.68467')",2.6583550038683748,0,0,1,0,2,4
"('55.858817', '37.638755')",0.2437815092273119,1,0,1,0,2,6
"('55.793156', '37.622772')",3.6804571681450082,0,0,0,2,4,3
"('55.810596', '37.617374')",5.150007467882343,0,0,0,0,6,2
"('55.855083', '37.660054')",1.1787574986660267,0,0,1,0,2,4
"('55.86071', '37.670967')",1.7842951807073533,0,0,1,0,2,3
"('55.849498', '37.623171')",1.6189163393111328,0,0,1,0,3,5
"('55.848731', '37.639743')",1.1657873195394404,0,0,1,0,3,5
"('55.8495', '37.63888')",1.091587874225721,0,0,1,0,3,5
"('55.862793', '37.643058')",0.3309604876618478,1,0,1,0,2,4
"('55.8495825', '37.6409167')",1.0623404280042728,0,0,1,0,3,5
"('55.84771', '37.6366')",1.3204335393560804,0,0,1,0,3,5
"('55.850141', '37.622425')",1.6091314460106738,0,0,1,0,3,5
"('55.835508', '37.654718')",2.73122687907162,0,0,1,0,4,3
"('55.847311', '37.628999')",1.5631951278087148,0,0,1,0,3,5
"('55.860822', '37.66123')",1.1810128842051344,0,0,1,0,2,3
"('55.860822', '37.66123')",1.1810128842051344,0,0,1,0,2,3
"('55.836266', '37.642528')",2.539618355759243,0,0,1,0,4,4
"('55.827338', '37.666423')",3.8353621006915306,0,0,0,2,2,5
"('55.852177', '37.635916')",0.875373219883857,0,1,0,1,2,6
"('55.86169', '37.642643')",0.20631143875140154,1,0,1,0,2,5
"('55.858868', '37.665993')",1.4637467512922302,0,0,1,0,2,3
"('55.860873', '37.613737')",1.8016271975672826,0,0,1,0,2,6
"('55.849615', '37.637614')",1.0990275094263509,0,0,1,0,3,5
"('55.847311', '37.628999')",1.5631951278087148,0,0,1,0,3,5
"('55.809231', '37.636392')",4.255729005140328,0,0,0,1,5,2
"('55.830892', '37.646606')",3.147861150969846,0,0,0,1,3,4
"('55.889563', '37.669872')",3.7279804635919414,0,0,0,1,0,4
"('55.881631', '37.6835')",3.5341133660917365,0,0,0,1,0,4
"('55.851635', '37.63419')",0.9823860782355655,0,1,0,1,2,6
"('55.854458', '37.68516')",2.7131075225794845,0,0,1,0,2,4
"('55.848816', '37.59704')",3.074696414569794,0,0,0,1,2,6
"('55.864242', '37.620034')",1.486694065471171,0,0,1,0,2,5
"('55.853041', '37.647603')",0.7408100431251889,0,1,0,1,1,6
"('55.848816', '37.59704')",3.074696414569794,0,0,0,1,2,6
"('55.862767', '37.611563')",1.9612982931364484,0,0,1,0,2,5
"('55.847244', '37.635567')",1.3894342359423324,0,0,1,0,3,5
"('55.858817', '37.638755')",0.2437815092273119,1,0,1,0,2,6
"('55.837807', '37.662598')",2.6783163610419107,0,0,1,0,4,3
"('55.860615', '37.668417')",1.6243845000406145,0,0,1,0,2,3
"('55.834421', '37.659596')",2.943781076878319,0,0,1,0,4,3
"('55.849615', '37.637614')",1.0990275094263509,0,0,1,0,3,5
"('55.806656', '37.7715')",5.069781969264695,0,0,0,0,3,3
"('55.811138', '37.808689')",7.419044912009059,0,0,0,0,2,3
"('55.6583', '37.574696')",5.516189096006659,0,0,0,0,2,5
"('55.80376', '37.769936')",4.8554589644933195,0,0,0,1,1,5
"('55.87106', '37.663223')",1.8033302753108538,0,0,1,0,2,3
"('55.824501', '37.583095')",5.3595887829874655,0,0,0,0,5,3
"('55.80663', '37.640766')",3.868370516319931,0,0,0,1,5,2
"('55.867556', '37.603361')",2.5938553672540134,0,0,1,0,1,6
"('55.663887', '37.769398')",2.072249427449309,0,0,1,0,2,3
"('55.663481', '37.73041')",3.0352014291498897,0,0,0,1,2,4
"('55.663887', '37.769398')",2.072249427449309,0,0,1,0,2,3
"('55.670062', '37.743759')",1.9225958471369384,0,0,1,0,3,3
"('55.671493', '37.750927')",1.5074330115717458,0,0,1,0,2,4
"('55.643917', '37.702616')",3.5282129130289137,0,0,0,1,1,3
"('55.645476', '37.707215')",3.8616689281167824,0,0,0,1,1,3
"('55.667709', '37.777411')",1.6972451608845867,0,0,1,0,2,3
"('55.662821', '37.760809')",2.194205220176859,0,0,1,0,2,3
"('55.667361', '37.752993')",1.8390823754542478,0,0,1,0,2,3
"('55.642728', '37.713036')",4.106155866712661,0,0,0,1,1,3
"('55.664445', '37.777007')",2.0513920909646997,0,0,1,0,2,3
"('55.659504', '37.777084')",2.597510469405865,0,0,1,0,2,2
"('55.647681', '37.730562')",4.434754769364428,0,0,0,1,1,3
"('55.658662', '37.759452')",2.6644418380051085,0,0,1,0,2,3
"('55.655127', '37.746004')",3.2648367603106734,0,0,0,1,1,4
"('55.667145', '37.764111')",1.6967716847837826,0,0,1,0,2,3
"('55.661796', '37.729592')",3.2038931745932855,0,0,0,1,2,4
"('55.654934', '37.75635')",3.105152742198672,0,0,0,1,1,3
"('55.67159', '37.764483')",1.2013493739255674,0,0,1,0,2,3
"('55.673126', '37.755726')",1.1892434129156768,0,0,1,0,3,3
"('55.672448', '37.761599')",1.1278442919726381,0,0,1,0,2,3
"('55.667178', '37.759937')",1.7237075446547232,0,0,1,0,2,3
"('55.646228', '37.705841')",3.815078218060005,0,0,0,1,1,3
"('55.636032', '37.802265')",5.525153177204575,0,0,0,0,2,1
"('55.654635', '37.765525')",3.088297702378077,0,0,0,1,1,3
"('55.669986', '37.773143')",1.4139778278548325,0,0,1,0,2,3
"('55.667731', '37.774014')",1.6675374584981697,0,0,1,0,2,3
"('55.667539', '37.756545')",1.7387822352416216,0,0,1,0,2,3
"('55.673847', '37.759235')",1.0204672200065574,0,0,1,0,3,3
"('55.64066', '37.79885')",4.967507067945548,0,0,0,1,1,3
"('55.657768', '37.761438')",2.749558655987985,0,0,1,0,2,3
"('55.679737', '37.76539')",0.2937477428976116,1,0,1,0,3,3
"('55.635371', '37.794262')",5.445252739079045,0,0,0,0,2,2
"('55.672757', '37.749724')",1.446627705009786,0,0,1,0,3,3
"('55.667477', '37.78686')",1.9243763355852297,0,0,1,0,2,3
"('55.653279', '37.711428')",4.492526032603824,0,0,0,2,1,5
"('55.661796', '37.729592')",3.2038931745932855,0,0,0,1,2,4
"('55.663481', '37.73041')",3.0352014291498897,0,0,0,1,2,4
"('55.675895', '37.771984')",0.7553562012574018,0,1,0,1,1,4
"('55.670849', '37.775442')",1.331660967424871,0,0,1,0,2,3
"('55.673407', '37.753335')",1.2460243388326206,0,0,1,0,3,3
"('55.650099', '37.730203')",4.214093397514133,0,0,0,1,1,3
"('55.649926', '37.708823')",4.164852170392992,0,0,0,1,1,4
"('55.6649677', '37.7456397')",2.2952168476293338,0,0,1,0,2,4
"('55.667361', '37.752993')",1.8390823754542478,0,0,1,0,2,3
"('55.665233', '37.761734')",1.9206297308757447,0,0,1,0,2,3
"('55.6854618', '37.7258237')",2.4998708501364164,0,0,1,0,4,3
"('55.632972', '37.798637')",5.776929752707203,0,0,0,0,2,0
"('55.669828', '37.761581')",1.4150250730898555,0,0,1,0,2,3
"('55.648443', '37.725415')",4.531593441707897,0,0,0,1,1,3
"('55.650759', '37.765264')",3.51976480901022,0,0,0,1,1,3
"('55.662222', '37.732656')",3.0370048728525547,0,0,0,1,2,4
"('55.644089', '37.716288')",4.346303336611735,0,0,0,1,1,3
"('55.659414', '37.759569')",2.580494691941078,0,0,1,0,2,3
"('55.645182', '37.721355')",4.687238687701638,0,0,0,2,0,4
"('55.546557', '37.519557')",12.327974358199015,0,0,0,0,0,1
"('55.543779', '37.45699')",15.415563236971545,0,0,0,0,0,0
"('55.547397', '37.566584')",10.523537271646765,0,0,0,0,0,1
"('55.537424', '37.540102')",12.345776927412086,0,0,0,0,0,1
"('55.54293', '37.545168')",11.658514219985195,0,0,0,0,0,1
"('55.541922', '37.494144')",13.801380801063802,0,0,0,0,0,1
"('55.539548', '37.538889')",12.192942764772386,0,0,0,0,0,1
"('55.55061', '37.558167')",10.492665626109368,0,0,0,0,0,1
"('55.539884', '37.451887')",15.938054454179115,0,0,0,0,0,0
"('55.562968', '37.500504')",11.936431572127944,0,0,0,0,0,1
"('55.5541523', '37.5028576')",12.461487314990734,0,0,0,0,0,1
"('55.547535', '37.548941')",11.100692838693519,0,0,0,0,0,1
"('55.524936', '37.515892')",14.359019295090112,0,0,0,0,0,1
"('55.55003', '37.500288')",12.893133662032692,0,0,0,0,0,1
"('55.567194', '37.498941')",11.728283702605179,0,0,0,0,0,1
"('55.549022', '37.569099')",10.288064919345436,0,0,0,0,0,1
"('55.564409', '37.500917')",11.816598387380843,0,0,0,0,0,1
"('55.563757', '37.498617')",11.975678498975965,0,0,0,0,0,1
"('55.537801', '37.503971')",13.710045297663767,0,0,0,0,0,1
"('55.539677', '37.460086')",15.553625168849846,0,0,0,0,0,0
"('55.5567986', '37.5068015')",12.079049185757063,0,0,0,0,0,1
"('55.535553', '37.502274')",13.968474442207246,0,0,0,0,0,1
"('55.550434', '37.49033')",13.326050849083588,0,0,0,0,0,1
"('55.530225', '37.515838')",13.886778165440514,0,0,0,0,0,1
"('55.537149', '37.529322')",12.760267223210597,0,0,0,0,0,1
"('55.540939', '37.523645')",12.642103731033865,0,0,0,0,0,1
"('55.556986', '37.510215')",11.906292832768615,0,0,0,0,0,1
"('55.523682', '37.511814')",14.623115561273051,0,0,0,0,0,1
"('55.534688', '37.522072')",13.253043109612543,0,0,0,0,0,1
"('55.542681', '37.485116')",14.151147146191736,0,0,0,0,0,1
"('55.541004', '37.493225')",13.914778136620674,0,0,0,0,0,1
"('55.54343', '37.555795')",11.249231519994616,0,0,0,0,0,1
"('55.554975', '37.507205')",12.197884920821316,0,0,0,0,0,1
"('55.546083', '37.549184')",11.225735726707237,0,0,0,0,0,1
"('55.5567986', '37.5068015')",12.079049185757063,0,0,0,0,0,1
"('55.5541523', '37.5028576')",12.461487314990734,0,0,0,0,0,1
"('55.54484', '37.556289')",11.099089690783792,0,0,0,0,0,1
"('55.523575', '37.508661')",14.750977214839475,0,0,0,0,0,1
"('55.540939', '37.452678')",15.825517710130663,0,0,0,0,0,0
"('55.547276', '37.534317')",11.67082501143431,0,0,0,0,0,1
"('55.529675', '37.512532')",14.062071724846925,0,0,0,0,0,1
"('55.53743', '37.506332')",13.64245721356617,0,0,0,0,0,1
"('55.564511', '37.487038')",12.511516267446286,0,0,0,0,0,1
"('55.554348', '37.512757')",11.992970291547094,0,0,0,0,0,1
"('55.5539', '37.553981')",10.337423801064102,0,0,0,0,0,1
"('55.541805', '37.521201')",12.664147052685841,0,0,0,0,0,1
"('55.531672', '37.50089')",14.352323702304469,0,0,0,0,0,1
"('55.487264', '37.30742')",2428.607477942006,0,0,0,0,0,0
"('55.572482', '37.567581')",8.167819250815125,0,0,0,0,1,0
"('55.567178', '37.573312')",8.427357343453103,0,0,0,0,1,0
"('55.570793', '37.571983')",8.14756311435131,0,0,0,0,1,0
"('55.563421', '37.573914')",8.755516292054184,0,0,0,0,1,0
"('55.577854', '37.572002')",7.528451938239821,0,0,0,0,1,0
"('55.518265', '37.572701')",13.298737257098812,0,0,0,0,0,1
"('55.563905', '37.582224')",8.437979980020284,0,0,0,0,1,0
"('55.576202', '37.58024')",7.3540410908334275,0,0,0,0,1,0
"('55.517371', '37.5724')",13.398450640101137,0,0,0,0,0,1
"('55.563905', '37.582224')",8.437979980020284,0,0,0,0,1,0
"('55.539023', '37.575441')",11.100720418140206,0,0,0,0,0,1
"('55.572309', '37.569009')",8.126887049685624,0,0,0,0,1,0
"('55.559746', '37.575639')",9.047139301258868,0,0,0,0,1,0
"('55.584874', '37.464221')",12.653208874186385,0,0,0,0,0,1
"('55.745377', '37.67212')",2.560750670130852,0,0,1,2,4,5
"('55.57066', '37.564913')",8.431363001471436,0,0,0,0,1,0
"('55.5603276', '37.578958')",8.886042995948692,0,0,0,0,1,0
"('55.576202', '37.58024')",7.3540410908334275,0,0,0,0,1,0
"('55.517371', '37.5724')",13.398450640101137,0,0,0,0,0,1
"('55.8149827', '37.7588599')",4.866781082479649,0,0,0,1,2,4
"('55.811629', '37.702796')",2.6421587136300433,0,0,1,0,4,3
"('55.8124948', '37.7391276')",3.760648159840168,0,0,0,1,2,5
"('55.816895', '37.727625')",3.7173716360979685,0,0,0,1,2,4
"('55.81708', '37.746151')",4.4340540937911195,0,0,0,1,2,4
"('55.8108798', '37.7423865')",3.781650660910045,0,0,0,1,2,5
"('55.817192', '37.744')",4.352022476029154,0,0,0,1,2,4
"('55.81708', '37.746151')",4.4340540937911195,0,0,0,1,2,4
"('55.817612', '37.745424')",4.44655940366969,0,0,0,1,2,4
"('55.825856', '37.750191')",5.3411839612553775,0,0,0,0,3,2
"('55.817612', '37.745424')",4.44655940366969,0,0,0,1,2,4
"('55.8108798', '37.7423865')",3.781650660910045,0,0,0,1,2,5
"('55.8027', '37.722037')",2.2319621961730496,0,0,1,0,4,3
"('55.82958', '37.758022')",5.971633972376776,0,0,0,0,3,2
"('55.808308', '37.72192')",2.7171039130762313,0,0,1,0,4,3
"('55.8056', '37.716145')",2.2685026734222986,0,0,1,0,4,3
"('55.8090879', '37.7232228')",2.834832572481888,0,0,1,0,4,3
"('55.8115699', '37.7407137')",3.7576487948080737,0,0,0,1,2,5
"('55.806361', '37.728571')",2.8096312924514817,0,0,1,0,4,3
"('55.818048', '37.74628')",4.518584629026702,0,0,0,1,2,4
"('55.808118', '37.727445')",2.908671604835467,0,0,1,0,3,4
"('55.812509', '37.722046')",3.1197570328903934,0,0,0,1,3,4
"('55.8108078', '37.7407356')",3.7000946401394352,0,0,0,1,2,5
"('55.81917', '37.751152')",4.818857811547381,0,0,0,1,2,4
"('55.817612', '37.745424')",4.44655940366969,0,0,0,1,2,4
"('55.810364', '37.717492')",2.7748993337686527,0,0,1,0,4,3
"('55.811457', '37.730832')",3.330948155245576,0,0,0,1,2,5
"('55.81708', '37.746151')",4.4340540937911195,0,0,0,1,2,4
"('55.81708', '37.746151')",4.4340540937911195,0,0,0,1,2,4
"('55.81386', '37.72493')",3.340482946023431,0,0,0,1,2,5
"('55.822321', '37.760818')",5.495736139206308,0,0,0,0,3,2
"('55.81964', '37.724712')",3.9014712779339065,0,0,0,1,2,4
"('55.8056', '37.716145')",2.2685026734222986,0,0,1,0,4,3
"('55.81708', '37.746151')",4.4340540937911195,0,0,0,1,2,4
"('55.800944', '37.705338')",1.5110019552981375,0,0,1,1,4,3
"('55.8118593', '37.7416374')",3.821696473480141,0,0,0,1,2,5
"('55.8180948', '37.7528486')",4.8095277745269405,0,0,0,1,2,4
"('55.80042', '37.710049')",1.5778372958712634,0,0,1,1,3,4
"('55.789269', '37.663809')",1.8360172691853465,0,0,1,1,5,3
"('55.807769', '37.764636')",4.736102601946615,0,0,0,1,2,4
"('55.818048', '37.74628')",4.518584629026702,0,0,0,1,2,4
"('55.81708', '37.746151')",4.4340540937911195,0,0,0,1,2,4
