coords,adult_hospitals_closest_km,adult_hospitals_less500m,adult_hospitals_0.5-1km,adult_hospitals_1-3km,adult_hospitals_3-5km,adult_hospitals_5-10km,adult_hospitals_10-15km
"('55.8367492', '37.4929738')",1.961059899886141,0,0,1,3,7,13
"('55.838799', '37.488445')",2.0747493001987642,0,0,1,2,8,11
"('55.82318', '37.511436')",1.3722161569590485,0,0,3,1,9,13
"('55.831104', '37.49203')",2.4380915258131597,0,0,2,2,9,12
"('55.8303', '37.501545')",1.9198563621209177,0,0,1,3,8,13
"('55.832293', '37.504456')",1.7830431472212833,0,0,1,3,7,14
"('55.814689', '37.463933')",0.4008121706476651,1,0,2,3,8,12
"('55.841561', '37.495863')",1.5207919814386026,0,0,1,3,6,13
"('55.84955', '37.478703')",2.4492884341305587,0,0,1,1,9,5
"('55.82118', '37.49531')",1.9794620411860413,0,0,3,1,10,11
"('55.831817', '37.503621')",1.8210547437723386,0,0,1,3,8,13
"('55.822083', '37.51161')",1.4112935944974376,0,0,3,2,8,14
"('55.8492552', '37.4955888')",1.3942833037545856,0,0,1,1,8,9
"('55.835753', '37.49187')",2.084315665206955,0,0,2,2,8,12
"('55.818144', '37.505597')",1.955942840287107,0,0,3,2,8,14
"('55.8231', '37.493743')",2.153501553749121,0,0,3,1,10,11
"('55.844167', '37.484685')",2.0997732585404374,0,0,1,2,8,9
"('55.827737', '37.467284')",1.323652605266836,0,0,2,1,9,9
"('55.802012', '37.566889')",0.8493810431542572,0,1,2,4,14,10
"('55.848564', '37.48835')",1.838506109977064,0,0,1,2,7,9
"('55.763857', '37.560134')",1.7767116218916135,0,0,2,1,18,9
"('55.76104', '37.573364')",1.7228447558084803,0,0,2,4,15,13
"('55.764967', '37.565479')",1.8101009146275853,0,0,2,2,17,10
"('55.764222', '37.565183')",1.8723042120619962,0,0,2,2,17,10
"('55.770071', '37.57298')",1.594075263365557,0,0,2,2,16,12
"('55.762693', '37.565937')",2.044259262702832,0,0,2,2,17,10
"('55.760915', '37.554861')",2.017094174744489,0,0,2,2,16,11
"('55.769386', '37.586716')",0.7945339134948433,0,1,1,4,15,15
"('55.76447', '37.582207')",1.0719146113578553,0,0,2,3,16,14
"('55.765362', '37.564922')",1.7543800043158668,0,0,2,1,18,9
"('55.764247', '37.573744')",1.5949045382912947,0,0,2,2,17,11
"('55.759461', '37.572675')",1.8366026697604372,0,0,2,4,15,13
"('55.768694', '37.586104')",0.8099267845277232,0,1,1,4,15,15
"('55.763523', '37.556559')",1.749805922001604,0,0,2,1,18,9
"('55.728109', '37.61759')",0.9794530843725296,0,1,3,3,13,16
"('55.779104', '37.612578')",1.598032325338106,0,0,1,4,14,14
"('55.7662037', '37.6169983')",1.1121628592670822,0,0,2,4,14,15
"('55.7577', '37.559593')",2.424419437438507,0,0,2,3,16,11
"('55.766694', '37.570564')",1.7643907594614074,0,0,2,1,18,9
"('55.76156', '37.54907')",1.9288918478329637,0,0,1,2,15,11
"('55.759136', '37.574005')",1.780443685165934,0,0,2,4,15,13
"('55.76762', '37.587021')",0.733913651134708,0,1,1,4,15,15
"('55.769388', '37.580795')",1.1519835231997182,0,0,2,3,16,14
"('55.76685', '37.58739')",0.708147738812724,0,1,1,5,14,16
"('55.76459', '37.58984')",0.617288132822933,0,1,1,5,13,17
"('55.7660148', '37.5714951')",1.7093261334067986,0,0,2,2,17,10
"('55.76917', '37.588323')",0.6914613276115253,0,1,1,4,15,15
"('55.767934', '37.582808')",1.0004725591569053,0,0,2,3,16,14
"('55.742727', '37.64613')",0.4314462037296542,2,0,2,4,12,18
"('55.756158', '37.550693')",2.5282266958385424,0,0,1,2,15,11
"('55.768537', '37.6009')",0.21238805107203748,1,0,1,5,13,17
"('55.7666059', '37.5676078')",1.7142167273223574,0,0,2,1,18,9
"('55.764065', '37.569782')",1.8430136867044455,0,0,2,2,17,10
"('55.754801', '37.58455')",1.6249312874507402,0,0,1,6,12,18
"('55.75753', '37.575027')",1.8226286552592232,0,0,2,4,15,13
"('55.761745', '37.56654')",2.100899292364072,0,0,2,2,17,10
"('55.765793', '37.574635')",1.5147873851386424,0,0,2,2,16,12
"('55.767097', '37.5686125')",1.6978750558368025,0,0,2,2,17,10
"('55.754593', '37.56892')",2.3250819651813486,0,0,2,3,16,11
"('55.766056', '37.58832')",0.6585456506058549,0,1,1,5,14,16
"('55.761338', '37.567906')",2.032422478166408,0,0,2,2,17,10
"('55.775555', '37.68164')",1.4679210995383698,0,0,4,3,16,10
"('55.765854', '37.677734')",1.4400309700352367,0,0,3,5,14,12
"('55.775753', '37.671938')",2.0257403425419422,0,0,3,5,14,12
"('55.772168', '37.677409')",1.5762929312657705,0,0,3,5,14,12
"('55.77142', '37.668434')",2.104727685419726,0,0,3,5,13,13
"('55.795834', '37.717939')",0.9869993818876857,0,1,3,3,11,12
"('55.790423', '37.680499')",0.3707273438876678,1,0,4,1,17,9
"('55.762703', '37.661213')",1.9452480001380243,0,0,3,5,15,13
"('55.772041', '37.686788')",1.007377294188216,0,0,3,4,15,10
"('55.77325', '37.6812')",1.3829874821722792,0,0,3,4,15,11
"('55.7749976', '37.6729808')",1.9342664122190885,0,0,3,5,14,12
"('55.775459', '37.673519')",1.9215050804715867,0,0,3,5,14,12
"('55.777094', '37.681443')",1.5711837289161592,0,0,4,3,16,10
"('55.77471', '37.68217')",1.3933646259712669,0,0,4,3,15,11
"('55.762543', '37.67272')",1.8010903245230232,0,0,2,6,14,13
"('55.7749976', '37.6729808')",1.9342664122190885,0,0,3,5,14,12
"('55.775915', '37.686877')",1.2204886078505572,0,0,4,3,16,9
"('55.776993', '37.714634')",1.1537017211304514,0,0,5,1,16,7
"('55.766148', '37.67139')",1.8377082071294468,0,0,2,6,13,13
"('55.777094', '37.681443')",1.5711837289161592,0,0,4,3,16,10
"('55.762794', '37.677921')",1.4775018844484893,0,0,2,6,13,12
"('55.77314', '37.693561')",0.7009819510959854,0,1,4,3,16,9
"('55.773793', '37.694845')",0.6982095484384849,0,1,4,3,16,9
"('55.771206', '37.658212')",2.7222090705217528,0,0,3,4,13,14
"('55.66994', '37.536032')",2.113849907295998,0,0,1,2,8,12
"('55.7224', '37.619946')",0.9637487263468184,0,1,3,2,14,15
"('55.724728', '37.664516')",0.4769454131223285,1,0,2,3,13,15
"('55.816424', '37.705257')",1.7869163332001095,0,0,3,1,14,8
"('55.819176', '37.721193')",2.4025987851851878,0,0,1,3,11,10
"('55.823151', '37.715956')",2.670538945021916,0,0,1,3,10,11
"('55.819555', '37.707566')",2.152068780654849,0,0,2,2,13,9
"('55.820632', '37.713701')",2.3596972703111105,0,0,1,3,11,11
"('55.819386', '37.706489')",2.123641351361218,0,0,2,2,13,9
"('55.820025', '37.714626')",2.314592179582371,0,0,1,3,11,11
"('55.821072', '37.70276')",2.2936311674676446,0,0,1,2,12,10
"('55.817448', '37.711975')",1.9891239283752764,0,0,2,2,13,9
"('55.818954', '37.71327')",2.1739040259086435,0,0,1,3,11,11
"('55.813477', '37.710197')",1.534636032973308,0,0,3,3,12,10
"('55.806504', '37.720097')",1.314598950594185,0,0,3,3,11,11
"('55.863758', '37.665436')",0.14051278688792507,1,0,1,0,8,9
"('55.793896', '37.712067')",0.7167417241299043,0,2,3,3,12,11
"('55.815549', '37.757817')",2.0523040090422513,0,0,2,4,6,14
"('55.814518', '37.729305')",2.3152377897142813,0,0,2,3,11,10
"('55.7762572', '37.7368937')",0.4188074938805661,1,0,4,2,11,11
"('55.799143', '37.729359')",0.8096487793393029,0,1,2,5,9,13
"('55.766735', '37.73041')",0.6609438205519513,0,1,2,3,12,10
"('55.820025', '37.714626')",2.314592179582371,0,0,1,3,11,11
"('55.811508', '37.698915')",1.244236773715044,0,0,3,1,15,7
"('55.819359', '37.702035')",2.102504262262001,0,0,2,1,14,8
"('55.8167', '37.72118')",2.167633929649359,0,0,3,1,13,9
"('55.822711', '37.719055')",2.6949619587232756,0,0,1,3,10,11
"('55.79988', '37.730618')",0.8444368583271081,0,1,2,5,9,13
"('55.8058209', '37.7547534')",1.6363973787488895,0,0,2,4,8,13
"('55.7755746', '37.7378258')",0.3277786539416323,1,0,4,2,11,11
"('55.7946813', '37.6844009')",0.26746324291170187,1,1,2,3,15,11
"('55.807907', '37.706629')",0.8754019966435044,0,1,2,4,12,10
"('55.78549', '37.68692')",0.768828893302999,0,1,3,3,15,11
"('55.82779', '37.75684')",3.219715869103662,0,0,0,4,6,13
"('55.788819', '37.698358')",0.3454201577317482,1,1,3,2,16,9
"('55.811594', '37.708203')",1.2962735397863583,0,0,3,3,12,10
"('55.814598', '37.705158')",1.5842789746024415,0,0,3,1,14,8
"('55.818948', '37.702706')",2.0571265174472995,0,0,2,1,14,8
"('55.759693', '37.738503')",1.0821490863042218,0,0,2,5,10,11
"('55.79343', '37.72872')",0.4731113936825878,1,0,4,3,11,11
"('55.809525', '37.789734')",1.024746915699158,0,0,2,1,9,7
"('55.792903', '37.802877')",0.6552681380527705,0,1,1,5,4,12
"('55.792078', '37.770061')",1.2624418560910402,0,0,4,5,6,14
"('55.764171', '37.739716')",0.5803962260112885,0,1,2,6,8,14
"('55.859478', '37.482124')",2.58907402205924,0,0,1,2,6,7
"('55.862882', '37.474886')",3.173725561245279,0,0,0,2,5,7
"('55.86929', '37.479736')",3.3876260718408346,0,0,0,2,3,9
"('55.863439', '37.506586')",1.896121811597417,0,0,1,1,7,8
"('55.872567', '37.462586')",4.429936534656655,0,0,0,2,3,9
"('55.858897', '37.500118')",1.6707609762390585,0,0,1,1,7,8
"('55.874733', '37.465225')",4.46218840240267,0,0,0,2,3,9
"('55.85967', '37.499839')",1.7476451160964883,0,0,1,1,7,8
"('55.86795', '37.463116')",4.099114898903179,0,0,0,2,3,9
"('55.867536', '37.488332')",2.881706905630405,0,0,1,1,5,8
"('55.849054', '37.486059')",1.9855053510760312,0,0,1,2,7,9
"('55.866325', '37.491943')",2.635211663347577,0,0,1,1,5,8
"('55.861231', '37.495024')",2.077433691178835,0,0,1,1,7,8
"('55.868359', '37.463673')",4.095628074970858,0,0,0,2,3,9
"('55.868662', '37.456755')",4.477449673149265,0,0,0,2,3,9
"('55.85463', '37.472702')",2.922393990999862,0,0,1,1,9,4
"('55.868395', '37.462514')",4.157959690013316,0,0,0,2,3,9
"('55.856391', '37.4781')",2.663978183796755,0,0,1,1,8,5
"('55.863373', '37.492922')",2.3425374905754524,0,0,1,1,6,8
"('55.863828', '37.518219')",1.7923263999335612,0,0,1,1,7,8
"('55.865152', '37.472081')",3.4595556770802998,0,0,0,2,4,8
"('55.868794', '37.494665')",2.7653285500481712,0,0,1,1,5,8
"('55.84979', '37.476196')",2.6080988383080337,0,0,1,1,9,5
"('55.866809', '37.488655')",2.806672462761278,0,0,1,1,5,8
"('55.874733', '37.465225')",4.46218840240267,0,0,0,2,3,9
"('55.868662', '37.456755')",4.477449673149265,0,0,0,2,3,9
"('55.84776', '37.487602')",1.8822541901408223,0,0,1,2,7,9
"('55.862317', '37.490897')",2.34455472751244,0,0,1,1,7,7
"('55.870789', '37.462334')",4.321106696159204,0,0,0,2,3,9
"('55.856598', '37.470078')",3.143877472872696,0,0,0,2,7,5
"('55.778628', '37.589419')",1.4153511512439059,0,0,3,1,18,11
"('55.80774', '37.508812')",1.404875808771808,0,0,3,5,5,18
"('55.773598', '37.590508')",0.8923971154013053,0,1,2,3,16,14
"('55.769388', '37.566755')",1.4187246615035458,0,0,2,2,17,10
"('55.779084', '37.571498')",1.0205379943801607,0,0,3,1,17,11
"('55.777353', '37.576735')",1.3810143321587234,0,0,3,1,17,12
"('55.77382', '37.580086')",1.3895674529529434,0,0,3,1,18,12
"('55.771555', '37.571318')",1.4031497876597856,0,0,2,2,16,11
"('55.772512', '37.585547')",1.024753778480135,0,0,3,2,17,13
"('55.772421', '37.581173')",1.2511438161171073,0,0,3,1,18,12
"('55.773165', '37.583463')",1.1732880981648348,0,0,3,1,18,12
"('55.776112', '37.588485')",1.1958186868663876,0,0,3,2,17,13
"('55.776856', '37.574911')",1.2863277297413562,0,0,3,1,17,12
"('55.777753', '37.580409')",1.5966051359148836,0,0,3,1,18,12
"('55.80774', '37.508812')",1.404875808771808,0,0,3,5,5,18
"('55.7711551', '37.5722103')",1.4743023377175495,0,0,2,2,16,11
"('55.771828', '37.586384')",0.9376956957823372,0,1,2,3,16,14
"('55.77314', '37.578712')",1.425069431448094,0,0,3,1,17,13
"('55.780162', '37.578855')",1.4717006925473224,0,0,3,1,17,12
"('55.780785', '37.57977')",1.5294225085922146,0,0,3,1,17,11
"('55.80774', '37.508812')",1.404875808771808,0,0,3,5,5,18
"('55.769388', '37.580795')",1.1519835231997182,0,0,2,3,16,14
"('55.783939', '37.587371')",1.6946546947322052,0,0,3,1,18,11
"('55.773537', '37.58013')",1.3703480649246522,0,0,3,1,18,12
"('55.769271', '37.56582')",1.400352831777798,0,0,2,2,17,10
"('55.78118', '37.578532')",1.4537030571458238,0,0,3,1,17,11
"('55.78089', '37.580982')",1.6057891142958467,0,0,3,1,18,11
"('55.775692', '37.590731')",1.08505925135607,0,0,3,2,17,13
"('55.773768', '37.592482')",0.8443074046185159,0,1,2,3,16,14
"('55.778644', '37.582709')",1.6352314884265775,0,0,3,1,18,12
"('55.769995', '37.572046')",1.5603743650606585,0,0,2,2,16,11
"('55.76998', '37.586723')",0.8183091774488296,0,1,1,3,16,14
"('55.771646', '37.584469')",1.028506564595755,0,0,3,2,17,13
"('55.769388', '37.580795')",1.1519835231997182,0,0,2,3,16,14
"('55.7803455', '37.5796864')",1.5236253617322242,0,0,3,1,17,11
"('55.777753', '37.580409')",1.5966051359148836,0,0,3,1,18,12
"('55.777753', '37.580409')",1.5966051359148836,0,0,3,1,18,12
"('55.78583', '37.573853')",1.3054649681881947,0,0,3,1,17,9
"('55.778628', '37.589419')",1.4153511512439059,0,0,3,1,18,11
"('55.768446', '37.571938')",1.6850558410871057,0,0,2,2,16,11
"('55.805678', '37.504814')",1.0976175528245105,0,0,2,6,4,18
"('55.64191', '37.509075')",2.3043095507301343,0,0,1,1,6,8
"('55.64005', '37.516431')",2.781484686396999,0,0,1,1,6,8
"('55.642403', '37.519127')",2.7491209016524536,0,0,1,1,8,7
"('55.653538', '37.52261')",2.191097178206279,0,0,2,0,9,8
"('55.63941', '37.528765')",3.437477450625297,0,0,0,2,7,6
"('55.6418045', '37.5346585')",3.6194410152018146,0,0,0,2,7,9
"('55.649063', '37.533957')",3.029182563395204,0,0,0,2,7,10
"('55.634207', '37.512667')",3.108683946803014,0,0,0,2,5,6
"('55.645878', '37.526528')",2.960658938568135,0,0,1,1,8,8
"('55.642606', '37.547405')",4.132132662581129,0,0,0,2,7,7
"('55.649362', '37.497773')",1.2148925287731966,0,0,2,0,7,9
"('55.635716', '37.534352')",3.962406219538413,0,0,0,2,5,8
"('55.646045', '37.525522')",2.8952871051228612,0,0,2,0,9,7
"('55.633033', '37.517823')",3.410334361927103,0,0,0,2,5,6
"('55.634629', '37.537137')",4.175410283518038,0,0,0,2,5,8
"('55.649362', '37.497773')",1.2148925287731966,0,0,2,0,7,9
"('55.6301641', '37.5145688')",3.547236736014722,0,0,0,2,5,6
"('55.615751', '37.493937')",4.6154711897980025,0,0,0,1,3,7
"('55.651074', '37.515632')",2.111919954388944,0,0,2,0,10,6
"('55.648621', '37.522432')",2.6057959368188723,0,0,2,0,10,6
"('55.645395', '37.522863')",2.7760940551720767,0,0,2,0,9,7
"('55.646604', '37.519413')",2.5214425907107296,0,0,2,0,9,7
"('55.631066', '37.509487')",3.294502170967947,0,0,0,2,5,6
"('55.647087', '37.503073')",1.6322484360528209,0,0,2,0,7,9
"('55.648275', '37.520509')",2.507054954318643,0,0,2,0,10,6
"('55.635716', '37.534352')",3.962406219538413,0,0,0,2,5,8
"('55.63755', '37.528972')",3.5686717586126715,0,0,0,2,5,7
"('55.643266', '37.502004')",1.8986696058678283,0,0,2,0,8,6
"('55.649408', '37.526133')",2.6943581935188288,0,0,2,0,9,8
"('55.641388', '37.545715')",4.159690058022112,0,0,0,2,7,7
"('55.679817', '37.515057')",1.327918631425272,0,0,1,1,7,13
"('55.670041', '37.498977')",0.13509040709783574,1,0,2,0,8,9
"('55.663004', '37.475881')",0.8464876698648564,0,1,1,2,5,11
"('55.604336', '37.534794')",5.890896054166165,0,0,0,0,6,4
"('55.661013', '37.522351')",1.5870923749313477,0,0,2,0,9,8
"('55.686493', '37.56599')",2.3252736583331686,0,0,1,3,8,16
"('55.634578', '37.51591')",3.2008967186209554,0,0,0,2,5,7
"('55.658144', '37.485403')",0.1864767709390177,1,0,2,1,7,9
"('55.67484', '37.506683')",0.5760525640144386,0,1,1,1,7,11
"('55.655712', '37.58005')",3.6712790059049523,0,0,0,2,6,12
"('55.688974', '37.556415')",2.7625937257406386,0,0,1,3,8,16
"('55.643033', '37.475468')",1.6164539265046958,0,0,1,2,4,9
"('55.663603', '37.488772')",0.8237170402434264,0,1,1,1,7,9
"('55.67981', '37.5432')",2.7762060891094595,0,0,1,2,9,12
"('55.668056', '37.506738')",0.3368648240030566,1,0,2,0,8,9
"('55.658236', '37.564644')",4.136882096953356,0,0,0,3,6,12
"('55.643612', '37.507906')",2.118327999087994,0,0,2,0,8,7
"('55.653715', '37.5300411')",2.4838154467561004,0,0,2,0,9,8
"('55.644506', '37.534299')",3.4371818395688707,0,0,0,2,7,10
"('55.6538', '37.514057')",1.8936732866252606,0,0,2,0,10,6
"('55.635963', '37.539303')",4.202360063648616,0,0,0,2,6,7
"('55.6466', '37.532852')",3.1960919755104187,0,0,0,2,7,10
"('55.649362', '37.497773')",1.2148925287731966,0,0,2,0,7,9
"('55.646863', '37.534613')",3.2421438471311173,0,0,0,2,7,10
"('55.636001', '37.541278')",4.304320995323905,0,0,0,2,7,6
"('55.648153', '37.537191')",3.241430880008392,0,0,0,2,7,10
"('55.637897', '37.540802')",4.168582022970544,0,0,0,2,7,7
"('55.640495', '37.54685')",4.281528047662983,0,0,0,2,7,7
"('55.6301641', '37.5145688')",3.547236736014722,0,0,0,2,5,6
"('55.643937', '37.528855')",3.1859647780071363,0,0,0,2,7,9
"('55.638333', '37.530939')",3.6182076890239077,0,0,0,2,7,6
"('55.643266', '37.502004')",1.8986696058678283,0,0,2,0,8,6
"('55.640316', '37.530857')",3.4930443439382635,0,0,0,2,7,9
"('55.642718', '37.503396')",2.000688256459314,0,0,2,0,8,6
"('55.667823', '37.548258')",2.8956186312469083,0,0,1,2,8,11
"('55.668442', '37.559856')",3.618342645826868,0,0,0,4,6,13
"('55.693597', '37.577678')",1.3323366670410879,0,0,1,2,10,14
"('55.671102', '37.540012')",2.3658420255134907,0,0,1,2,8,12
"('55.643769', '37.496075')",1.6479848667388186,0,0,2,0,7,7
"('55.626213', '37.510152')",3.7920468044510405,0,0,0,2,5,6
"('55.665101', '37.552462')",3.1994496677593762,0,0,0,3,7,12
"('55.63755', '37.528972')",3.5686717586126715,0,0,0,2,5,7
"('55.645634', '37.542763')",3.6866017937099396,0,0,0,2,7,10
"('55.644313', '37.537281')",3.56850691723399,0,0,0,2,7,9
"('55.639176', '37.513008')",2.6955183520094526,0,0,1,1,6,8
"('55.636497', '37.5146')",2.984274846649186,0,0,1,1,6,6
"('55.6266371', '37.5219362')",4.133759718841693,0,0,0,2,5,6
"('55.66013', '37.491413')",0.6138808898885443,0,1,1,1,7,9
"('55.634014', '37.524219')",3.59995446284789,0,0,0,2,5,7
"('55.646101', '37.537137')",3.4092661856793174,0,0,0,2,7,10
"('55.632499', '37.523016')",3.6691616833596656,0,0,0,2,5,7
"('55.875218', '37.545276')",1.7347640860008198,0,0,1,1,5,10
"('55.882671', '37.562712')",1.9269964833540738,0,0,1,1,5,9
"('55.880226', '37.55044')",1.4423831010797483,0,0,1,1,5,9
"('55.873257', '37.561096')",2.4646499577643657,0,0,1,1,5,10
"('55.892242', '37.574245')",2.449216158450948,0,0,1,0,3,10
"('55.680174', '37.666557')",1.0306877315306797,0,0,1,2,7,13
"('55.871326', '37.59044')",4.0491850751654646,0,0,0,2,3,15
"('55.889286', '37.5596')",1.5363293900354276,0,0,1,0,3,11
"('55.883145', '37.561275')",1.8235283202523727,0,0,1,1,5,9
"('55.879728', '37.560332')",1.9543890828391284,0,0,1,1,5,9
"('55.874714', '37.589016')",3.7932357362977465,0,0,0,2,2,16
"('55.878324', '37.55999')",2.0292287837861482,0,0,1,1,5,9
"('55.810654', '37.56483')",0.6629829189765677,0,1,2,3,14,10
"('55.78552', '37.60524')",2.099130067880596,0,0,2,2,18,10
"('55.863621', '37.559388')",3.104068014586406,0,0,0,2,5,13
"('55.858923', '37.563063')",3.0473068109555097,0,0,0,2,5,15
"('55.808902', '37.568156')",0.9066002863395821,0,1,1,3,14,11
"('55.884161', '37.563449')",1.9108065933265073,0,0,1,1,4,10
"('55.87183', '37.56465')",2.732709249171324,0,0,1,1,5,11
"('55.87358', '37.588467')",3.819562072198906,0,0,0,2,2,16
"('55.881066', '37.564509')",2.104731266506151,0,0,1,1,5,9
"('55.873222', '37.59009')",3.9280399083447515,0,0,0,2,2,16
"('55.874799', '37.548995')",1.878750854514635,0,0,1,1,5,9
"('55.884161', '37.563449')",1.9108065933265073,0,0,1,1,4,10
"('55.878526', '37.563889')",2.213809861538653,0,0,1,1,5,10
"('55.8775119', '37.5388126')",1.369306379343304,0,0,1,1,6,9
"('55.874065', '37.591682')",3.9749274605186478,0,0,0,2,2,16
"('55.884737', '37.594144')",3.7496742640224485,0,0,0,2,2,13
"('55.874065', '37.591682')",3.9749274605186478,0,0,0,2,2,16
"('55.880783', '37.562901')",2.03035015517866,0,0,1,1,5,9
"('55.8798721', '37.5810486')",3.1084175757216106,0,0,0,1,3,12
"('55.89287', '37.561527')",1.6645121049995615,0,0,1,0,3,11
"('55.889137', '37.559021')",1.502231857505632,0,0,1,0,3,11
"('55.871602', '37.560664')",2.5861846491238785,0,0,1,1,6,10
"('55.85721', '37.439607')",4.533335025414853,0,0,0,2,6,7
"('55.891996', '37.600388')",4.08171065817164,0,0,0,2,1,11
"('55.895858', '37.631658')",3.879211146692912,0,0,0,1,2,11
"('55.878131', '37.610755')",3.5922389065255533,0,0,0,2,2,15
"('55.869915', '37.613728')",3.1517978186109157,0,0,0,1,5,15
"('55.882308', '37.635251')",2.5562049181754127,0,0,1,0,4,11
"('55.869656', '37.61001')",3.377374839474215,0,0,0,1,5,15
"('55.878723', '37.622353')",2.973130131688175,0,0,1,0,4,13
"('55.89346', '37.653891')",3.092460336989073,0,0,0,1,2,13
"('55.89346', '37.653891')",3.092460336989073,0,0,0,1,2,13
"('55.9347854', '37.5543862')",5.0459547861475516,0,0,0,0,2,3
"('55.8534582', '37.6434107')",1.8024294993161731,0,0,1,0,8,12
"('55.863014', '37.67102')",0.30806130756868316,1,0,1,0,8,11
"('55.8592', '37.67431')",0.7577378994012735,0,1,0,1,7,12
"('55.880974', '37.641061')",2.1964279139705614,0,0,1,0,5,11
"('55.836838', '37.667564')",3.095699833840832,0,0,0,2,11,12
"('55.886357', '37.644863')",2.547716257506311,0,0,1,0,3,12
"('55.875925', '37.603424')",3.9366831819877945,0,0,0,2,2,16
"('55.892223', '37.65523')",2.9403019353314357,0,0,1,0,3,12
"('55.875925', '37.603424')",3.9366831819877945,0,0,0,2,2,16
"('55.89821', '37.61854')",4.571294864261098,0,0,0,1,2,11
"('55.87044', '37.60794')",3.51881870453776,0,0,0,1,5,15
"('55.885323', '37.643856')",2.480093843879611,0,0,1,0,3,12
"('55.893536', '37.66477')",3.0274008585467937,0,0,0,1,1,13
"('55.88793', '37.617294')",3.8135743827151747,0,0,0,1,2,13
"('55.87233', '37.604046')",3.797301652322017,0,0,0,2,2,16
"('55.775818', '37.616287')",1.4598136385810279,0,0,1,5,13,15
"('55.747692', '37.568929')",2.8501495342313268,0,0,1,4,15,12
"('55.752766', '37.536427')",3.0374404215682707,0,0,0,4,12,15
"('55.741029', '37.576313')",2.387400321038337,0,0,2,5,13,17
"('55.7755221', '37.5984969')",0.9451262423452328,0,1,2,3,16,13
"('55.7377562', '37.5711381')",2.3272983774098566,0,0,2,5,12,16
"('55.761573', '37.631469')",1.9715443489875488,0,0,3,3,13,16
"('55.579215', '37.657026')",4.1716547982768954,0,0,0,1,1,7
"('55.588618', '37.642231')",3.1873969374740225,0,0,0,1,1,10
"('55.583118', '37.646768')",3.748378808034278,0,0,0,1,1,8
"('55.57603', '37.64607')",4.538035120386115,0,0,0,1,1,7
"('55.580788', '37.646525')",4.008012262275483,0,0,0,1,1,8
"('55.582665', '37.644279')",3.817561003365884,0,0,0,1,1,8
"('55.575785', '37.655347')",4.547927356211536,0,0,0,1,1,7
"('55.585652', '37.641971')",3.51411023108518,0,0,0,1,1,9
"('55.583037', '37.641962')",3.800190933270175,0,0,0,1,1,8
"('55.589198', '37.647819')",3.0682389519991844,0,0,0,1,1,10
"('55.603721', '37.655746')",1.4465704115152245,0,0,1,0,2,9
"('55.632814', '37.612506')",3.0328372217439514,0,0,0,2,5,8
"('55.591986', '37.669953')",2.9459641724816263,0,0,1,0,2,9
"('55.599672', '37.664599')",2.026086233593776,0,0,1,0,2,9
"('55.612502', '37.577364')",4.777989634005226,0,0,0,1,6,5
"('55.58992', '37.64843')",2.9844612467099725,0,0,1,0,2,9
"('55.6592015', '37.6165642')",1.3465080570993821,0,0,1,1,9,8
"('55.6002', '37.508884')",4.442802371266043,0,0,0,2,3,7
"('55.599082', '37.582861')",4.822857093351196,0,0,0,1,5,6
"('55.599097', '37.510718')",4.418949882510713,0,0,0,2,3,7
"('55.600638', '37.581244')",4.849983635209566,0,0,0,1,5,6
"('55.59712', '37.58285')",4.916023437653725,0,0,0,1,5,5
"('55.600638', '37.581244')",4.849983635209566,0,0,0,1,5,6
"('55.61114', '37.544818')",6.378205796525571,0,0,0,0,6,5
"('55.598375', '37.534281')",5.438447067294542,0,0,0,0,6,3
"('55.596986', '37.541476')",5.717330080257166,0,0,0,0,6,3
"('55.567906', '37.579924')",7.108999725330529,0,0,0,0,3,4
"('55.671473', '37.592078')",2.8566568818442932,0,0,2,1,8,13
"('55.535473', '37.514967')",4.804496050468101,0,0,0,2,0,5
"('55.631686', '37.472414')",2.883663495035318,0,0,1,2,2,8
"('55.6223609', '37.5928588')",3.833077830841471,0,0,0,1,5,7
"('55.592953', '37.548276')",5.85788836570197,0,0,0,0,6,3
"('55.613926', '37.544342')",6.115001428554855,0,0,0,0,7,4
"('55.600435', '37.545905')",6.164597555124436,0,0,0,0,6,3
"('55.60279', '37.545069')",6.2771784047286685,0,0,0,0,6,4
"('55.59752', '37.534281')",5.380875826098849,0,0,0,0,6,3
"('55.604025', '37.539473')",6.088935619011399,0,0,0,0,6,4
"('55.609975', '37.54109')",6.345333337447876,0,0,0,0,6,5
"('55.617195', '37.53561')",5.490776481957334,0,0,0,0,7,4
"('55.603654', '37.534263')",5.814993921896177,0,0,0,0,6,4
"('55.603883', '37.518362')",5.136779243279384,0,0,0,0,6,4
"('55.604025', '37.539473')",6.088935619011399,0,0,0,0,6,4
"('55.613794', '37.535682')",5.801856361434557,0,0,0,0,6,5
"('55.61895', '37.540836')",5.543074360138768,0,0,0,0,7,4
"('55.656097', '37.59639')",2.6623788625609275,0,0,1,1,7,9
"('55.601387', '37.50867')",4.5403209809893195,0,0,0,2,3,7
"('55.604025', '37.539473')",6.088935619011399,0,0,0,0,6,4
"('55.614358', '37.549777')",6.298436556387043,0,0,0,0,7,4
"('55.61895', '37.540836')",5.543074360138768,0,0,0,0,7,4
"('55.605215', '37.54215')",6.303298476598435,0,0,0,0,6,5
"('55.568349', '37.284378')",11.423967362371899,0,0,0,0,0,2
"('55.614235', '37.542454')",6.01423336707944,0,0,0,0,7,4
