coords,adult_hospitals_closest_km,adult_hospitals_less500m,adult_hospitals_0.5-1km,adult_hospitals_1-3km,adult_hospitals_3-5km,adult_hospitals_5-10km,adult_hospitals_10-15km
"('55.776041', '37.603631')",1.0501103277288903,0,0,2,3,15,13
"('55.829633', '37.470455')",1.6010811871242665,0,0,2,1,9,10
"('55.744941', '37.658886')",0.4166469258121278,1,1,1,5,14,16
"('55.763108', '37.634865')",2.018356880958276,0,0,3,3,12,16
"('55.811452', '37.632799')",3.607530475985321,0,0,0,5,11,13
"('55.677209', '37.528163')",1.7939671430697055,0,0,1,2,7,13
"('55.744617', '37.51212')",3.98691851980188,0,0,0,3,14,11
"('55.765854', '37.63352')",2.149743114816062,0,0,2,5,10,18
"('55.7417', '37.59354')",1.8901929464810363,0,0,3,4,15,15
"('55.789026', '37.567887')",1.1912708259680318,0,0,3,2,15,10
"('55.717863', '37.442015')",0.7481243449584879,0,1,0,1,10,10
"('55.754801', '37.58455')",1.6249312874507402,0,0,1,6,12,18
"('55.780846', '37.449147')",1.1835367303828868,0,0,2,2,9,11
"('55.734354', '37.446866')",1.5211269374963907,0,0,1,2,9,11
"('55.763187', '37.615112')",1.0721083971837213,0,0,2,5,13,16
"('55.7633955', '37.6147912')",1.0447420692896723,0,0,2,5,13,16
"('55.683112', '37.521803')",1.8795727297355935,0,0,1,1,8,13
"('55.7411641', '37.6230759')",1.6382255683300575,0,0,4,2,14,16
"('55.75506', '37.59004')",1.4361644580094648,0,0,1,6,13,17
"('55.727952', '37.737578')",3.9388573251600305,0,0,0,4,13,8
"('55.88793', '37.617294')",3.8135743827151747,0,0,0,1,2,13
"('55.747966', '37.687102')",2.186457930206268,0,0,3,3,16,11
"('55.720418', '37.608472')",0.5398914942022297,0,2,1,4,11,18
"('55.75939', '37.598968')",0.830978975663333,0,1,0,7,11,18
"('55.580742', '37.159881')",17.3663552434987,0,0,0,0,0,0
"('55.762783', '37.590443')",0.7003589345535903,0,1,1,6,12,18
"('55.769479', '37.622738')",1.4988713765575694,0,0,1,6,12,16
