coords,parks_closest_km,parks_less500m,parks_0.5-1km,parks_1-3km,parks_3-5km,parks_5-10km,parks_10-15km,parks_area_less500m,parks_area_0.5-1km,parks_area_1-3km,parks_area_3-5km,parks_area_5-10km,parks_area_10-15km
"('55.5539', '37.553981')",0.3828959388305288,1,1,19,15,78,145,1.9391168051639236,0.01096632546810361,31.26612166531861,1.962637428077766,50.022767033918655,33.358797612036824
"('55.541805', '37.521201')",0.1875762920004186,3,2,10,20,54,138,0.755830729491123,0.656211502916244,4.067465517729457,28.636293892773725,12.460961048447015,64.21566052268199
"('55.531672', '37.50089')",0.2100402002160801,1,1,10,15,45,100,0.47693613229936477,0.0972230504247919,2.687337165056984,2.8643300628415864,37.39635765244724,29.579885442200386
"('55.487264', '37.30742')",2425.580736974128,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"('55.572482', '37.567581')",0.1845574784998688,2,5,7,35,90,187,26.799573677470015,2.1471658202929973,27.18833668471992,5.9966447393412565,50.70312171699287,46.82190556300651
"('55.567178', '37.573312')",0.10029074969686466,1,5,10,29,84,180,0.019141542156934747,28.91436268605325,0.5465233083897019,32.59527777201206,23.142504188676227,65.76328523069225
"('55.570793', '37.571983')",0.2490477469343148,3,4,9,32,93,177,0.37132699962581217,28.5754124981372,0.7779520389239529,32.43909162386865,25.130695247538824,64.81141257092033
"('55.563421', '37.573914')",0.2987874822510462,2,2,13,22,88,159,1.9582583473208584,0.35218545746887764,30.043471888773922,3.21853419074111,52.4784785307528,34.3877529893306
"('55.577854', '37.572002')",0.19949736808781532,2,4,12,30,118,178,26.799573677470015,0.20804901512907392,29.329194921131055,3.830153341327282,63.58088291518414,39.76501914973107
"('55.563905', '37.582224')",0.5251165976298856,0,4,10,27,87,156,0.0,2.310443804789736,28.00577187301544,4.84380827234159,51.82491094309728,34.87223057758861
"('55.576202', '37.58024')",0.09966354978561272,4,2,10,34,105,190,0.38580203205857316,26.621820660540514,2.6776347676510923,30.537452838411447,31.33676761763585,67.55797102267061
"('55.517371', '37.5724')",0.6772647035578598,0,3,8,13,50,79,0.0,0.17914548161219196,1.5615541014576824,3.7552535273660226,31.642524252960143,27.550787592609332
"('55.539023', '37.575441')",0.29936529215243046,2,2,9,21,57,125,0.07166317094597296,1.007884279864044,3.0287847095380016,29.649838998159503,16.638476439421183,62.4935617777018
"('55.572309', '37.569009')",0.17373877471635765,2,5,8,33,93,183,26.799573677470015,2.1471658202929973,27.225654648571936,5.904580291414089,51.66352157950119,45.7985280688455
"('55.559746', '37.575639')",0.17760341873484561,1,1,15,16,90,142,1.9391168051639236,0.019141542156934754,30.55579117470275,2.4637619089601195,52.967588039723836,32.2736727213874
"('55.584874', '37.464221')",0.9787054617859825,0,1,4,15,103,161,0.0,0.1402473142173477,0.12468323097488038,33.49996795016182,23.105993795517534,71.3601498560347
"('55.745377', '37.67212')",0.2444223130024019,6,9,77,134,426,474,0.06233462241990595,0.21130212746617888,1.6173327740316812,3.9324039163605806,86.64346639239231,99.69325815810767
"('55.57066', '37.564913')",0.2015638541561058,2,4,10,31,91,177,26.799573677470015,2.1339305507401676,27.318331586562394,6.279455169772575,50.37566154871688,45.39025858411651
"('55.5603276', '37.578958')",0.2651596667090402,1,1,14,19,90,143,1.9391168051639236,0.019141542156934754,30.376515804085866,2.754688880248313,52.900488644843136,32.48813936078582
"('55.8149827', '37.7588599')",0.3920542670821095,1,0,25,33,251,383,0.05312994391769466,0.0,18.632526304474936,11.817474900109797,42.07877054541407,48.1137969735034
"('55.811629', '37.702796')",0.06543603690258212,4,2,36,58,357,390,6.759913348735543,0.10524605402739251,7.998955992328679,26.909929298760975,30.42643066181868,88.78710671904409
"('55.8124948', '37.7391276')",0.5358776137950902,0,9,25,48,290,388,0.0,0.7399997479765559,28.76890332538536,1.950557116742985,53.34676804693125,40.43765596316768
"('55.816895', '37.727625')",0.07575074353512129,1,6,17,59,296,394,0.023291679168372815,0.47380965505921024,7.305886130153506,23.544597163301823,32.31317614928722,64.38961035956507
"('55.81708', '37.746151')",0.5190392279292153,0,1,21,38,278,379,0.0,0.05312994391769466,18.138972248373378,12.227663171478795,42.05191508163971,49.845347137831205
"('55.8108798', '37.7423865')",0.5704071475729631,0,7,29,43,295,388,0.0,0.6681754233894478,28.98855264434213,1.4923863426233304,53.62692341784087,40.38783602445737
"('55.817192', '37.744')",0.6514030402988945,0,2,24,40,277,381,0.0,0.07642162308606747,24.84190250568245,5.807951813431284,48.50394781271223,43.401744647477386
"('55.825856', '37.750191')",0.8345577833348917,0,1,13,33,227,381,0.0,0.05312994391769466,1.0680257006992921,29.18952254265382,16.198233142223643,71.30003395080836
"('55.8027', '37.722037')",0.3330878761303672,3,10,41,50,363,378,0.3561163839172254,0.4478905867237673,29.31199822761984,1.8005100682557824,55.70191907341902,59.754559896239314
"('55.82958', '37.758022')",0.8007513681231625,0,1,13,28,203,359,0.0,0.05312994391769466,1.1727307132008726,28.893079392117603,15.964050970486614,69.06984380202466
"('55.808308', '37.72192')",0.2623007854003254,3,7,29,57,340,382,0.0927793425093861,0.6921892699603169,28.635506887288603,2.3687226343415837,54.46671290915698,55.32681570645386
"('55.8056', '37.716145')",0.34563263230621544,1,8,40,53,362,373,0.0567134086086577,7.174286490765361,22.30333919573419,12.221337326373074,45.41438803631756,71.7967471623346
"('55.8090879', '37.7232228')",0.14472846145118476,3,8,28,58,333,384,0.0927793425093861,0.7154809491286899,28.792647677558087,2.522455042049277,53.958511285900215,55.03560850622229
"('55.8115699', '37.7407137')",0.5258324973094524,0,8,27,46,293,389,0.0,0.716708068808183,28.803365005508685,1.9160954366196599,53.35893902281752,40.62678259876007
"('55.806361', '37.728571')",0.1621899054713304,8,1,40,48,334,386,0.6797225584423102,0.04853264541873514,29.634173391398868,1.6265504201100462,54.43686012618289,58.141162267137204
"('55.818048', '37.74628')",0.5064123180308036,0,1,20,37,275,377,0.0,0.05312994391769466,18.12445561617469,12.23257715326703,41.973517633329934,49.813409765096566
"('55.808118', '37.727445')",0.06386541553991476,6,3,34,53,330,385,0.47380965505921024,0.2544455488018351,29.25773440277036,2.0334251297211274,54.303711541044976,54.62834793080751
"('55.812509', '37.722046')",0.050889562323671825,2,5,22,59,323,390,0.07528704929178288,0.4218142849358002,24.090237184961182,10.239872950988577,46.24702400327169,61.8151807197998
"('55.8108078', '37.7407356')",0.4765919779571521,1,7,29,45,296,389,0.03646106368546111,0.680247005122722,28.8828694673986,1.8400541722460808,53.446447266133234,40.64425988962702
"('55.81917', '37.751152')",0.2522368516892244,1,0,19,36,249,386,0.05312994391769466,0.0,18.28398643597943,12.140313938308857,41.43891751638465,48.755522415271045
"('55.810364', '37.717492')",0.40822684973497947,2,8,21,66,336,388,0.07528704929178288,0.5254015114092816,23.9962741138852,10.560414640657498,46.600711263358505,61.74157287089139
"('55.811457', '37.730832')",0.2073452914414794,6,3,29,51,314,382,0.47380965505921024,0.26619009291734563,29.177337830450007,1.7505628195563325,53.891416952963525,48.494972019249545
"('55.81386', '37.72493')",0.19433955050793308,3,4,23,56,318,387,0.0985787284601557,0.3985226057674274,24.113528864129552,6.777636305635902,49.620686467786385,58.13843775072702
"('55.822321', '37.760818')",0.09178524332483536,1,0,19,31,216,381,0.05312994391769466,0.0,18.092678580123557,12.20712382645527,40.64868767105453,47.88096603278795
"('55.81964', '37.724712')",0.1875619113471478,1,1,22,54,298,378,0.023291679168372815,0.04853264541873527,7.731163139793981,26.60410558948296,28.926681977468792,65.1143673731313
"('55.800944', '37.705338')",0.3154307717058023,2,8,40,68,380,388,6.749654609647426,0.07719134470148425,7.880497047504878,27.214396175951936,32.16543514004975,93.29135485426286
"('55.8118593', '37.7416374')",0.5909899944977657,0,7,28,43,292,389,0.0,0.6681754233894478,28.85189765092742,1.8548669170119894,53.343565242060215,39.336600060684454
"('55.8180948', '37.7528486')",0.10008029535781993,1,0,23,32,253,384,0.05312994391769466,0.0,18.612783593590876,11.81151678069741,41.72150044018377,48.473251854033414
"('55.80042', '37.710049')",0.1419031750316554,2,8,47,60,384,380,0.06557440186331495,6.761271552485596,22.61231092707518,12.412845083725706,45.74938893314556,81.64015158149124
"('55.789269', '37.663809')",0.27203302250543243,1,8,48,141,388,466,6.69294120103877,0.053719260709499395,7.7661970568473055,8.637212746120268,58.16033652450366,80.6358702756117
"('55.807769', '37.764636')",0.2758439998865762,1,1,30,31,262,374,0.12027241261025905,0.1849403031927766,23.047819211511616,7.439988085129908,47.58793104692661,41.85417789642703
"('55.81335', '37.70311')",0.2294091264855609,3,2,34,60,351,386,0.066972147696773,6.741473846457505,1.3549235512881888,33.40920371397129,23.44157697795351,94.84642377692182
"('55.805187', '37.71283')",0.15517035194750234,1,7,38,59,361,385,0.0567134086086577,7.02407424926508,17.60796500237107,17.339075481319764,40.36528225375315,78.19940993872092
"('55.813661', '37.740107')",0.6781190090942321,0,9,24,46,287,390,0.0,0.7399997479765559,24.32796872147811,6.376114399756641,48.52057542288888,43.95829226837715
"('55.822', '37.759235')",0.1404278172704692,1,0,19,33,222,379,0.05312994391769466,0.0,18.092678580123557,12.262849677507138,40.75402515259171,47.92929398199736
"('55.803085', '37.712975')",0.07088160128391095,1,9,42,59,368,386,0.0567134086086577,7.003581173888088,22.34150142888592,12.575258109929898,45.460733164933885,75.99706224155817
"('55.80608', '37.712128')",0.22898177845687803,1,6,36,61,357,387,0.0567134086086577,6.835200398027326,17.778925271266992,17.168115212423842,40.41053966107001,77.35511389459498
"('55.504208', '37.539043')",0.5345445824113232,0,1,6,12,31,71,0.0,0.12685618384296787,1.4570367156051793,1.872369818734484,32.1887672160185,21.066376586641134
"('55.503204', '37.53685')",0.4689433869524354,1,0,6,11,32,69,0.12685618384296787,0.0,0.6133265834361169,2.6724965689017393,31.388640465851243,21.842443380828367
"('55.507973', '37.584308')",0.2933449554935279,1,3,4,12,36,76,0.16393652823359037,0.24722841876068244,1.2717520276739334,3.2338894237130695,30.85554560695549,26.07695576341303
"('55.495765', '37.52068')",2405.1819144734964,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"('55.568736', '37.489805')",0.055934204970853364,2,1,6,21,77,170,0.19499379829249985,0.02545976075226075,0.40152989941695394,31.99330297266216,18.557872287899595,72.89622806436984
"('55.542986', '37.47872')",1.3602676187101563,0,0,14,7,64,122,0.0,0.0,2.1314295542448747,27.931556801950663,13.720420794806955,58.11531239940912
"('55.475169', '37.525208')",2403.8637603359352,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"('55.50213', '37.32641')",0.12826037298600287,1,1,5,4,13,46,0.13600235848544281,0.015141834945054444,0.34655833555558746,0.4441155746148905,1.1252561448277176,10.415183126738505
"('55.569138', '37.489257')",0.0516541432123363,2,1,6,21,77,170,0.19499379829249985,0.02545976075226075,0.40152989941695394,31.99330297266216,18.557872287899595,72.89622806436984
"('55.49493', '37.515874')",2405.613590866244,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"('55.504517', '37.536823')",0.6142879833799643,0,1,6,12,31,72,0.0,0.12685618384296787,1.4570367156051793,1.872369818734484,32.1887672160185,21.121434665179947
"('55.503971', '37.592716')",0.2938352226534267,2,1,4,8,36,68,0.24241246496742588,0.1639365282335903,0.2576214183460276,1.520396128575861,32.32315111764918,23.907568596052037
"('55.474465', '37.527561')",2403.6049550013918,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"('55.504374', '37.586778')",0.2299861882551281,2,1,5,7,39,66,0.24241246496742588,0.1639365282335903,0.3844776021889955,1.3935399447328929,32.605863535145815,23.06151435596849
"('55.4772347', '37.528589')",2403.623024239239,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"('55.540822', '37.45504')",1.2783805520353921,0,0,8,11,55,109,0.0,0.0,1.0260443400506878,1.4359993859252218,40.440423120210774,25.240321515624977
"('55.548665', '37.48685')",1.247538336998538,0,0,13,9,64,141,0.0,0.0,1.9772723857478438,30.02483077561162,11.469152539352407,62.76240633097888
"('55.545375', '37.523824')",0.05151812469991351,2,3,11,18,62,146,0.6690025970248079,0.34554517152082376,30.991777292976558,1.1396093791051456,40.201485963777245,39.72972546372655
"('55.543274', '37.459843')",1.6428582779289687,0,0,8,11,57,114,0.0,0.0,1.0260443400506878,1.4636965817492427,40.572429113013406,30.392469585574553
"('55.540266', '37.458732')",1.3115153756555655,0,0,8,12,55,109,0.0,0.0,1.0260443400506878,1.5154410543628516,40.38728449577101,25.293460140064738
"('55.524355', '37.51167')",0.3956121398618242,2,0,10,16,38,91,0.6047817075121503,0.0,2.7093292329711045,3.0560524940542337,32.29716255560046,30.3087314299485
"('55.546812', '37.493955')",0.825955851415976,0,1,13,10,62,144,0.0,0.09722305042479192,1.952833327526029,30.06023615930153,11.446270725948793,65.28285600020428
"('55.503721', '37.589778')",0.17428029918709537,2,1,5,7,39,65,0.24241246496742588,0.1639365282335903,0.3844776021889955,1.3935399447328929,32.605863535145815,23.036278871086168
"('55.520762', '37.351222')",0.23164540890695615,1,0,4,6,21,75,0.08226582088195918,0.0,0.28515448692606554,0.6114932364688037,3.4243813783583983,50.48595534961828
"('55.508524', '37.339337')",0.4616741983628036,1,1,5,4,15,56,0.015141834945054425,0.13600235848544284,0.22569781201519906,0.5649760981552789,1.9650385253712697,39.7177704649997
"('55.536545', '37.506763')",0.04827754206848489,3,1,10,19,47,125,1.1724245859403641,0.08682813246631493,2.697732083015461,29.56638367583166,11.197460342948204,59.76057605283398
"('55.526093', '37.510745')",0.2568112304915846,2,0,10,17,40,93,0.6047817075121503,0.0,2.7093292329711045,2.946928554797529,32.450442276801894,30.84704387003015
"('55.502666', '37.53829')",0.3899867014737613,1,0,6,11,31,70,0.12685618384296787,0.0,0.6133265834361169,2.6724965689017393,30.83245291175732,22.39863093492229
"('55.500392', '37.521677')",0.9977430129817189,0,1,2,13,27,71,0.0,0.12685618384296787,0.13823857479813062,3.0400631201579293,30.268446902066767,22.73421587606823
"('55.500596', '37.519207')",1.1554423792985093,0,0,3,12,28,70,0.0,0.0,0.2650947586410985,2.9132069363149617,30.395303085909735,22.607359692225263
"('55.568471', '37.486867')",0.07679168029988005,2,2,4,23,76,168,0.19499379829249985,0.04106868018857501,0.29909284751432474,32.21404206641297,18.38759646129305,71.95635980786437
"('55.5346857', '37.5009365')",0.14954692453086477,2,1,9,17,47,111,0.5741591827241567,0.5982654032162075,1.2157284962535386,30.962669962946507,10.147948871378432,57.7368977845242
"('55.543582', '37.49709')",0.4161903333993401,1,1,13,11,60,137,0.09722305042479192,0.47693613229936477,1.5731202456514561,30.46802903012028,11.012845206109613,65.2185638964663
"('55.541206', '37.48661')",0.8332632554098484,0,1,14,8,61,121,0.0,0.09722305042479192,2.2126319707750053,29.789471190584457,11.547497860953541,60.04672857270411
"('55.532675', '37.38292')",1.703812363853802,0,0,2,10,27,93,0.0,0.0,0.13401029349556828,1.1349408347886871,4.37603447757265,51.48430915549584
"('55.631742', '37.666261')",0.11339115472957109,3,4,23,51,210,392,0.2757990868634227,0.05059945035088942,21.19732434034626,30.349646199630417,56.85196163972998,78.17614503227571
"('55.5529937', '37.464911')",1.178161493601926,0,0,9,10,67,135,0.0,0.0,1.2295173113616702,1.2602236104382603,45.98553307575321,34.2545709841564
"('55.468576', '37.28851')",2426.6323954906784,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"('55.540475', '37.492644')",0.4453994855517123,1,1,13,10,58,125,0.09722305042479192,0.47693613229936477,1.7480695323687214,30.26499995445884,10.9946065402975,60.71467002639753
"('55.54267', '37.486618')",0.8710670991325851,0,1,12,10,59,130,0.0,0.09722305042479192,2.1663778695465123,29.835725291812953,11.501243759725046,60.51810773926496
"('55.544023', '37.47804')",1.432553917040667,0,0,13,8,63,124,0.0,0.0,2.003583979032089,28.059402377163448,13.59257521959417,59.741576208778255
"('55.569016', '37.48614')",0.0790679833508536,2,2,4,23,76,168,0.19499379829249985,0.04106868018857501,0.29909284751432474,32.21404206641297,18.38759646129305,71.95635980786437
"('55.551843', '37.503953')",0.3907435034875148,1,1,13,18,62,164,0.07523098251067169,0.08682813246631492,1.963228245484506,31.054739136823212,10.82705914172023,71.8451342204268
"('55.54673', '37.488142')",1.033640293640942,0,0,13,10,60,141,0.0,0.0,2.02784598747432,29.98522349935324,11.365847443422808,62.61217162939134
"('55.497587', '37.517257')",2405.592401921781,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"('55.545584', '37.483211')",1.2031532768114834,0,0,12,10,59,134,0.0,0.0,2.0843255493544253,29.91777761200504,11.419191439532959,62.19750919082025
"('55.569036', '37.487263')",0.07624035356763782,2,2,4,23,76,168,0.19499379829249985,0.04106868018857501,0.29909284751432474,32.21404206641297,18.38759646129305,71.95635980786437
"('55.550132', '37.489203')",1.2775992465365653,0,0,14,9,65,147,0.0,0.0,2.0567140541854734,29.956355432642088,11.614986244497562,71.42575624057528
"('55.496659', '37.515407')",2405.7327083136906,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"('55.507046', '37.57191')",0.2329390449213981,2,2,5,13,36,69,0.16875248202684692,0.18987234235351655,1.3291081040810993,3.7329111480428985,30.90009587638887,24.405864596802072
"('55.487463', '37.33693')",2422.7133506086366,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"('55.549516', '37.488475')",1.2608049355784894,0,0,14,9,64,144,0.0,0.0,2.0567140541854734,29.956355432642088,11.515323404079087,68.81415095154154
"('55.5124399', '37.5801894')",0.17100160690760055,1,1,6,12,40,81,0.16393652823359037,0.0048159537932565555,1.514164492641359,3.5478547594826386,31.20965995873182,27.159896035549195
"('55.641295', '37.403522')",0.48081723676530097,1,2,17,20,121,201,0.05046326714426481,0.044359364695075364,7.788011597319724,14.77922883639144,49.538690569584446,50.800500990427096
"('55.550687', '37.509361')",0.3523783196152457,1,2,13,18,62,162,0.07523098251067169,0.15756532627491554,28.495170170059485,4.604713411990669,37.23630267271268,45.28090167812779
"('55.54649', '37.489385')",0.9601185104074516,0,1,12,11,59,142,0.0,0.09722305042479192,1.9306229370495283,30.082446549778034,11.268624392998014,62.709394679816135
"('55.500524', '37.541943')",0.11960160931781409,1,0,6,8,33,66,0.12685618384296787,0.0,0.5484141304225858,2.5591503707248737,30.882759796128603,22.287623990965734
"('55.53666', '37.507835')",0.0627796434447246,3,1,10,19,47,125,1.1724245859403641,0.08682813246631493,2.697732083015461,29.56638367583166,11.197460342948204,59.76057605283398
"('55.549327', '37.487586')",1.2761788838202297,0,0,13,9,64,144,0.0,0.0,1.9772723857478438,30.02483077561162,11.446848061109556,68.88262629451106
"('55.5015837', '37.5981332')",0.2668207746923029,2,0,5,5,34,67,0.24241246496742588,0.0,0.42155794657961787,1.2064036346529847,32.474038397642026,23.71742475811959
"('55.589204', '37.167393')",0.8693444540393396,0,1,2,1,13,25,0.0,0.005833702409304425,0.25471842095382036,0.00583370240930442,4.288480057037115,4.440174993570797
"('55.575409', '37.473249')",0.08749708742918122,2,0,5,18,83,171,0.16911538092850095,0.0,0.2649305451922281,29.90164034191069,22.312147132428716,70.26609089794205
"('55.549144', '37.525836')",0.09365860060064436,2,3,11,20,63,154,0.6690025970248079,0.34554517152082376,30.991777292976558,1.7898152574235766,39.84624601956416,43.18638648095789
"('55.496348', '37.517823')",2405.4845455850027,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"('55.820847', '37.65276')",0.24780119289327782,3,10,23,79,401,387,0.14110274060986477,10.802953637767084,2.3641902693454195,13.707852044424248,41.25875777687045,76.76373339016821
"('55.56971', '37.49039')",0.1440693748810048,2,0,7,20,80,170,0.19499379829249985,0.0,26.94284064608648,5.451992225992633,45.173706257693404,46.553557266239515
"('55.498133', '37.518012')",2405.5422766174333,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"('55.511705', '37.366817')",1.6136347072910662,0,0,4,7,20,69,0.0,0.0,0.28515448692606554,0.8437763183174833,3.1661367090505905,46.834393821125445
"('55.544061', '37.562335')",0.5392780949738075,0,3,12,17,69,126,0.0,1.0096124304243,29.806442545793175,2.7453249780613618,48.671225248766056,30.189005284673463
"('55.50368', '37.588745')",0.14512131889461816,2,1,5,7,39,65,0.24241246496742588,0.1639365282335903,0.3844776021889955,1.3935399447328929,32.605863535145815,23.013300960360837
"('55.549501', '37.564904')",0.14800254107271665,1,2,15,14,76,137,0.010966325468103657,1.9671965941080898,29.134597012148813,3.2735923247560628,48.48192776398545,35.784373044979844
"('55.500621', '37.576124')",0.10129573305331803,1,2,4,8,32,64,0.17947934276817146,0.22686965043284474,0.32154447998974106,1.4564730669321473,32.097205373917994,20.26459172857897
"('55.5511', '37.571884')",0.21984620316661513,2,3,13,16,76,138,1.9500831306320272,0.10898113479798699,30.85599177532246,1.552197561582414,50.403696785466366,33.37209557492859
"('55.54857', '37.553234')",0.7253706944199048,0,3,16,15,74,139,0.0,2.0295247990696565,29.690882749426734,2.912300385770635,48.75782378786789,33.38445264342273
"('55.502083', '37.57618')",0.2159674272580759,2,1,5,9,33,68,0.3434158710017618,0.0629331221992544,0.4854810082233314,2.0700773125316436,31.629329899653165,23.449740189583885
"('55.510647', '37.565193')",0.0828077806017194,2,1,6,15,36,76,0.015208953378601618,0.16393652823359034,1.3550439182010254,3.9617637106226793,30.75665558420378,25.59191660686449
"('55.81028', '37.616844')",0.2667233243835847,2,2,41,76,481,356,0.25428464614515073,0.029391430705533406,13.179506130154786,3.134147139843863,77.13663503758713,52.26544143758136
"('55.812303', '37.599757')",0.3392001373260963,1,3,35,73,498,346,0.039840923458366,0.2098002499860453,6.2734592118744,10.588432083556395,70.89603878917447,63.045768061041
"('55.80427', '37.611088')",0.1756830061247695,2,1,50,80,486,380,0.029391430705533426,0.019762383631345616,13.331391681075395,3.4332012886405145,78.89308355096817,67.55961519323843
"('55.821113', '37.591431')",0.21134045144503183,2,5,26,85,462,376,0.04993834219345882,1.4392671152351568,4.751373863738628,12.547011002278396,45.469128301904455,86.13068795986686
"('55.807911', '37.612362')",0.3002282771265149,1,3,44,73,491,362,0.011983436145090055,0.27169264070559407,13.193817406266572,2.857211354022578,77.19965746296512,64.68509230169096
"('55.816555', '37.5934')",0.05116378245680299,3,4,34,77,481,365,0.14234855773252067,1.3468568996960948,5.023495671204202,12.172438862698687,45.651023700594564,88.2838315202906
"('55.79526', '37.625')",0.37517557112031813,3,3,54,116,450,440,0.15912684768144642,0.21765443284316427,9.548099430811888,6.727777481203592,73.64331655749587,72.4613429278142
"('55.784554', '37.630527')",0.3962167099787931,2,8,64,154,413,517,0.20189555036422085,0.26048345534336065,7.769013507081049,8.883369417010272,72.40704305314343,77.35142702340583
"('55.828598', '37.576405')",0.8122774516287325,0,1,31,73,438,386,0.0,0.24122557936016642,6.012361393087121,5.273473309481862,59.92269245198734,63.00330656292967
"('55.8053599', '37.589619')",0.46475967295044585,1,4,40,83,483,385,0.039840923458366,0.2656035378296298,3.4677217312332327,13.758625076819357,50.88231551902942,85.68958669033825
"('55.809055', '37.589256')",0.35656448995203077,2,2,34,90,485,376,0.13225113899742788,0.14411714011075002,6.712458188909075,10.275049244865418,56.636351767344536,78.52373071437177
"('55.812358', '37.583634')",0.06067041662695412,3,4,29,83,489,369,0.23652735564981195,0.09572706430913788,6.615486407386718,10.9507994562898,56.89979997583008,77.81817917888698
"('55.808083', '37.61088')",0.35615679842439857,1,4,44,74,496,351,0.011983436145090055,0.31153356416396005,13.18365416325482,3.004542600012231,80.46246587053149,49.2101238333063
"('55.810436', '37.563988')",0.14104735495514922,3,4,29,86,480,391,0.08797266691033882,0.3913735325574645,2.593362427967958,11.689997238903928,64.09972175446586,64.75270175279061
"('55.790297', '37.612847')",0.246048515630192,3,7,53,132,436,477,0.15912684768144642,0.28144245090328385,8.222392380073881,8.571190465333178,72.66744332280655,76.83954647929704
"('55.812459', '37.556685')",0.4588053096701784,1,5,28,74,480,383,0.029677680446615104,0.35229366352830543,1.6188090748395725,12.724563769693724,64.08530195776208,64.28375702815981
"('55.82537', '37.59751')",0.29117645790526114,2,4,31,77,456,370,1.1421894284913217,0.35547509218712015,6.373363268206517,11.465152991186137,39.625735989769396,91.79475276752532
"('55.815747', '37.568246')",0.057579050980197624,4,2,29,76,478,375,0.3166919819224606,0.1441171401107501,2.944507228935362,11.411858132087037,60.93208369116127,65.5949148925592
"('55.8025889', '37.5918333')",0.6405105431273962,0,3,45,92,482,387,0.0,0.08867948926952947,3.697718998691634,13.417660700453347,70.69415732637978,70.29086450123461
"('55.812312', '37.595316')",0.10420880055359144,2,3,37,73,503,349,0.13225113899742788,0.21476488993986623,6.884238575257574,9.99424635197623,76.42607130625386,58.01856992677615
"('55.806747', '37.611824')",0.19978551159784366,1,4,45,80,483,377,0.011983436145090055,0.29145502433693965,12.993286731261879,3.375377104546594,78.98407967698208,67.28574205250956
"('55.78525', '37.560404')",0.06090560817054736,3,3,44,137,442,474,0.27501897181599083,0.41625619337162284,2.148057387846225,9.910240936140482,57.456356913420905,92.32369735288299
"('55.774598', '37.54595')",0.14444369528001272,2,3,51,145,416,487,0.018821633361078203,0.02244446815353467,4.663207530636442,24.353365498955164,43.90225833284463,134.43427187020902
"('55.811103', '37.561113')",0.2917392574272129,3,3,31,75,489,379,0.08797266691033882,0.2939986770645817,2.764805888863723,11.328981987820962,64.36293728476751,64.43297100594098
"('55.650175', '37.615407')",0.35357455919733166,1,6,37,40,289,431,0.01726736100885364,0.130312106992937,32.64851831321224,8.169032783982772,99.54583088324586,67.71344120767839
"('55.646396', '37.63615')",0.6360568329343241,0,2,35,47,274,436,0.0,0.2979762803321885,5.989565117646634,45.150569793345745,51.34652678595662,112.26717563048345
"('55.648575', '37.617842')",0.35979327903283614,1,5,38,38,285,433,0.05365848432541973,0.13093301156262585,32.60710996975202,7.242595184053577,100.32922753592504,66.94174131352568
"('55.642499', '37.615803')",0.20580467211943762,3,4,36,36,262,426,0.18659025406946886,0.2650173571202368,32.308338612490374,7.2703918893919735,98.58546116366472,49.278215845548374
"('55.65461', '37.625595')",0.489427586617978,1,2,41,43,322,419,0.007533071676576464,0.025888829311794974,6.560925469242591,34.49792616132613,73.24542137249054,98.88596518103776
"('55.6542767', '37.6257333')",0.5211443753731033,0,3,40,42,320,420,0.0,0.03342190098837144,6.553392397566014,34.39041284434295,73.32706462488291,98.80362666893443
"('55.66667', '37.621076')",0.03761111804921106,2,4,38,53,378,416,0.05922368858037019,0.092105956093809,6.0537188251436955,30.425807533620457,78.21131023034783,104.13556573289887
"('55.6512', '37.591152')",0.2712524730002671,1,9,32,52,258,460,0.15898863359521603,26.769373763954878,1.8452763533510854,34.850497188051094,57.34699880748752,95.02272220911468
"('55.670242', '37.610332')",0.33432031205830115,2,7,37,58,394,410,0.3109311352424177,0.3104421737252753,2.21036334165119,37.86683884372435,68.41865258736071,116.54467620235566
"('55.66833', '37.593964')",0.04031337362493719,6,4,41,49,355,432,0.5275430149506521,0.1631007091070077,28.62649261710187,11.743296959934593,91.96149754202777,91.19097916249497
"('55.67278', '37.619144')",0.18228550847113137,1,4,37,71,395,416,0.05364498084301324,0.3236986125607682,5.677402397165657,33.136883960298945,75.37689671838962,108.37325398694344
"('55.673103', '37.530526')",0.23014688378134093,2,5,27,63,310,421,1.0766192034440139,0.3012182700237547,6.136391989588121,50.125996641883596,37.3118860190532,114.41156580292704
"('55.644359', '37.61503')",0.06570573609992639,2,5,35,39,270,428,0.10119433896648972,0.3436206772520487,32.17703649437177,7.496700075609354,99.926794360542,49.98005856549614
"('55.63027', '37.592113')",0.06624805649740995,2,4,22,53,197,417,26.64362237554885,0.13515139319304836,27.735359918356036,11.621933054474926,72.95822497583666,64.87049799711508
