station,geoData
Мичуринец,POINT (55.646111 37.315)
Переделкино,POINT (55.656111 37.353889)
Солнечная,POINT (55.656944 37.383611)
Говорово,POINT (55.6588 37.4174)
Очаково,POINT (55.683611 37.451389)
Аминьевская,POINT (55.697189 37.464931)
Матвеевская,POINT (55.7054355 37.4813954)
Минская,POINT (55.723947 37.497872)
Кутузовская,POINT (55.740544 37.5341)
Беговая,POINT (55.773505 37.545518)
Белорусская,POINT (55.777439 37.582107)
Рижская,POINT (55.792494 37.636114)
Курская,POINT (55.758564 37.659039)
Чухлинка,POINT (55.733508 37.76354)
Кусково,POINT (55.739722 37.795278)
Новогиреево,POINT (55.752237 37.814587)
Реутов,POINT (55.751389 37.855833)
Никольское,POINT (55.759722 37.897778)
Салтыковская,POINT (55.757778 37.923056)
Кучино,POINT (55.752222 37.954722)
Ольгино,POINT (55.751667 37.978611)
Железнодорожная,POINT (55.7525 38.008889)
Физтех,POINT (55.921536 37.546498)
Аэропорт Внуково,POINT (55.607087 37.287702)
Пыхтино,POINT (55.625 37.298056)
Марьина Роща,POINT (55.793723 37.61618)
