coords,descr,geoData,obj_type
"[55.842358, 37.654214]","районная тепловая станция ростокиномира просп., д. 207",POINT (55.842358 37.654214),thermal
"[55.741229, 37.412616]","районная тепловая станция рублевооршанская ул., д. 6 корп. 2",POINT (55.741229 37.412616),thermal
"[55.64427, 37.407636]","районная тепловая станция солнцевощорса ул., д. 11 с. 1",POINT (55.64427 37.407636),thermal
"[55.611884, 37.512775]","районная тепловая станция теплый станновоясеневский просп., д.8 корп.3",POINT (55.611884 37.512775),thermal
"[55.858643, 37.433592]","районная тепловая станция тушино-1 (ртс-31)планерная ул., д. 2",POINT (55.858643 37.433592),thermal
"[55.843352, 37.424848]","районная тепловая станция тушино-2 (ртс-32)фабрициуса ул., д. 37",POINT (55.843352 37.424848),thermal
"[55.83245, 37.408771]","районная тепловая станция тушино-3 (ртс-37)походный пр., д. 2",POINT (55.83245 37.408771),thermal
"[55.841, 37.425125]","районная тепловая станция тушино-4 (ртс-39)строительный пр., д. 12",POINT (55.841 37.425125),thermal
"[55.861271, 37.414052]","районная тепловая станция тушино-5строительный проезд, д. 14 корп. 1",POINT (55.861271 37.414052),thermal
"[55.734248, 37.730763]","районная тепловая станция фрезерфрезер шоссе, д. 14",POINT (55.734248 37.730763),thermal
"[55.865375, 37.481172]","районная тепловая станция химки-ховринобеломорская ул., д. 38а",POINT (55.865375 37.481172),thermal
"[55.623675, 37.586075]","районная тепловая станция чертановоднепропетровская ул., д. 12",POINT (55.623675 37.586075),thermal
"[55.551265, 37.523679]","районная тепловая станция южное бутовополяны улица, 75с3",POINT (55.551265 37.523679),thermal
"[55.885278, 37.378056]","квартальная тепловая станция захарьинокуркинское шоссе, д. 29",POINT (55.885278 37.378056),thermal
"[55.710874, 37.862166]","квартальная тепловая станция косинокосинская б. ул., д. 18г",POINT (55.710874 37.862166),thermal
"[55.645855, 37.699581]","районная тепловая станция курьяноводонецкая ул., д. 40",POINT (55.645855 37.699581),thermal
"[55.655426, 37.703021]","квартальная тепловая станция курьяново-2курьяновская 2-я ул., 7",POINT (55.655426 37.703021),thermal
"[55.688344, 37.92872]","районная тепловая станция некрасовкавольская 2-я ул, 17",POINT (55.688344 37.92872),thermal
"[55.681785, 37.61868]","квартальная тепловая станция нижние котлываршавское шоссе, 28а",POINT (55.681785 37.61868),thermal
