coords,other_flats_closest_km,other_flats_less500m,other_flats_0.5-1km,other_flats_1-3km,other_flats_3-5km,other_flats_5-10km,other_flats_10-15km
"('55.757214', '37.64955')",0.0,14,36,287,582,1649,2227
"('55.588949', '37.60081')",0.0,14,9,71,119,692,981
"('55.637393', '37.600388')",0.0,8,25,76,261,1019,1802
"('55.898916', '37.379034')",0.0,1,4,13,19,302,562
"('55.745083', '37.49736')",0.0,5,19,160,419,1766,1755
"('55.834421', '37.659596')",0.0,9,9,104,210,1368,1555
"('55.790975', '37.634182')",0.0,6,15,229,500,1713,2000
"('55.795423', '37.495276')",0.0,3,26,241,284,1704,1637
"('55.763265', '37.514994')",0.0,16,17,228,511,1736,1940
"('55.7407086', '37.6011763')",0.0,19,35,373,562,1931,2074
"('55.763072', '37.58968')",0.0,31,53,435,541,1837,2224
"('55.760915', '37.554861')",0.0,16,29,400,501,1937,1935
"('55.7182621', '37.4771618')",0.0,10,17,216,233,1667,1586
"('55.807435', '37.448662')",0.0,7,3,114,264,1156,1563
"('55.7753205', '37.6300127')",0.0,15,38,329,573,1650,2293
"('55.681183', '37.495808')",0.0,7,15,227,261,1329,1796
"('55.5213774', '37.3160383')",0.0,1,0,20,29,61,330
"('55.77396', '37.586293')",0.0,26,56,385,575,1772,2203
"('55.720798', '37.444099')",0.0,10,29,169,222,1220,1811
"('55.739352', '37.602606')",0.0,17,32,361,577,1925,2070
"('55.76725', '37.584476')",0.0,24,74,398,563,1819,2208
"('55.78564', '37.633266')",0.0,15,15,285,496,1731,2075
"('55.789289', '37.491126')",0.0,9,17,235,271,1723,1646
"('55.77854', '37.662956')",0.0,7,18,228,514,1620,2015
"('55.643769', '37.496075')",0.0,9,10,167,189,1004,1524
"('55.795853', '37.485538')",0.0,9,11,230,243,1674,1569
"('55.893369', '37.602058')",0.0,5,8,88,168,562,1284
"('55.771545', '37.568956')",0.0,16,39,403,558,1800,2127
"('55.886782', '37.38988')",0.0,8,4,16,81,347,699
"('55.841278', '37.494442')",0.0,13,17,141,286,1107,1524
"('55.742043', '37.552498')",0.0,12,23,300,501,2030,1779
"('55.83525', '37.643642')",0.0,2,7,120,225,1467,1490
"('55.8134352', '37.5849828')",0.0,6,15,148,421,1800,1625
"('55.695625', '37.821663')",0.0,5,7,77,139,573,1204
"('55.715527', '37.477104')",0.0,11,16,218,239,1647,1583
"('55.739534', '37.63341')",0.0,14,33,329,579,1744,2219
"('55.684929', '37.533966')",0.0,13,22,214,365,1515,1940
"('55.6900645', '37.6548865')",0.0,11,8,138,273,1711,1830
"('55.703599', '37.516463')",0.0,4,14,164,420,1687,1749
"('55.806504', '37.449866')",0.0,7,4,115,268,1176,1556
"('55.702763', '37.64046')",0.0,9,15,176,367,1843,1934
"('55.700877', '37.622405')",0.0,5,21,177,412,1846,1950
"('55.7220172', '37.6077158')",0.0,15,19,275,478,1919,1994
"('55.828217', '37.462414')",0.0,4,8,119,315,960,1637
"('55.8170545', '37.7545798')",0.0,8,11,114,166,827,1568
"('55.763245', '37.624822')",0.0,6,39,401,560,1741,2324
"('55.68153', '37.849888')",0.0,4,5,22,93,481,808
"('55.7355913', '37.5720679')",0.0,5,24,295,546,1973,1891
"('55.853178', '37.608212')",0.0,5,13,115,255,1193,1562
"('55.712766', '37.528064')",0.0,2,7,144,473,1863,1663
"('55.7439839', '37.5919617')",0.0,23,54,390,543,1956,2053
"('55.699886', '37.500745')",0.0,10,31,163,369,1576,1721
"('55.5512278', '37.3356786')",0.0,6,4,13,23,216,344
"('55.740928', '37.622118')",0.0,11,34,361,583,1814,2188
"('55.741683', '37.601726')",0.0,16,38,378,555,1939,2079
"('55.829598', '37.465955')",0.0,5,3,129,302,994,1611
"('55.758402', '37.549282')",0.0,17,17,367,518,1941,1903
"('55.756376', '37.54948')",0.0,13,22,358,507,1962,1878
"('55.756771', '37.592725')",0.0,24,68,419,545,1888,2177
"('55.779575', '37.706863')",0.0,7,18,163,315,1568,1664
"('55.786166', '37.497836')",0.0,9,16,263,300,1768,1687
"('55.699314', '37.511239')",0.0,10,14,188,372,1659,1736
"('55.735175', '37.44064')",0.0,5,9,170,221,1266,1822
"('55.738292', '37.625972')",0.0,16,38,326,599,1777,2199
"('55.76447', '37.652958')",0.0,22,23,270,579,1625,2207
"('55.659573', '37.56007')",0.0,13,16,204,305,1222,2072
"('55.76963', '37.47916')",0.0,13,22,163,344,1555,1835
"('55.763194', '37.62572')",0.0,6,39,400,561,1738,2318
"('55.733493', '37.609973')",0.0,7,24,333,578,1897,2085
"('55.738262', '37.420177')",0.0,12,21,139,144,1028,1814
"('55.774137', '37.630769')",0.0,18,33,332,590,1631,2310
"('55.759384', '37.602894')",0.0,26,59,441,521,1873,2244
"('55.810165', '37.651043')",0.0,13,21,129,330,1678,1608
"('55.768441', '37.62713')",0.0,15,45,361,573,1707,2313
"('55.770157', '37.635998')",0.0,11,45,311,621,1596,2369
"('55.71304', '37.500944')",0.0,11,24,180,352,1725,1624
"('55.73467', '37.616646')",0.0,15,23,333,587,1843,2144
