coords,other_flats_closest_km,other_flats_less500m,other_flats_0.5-1km,other_flats_1-3km,other_flats_3-5km,other_flats_5-10km,other_flats_10-15km
"('55.636001', '37.541278')",0.0,6,14,91,338,891,1792
"('55.648153', '37.537191')",0.0,8,14,165,335,1012,1977
"('55.637897', '37.540802')",0.0,8,16,103,347,905,1825
"('55.640495', '37.54685')",0.0,5,13,118,340,942,1879
"('55.643937', '37.528855')",0.0,12,19,137,311,960,1864
"('55.638333', '37.530939')",0.0,9,23,105,320,896,1767
"('55.640316', '37.530857')",0.0,10,24,107,333,902,1820
"('55.642718', '37.503396')",0.0,6,12,161,196,988,1579
"('55.667823', '37.548258')",0.0,9,25,238,294,1358,2048
"('55.668442', '37.559856')",0.0,7,33,227,287,1391,2056
"('55.671102', '37.540012')",0.0,12,27,226,333,1358,2054
"('55.626213', '37.510152')",0.0,6,8,112,137,1007,1285
"('55.665101', '37.552462')",0.0,8,17,240,291,1321,2068
"('55.645634', '37.542763')",0.0,6,11,144,352,968,1977
"('55.644313', '37.537281')",0.0,9,23,130,347,943,1948
"('55.639176', '37.513008')",0.0,4,16,136,220,953,1612
"('55.636497', '37.5146')",0.0,6,17,125,221,936,1574
"('55.6266371', '37.5219362')",0.0,3,11,104,184,962,1419
"('55.66013', '37.491413')",0.0,9,9,176,270,1048,1782
"('55.634014', '37.524219')",0.0,6,22,98,267,909,1623
"('55.646101', '37.537137')",0.0,9,20,143,340,976,1957
"('55.632499', '37.523016')",0.0,5,19,99,247,922,1573
"('55.640914', '37.526834')",0.0,8,29,111,315,920,1781
"('55.875218', '37.545276')",0.0,6,15,127,203,854,1329
"('55.882671', '37.562712')",0.0,8,8,152,157,805,1283
"('55.880226', '37.55044')",0.0,3,24,123,184,815,1299
"('55.873257', '37.561096')",0.0,5,16,137,199,871,1401
"('55.892242', '37.574245')",0.0,5,7,111,145,643,1256
"('55.680174', '37.666557')",0.0,10,13,95,236,1506,1782
"('55.871326', '37.59044')",0.0,6,18,130,223,816,1563
"('55.889286', '37.5596')",0.0,5,7,121,142,715,1220
"('55.883145', '37.561275')",0.0,7,10,146,161,797,1281
"('55.879728', '37.560332')",0.0,9,8,149,167,833,1312
"('55.874714', '37.589016')",0.0,5,14,131,210,790,1528
"('55.878324', '37.55999')",0.0,8,11,143,178,836,1331
"('55.810654', '37.56483')",0.0,11,12,177,415,1778,1644
"('55.78552', '37.60524')",0.0,6,26,348,526,1767,2118
"('55.863621', '37.559388')",0.0,9,20,134,237,989,1465
"('55.858923', '37.563063')",0.0,9,11,134,245,1068,1500
"('55.808902', '37.568156')",0.0,11,17,181,448,1778,1680
"('55.884161', '37.563449')",0.0,6,10,147,154,776,1284
"('55.87183', '37.56465')",0.0,5,12,138,205,876,1431
"('55.87358', '37.588467')",0.0,5,16,128,215,807,1532
"('55.889282', '37.55843')",0.0,5,6,120,144,710,1222
"('55.881066', '37.564509')",0.0,10,7,161,150,826,1309
"('55.873222', '37.59009')",0.0,5,17,130,215,800,1552
"('55.874799', '37.548995')",0.0,5,20,122,207,851,1341
"('55.878526', '37.563889')",0.0,8,9,151,170,833,1342
"('55.8775119', '37.5388126')",0.0,10,12,126,210,816,1307
"('55.874065', '37.591682')",0.0,5,16,135,204,795,1538
"('55.884737', '37.594144')",0.0,4,10,114,201,632,1455
"('55.880783', '37.562901')",0.0,10,8,157,160,823,1314
"('55.8798721', '37.5810486')",0.0,3,9,138,186,750,1443
"('55.89287', '37.561527')",0.0,5,5,109,130,656,1206
"('55.889137', '37.559021')",0.0,5,6,120,144,712,1224
"('55.871602', '37.560664')",0.0,5,16,135,200,891,1408
"('55.87622', '37.505287')",0.0,5,10,132,161,789,1182
"('55.85721', '37.439607')",0.0,9,17,105,170,708,1238
"('55.891996', '37.600388')",0.0,5,10,93,182,566,1327
"('55.895858', '37.631658')",0.0,2,5,76,145,481,1287
"('55.878131', '37.610755')",0.0,1,11,124,203,681,1553
"('55.869915', '37.613728')",0.0,6,11,132,212,817,1636
"('55.882308', '37.635251')",0.0,5,11,111,160,583,1463
"('55.869656', '37.61001')",0.0,8,13,137,210,826,1638
"('55.878723', '37.622353')",0.0,2,6,131,170,677,1517
"('55.89346', '37.653891')",0.0,4,8,68,143,459,1288
"('55.9347854', '37.5543862')",0.0,2,2,13,36,345,592
"('55.8534582', '37.6434107')",0.0,5,18,113,216,1093,1596
"('55.863014', '37.67102')",0.0,12,7,115,111,823,1520
"('55.8592', '37.67431')",0.0,8,12,105,137,858,1552
"('55.880974', '37.641061')",0.0,6,14,113,149,591,1475
"('55.836838', '37.667564')",0.0,4,9,89,212,1277,1593
"('55.886357', '37.644863')",0.0,5,12,93,154,536,1399
"('55.875925', '37.603424')",0.0,4,17,129,203,731,1571
"('55.883468', '37.635603')",0.0,4,9,111,155,566,1454
"('55.868789', '37.614446')",0.0,5,10,129,210,842,1634
"('55.892223', '37.65523')",0.0,5,8,73,141,466,1308
"('55.89821', '37.61854')",0.0,5,7,70,142,475,1234
"('55.87044', '37.60794')",0.0,8,12,137,204,816,1630
"('55.885323', '37.643856')",0.0,4,12,97,151,550,1410
"('55.893536', '37.66477')",0.0,5,11,57,126,455,1213
"('55.87233', '37.604046')",0.0,9,16,138,200,788,1607
"('55.775818', '37.616287')",0.0,12,33,356,553,1715,2272
"('55.747692', '37.568929')",0.0,9,33,379,542,1955,1997
"('55.752766', '37.536427')",0.0,10,22,262,562,1874,1897
"('55.741029', '37.576313')",0.0,10,31,356,533,1986,1949
"('55.756133', '37.538718')",0.0,9,29,262,601,1835,1950
"('55.7755221', '37.5984969')",0.0,22,46,404,542,1752,2240
"('55.7377562', '37.5711381')",0.0,9,21,308,549,1975,1906
"('55.761573', '37.631469')",0.0,12,29,386,569,1705,2320
"('55.579215', '37.657026')",0.0,3,11,37,97,438,949
"('55.588618', '37.642231')",0.0,5,8,74,91,574,962
"('55.583118', '37.646768')",0.0,5,12,58,96,499,943
"('55.57603', '37.64607')",0.0,3,6,40,91,457,917
"('55.580788', '37.646525')",0.0,6,7,56,91,492,930
"('55.582665', '37.644279')",0.0,5,10,61,90,516,929
"('55.575785', '37.655347')",0.0,4,5,36,89,433,920
"('55.585652', '37.641971')",0.0,5,8,70,87,560,936
"('55.583037', '37.641962')",0.0,5,8,66,86,543,911
"('55.589198', '37.647819')",0.0,7,8,66,103,547,994
"('55.603721', '37.655746')",0.0,9,7,59,167,649,1177
"('55.632814', '37.612506')",0.0,7,13,88,203,1036,1628
"('55.591986', '37.669953')",0.0,5,8,49,118,495,1057
"('55.599672', '37.664599')",0.0,6,14,58,138,596,1113
"('55.612502', '37.577364')",0.0,2,6,77,172,889,1253
"('55.617281', '37.417446')",0.0,6,1,38,122,540,1002
"('55.58992', '37.64843')",0.0,8,6,66,105,546,1008
"('55.668909', '37.583418')",0.0,7,24,201,295,1418,2025
"('55.6592015', '37.6165642')",0.0,4,13,133,259,1413,1788
"('55.6002', '37.508884')",0.0,3,2,45,128,796,987
"('55.599082', '37.582861')",0.0,8,4,83,113,833,1018
"('55.599097', '37.510718')",0.0,3,2,46,131,789,977
"('55.600638', '37.581244')",0.0,8,5,87,117,844,1029
"('55.59712', '37.58285')",0.0,6,6,80,104,813,1009
"('55.612608', '37.518397')",0.0,1,4,71,121,959,1097
"('55.61114', '37.544818')",0.0,6,11,55,183,864,1248
"('55.598375', '37.534281')",0.0,3,8,25,190,736,1090
"('55.596986', '37.541476')",0.0,5,6,42,164,749,1050
"('55.567906', '37.579924')",0.0,9,12,52,104,502,859
"('55.671473', '37.592078')",0.0,10,14,199,285,1502,1966
"('55.535473', '37.514967')",0.0,5,14,62,98,248,622
"('55.631686', '37.472414')",0.0,4,4,77,212,888,1215
"('55.6223609', '37.5928588')",0.0,4,10,81,214,946,1469
"('55.592953', '37.548276')",0.0,1,3,59,140,727,997
"('55.613926', '37.544342')",0.0,6,7,69,186,882,1311
"('55.600435', '37.545905')",0.0,3,10,42,168,780,1071
"('55.60279', '37.545069')",0.0,4,10,38,170,800,1092
"('55.59752', '37.534281')",0.0,4,7,26,190,724,1092
"('55.604025', '37.539473')",0.0,5,10,34,180,806,1133
"('55.609975', '37.54109')",0.0,6,13,51,171,871,1216
"('55.617195', '37.53561')",0.0,3,9,74,173,930,1314
"('55.603654', '37.534263')",0.0,3,12,31,189,803,1125
"('55.603883', '37.518362')",0.0,1,6,47,162,837,1067
"('55.613794', '37.535682')",0.0,4,10,62,158,917,1250
"('55.61895', '37.540836')",0.0,3,6,81,198,907,1411
"('55.656097', '37.59639')",0.0,4,17,168,248,1311,1896
"('55.601387', '37.50867')",0.0,3,2,47,131,800,1009
"('55.614358', '37.549777')",0.0,5,5,68,198,865,1351
"('55.605215', '37.54215')",0.0,5,12,35,178,816,1153
"('55.568349', '37.284378')",0.0,3,0,9,13,182,222
"('55.614235', '37.542454')",0.0,7,6,70,181,890,1312
"('55.610173', '37.533032')",0.0,4,12,51,162,892,1175
"('55.569499', '37.469764')",0.0,3,11,66,62,470,789
"('55.67406', '37.530537')",0.0,12,24,228,332,1364,2027
"('55.667397', '37.574436')",0.0,11,26,204,277,1426,2004
"('55.646238', '37.736419')",0.0,6,11,112,172,720,1369
"('55.627426', '37.720886')",0.0,3,7,133,118,623,1243
"('55.64568', '37.739474')",0.0,5,10,113,162,707,1349
"('55.635762', '37.720861')",0.0,2,6,109,160,692,1331
"('55.647498', '37.753973')",0.0,3,13,114,132,659,1292
"('55.635741', '37.719316')",0.0,2,6,110,158,704,1337
"('55.623265', '37.73173')",0.0,6,15,123,109,558,1170
"('55.62505', '37.73676')",0.0,5,15,119,104,574,1165
"('55.637932', '37.699283')",0.0,2,3,86,199,767,1486
"('55.646462', '37.750083')",0.0,4,7,124,131,676,1298
"('55.644521', '37.750828')",0.0,3,10,117,138,654,1273
"('55.646828', '37.742744')",0.0,5,10,115,152,706,1342
"('55.626406', '37.745519')",0.0,3,20,101,118,548,1164
"('55.655117', '37.758186')",0.0,10,10,126,104,714,1293
"('55.652847', '37.749598')",0.0,4,18,118,136,720,1370
"('55.62624', '37.747917')",0.0,3,17,101,117,540,1146
"('55.63634', '37.792583')",0.0,2,4,34,139,418,988
"('55.669939', '37.758768')",0.0,12,20,99,170,794,1507
"('55.508876', '37.343532')",0.0,5,2,23,26,59,322
"('55.632057', '37.754116')",0.0,7,13,100,135,535,1168
"('55.686832', '37.724813')",0.0,9,8,101,259,1148,1869
"('55.67341', '37.8093')",0.0,1,0,38,166,572,1122
"('55.726583', '37.622064')",0.0,9,43,257,537,1846,2107
"('55.716402', '37.6109705')",0.0,7,36,229,452,1914,2000
"('55.76952', '37.601852')",0.0,21,75,390,558,1761,2298
"('55.739732', '37.605508')",0.0,14,31,361,577,1919,2079
"('55.740162', '37.604978')",0.0,16,31,363,575,1920,2083
"('55.7407249', '37.6011633')",0.0,19,35,373,562,1931,2075
"('55.644755', '37.392553')",0.0,10,9,71,85,653,961
"('55.6438807', '37.3571627')",0.0,9,14,68,93,380,870
"('55.644227', '37.38878')",0.0,10,8,78,77,636,944
"('55.640073', '37.365354')",0.0,11,6,76,91,435,885
"('55.6396042', '37.366312')",0.0,10,6,77,90,442,888
"('55.645151', '37.350063')",0.0,7,14,65,87,347,858
"('55.643144', '37.38499')",0.0,8,7,79,81,593,945
"('55.641796', '37.36662')",0.0,9,9,74,91,446,893
"('55.638765', '37.358049')",0.0,10,12,67,101,349,909
"('55.640909', '37.36157')",0.0,15,6,74,93,403,889
"('55.641244', '37.356172')",0.0,12,11,71,93,359,884
"('55.63976', '37.362245')",0.0,13,6,73,95,400,897
"('55.634934', '37.34576')",0.0,2,10,72,76,292,858
"('55.639638', '37.397908')",0.0,4,10,74,93,658,965
"('55.638088', '37.400121')",0.0,3,7,77,90,659,960
"('55.64566', '37.390603')",0.0,13,6,75,79,658,946
"('55.6375', '37.363564')",0.0,8,7,75,94,397,906
"('55.644704', '37.385861')",0.0,11,4,85,69,624,924
"('55.624714', '37.376059')",0.0,1,0,80,98,404,993
"('55.643053', '37.391107')",0.0,9,9,73,88,629,960
"('55.638912', '37.36164')",0.0,12,5,74,94,391,901
"('55.641829', '37.360699')",0.0,13,9,72,91,399,887
"('55.633851', '37.41405')",0.0,4,4,60,128,664,988
"('55.645852', '37.389059')",0.0,13,4,81,69,656,931
"('55.631803', '37.41926')",0.0,4,3,61,133,651,1023
"('55.646223', '37.385978')",0.0,11,5,83,67,639,919
"('55.64216', '37.368979')",0.0,6,11,73,92,469,904
"('55.644221', '37.352327')",0.0,9,15,66,94,349,865
"('55.656346', '37.424327')",0.0,9,6,75,128,855,1214
"('55.642083', '37.327381')",0.0,4,14,63,61,243,838
"('55.661816', '37.419916')",0.0,5,11,61,139,851,1252
"('55.601305', '37.411346')",0.0,4,4,32,53,533,865
"('55.636605', '37.314023')",0.0,9,9,59,49,196,776
"('55.6433374', '37.3590022')",0.0,9,14,68,95,396,874
"('55.649901', '37.367419')",0.0,2,6,75,68,531,846
"('55.647204', '37.371587')",0.0,2,13,68,85,515,893
"('55.635945', '37.344619')",0.0,2,14,66,82,284,861
"('55.648094', '37.394028')",0.0,9,13,67,86,692,979
"('55.692648', '37.496704')",0.0,10,17,212,285,1493,1721
"('55.801404', '37.348976')",0.0,2,0,9,59,460,1053
"('55.626579', '37.313502')",0.0,9,9,46,63,168,754
"('55.681091', '37.459845')",0.0,3,8,117,306,1014,1857
"('55.66164', '37.41553')",0.0,5,11,57,132,834,1203
"('55.625471', '37.342814')",0.0,5,0,90,55,273,821
"('55.6674', '37.450333')",0.0,5,7,98,221,946,1602
"('55.64447', '37.348994')",0.0,6,16,63,88,340,854
"('55.647432', '37.38631')",0.0,11,8,80,72,650,925
"('55.64269', '37.3577113')",0.0,11,10,71,93,380,878
"('55.633409', '37.321524')",0.0,7,14,62,62,212,806
"('55.675346', '37.500973')",0.0,7,27,211,314,1240,1882
"('55.625303', '37.314346')",0.0,9,7,47,62,176,741
"('55.661394', '37.414212')",0.0,5,10,58,125,830,1189
"('55.653858', '37.396362')",0.0,4,13,62,97,740,980
"('55.655869', '37.427381')",0.0,9,3,85,123,882,1224
"('55.850725', '37.623063')",0.0,9,16,116,257,1217,1548
"('55.836999', '37.661329')",0.0,10,4,104,204,1310,1581
"('55.849498', '37.623171')",0.0,7,18,114,263,1243,1545
"('55.854168', '37.623563')",0.0,8,16,118,259,1108,1589
"('55.847295', '37.638521')",0.0,10,10,112,237,1263,1538
"('55.855333', '37.623452')",0.0,7,16,116,251,1087,1599
"('55.850535', '37.654439')",0.0,5,8,120,202,1100,1618
"('55.852734', '37.615677')",0.0,9,10,114,262,1177,1577
"('55.857946', '37.617307')",0.0,7,11,122,239,1051,1601
"('55.84771', '37.6366')",0.0,14,8,116,235,1268,1527
"('55.849691', '37.620905')",0.0,8,15,113,266,1244,1541
"('55.827656', '37.665436')",0.0,4,7,111,229,1440,1528
"('55.85973', '37.6653')",0.0,9,14,117,130,896,1568
"('55.838147', '37.661257')",0.0,9,5,100,206,1290,1586
"('55.8558', '37.68467')",0.0,3,8,77,150,846,1552
"('55.8449514', '37.6392377')",0.0,6,12,104,241,1300,1537
"('55.858817', '37.638755')",0.0,4,9,136,181,1009,1586
"('55.793156', '37.622772')",0.0,3,12,254,487,1770,1989
"('55.810596', '37.617374')",0.0,6,18,147,400,1845,1588
"('55.855083', '37.660054')",0.0,5,11,116,167,989,1608
"('55.851104', '37.601476')",0.0,3,5,124,255,1262,1517
"('55.848731', '37.639743')",0.0,11,11,117,229,1226,1554
"('55.8495', '37.63888')",0.0,11,12,118,234,1207,1563
"('55.862793', '37.643058')",0.0,3,14,133,158,915,1602
"('55.8495825', '37.6409167')",0.0,11,10,116,230,1193,1578
"('55.850141', '37.622425')",0.0,8,17,113,262,1228,1549
"('55.835508', '37.654718')",0.0,8,10,112,211,1382,1549
"('55.847311', '37.628999')",0.0,6,18,107,258,1286,1528
"('55.853648', '37.619324')",0.0,11,10,120,259,1143,1573
"('55.860822', '37.66123')",0.0,7,21,119,137,881,1588
"('55.836266', '37.642528')",0.0,2,7,121,223,1448,1496
"('55.827338', '37.666423')",0.0,4,4,113,230,1433,1533
"('55.852177', '37.635916')",0.0,9,18,117,234,1154,1564
"('55.84905', '37.624202')",0.0,8,18,115,261,1254,1542
"('55.86169', '37.642643')",0.0,4,12,137,160,939,1611
"('55.858868', '37.665993')",0.0,8,13,116,131,905,1573
"('55.860873', '37.613737')",0.0,3,14,128,234,995,1613
"('55.849615', '37.637614')",0.0,12,12,115,238,1212,1559
"('55.809231', '37.636392')",0.0,21,30,120,400,1725,1666
"('55.830892', '37.646606')",0.0,3,11,118,235,1528,1460
"('55.889563', '37.669872')",0.0,8,7,70,115,494,1242
"('55.881631', '37.6835')",0.0,2,8,85,87,565,1258
"('55.851635', '37.63419')",0.0,9,19,117,235,1175,1553
"('55.854458', '37.68516')",0.0,5,4,80,155,863,1577
"('55.848816', '37.59704')",0.0,2,5,120,265,1303,1503
"('55.847851', '37.638746')",0.0,10,11,114,233,1251,1544
"('55.864242', '37.620034')",0.0,1,12,135,207,942,1609
"('55.853041', '37.647603')",0.0,3,22,109,205,1076,1616
"('55.862767', '37.611563')",0.0,2,15,123,236,958,1621
"('55.847244', '37.635567')",0.0,12,10,112,241,1276,1528
"('55.837807', '37.662598')",0.0,9,5,98,211,1282,1594
"('55.860615', '37.668417')",0.0,12,8,117,120,877,1548
"('55.806656', '37.7715')",0.0,11,15,135,157,810,1521
"('55.811138', '37.808689')",0.0,6,17,105,78,530,1265
"('55.6583', '37.574696')",0.0,6,20,192,282,1238,2042
"('55.80376', '37.769936')",0.0,8,23,134,168,842,1554
"('55.87106', '37.663223')",0.0,3,14,118,128,678,1492
"('55.824501', '37.583095')",0.0,4,16,104,380,1701,1527
"('55.80663', '37.640766')",0.0,18,22,132,424,1701,1705
"('55.867556', '37.603361')",0.0,10,16,132,219,876,1618
"('55.663887', '37.769398')",0.0,6,18,90,147,691,1353
"('55.663481', '37.73041')",0.0,9,4,137,130,991,1540
"('55.670062', '37.743759')",0.0,3,18,118,158,936,1554
"('55.671493', '37.750927')",0.0,6,25,99,180,883,1536
"('55.643917', '37.702616')",0.0,4,7,73,240,795,1602
"('55.645476', '37.707215')",0.0,6,14,66,248,801,1592
"('55.667709', '37.777411')",0.0,6,13,78,166,671,1344
"('55.662821', '37.760809')",0.0,8,23,96,150,719,1419
"('55.667361', '37.752993')",0.0,8,22,101,157,833,1483
"('55.642728', '37.713036')",0.0,6,14,84,229,772,1489
"('55.664445', '37.777007')",0.0,7,9,90,148,667,1276
"('55.659504', '37.777084')",0.0,3,11,98,118,649,1198
"('55.647681', '37.730562')",0.0,5,16,97,201,740,1430
"('55.658662', '37.759452')",0.0,9,19,115,126,713,1361
"('55.655127', '37.746004')",0.0,4,17,126,130,779,1390
"('55.667145', '37.764111')",0.0,9,23,87,164,726,1461
"('55.661796', '37.729592')",0.0,8,3,133,140,958,1548
"('55.654934', '37.75635')",0.0,8,13,122,115,710,1326
"('55.67159', '37.764483')",0.0,9,23,90,187,753,1507
"('55.673126', '37.755726')",0.0,10,24,95,192,833,1549
"('55.672448', '37.761599')",0.0,10,22,94,191,780,1520
"('55.667178', '37.759937')",0.0,9,23,91,163,751,1480
"('55.646228', '37.705841')",0.0,6,11,66,249,810,1617
"('55.636032', '37.802265')",0.0,3,3,19,115,417,897
"('55.654635', '37.765525')",0.0,8,9,119,103,662,1245
"('55.669986', '37.773143')",0.0,5,19,76,181,692,1440
"('55.667731', '37.774014')",0.0,5,20,78,168,679,1390
"('55.667539', '37.756545')",0.0,9,22,98,160,790,1485
"('55.673847', '37.759235')",0.0,11,24,94,196,796,1550
"('55.64066', '37.79885')",0.0,1,5,27,132,435,963
"('55.657768', '37.761438')",0.0,9,15,117,116,705,1316
"('55.679737', '37.76539')",0.0,9,13,121,164,838,1552
"('55.635371', '37.794262')",0.0,4,2,32,130,415,969
"('55.672757', '37.749724')",0.0,7,23,103,182,903,1563
"('55.667477', '37.78686')",0.0,4,6,72,173,622,1253
"('55.653279', '37.711428')",0.0,5,6,74,228,917,1603
"('55.660531', '37.730895')",0.0,7,6,133,142,931,1529
"('55.675895', '37.771984')",0.0,1,20,84,194,740,1515
"('55.670849', '37.775442')",0.0,4,15,75,181,690,1436
"('55.66534', '37.733338')",0.0,6,10,131,135,981,1550
"('55.673407', '37.753335')",0.0,9,23,98,187,861,1563
"('55.650099', '37.730203')",0.0,4,18,101,194,779,1448
"('55.652486', '37.738243')",0.0,4,12,120,153,790,1396
"('55.649926', '37.708823')",0.0,4,15,62,252,861,1630
"('55.6649677', '37.7456397')",0.0,6,18,118,148,873,1496
"('55.665233', '37.761734')",0.0,6,26,87,159,725,1460
"('55.6854618', '37.7258237')",0.0,8,9,105,247,1123,1858
"('55.632972', '37.798637')",0.0,4,2,24,119,409,911
"('55.669828', '37.761581')",0.0,11,19,94,174,762,1494
"('55.648443', '37.725415')",0.0,8,15,91,219,762,1490
"('55.650759', '37.765264')",0.0,4,9,112,107,632,1232
"('55.662222', '37.732656')",0.0,8,6,134,136,949,1529
"('55.644089', '37.716288')",0.0,9,14,89,229,774,1490
"('55.645182', '37.721355')",0.0,10,13,101,216,765,1464
"('55.546557', '37.519557')",0.0,4,6,85,86,316,754
"('55.543779', '37.45699')",0.0,6,1,46,75,290,651
"('55.547397', '37.566584')",0.0,4,11,51,81,339,736
"('55.537424', '37.540102')",0.0,3,4,69,94,269,644
"('55.54293', '37.545168')",0.0,4,13,60,102,293,718
"('55.541922', '37.494144')",0.0,6,21,69,75,296,679
"('55.539548', '37.538889')",0.0,2,8,67,99,276,675
"('55.55061', '37.558167')",0.0,7,14,50,98,343,785
"('55.539884', '37.451887')",0.0,4,4,31,87,262,603
"('55.562968', '37.500504')",0.0,5,9,77,100,407,863
"('55.5541523', '37.5028576')",0.0,5,8,89,73,359,804
"('55.547535', '37.548941')",0.0,7,13,60,99,323,766
"('55.524936', '37.515892')",0.0,6,3,56,82,217,481
"('55.55003', '37.500288')",0.0,3,17,83,71,339,774
"('55.567194', '37.498941')",0.0,5,11,67,113,412,902
"('55.549022', '37.569099')",0.0,4,8,50,82,345,757
"('55.564409', '37.500917')",0.0,5,7,76,106,406,877
"('55.563757', '37.498617')",0.0,5,10,73,102,407,870
"('55.539677', '37.460086')",0.0,6,2,40,79,273,615
"('55.5567986', '37.5068015')",0.0,5,6,95,83,377,827
"('55.535553', '37.502274')",0.0,7,8,62,99,241,618
"('55.550434', '37.49033')",0.0,10,10,86,57,353,735
"('55.530225', '37.515838')",0.0,4,13,56,97,228,548
"('55.537149', '37.529322')",0.0,2,11,73,101,260,651
"('55.540939', '37.523645')",0.0,4,12,76,101,273,714
"('55.556986', '37.510215')",0.0,4,5,95,84,375,838
"('55.523682', '37.511814')",0.0,6,2,56,82,213,463
"('55.534688', '37.522072')",0.0,5,8,73,94,249,616
"('55.542681', '37.485116')",0.0,9,13,76,59,321,662
"('55.541004', '37.493225')",0.0,6,18,67,76,288,672
"('55.54343', '37.555795')",0.0,5,12,51,99,303,716
"('55.554975', '37.507205')",0.0,7,2,99,73,368,810
"('55.546083', '37.549184')",0.0,9,11,62,96,320,748
"('55.54484', '37.556289')",0.0,9,10,53,95,315,725
"('55.523575', '37.508661')",0.0,6,2,56,79,215,459
"('55.540939', '37.452678')",0.0,6,1,34,85,270,614
"('55.547276', '37.534317')",0.0,2,12,75,101,315,766
"('55.529675', '37.512532')",0.0,3,17,49,101,213,553
"('55.53743', '37.506332')",0.0,7,9,64,101,244,652
"('55.564511', '37.487038')",0.0,2,19,61,102,406,839
"('55.554348', '37.512757')",0.0,5,4,96,76,360,809
"('55.5539', '37.553981')",0.0,4,10,61,102,364,818
"('55.541805', '37.521201')",0.0,4,8,79,100,276,732
"('55.531672', '37.50089')",0.0,3,10,57,93,228,574
"('55.487264', '37.30742')",0.0,2,3,16,17,45,211
"('55.572482', '37.567581')",0.0,4,10,51,125,505,930
"('55.567178', '37.573312')",0.0,10,9,54,105,478,875
"('55.570793', '37.571983')",0.0,5,13,49,115,511,892
"('55.563421', '37.573914')",0.0,10,8,55,89,459,849
"('55.577854', '37.572002')",0.0,1,13,57,119,582,927
"('55.563905', '37.582224')",0.0,9,7,56,86,479,822
"('55.576202', '37.58024')",0.0,1,14,53,112,569,903
"('55.517371', '37.5724')",0.0,2,2,26,71,221,422
"('55.539023', '37.575441')",0.0,5,2,43,80,293,627
"('55.572309', '37.569009')",0.0,4,10,51,123,510,925
"('55.559746', '37.575639')",0.0,3,13,49,91,422,829
"('55.584874', '37.464221')",0.0,2,7,48,87,563,848
"('55.745377', '37.67212')",0.0,8,29,233,460,1706,2020
"('55.57066', '37.564913')",0.0,4,9,50,126,476,930
"('55.5603276', '37.578958')",0.0,5,10,51,88,434,825
"('55.8149827', '37.7588599')",0.0,4,18,113,169,811,1560
"('55.811629', '37.702796')",0.0,6,15,103,270,1334,1658
"('55.8124948', '37.7391276')",0.0,7,15,126,168,995,1656
"('55.816895', '37.727625')",0.0,9,16,99,192,1050,1659
"('55.81708', '37.746151')",0.0,8,14,115,159,892,1609
"('55.8108798', '37.7423865')",0.0,6,16,136,162,995,1637
"('55.817192', '37.744')",0.0,7,14,114,158,916,1615
"('55.825856', '37.750191')",0.0,3,9,78,151,782,1567
"('55.8027', '37.722037')",0.0,8,22,142,213,1310,1593
"('55.82958', '37.758022')",0.0,2,5,66,155,685,1512
"('55.808308', '37.72192')",0.0,11,18,124,221,1248,1614
"('55.8056', '37.716145')",0.0,8,21,127,234,1338,1587
"('55.8090879', '37.7232228')",0.0,11,17,124,216,1229,1614
"('55.8115699', '37.7407137')",0.0,6,14,129,166,995,1647
"('55.806361', '37.728571')",0.0,7,20,138,196,1198,1609
"('55.818048', '37.74628')",0.0,8,14,110,158,883,1600
"('55.808118', '37.727445')",0.0,9,22,128,202,1180,1627
"('55.812509', '37.722046')",0.0,11,20,108,221,1192,1617
"('55.8108078', '37.7407356')",0.0,6,16,133,167,1010,1637
"('55.81917', '37.751152')",0.0,10,7,114,158,836,1582
"('55.810364', '37.717492')",0.0,7,25,105,251,1243,1644
"('55.811457', '37.730832')",0.0,7,21,119,185,1097,1627
"('55.81386', '37.72493')",0.0,11,17,110,206,1144,1617
"('55.822321', '37.760818')",0.0,4,9,94,163,721,1537
"('55.81964', '37.724712')",0.0,6,15,92,190,1046,1650
"('55.800944', '37.705338')",0.0,3,16,139,273,1464,1584
"('55.8118593', '37.7416374')",0.0,6,16,127,164,988,1642
"('55.8180948', '37.7528486')",0.0,10,8,116,158,835,1567
"('55.80042', '37.710049')",0.0,7,16,146,246,1456,1541
"('55.789269', '37.663809')",0.0,5,18,189,441,1692,1810
"('55.807769', '37.764636')",0.0,9,18,133,161,846,1552
"('55.81335', '37.70311')",0.0,7,16,98,271,1296,1663
"('55.805187', '37.71283')",0.0,6,22,126,242,1376,1581
"('55.813661', '37.740107')",0.0,8,16,121,168,976,1653
"('55.822', '37.759235')",0.0,4,13,91,165,732,1545
"('55.803085', '37.712975')",0.0,8,16,141,235,1412,1549
"('55.80608', '37.712128')",0.0,5,20,121,247,1365,1581
"('55.504208', '37.539043')",0.0,7,0,32,53,168,333
"('55.503204', '37.53685')",0.0,7,1,31,51,164,331
"('55.507973', '37.584308')",0.0,3,7,10,57,189,349
"('55.495765', '37.52068')",0.0,8,3,18,41,167,295
"('55.568736', '37.489805')",0.0,9,14,59,106,422,882
"('55.542986', '37.47872')",0.0,7,10,75,57,330,651
"('55.475169', '37.525208')",0.0,3,0,14,11,135,221
"('55.50213', '37.32641')",0.0,2,4,23,17,53,267
"('55.569138', '37.489257')",0.0,9,16,56,109,422,883
"('55.49493', '37.515874')",0.0,8,3,18,40,169,285
