,author,author_type,url,floor,floors_total,rooms,meters,district,street,house_number,price,coords
6816,Елена  Куценко,realtor,https://www.cian.ru/rent/flat/307463140/,7,12,2,40.0,Басманный, Госпитальный Вал,3К2,70000,"('55.771818', '37.705185')"
6817,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307388438/,3,16,2,80.0,Лефортово,Наличная ,3,130000,"('55.764755', '37.704197')"
6818,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/305367629/,3,7,2,65.0,Лефортово,Энергетическая ,16К1,95000,"('55.75825', '37.710548')"
6819,ID 47995649,real_estate_agent,https://www.cian.ru/rent/flat/288799136/,5,5,2,50.0,Лефортово, 2-я Синичкина,16,70000,"('55.76227', '37.71203')"
6820,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307483967/,2,5,3,100.0,Лефортово,Энергетическая ,4,100000,"('55.761154', '37.7025')"
6821,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307474849/,2,5,3,100.0,Лефортово,Энергетическая ,4,100000,"('55.761154', '37.7025')"
6822,Ирина  Маринина,realtor,https://www.cian.ru/rent/flat/306401380/,3,16,3,80.0,Лефортово,Наличная ,3,130000,"('55.764755', '37.704197')"
6823,Екатерина Федчина,realtor,https://www.cian.ru/rent/flat/306399010/,5,16,3,110.0,Лефортово,Наличная ,3,170000,"('55.764755', '37.704197')"
6824,ID 19915245,homeowner,https://www.cian.ru/rent/flat/306199391/,2,5,3,100.0,Лефортово,Энергетическая ,4,103000,"('55.761154', '37.7025')"
6825,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307659492/,4,12,2,58.6,Соколиная гора,Большая Семеновская ,27К2,80000,"('55.782618', '37.708194')"
6826,Станислав Вейтендорф,realtor,https://www.cian.ru/rent/flat/307772730/,5,9,1,30.0,Дмитровский,Клязьминская ,32,40000,"('55.89496', '37.53006')"
6827,Светлана Харина,realtor,https://www.cian.ru/rent/flat/307740715/,14,16,1,38.0,Дмитровский,Лобненская ,12К3,45000,"('55.894248', '37.526124')"
6828,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307723022/,10,16,1,38.0,Дмитровский,Лобненская ,13К2,75000,"('55.888422', '37.527301')"
6829,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307723019/,16,30,1,44.0,Дмитровский,Лобненская ,13к4,60000,"('55.8882495', '37.5261675')"
6830,МГЦН - Многофункциональный Городской Центр Недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307721871/,11,19,1,42.0,Лианозово,Псковская ,7К1,55000,"('55.904887', '37.550765')"
6831,ОГРК,real_estate_agent,https://www.cian.ru/rent/flat/307717019/,25,34,1,38.8,Дмитровский,Лобненская ,13к4,80000,"('55.8882495', '37.5261675')"
6832,ID 122077529,homeowner,https://www.cian.ru/rent/flat/307635937/,10,16,1,38.2,Дмитровский,Лобненская ,13К2,75000,"('55.888422', '37.527301')"
6833,Инна Светлова,realtor,https://www.cian.ru/rent/flat/307606665/,29,33,1,37.0,Дмитровский,Лобненская ,13к4,75000,"('55.8882495', '37.5261675')"
6834,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307604218/,4,5,1,26.0,Дмитровский,Икшинская ,6,65000,"('55.886393', '37.54012')"
6835,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307585028/,9,33,1,43.5,Дмитровский,Лобненская ,13к3,75000,"('55.8882495', '37.5261675')"
6836,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307580351/,29,33,1,39.0,Дмитровский,Лобненская ,13к4,84000,"('55.8882495', '37.5261675')"
6837,ID 122001461,homeowner,https://www.cian.ru/rent/flat/307578412/,16,30,1,44.0,Дмитровский,Лобненская ,13к4,60000,"('55.8882495', '37.5261675')"
6838,ID 59155433,homeowner,https://www.cian.ru/rent/flat/307509126/,11,17,1,42.0,Лианозово,Псковская ,9К2,52000,"('55.906456', '37.55019')"
6839,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307501327/,29,33,1,39.0,Дмитровский,Лобненская ,13к4,85000,"('55.8882495', '37.5261675')"
6840,ID 60638568,realtor,https://www.cian.ru/rent/flat/307440886/,5,14,1,37.9,Дмитровский,Учинская ,3к1,60000,"('55.883303', '37.53632')"
6841,5 ЗВЁЗД,real_estate_agent,https://www.cian.ru/rent/flat/307403592/,2,17,1,42.0,Северный,Дмитровское шоссе,124А,65000,"('55.924845', '37.548546')"
6842,ID 335175,realtor,https://www.cian.ru/rent/flat/307387458/,9,17,1,42.0,Лианозово,Псковская ,5К3,55000,"('55.905068', '37.547926')"
6843,Наталия Тананова,realtor,https://www.cian.ru/rent/flat/268702605/,14,16,1,38.0,Лианозово,Псковская ,2К1,60000,"('55.901056', '37.554753')"
6844,Денис Комаров,realtor,https://www.cian.ru/rent/flat/279383857/,1,12,1,12.0,Западное Дегунино,Дегунинская ,13,35000,"('55.865642', '37.534658')"
6845,ID 118663088,homeowner,https://www.cian.ru/rent/flat/304245664/,1,5,2,43.5,Марфино,Гостиничная ,10А,50000,"('55.84675', '37.582493')"
6846,ID 127014,realtor,https://www.cian.ru/rent/flat/307632815/,4,12,2,40.0,Северное Тушино, Героев Панфиловцев,41К1,45000,"('55.854315', '37.410439')"
6847,Виктория Геннадьевна Иванова,realtor,https://www.cian.ru/rent/flat/307743846/,8,9,2,40.0,Дмитровский,Дмитровское шоссе,131К2,80000,"('55.889043', '37.54065')"
6848,Татьяна Ивашнева,realtor,https://www.cian.ru/rent/flat/307737251/,2,9,2,46.0,Дмитровский,Дмитровское шоссе,155К2,55000,"('55.897079', '37.541296')"
6849,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307714344/,13,16,2,54.0,Дмитровский,Дмитровское шоссе,139,60000,"('55.892345', '37.541395')"
6850,Северная слобода,real_estate_agent,https://www.cian.ru/rent/flat/307703549/,2,14,2,74.4,Северный,Дмитровское шоссе,124А,90000,"('55.924845', '37.548546')"
6851,Наталья Голушкина,realtor,https://www.cian.ru/rent/flat/307684832/,8,14,2,60.0,Дмитровский,Ангарская ,67К2,90000,"('55.884832', '37.526618')"
6852,ID 11287316,unknown,https://www.cian.ru/rent/flat/307584899/,17,19,2,59.7,Дмитровский,Долгопрудная ,7,72000,"('55.893213', '37.539266')"
6853,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307479661/,14,16,2,56.0,Дмитровский,Долгопрудная ,10,75000,"('55.89407', '37.53905')"
6854,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307107751/,12,16,2,65.0,Дмитровский,Лобненская ,13к4,110000,"('55.8882495', '37.5261675')"
6855,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306958573/,32,33,2,57.0,Дмитровский,Лобненская ,13к4,87000,"('55.8882495', '37.5261675')"
6856,ID 125467,homeowner,https://www.cian.ru/rent/flat/305860044/,13,25,2,56.0,Лианозово,Псковская ,7К1,95000,"('55.904887', '37.550765')"
6857,ID 108146113,realtor,https://www.cian.ru/rent/flat/307695385/,12,33,3,55.0,Дмитровский,Лобненская ,13К2,85000,"('55.888422', '37.527301')"
6858,ID 17119489,unknown,https://www.cian.ru/rent/flat/307590988/,14,33,3,56.0,Дмитровский,Лобненская ,13К2,90000,"('55.888422', '37.527301')"
6859,Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/rent/flat/307496749/,1,14,3,80.5,Дмитровский,Яхромская ,6,80000,"('55.884292', '37.540147')"
6860,ID 17676061,realtor,https://www.cian.ru/rent/flat/307271818/,5,12,3,65.0,Лианозово,Псковская ,2К2,72000,"('55.9023951', '37.5556266')"
6861,ID 88369253,homeowner,https://www.cian.ru/rent/flat/306893675/,12,16,3,65.0,Дмитровский,Лобненская ,13к4,105000,"('55.8882495', '37.5261675')"
6862,ID 19192,realtor,https://www.cian.ru/rent/flat/307703166/,17,17,1,39.5,Коптево, Лихоборские Бугры,3,65000,"('55.841387', '37.547737')"
6863,ID 92963468,realtor,https://www.cian.ru/rent/flat/293916956/,1,9,1,33.0,Коптево,4-й Новомихалковский проезд,12,45000,"('55.843267', '37.544117')"
6864,ID 54546758,homeowner,https://www.cian.ru/rent/flat/307681552/,5,5,1,35.0,Тимирязевский, Линии Октябрьской Железной Дороги,12,60000,"('55.844445', '37.562685')"
6865,Ольга Малинина,realtor,https://www.cian.ru/rent/flat/307490143/,9,18,2,82.6,Коптево,Большая Академическая ,67,90000,"('55.840689', '37.548393')"
6866,ID 19282208,homeowner,https://www.cian.ru/rent/flat/295863733/,7,18,3,75.0,Коптево,Большая Академическая ,75К2,100000,"('55.843555', '37.553073')"
6867,Сермус Макс,real_estate_agent,https://www.cian.ru/rent/flat/307639196/,1,5,3,77.0,Фили-Давыдково, Герасима Курина,8К1,98000,"('55.732884', '37.483355')"
6868,Ла Терра,real_estate_agent,https://www.cian.ru/rent/flat/304875527/,4,6,3,81.0,Хорошевский, Зорге,6к3,90000,"('55.779413', '37.513709')"
6869,ID 43459945,homeowner,https://www.cian.ru/rent/flat/305340766/,7,10,3,83.0,Тверской,Самотечная ,17А,110000,"('55.779975', '37.615722')"
6870,ReaMos,real_estate_agent,https://www.cian.ru/rent/flat/307750497/,18,32,1,32.0,Гольяново,Амурская ,2к2,70000,"('55.804182', '37.750128')"
6871,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307746991/,10,33,1,42.0,Гольяново,Амурская ,2к2,80000,"('55.804182', '37.750128')"
6872,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307745625/,24,33,1,20.0,Гольяново,Амурская ,2к2,68000,"('55.804182', '37.750128')"
6873,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307740425/,3,39,1,20.0,Гольяново,Амурская ,1Ак5,55000,"('55.8093146', '37.7595588')"
6874,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307723020/,4,39,1,18.0,Гольяново,Амурская ,1Ак3,60000,"('55.8083718', '37.7603483')"
6875,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307715396/,19,35,1,20.0,Гольяново,Амурская ,1Ак1,60000,"('55.8077552', '37.7580201')"
6876,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307706403/,24,39,1,40.0,Гольяново,Амурская ,1Ак4,90000,"('55.8089854', '37.7583176')"
6877,ID 73141273,homeowner,https://www.cian.ru/rent/flat/307652870/,30,38,1,40.0,Гольяново,Амурская ,1Ак5,105000,"('55.8093146', '37.7595588')"
6878,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307607533/,2,33,1,25.5,Гольяново,Амурская ,2к2,65000,"('55.804182', '37.750128')"
6879,ID 92085377,realtor,https://www.cian.ru/rent/flat/307605628/,18,25,1,29.6,Гольяново,Амурская ,2к2,70000,"('55.804182', '37.750128')"
6880,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307539394/,30,40,1,40.0,Гольяново,Амурская ,1Ак5,105000,"('55.8093146', '37.7595588')"
6881,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307531109/,30,40,1,40.0,Гольяново,Амурская ,1Ак5,105000,"('55.8093146', '37.7595588')"
6882,ID 119293030,homeowner,https://www.cian.ru/rent/flat/307408934/,38,39,1,40.0,Гольяново,Амурская ,1Ак5,95000,"('55.8093146', '37.7595588')"
6883,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307393691/,10,14,1,40.0,Северное Измайлово,Сиреневый бульвар,1К4,50000,"('55.803069', '37.762776')"
6884,ID 101224495,homeowner,https://www.cian.ru/rent/flat/307384387/,12,39,1,38.6,Гольяново,Амурская ,1Ак4,80000,"('55.8089854', '37.7583176')"
6885,ID 696374,realtor,https://www.cian.ru/rent/flat/307226353/,20,25,1,36.0,Гольяново,Амурская ,2к2,75000,"('55.804182', '37.750128')"
6886,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307018338/,19,33,1,32.0,Гольяново,Амурская ,2к2,90000,"('55.804182', '37.750128')"
6887,ID 13371650,homeowner,https://www.cian.ru/rent/flat/306400508/,24,39,1,40.0,Гольяново,Амурская ,1Ак4,90000,"('55.8089854', '37.7583176')"
6888,ID 61871814,homeowner,https://www.cian.ru/rent/flat/306127704/,14,33,1,42.0,Гольяново,Амурская ,2Ак3,95000,"('55.8051696', '37.7553')"
6889,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305730240/,16,33,1,19.6,Гольяново,Амурская ,2Ак2,68900,"('55.8058209', '37.7547534')"
6890,ID 56664465,unknown,https://www.cian.ru/rent/flat/298679425/,11,33,1,42.0,Гольяново,Амурская ,2Ак3,80000,"('55.8051696', '37.7553')"
6891,ID 112706334,homeowner,https://www.cian.ru/rent/flat/307685462/,19,33,2,52.0,Гольяново,Амурская ,2к2,105000,"('55.804182', '37.750128')"
6892,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307664322/,14,16,2,60.0,Гольяново,Амурская ,1к1,72000,"('55.80585', '37.75117')"
6893,ID 122047841,homeowner,https://www.cian.ru/rent/flat/307612902/,13,16,2,59.0,Гольяново,Амурская ,1к1,78000,"('55.80585', '37.75117')"
6894,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307609572/,15,27,2,76.0,Гольяново,Амурская ,1Ак2,120000,"('55.8080481', '37.7591084')"
6895,ID 338487,unknown,https://www.cian.ru/rent/flat/307552154/,6,16,2,45.0,Преображенское,Большая Черкизовская ,12К1,70000,"('55.797066', '37.725382')"
6896,ID 10329198,real_estate_agent,https://www.cian.ru/rent/flat/307533498/,22,24,2,58.0,Гольяново,Амурская ,1/2/1,80000,"('55.811032', '37.772442')"
6897,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307458451/,19,33,2,55.0,Гольяново,Амурская ,2Ак2,110000,"('55.8058209', '37.7547534')"
6898,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307449146/,4,22,2,55.0,Гольяново,Щелковское шоссе,21К2,68000,"('55.808412', '37.77087')"
6899,ID 65344426,realtor,https://www.cian.ru/rent/flat/307325765/,4,14,2,60.0,Гольяново,Амурская ,1/2/2,80000,"('55.811032', '37.772442')"
6900,Нью Сити,real_estate_agent,https://www.cian.ru/rent/flat/307265144/,24,24,2,58.0,Гольяново,Амурская ,1/2/2,85000,"('55.811032', '37.772442')"
6901,ID 44381,realtor,https://www.cian.ru/rent/flat/307219618/,5,5,2,45.0,Гольяново,Амурская ,16к1,65000,"('55.80817', '37.765533')"
6902,ID 21448858,unknown,https://www.cian.ru/rent/flat/307195378/,5,5,2,45.1,Северное Измайлово,Щелковское шоссе,18,58000,"('55.806656', '37.7715')"
6903,Юрий Козубенко,realtor,https://www.cian.ru/rent/flat/307128695/,33,33,2,50.0,Гольяново,Амурская ,2к2,85000,"('55.804182', '37.750128')"
6904,ID 121423406,homeowner,https://www.cian.ru/rent/flat/306946964/,1,5,2,45.0,Преображенское,2-я Пугачевская ,4К2,95000,"('55.7963168', '37.7275446')"
6905,Central-arenda,real_estate_agent,https://www.cian.ru/rent/flat/306824758/,28,33,2,58.0,Гольяново,Амурская ,2к2,85000,"('55.804182', '37.750128')"
6906,New Life,real_estate_agent,https://www.cian.ru/rent/flat/306757061/,3,17,2,35.4,Гольяново,Амурская ,2Ак1,80000,"('55.8057205', '37.7538038')"
6907,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306605220/,1,5,2,43.0,Преображенское,2-я Пугачевская ,4К2,90000,"('55.7963168', '37.7275446')"
6908,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306604160/,9,10,2,59.0,Гольяново,Амурская ,1к1,90000,"('55.80585', '37.75117')"
6909,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/306595009/,1,5,2,50.0,Преображенское,2-я Пугачевская ,4К2,90000,"('55.7963168', '37.7275446')"
6910,ID 263350,unknown,https://www.cian.ru/rent/flat/306550542/,9,17,2,59.9,Гольяново,Амурская ,1к1,90000,"('55.80585', '37.75117')"
6911,ID 89038361,homeowner,https://www.cian.ru/rent/flat/306389713/,23,23,2,57.0,Измайлово,Сиреневый бульвар,4/1,80000,"('55.799372', '37.764455')"
6912,ID 5454,realtor,https://www.cian.ru/rent/flat/262619453/,8,9,2,48.0,Преображенское,Большая Черкизовская ,14К1,78000,"('55.797273', '37.727039')"
6913,Елена Иванова,realtor,https://www.cian.ru/rent/flat/306372495/,4,9,2,50.0,Тимирязевский,Дмитровское шоссе,33К1,70000,"('55.82888', '37.56953')"
6914,ID 23956980,realtor,https://www.cian.ru/rent/flat/239801992/,3,9,2,45.0,Мещанский,проспект Мира,58,80000,"('55.785392', '37.63606')"
6915,Егор Холодов,realtor,https://www.cian.ru/rent/flat/204286755/,5,15,2,40.0,Марьина роща,Октябрьская ,42,75000,"('55.79222', '37.61362')"
6916,Activ Realty,real_estate_agent,https://www.cian.ru/rent/flat/307548002/,3,12,2,52.5,Ивановское,Челябинская ,3,70000,"('55.776659', '37.823026')"
6917,Валерия Платонова,realtor,https://www.cian.ru/rent/flat/307779827/,17,33,3,52.0,Гольяново,Амурская ,2к2,110000,"('55.804182', '37.750128')"
6918,Юла,real_estate_agent,https://www.cian.ru/rent/flat/307495065/,20,33,3,58.0,Гольяново,Амурская ,2Ак1,113000,"('55.8057205', '37.7538038')"
6919,ID 94330837,homeowner,https://www.cian.ru/rent/flat/297405204/,9,24,3,73.0,Гольяново,Амурская ,1/2/3,120000,"('55.811032', '37.772442')"
6920,ID 74338273,unknown,https://www.cian.ru/rent/flat/307759781/,19,21,1,50.0,Раменки,Мосфильмовская ,88к4,140000,"('55.702901', '37.491251')"
6921,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307757357/,2,8,1,40.0,Раменки,Мосфильмовская ,17/25,65000,"('55.715601', '37.516413')"
6922,ID 13494695,homeowner,https://www.cian.ru/rent/flat/307747240/,13,15,1,46.0,Раменки,Винницкая ,8к4,160000,"('55.7016804', '37.4925216')"
6923,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307745608/,20,23,1,42.0,Раменки,Мичуринский проспект,13к3,95000,"('55.697179', '37.512577')"
6924,ID 121381253,homeowner,https://www.cian.ru/rent/flat/307725772/,11,28,1,42.0,Раменки,Винницкая ,8к3,150000,"('55.700983', '37.493479')"
6925,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307721931/,7,16,1,40.0,Раменки, Пырьева,26К1,72000,"('55.728601', '37.527867')"
6926,Сергей Кобзев,realtor,https://www.cian.ru/rent/flat/307721461/,5,23,1,37.5,Раменки,Мичуринский проспект,13к1,80000,"('55.697933', '37.51253')"
6927,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307715428/,2,17,1,53.7,Раменки,Мосфильмовская ,70,160000,"('55.71518', '37.506612')"
6928,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307712617/,10,17,1,55.0,Раменки,Мичуринский проспект,19К1,100000,"('55.698211', '37.505475')"
6929,ID 120760930,homeowner,https://www.cian.ru/rent/flat/307671243/,10,16,1,27.3,Раменки,Мосфильмовская ,74,60000,"('55.709906', '37.503846')"
6930,ID 62146,realtor,https://www.cian.ru/rent/flat/307637545/,5,14,1,42.0,Раменки,Мосфильмовская ,43/40,80000,"('55.710707', '37.50778')"
6931,ID 86361303,unknown,https://www.cian.ru/rent/flat/307447210/,4,9,1,42.0,Раменки,Мичуринский проспект,24,75000,"('55.700689', '37.502795')"
6932,Самолет плюс,real_estate_agent,https://www.cian.ru/rent/flat/307440681/,11,15,1,42.0,Раменки,Винницкая ,8к3,150000,"('55.700983', '37.493479')"
6933,ID 121381253,homeowner,https://www.cian.ru/rent/flat/307409580/,11,15,1,42.0,Раменки,Винницкая ,8к3,150000,"('55.700983', '37.493479')"
6934,Руслан Каракеян,realtor,https://www.cian.ru/rent/flat/307385076/,4,15,1,66.0,Раменки,Университетский проспект,16,140000,"('55.715469', '37.521111')"
6936,ID 45675133,homeowner,https://www.cian.ru/rent/flat/307359753/,7,16,1,40.0,Раменки, Пырьева,26К1,72000,"('55.728601', '37.527867')"
6937,Ольга Коренева,realtor,https://www.cian.ru/rent/flat/307357195/,7,14,1,48.0,Раменки,Мосфильмовская ,88к2с5,120000,"('55.704905', '37.492114')"
6938,Светлана Бабий,realtor,https://www.cian.ru/rent/flat/306962846/,10,28,1,40.0,Раменки,Винницкая ,8к3,130000,"('55.700983', '37.493479')"
6939,ID 87763738,homeowner,https://www.cian.ru/rent/flat/306769248/,15,16,1,31.0,Раменки,Мосфильмовская ,76,75000,"('55.709429', '37.502983')"
6940,ID 106617912,homeowner,https://www.cian.ru/rent/flat/306697975/,8,9,1,33.0,Раменки,Ломоносовский проспект,34А,100000,"('55.708946', '37.511913')"
6941,ID 43077592,real_estate_agent,https://www.cian.ru/rent/flat/306665756/,5,15,1,41.0,Раменки,Винницкая ,8к3,145000,"('55.700983', '37.493479')"
6942,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/306297255/,9,17,1,39.0,Раменки,Мичуринский проспект,29К3,80000,"('55.6935', '37.50549')"
6943,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/305751151/,7,8,1,47.5,Раменки,Университетский проспект,21К1,60000,"('55.7141629', '37.5210614')"
6944,ID 139396,realtor,https://www.cian.ru/rent/flat/302516671/,5,13,1,43.0,Раменки,Винницкая ,8к1,130000,"('55.701846', '37.492177')"
6945,GARUDA РИЭЛТИ,real_estate_agent,https://www.cian.ru/rent/flat/293325788/,2,23,1,52.0,Раменки,Мичуринский проспект,34,100000,"('55.698285', '37.497872')"
6946,Елена Борисова,realtor,https://www.cian.ru/rent/flat/279280759/,14,21,1,50.0,Раменки,Мосфильмовская ,88к2с4,140000,"('55.704093', '37.493165')"
6947,ID 93673770,homeowner,https://www.cian.ru/rent/flat/276679719/,20,23,1,45.0,Раменки,Мичуринский проспект,13к3,95000,"('55.697179', '37.512577')"
6948,ID 254870,realtor,https://www.cian.ru/rent/flat/216582547/,2,12,1,35.0,Раменки, Пырьева,22,70000,"('55.729008', '37.527283')"
6949,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307637869/,12,19,1,42.0,Фили-Давыдково,Тарутинская ,4к1,75000,"('55.732742', '37.471991')"
6950,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307748701/,13,15,2,46.0,Раменки,Винницкая ,8к4,160000,"('55.7016804', '37.4925216')"
6951,Полина Магриева,realtor,https://www.cian.ru/rent/flat/307741693/,3,11,2,55.0,Гагаринский,Университетский проспект,9,140000,"('55.696453', '37.549022')"
6952,Арбат Престиж,real_estate_agent,https://www.cian.ru/rent/flat/307722279/,2,17,2,54.0,Раменки,Мосфильмовская ,70к7,160000,"('55.7166', '37.50902')"
6953,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307713169/,16,29,2,70.0,Раменки,Мосфильмовская ,74Б,257000,"('55.711108', '37.504708')"
6954,На Петровке,real_estate_agent,https://www.cian.ru/rent/flat/307699646/,2,7,2,50.0,Раменки,Воробьевское шоссе,4С1,205000,"('55.72778', '37.536438')"
6955,Premium Realty,real_estate_agent,https://www.cian.ru/rent/flat/307664526/,10,13,2,74.6,Раменки,Винницкая ,8к1,220000,"('55.701846', '37.492177')"
6956,ID 94905965,realtor,https://www.cian.ru/rent/flat/307612090/,7,21,2,84.0,Раменки,Мосфильмовская ,88к4с1,220000,"('55.703038', '37.491287')"
6957,ID 94841750,unknown,https://www.cian.ru/rent/flat/307591905/,10,22,2,70.0,Раменки,Ломоносовский проспект,25к2,210000,"('55.695195', '37.530229')"
6958,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307544757/,4,28,2,81.6,Раменки,Винницкая ,8к2,250000,"('55.701212', '37.492662')"
6959,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307539918/,17,21,2,84.0,Раменки,Мосфильмовская ,88к4с2,300000,"('55.703921', '37.49029')"
6960,WHITE BROKER Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307537188/,22,25,2,84.0,Раменки,Мичуринский проспект,26,150000,"('55.699886', '37.500745')"
6961,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307536920/,2,17,2,55.0,Раменки,Мосфильмовская ,70к7,160000,"('55.7166', '37.50902')"
6962,Денис Ложкин,realtor,https://www.cian.ru/rent/flat/307534724/,22,25,2,84.0,Раменки,Мичуринский проспект,26,150000,"('55.699886', '37.500745')"
6963,Оксана Сурова,realtor,https://www.cian.ru/rent/flat/307530571/,15,21,2,52.0,Раменки,Мосфильмовская ,88к7,140000,"('55.705665', '37.49109')"
6964,Century 21,real_estate_agent,https://www.cian.ru/rent/flat/307511161/,11,15,2,95.0,Раменки,Университетский проспект,16,200000,"('55.715469', '37.521111')"
6965,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307495491/,11,53,2,110.0,Раменки,Мосфильмовская ,8,175000,"('55.723592', '37.527256')"
6966,ID 121381230,homeowner,https://www.cian.ru/rent/flat/307491888/,11,53,2,110.0,Раменки,Мосфильмовская ,8,175000,"('55.723592', '37.527256')"
6967,ID 90018376,unknown,https://www.cian.ru/rent/flat/307475901/,14,23,2,83.0,Раменки,Мичуринский проспект,34,140000,"('55.698285', '37.497872')"
6968,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307459882/,11,17,2,75.0,Раменки,Мичуринский проспект,7,180000,"('55.702728', '37.509685')"
6969,PARTNER-ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307452869/,3,17,2,75.0,Раменки,Мичуринский проспект,7,130000,"('55.702728', '37.509685')"
6970,ID 90529564,homeowner,https://www.cian.ru/rent/flat/307444061/,3,22,2,70.0,Раменки,Минская ,1ГК1,170000,"('55.71304', '37.500944')"
6971,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307816428/,14,21,3,85.0,Раменки,Мосфильмовская ,88к4,200000,"('55.702901', '37.491251')"
6972,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307781941/,23,32,3,151.0,Раменки,Мосфильмовская ,8,400000,"('55.723592', '37.527256')"
6973,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307778886/,4,7,3,115.0,Раменки,Мосфильмовская ,1к3,550000,"('55.71262', '37.5120788')"
6974,Юлия Борисенко,realtor,https://www.cian.ru/rent/flat/307778810/,20,21,3,115.0,Раменки,Мосфильмовская ,88к7,265000,"('55.705665', '37.49109')"
6975,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307773069/,33,47,3,134.0,Раменки,Мосфильмовская ,70к2,400000,"('55.714206', '37.505355')"
6976,Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307720856/,23,53,3,150.0,Раменки,Мосфильмовская ,8,400000,"('55.723592', '37.527256')"
6977,Эмин Керимов,realtor,https://www.cian.ru/rent/flat/307707838/,13,15,3,75.0,Раменки,Винницкая ,8к4,220000,"('55.7016804', '37.4925216')"
6978,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307707074/,12,23,3,107.0,Раменки,Мичуринский проспект,34,230000,"('55.698285', '37.497872')"
6979,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307688651/,16,23,3,120.0,Раменки, Столетова,7,150000,"('55.766694', '37.570564')"
6980,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307688651/,16,23,3,120.0,Раменки, Столетова,7,150000,"('55.704413', '37.503352')"
6981,BOND недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307677240/,16,23,3,120.0,Раменки, Столетова,7,150000,"('55.704413', '37.503352')"
