,author,author_type,url,floor,floors_total,rooms,meters,district,street,house_number,price,coords
115,Артем Андреев,realtor,https://www.cian.ru/rent/flat/307639968/,14,25,4,130.0,Аэропорт,Ленинградский проспект,36с40,600000,"('55.790529', '37.569063')"
116,Квартирный вопрос,real_estate_agent,https://www.cian.ru/rent/flat/307636850/,3,4,4,154.0,Тверской,Страстной бульвар,12С1,390000,"('55.76705', '37.61186')"
117,Виктор Смолич,realtor,https://www.cian.ru/rent/flat/307636448/,4,14,4,110.0,Крылатское,Осенняя ,2,140000,"('55.757492', '37.399048')"
118,ID 85789,unknown,https://www.cian.ru/rent/flat/307634973/,9,35,4,104.0,Левобережный,Смольная ,49,210000,"('55.863544', '37.47846')"
119,ID 12319223,unknown,https://www.cian.ru/rent/flat/307632963/,3,5,4,190.0,Якиманка,Софийская набережная,18,750000,"('55.747652', '37.61777')"
120,ID 50322783,realtor,https://www.cian.ru/rent/flat/307631832/,10,12,4,100.7,Якиманка, Серафимовича,2,450000,"('55.74446', '37.613018')"
121,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307631606/,9,15,4,260.0,Раменки,Минская ,1Б,350000,"('55.71697', '37.500816')"
122,DOORS AGENCY,real_estate_agent,https://www.cian.ru/rent/flat/307629279/,6,22,4,138.0,Красносельский,Грохольский переулок,28,250000,"('55.776806', '37.639887')"
123,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307627271/,8,12,4,166.0,Хорошевский,Ходынский бульвар,11,350000,"('55.784997', '37.526636')"
124,Ирина Руперти,realtor,https://www.cian.ru/rent/flat/307624885/,14,40,4,170.6,Щукино,Авиационная ,79А,250000,"('55.809085', '37.448482')"
125,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307613703/,11,15,4,167.0,Аэропорт,Ленинградский проспект,52,300000,"('55.79728', '37.541027')"
126,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307610858/,4,12,4,70.0,Алексеевский,Новоалексеевская ,18К1,100000,"('55.810165', '37.651043')"
127,Анастасия Морозова,realtor,https://www.cian.ru/rent/flat/307610214/,6,8,4,100.0,Хамовники,Комсомольский проспект,38/16,150000,"('55.723004', '37.575468')"
128,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307609456/,14,17,4,99.0,, Большое Понизовье,5,120000,"('55.606131', '37.411705')"
129,Unique Property,real_estate_agent,https://www.cian.ru/rent/flat/307608748/,15,15,4,100.0,Молжаниновский,Ленинградское шоссе,228к4,140000,"('55.932591', '37.383678')"
130,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307605217/,24,26,4,90.0,, Саларьевская,8к1,200000,"('55.619599', '37.417167')"
131,Monumental Group,real_estate_agent,https://www.cian.ru/rent/flat/307602199/,9,10,4,160.0,Тверской,Страстной бульвар,10к1,450000,"('55.7660893', '37.6114805')"
132,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307595279/,5,6,4,158.0,Замоскворечье,Садовническая набережная,7,1500000,"('55.746547', '37.628038')"
133,ID 13546659,realtor,https://www.cian.ru/rent/flat/307590722/,26,43,4,98.7,Раменки, Василия Ланового,1к1,320000,"('55.697238', '37.476732')"
134,VISTA Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307588924/,3,7,4,180.0,Басманный,Чистопрудный бульвар,14С3,500000,"('55.759897', '37.644477')"
135,Дворянское гнездо,real_estate_agent,https://www.cian.ru/rent/flat/307588851/,8,10,4,148.3,Тверской,Большая Грузинская ,69,600000,"('55.77396', '37.586293')"
136,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307587067/,2,12,4,270.0,Хамовники,2-я Фрунзенская ,12,1848000,"('55.724211', '37.580265')"
137,Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/307587051/,5,6,4,174.3,Тверской,Воротниковский переулок,4,380000,"('55.769325', '37.602802')"
138,Трейд-ин Риэлти,real_estate_agent,https://www.cian.ru/rent/flat/307586287/,3,9,4,118.0,Коптево,Большая Академическая ,15К1,170000,"('55.822979', '37.526735')"
139,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307585669/,4,5,4,150.0,Басманный, Жуковского,2,250000,"('55.763847', '37.644782')"
140,Дарья Бурмакова,realtor,https://www.cian.ru/rent/flat/307585195/,3,14,4,100.0,Ново-Переделкино, Шолохова,24,100000,"('55.64191', '37.34936')"
141,VISTA Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307583414/,4,6,4,150.0,Басманный, Жуковского,2,250000,"('55.763847', '37.644782')"
142,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307582418/,7,32,4,89.0,Царицыно,Кавказский бульвар,51к2,130000,"('55.625831', '37.641575')"
143,Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307574704/,2,16,4,210.0,Арбат,Малый Новопесковский переулок,8,450000,"('55.749633', '37.577561')"
144,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307572015/,2,6,4,175.0,Басманный,Мясницкая ,24/7С3,400000,"('55.763042', '37.636715')"
145,ID 21239956,realtor,https://www.cian.ru/rent/flat/307570941/,20,41,4,100.0,Раменки,1-й Сетуньский проезд,8,100000,"('55.731891', '37.539922')"
146,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307570871/,3,4,4,121.0,Басманный,Малый Козловский переулок,8,370000,"('55.764526', '37.648196')"
147,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307569360/,8,10,4,177.0,Хамовники,3-я Фрунзенская ,5к1,550000,"('55.719683', '37.578343')"
148,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307569356/,4,8,4,140.0,Якиманка, Большая Полянка,43С3,510000,"('55.733696', '37.620052')"
149,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307567705/,8,8,4,115.0,Останкинский,проспект Мира,81,170000,"('55.801313', '37.634326')"
150,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307566670/,4,26,4,167.0,Таганский,Котельническая набережная,1/15кА,390000,"('55.74536', '37.643524')"
151,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307553336/,6,8,4,140.0,Тверской,Селезневская ,22,450000,"('55.780426', '37.607466')"
152,ID 97338884,unknown,https://www.cian.ru/rent/flat/307547374/,6,26,4,115.0,Раменки, Лобачевского,118к5,280000,"('55.69316', '37.470599')"
153,Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/rent/flat/307540550/,4,5,4,110.0,Хамовники,переулок Померанцев,9,180000,"('55.738698', '37.593039')"
154,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307538782/,4,8,4,96.0,Раменки,Мосфильмовская ,6,250000,"('55.724611', '37.530463')"
155,Stapler Estate,real_estate_agent,https://www.cian.ru/rent/flat/307536690/,4,9,4,202.0,Хамовники,Погодинская ,4,1000000,"('55.734973', '37.571013')"
156,CAPITAL REAL ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307533824/,4,6,4,170.0,Тверской,Тверская ,12С8,340000,"('55.763933', '37.60929')"
157,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307533071/,6,8,4,140.0,Тверской,Селезневская ,22,450000,"('55.780426', '37.607466')"
158,Vmestate,real_estate_agent,https://www.cian.ru/rent/flat/307527601/,4,5,4,150.0,Басманный, Жуковского,2,250000,"('55.763847', '37.644782')"
159,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307512094/,10,10,4,170.0,Хамовники,3-я Фрунзенская ,5к1,550000,"('55.719683', '37.578343')"
160,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307512091/,3,4,4,173.0,Арбат,Староконюшенный переулок,36С2,300000,"('55.749866', '37.595116')"
161,Валерия  Володина,realtor,https://www.cian.ru/rent/flat/307507578/,4,5,4,100.0,Тверской,Долгоруковская ,35,200000,"('55.77796', '37.600594')"
162,CapitalEstate,real_estate_agent,https://www.cian.ru/rent/flat/307505353/,4,8,4,150.0,Якиманка, Большая Полянка,43С3,510000,"('55.733696', '37.620052')"
